,Report_Date,Slovenia_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
57,2020-03-19,286,285,68.80855105337216,727.1525284032863,True,58,295.3770015688367,1454.07485032224
58,2020-03-20,341,340,68.80855105337216,727.1525284032863,True,59,326.26563989893214,1454.07485032224
59,2020-03-21,383,382,68.80855105337216,727.1525284032863,True,60,359.382751605807,1454.07485032224
60,2020-03-22,414,412,68.80855105337216,727.1525284032863,True,61,394.6852237214071,1454.07485032224
61,2020-03-23,442,439,68.80855105337216,727.1525284032863,True,62,432.0869998568925,1454.07485032224
62,2020-03-24,480,476,68.80855105337216,727.1525284032863,True,63,471.4561264436837,1454.07485032224
63,2020-03-25,528,513,68.80855105337216,727.1525284032863,True,64,512.6135107374814,1454.07485032224
64,2020-03-26,562,546,68.80855105337216,727.1525284032863,True,65,555.3337512242422,1454.07485032224
65,2020-03-27,632,613,68.80855105337216,727.1525284032863,True,66,599.34827829456,1454.07485032224
66,2020-03-28,684,665,68.80855105337216,727.1525284032863,True,67,644.3508701864318,1454.07485032224
67,2020-03-29,730,709,68.80855105337216,727.1525284032863,True,68,690.005402001157,1454.07485032224
68,2020-03-30,756,735,68.80855105337216,727.1525284032863,True,69,735.9554689420708,1454.07485032224
69,2020-03-31,802,777,68.80855105337216,727.1525284032863,True,70,781.835329174117,1454.07485032224
70,2020-04-01,841,816,68.80855105337216,727.1525284032863,True,71,827.2814670739875,1454.07485032224
71,2020-04-02,897,810,68.80855105337216,727.1525284032863,True,72,871.9440078366436,1454.07485032224
72,2020-04-03,934,844,68.80855105337216,727.1525284032863,True,73,915.4972312311112,1454.07485032224
73,2020-04-04,977,876,68.80855105337216,727.1525284032863,True,74,957.6485328895451,1454.07485032224
74,2020-04-05,997,890,68.80855105337216,727.1525284032863,True,75,998.145349009215,1454.07485032224
75,2020-04-06,1021,889,68.80855105337216,727.1525284032863,True,76,1036.7797678207507,1454.07485032224
76,2020-04-07,1059,921,68.80855105337216,727.1525284032863,True,77,1073.3907676041304,1454.07485032224
77,2020-04-08,1091,931,68.80855105337216,727.1525284032863,True,78,1107.864217580255,1454.07485032224
78,2020-04-09,1124,953,68.80855105337216,727.1525284032863,True,79,1140.1309329970898,1454.07485032224
79,2020-04-10,1160,978,68.80855105337216,727.1525284032863,True,80,1170.1631773059646,1454.07485032224
80,2020-04-11,1188,990,68.80855105337216,727.1525284032863,True,81,1197.9700505809747,1454.07485032224
81,2020-04-12,1205,1002,68.80855105337216,727.1525284032863,True,82,1223.5922004676308,1454.07485032224
82,2020-04-13,1212,1005,68.80855105337216,727.1525284032863,True,83,1247.09625130652,1454.07485032224
83,2020-04-14,1220,1012,68.80855105337216,727.1525284032863,True,84,1268.5692820606378,1454.07485032224
84,2020-04-15,1248,1022,68.80855105337216,727.1525284032863,True,85,1288.1136071439953,1454.07485032224
85,2020-04-16,1268,1033,68.80855105337216,727.1525284032863,True,86,1305.8420368292238,1454.07485032224
86,2020-04-17,1304,1064,68.80855105337216,727.1525284032863,True,87,1321.8737232017872,1454.07485032224
87,2020-04-18,1317,1057,68.80855105337216,727.1525284032863,True,88,1336.3306381547907,1454.07485032224
88,2020-04-19,1330,1064,68.80855105337216,727.1525284032863,True,89,1349.3346835737166,1454.07485032224
89,2020-04-20,1335,1065,68.80855105337216,727.1525284032863,True,90,1361.0054005698214,1454.07485032224
90,2020-04-21,1344,1070,68.80855105337216,727.1525284032863,True,91,1371.4582230398016,1454.07485032224
91,2020-04-22,1353,1069,68.80855105337216,727.1525284032863,True,92,1380.8032089509502,1454.07485032224
92,2020-04-23,1366,1076,68.80855105337216,727.1525284032863,True,93,1389.1441783670693,1454.07485032224
93,2020-04-24,1373,1082,68.80855105337216,727.1525284032863,True,94,1396.5781882382792,1454.07485032224
94,2020-04-25,1388,1088,68.80855105337216,727.1525284032863,True,95,1403.1952785541937,1454.07485032224
95,2020-04-26,1396,1093,68.80855105337216,727.1525284032863,True,96,1409.0784311334,1454.07485032224
96,2020-04-27,1402,1098,68.80855105337216,727.1525284032863,True,97,1414.3036899783306,1454.07485032224
97,2020-04-28,1408,1099,68.80855105337216,727.1525284032863,True,98,1418.9403999706478,1454.07485032224
98,2020-04-29,1418,1099,68.80855105337216,727.1525284032863,True,99,1423.0515281935054,1454.07485032224
99,2020-04-30,1429,1105,68.80855105337216,727.1525284032863,True,100,1426.694039028409,1454.07485032224
100,2020-05-01,1434,1109,68.80855105337216,727.1525284032863,True,101,1429.919300225961,1454.07485032224
101,2020-05-02,1439,1106,68.80855105337216,727.1525284032863,True,102,1432.7735023400792,1454.07485032224
102,2020-05-03,1439,1102,68.80855105337216,727.1525284032863,True,103,1435.298078264096,1454.07485032224
103,2020-05-04,1439,1101,68.80855105337216,727.1525284032863,True,104,1437.5301131771964,1454.07485032224
104,2020-05-05,1445,1103,68.80855105337216,727.1525284032863,True,105,1439.5027380860763,1454.07485032224
105,2020-05-06,1448,1103,68.80855105337216,727.1525284032863,True,106,1441.2455024231558,1454.07485032224
106,2020-05-07,1449,1103,68.80855105337216,727.1525284032863,True,107,1442.784722932182,1454.07485032224
107,2020-05-08,1450,1098,68.80855105337216,727.1525284032863,True,108,1444.1438074214311,1454.07485032224
108,2020-05-09,1454,1098,68.80855105337216,727.1525284032863,True,109,1445.343552971925,1454.07485032224
109,2020-05-10,1457,1099,68.80855105337216,727.1525284032863,True,110,1446.402418920816,1454.07485032224
110,2020-05-11,1460,1102,68.80855105337216,727.1525284032863,True,111,1447.3367754559035,1454.07485032224
111,2020-05-12,1461,1100,68.80855105337216,727.1525284032863,True,112,1448.1611290040903,1454.07485032224
112,2020-05-13,1463,1100,68.80855105337216,727.1525284032863,True,113,1448.8883258137203,1454.07485032224
113,2020-05-14,1464,1094,68.80855105337216,727.1525284032863,True,114,1449.5297352500245,1454.07485032224
114,2020-05-15,1465,1092,68.80855105337216,727.1525284032863,True,115,1450.0954143695878,1454.07485032224
115,2020-05-16,1465,1090,68.80855105337216,727.1525284032863,True,116,1450.5942553339378,1454.07485032224
116,2020-05-17,1466,1089,68.80855105337216,727.1525284032863,True,117,1451.0341171795612,1454.07485032224
117,2020-05-18,1466,27,68.80855105337216,727.1525284032863,True,118,1451.4219433939045,1454.07485032224
118,2020-05-19,1467,25,68.80855105337216,727.1525284032863,True,119,1451.7638666633206,1454.07485032224
119,2020-05-20,1468,23,68.80855105337216,727.1525284032863,True,120,1452.065302066319,1454.07485032224
120,2020-05-21,1468,22,68.80855105337216,727.1525284032863,True,121,1452.33102988891,1454.07485032224
121,2020-05-22,1468,22,68.80855105337216,727.1525284032863,True,122,1452.5652691419077,1454.07485032224
122,2020-05-23,1468,22,68.80855105337216,727.1525284032863,True,123,1452.7717427653454,1454.07485032224
123,2020-05-24,1468,21,68.80855105337216,727.1525284032863,True,124,1452.9537354144138,1454.07485032224
124,2020-05-25,1469,16,68.80855105337216,727.1525284032863,True,125,1453.114144635586,1454.07485032224
125,2020-05-26,1469,15,68.80855105337216,727.1525284032863,True,126,1453.2555261615712,1454.07485032224
126,2020-05-27,1471,9,68.80855105337216,727.1525284032863,True,127,1453.3801339796958,1454.07485032224
127,2020-05-28,1473,9,68.80855105337216,727.1525284032863,True,128,1453.4899557602928,1454.07485032224
