,Report_Date,Slovenia_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,68.80855105337216,727.1525284032863,True,1,0.2741969729583166,1454.07485032224
1,2020-01-23,0,0,68.80855105337216,727.1525284032863,True,2,0.31115621459365883,1454.07485032224
2,2020-01-24,0,0,68.80855105337216,727.1525284032863,True,3,0.3530960138638492,1454.07485032224
3,2020-01-25,0,0,68.80855105337216,727.1525284032863,True,4,0.4006871932292425,1454.07485032224
4,2020-01-26,0,0,68.80855105337216,727.1525284032863,True,5,0.454690826888954,1454.07485032224
5,2020-01-27,0,0,68.80855105337216,727.1525284032863,True,6,0.5159703543400531,1454.07485032224
6,2020-01-28,0,0,68.80855105337216,727.1525284032863,True,7,0.5855053115221879,1454.07485032224
7,2020-01-29,0,0,68.80855105337216,727.1525284032863,True,8,0.6644068931628715,1454.07485032224
8,2020-01-30,0,0,68.80855105337216,727.1525284032863,True,9,0.7539355874577968,1454.07485032224
9,2020-01-31,0,0,68.80855105337216,727.1525284032863,True,10,0.8555211550837312,1454.07485032224
10,2020-02-01,0,0,68.80855105337216,727.1525284032863,True,11,0.9707852590953752,1454.07485032224
11,2020-02-02,0,0,68.80855105337216,727.1525284032863,True,12,1.1015670908659079,1454.07485032224
12,2020-02-03,0,0,68.80855105337216,727.1525284032863,True,13,1.2499523802689436,1454.07485032224
13,2020-02-04,0,0,68.80855105337216,727.1525284032863,True,14,1.418306226144798,1454.07485032224
14,2020-02-05,0,0,68.80855105337216,727.1525284032863,True,15,1.6093102361130638,1454.07485032224
15,2020-02-06,0,0,68.80855105337216,727.1525284032863,True,16,1.8260045233240698,1454.07485032224
16,2020-02-07,0,0,68.80855105337216,727.1525284032863,True,17,2.071835172066726,1454.07485032224
17,2020-02-08,0,0,68.80855105337216,727.1525284032863,True,18,2.3507078544629647,1454.07485032224
18,2020-02-09,0,0,68.80855105337216,727.1525284032863,True,19,2.667048356837121,1454.07485032224
19,2020-02-10,0,0,68.80855105337216,727.1525284032863,True,20,3.025870856612112,1454.07485032224
20,2020-02-11,0,0,68.80855105337216,727.1525284032863,True,21,3.4328548783347195,1454.07485032224
21,2020-02-12,0,0,68.80855105337216,727.1525284032863,True,22,3.894431949867011,1454.07485032224
22,2020-02-13,0,0,68.80855105337216,727.1525284032863,True,23,4.417883075577443,1454.07485032224
23,2020-02-14,0,0,68.80855105337216,727.1525284032863,True,24,5.0114482405060645,1454.07485032224
24,2020-02-15,0,0,68.80855105337216,727.1525284032863,True,25,5.684449255030654,1454.07485032224
25,2020-02-16,0,0,68.80855105337216,727.1525284032863,True,26,6.447427339396137,1454.07485032224
26,2020-02-17,0,0,68.80855105337216,727.1525284032863,True,27,7.312296925916825,1454.07485032224
27,2020-02-18,0,0,68.80855105337216,727.1525284032863,True,28,8.292517216074234,1454.07485032224
28,2020-02-19,0,0,68.80855105337216,727.1525284032863,True,29,9.403283059966425,1454.07485032224
29,2020-02-20,0,0,68.80855105337216,727.1525284032863,True,30,10.661736713337241,1454.07485032224
30,2020-02-21,0,0,68.80855105337216,727.1525284032863,True,31,12.087201955556178,1454.07485032224
31,2020-02-22,0,0,68.80855105337216,727.1525284032863,True,32,13.70144189850003,1454.07485032224
32,2020-02-23,0,0,68.80855105337216,727.1525284032863,True,33,15.528941553617976,1454.07485032224
33,2020-02-24,0,0,68.80855105337216,727.1525284032863,True,34,17.59721581801682,1454.07485032224
34,2020-02-25,0,0,68.80855105337216,727.1525284032863,True,35,19.937142947696184,1454.07485032224
35,2020-02-26,0,0,68.80855105337216,727.1525284032863,True,36,22.583322755580173,1454.07485032224
36,2020-02-27,0,0,68.80855105337216,727.1525284032863,True,37,25.57445764233541,1454.07485032224
37,2020-02-28,0,0,68.80855105337216,727.1525284032863,True,38,28.953753067453988,1454.07485032224
38,2020-02-29,0,0,68.80855105337216,727.1525284032863,True,39,32.769332115161276,1454.07485032224
39,2020-03-01,0,0,68.80855105337216,727.1525284032863,True,40,37.0746563146956,1454.07485032224
40,2020-03-02,0,0,68.80855105337216,727.1525284032863,True,41,41.928941743343174,1454.07485032224
41,2020-03-03,0,0,68.80855105337216,727.1525284032863,True,42,47.39755558158524,1454.07485032224
42,2020-03-04,0,0,68.80855105337216,727.1525284032863,True,43,53.55237362428325,1454.07485032224
43,2020-03-05,2,2,68.80855105337216,727.1525284032863,True,44,60.47207373092182,1454.07485032224
44,2020-03-06,7,7,68.80855105337216,727.1525284032863,True,45,68.24233382523347,1454.07485032224
45,2020-03-07,7,7,68.80855105337216,727.1525284032863,True,46,76.95589591810584,1454.07485032224
46,2020-03-08,16,16,68.80855105337216,727.1525284032863,True,47,86.71244994086652,1454.07485032224
47,2020-03-09,16,16,68.80855105337216,727.1525284032863,True,48,97.61828332740912,1454.07485032224
48,2020-03-10,31,31,68.80855105337216,727.1525284032863,True,49,109.7856348936325,1454.07485032224
49,2020-03-11,57,57,68.80855105337216,727.1525284032863,True,50,123.33168554154206,1454.07485032224
50,2020-03-12,89,89,68.80855105337216,727.1525284032863,True,51,138.3771149117209,1454.07485032224
51,2020-03-13,141,141,68.80855105337216,727.1525284032863,True,52,155.044153931393,1454.07485032224
52,2020-03-14,181,180,68.80855105337216,727.1525284032863,True,53,173.45407019959865,1454.07485032224
53,2020-03-15,219,218,68.80855105337216,727.1525284032863,True,54,193.72403848631083,1454.07485032224
54,2020-03-16,253,252,68.80855105337216,727.1525284032863,True,55,215.96337447415422,1454.07485032224
55,2020-03-17,275,274,68.80855105337216,727.1525284032863,True,56,240.26914805594066,1454.07485032224
56,2020-03-18,275,274,68.80855105337216,727.1525284032863,True,57,266.7212439554728,1454.07485032224
