,Report_Date,China_inner mongolia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,529.4627663918332,1302582.2155201775,False,1,26.624058105775035,2605164.4310403545
1,2020-01-23,0,529.4627663918332,1302582.2155201775,False,2,27.209320078716846,2605164.4310403545
2,2020-01-24,1,529.4627663918332,1302582.2155201775,False,3,27.80744740521979,2605164.4310403545
3,2020-01-25,7,529.4627663918332,1302582.2155201775,False,4,28.418722888126844,2605164.4310403545
4,2020-01-26,7,529.4627663918332,1302582.2155201775,False,5,29.043435546507986,2605164.4310403545
5,2020-01-27,11,529.4627663918332,1302582.2155201775,False,6,29.68188075228557,2605164.4310403545
6,2020-01-28,15,529.4627663918332,1302582.2155201775,False,7,30.334360369862146,2605164.4310403545
7,2020-01-29,16,529.4627663918332,1302582.2155201775,False,8,31.00118289881654,2605164.4310403545
8,2020-01-30,19,529.4627663918332,1302582.2155201775,False,9,31.68266361973561,2605164.4310403545
9,2020-01-31,20,529.4627663918332,1302582.2155201775,False,10,32.379124743250536,2605164.4310403545
10,2020-02-01,23,529.4627663918332,1302582.2155201775,False,11,33.09089556234815,2605164.4310403545
11,2020-02-02,27,529.4627663918332,1302582.2155201775,False,12,33.81831260802907,2605164.4310403545
12,2020-02-03,34,529.4627663918332,1302582.2155201775,False,13,34.56171980838628,2605164.4310403545
13,2020-02-04,35,529.4627663918332,1302582.2155201775,False,14,35.32146865117925,2605164.4310403545
14,2020-02-05,42,529.4627663918332,1302582.2155201775,False,15,36.09791834998038,2605164.4310403545
15,2020-02-06,46,529.4627663918332,1302582.2155201775,False,16,36.891436013972154,2605164.4310403545
16,2020-02-07,50,529.4627663918332,1302582.2155201775,False,17,37.70239682147534,2605164.4310403545
17,2020-02-08,52,529.4627663918332,1302582.2155201775,False,18,38.531184197290024,2605164.4310403545
18,2020-02-09,54,529.4627663918332,1302582.2155201775,False,19,39.37818999393335,2605164.4310403545
19,2020-02-10,58,529.4627663918332,1302582.2155201775,False,20,40.2438146768594,2605164.4310403545
20,2020-02-11,58,529.4627663918332,1302582.2155201775,False,21,41.12846751374886,2605164.4310403545
21,2020-02-12,60,529.4627663918332,1302582.2155201775,False,22,42.03256676795765,2605164.4310403545
22,2020-02-13,61,529.4627663918332,1302582.2155201775,False,23,42.95653989621599,2605164.4310403545
23,2020-02-14,65,529.4627663918332,1302582.2155201775,False,24,43.900823750671215,2605164.4310403545
24,2020-02-15,68,529.4627663918332,1302582.2155201775,False,25,44.86586478536968,2605164.4310403545
25,2020-02-16,70,529.4627663918332,1302582.2155201775,False,26,45.852119267275256,2605164.4310403545
