,Report_Date,Hungary_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,82.46877615097999,1379.7666823966613,True,1,0.051079195887378734,2324.619297991821
1,2020-01-23,0,82.46877615097999,1379.7666823966613,True,2,0.058389353494932496,2324.619297991821
2,2020-01-24,0,82.46877615097999,1379.7666823966613,True,3,0.06674567306263596,2324.619297991821
3,2020-01-25,0,82.46877615097999,1379.7666823966613,True,4,0.07629786382658918,2324.619297991821
4,2020-01-26,0,82.46877615097999,1379.7666823966613,True,5,0.08721705652925485,2324.619297991821
5,2020-01-27,0,82.46877615097999,1379.7666823966613,True,6,0.09969886783716927,2324.619297991821
6,2020-01-28,0,82.46877615097999,1379.7666823966613,True,7,0.11396690290986942,2324.619297991821
7,2020-01-29,0,82.46877615097999,1379.7666823966613,True,8,0.13027675869831723,2324.619297991821
8,2020-01-30,0,82.46877615097999,1379.7666823966613,True,9,0.14892059946767564,2324.619297991821
9,2020-01-31,0,82.46877615097999,1379.7666823966613,True,10,0.1702323862198816,2324.619297991821
10,2020-02-01,0,82.46877615097999,1379.7666823966613,True,11,0.19459385331327386,2324.619297991821
11,2020-02-02,0,82.46877615097999,1379.7666823966613,True,12,0.22244133884098422,2324.619297991821
12,2020-02-03,0,82.46877615097999,1379.7666823966613,True,13,0.2542735904656638,2324.619297991821
13,2020-02-04,0,82.46877615097999,1379.7666823966613,True,14,0.29066068567496606,2324.619297991821
14,2020-02-05,0,82.46877615097999,1379.7666823966613,True,15,0.33225422511423863,2324.619297991821
15,2020-02-06,0,82.46877615097999,1379.7666823966613,True,16,0.3797989801031031,2324.619297991821
16,2020-02-07,0,82.46877615097999,1379.7666823966613,True,17,0.43414620102737894,2324.619297991821
17,2020-02-08,0,82.46877615097999,1379.7666823966613,True,18,0.4962688224417591,2324.619297991821
18,2020-02-09,0,82.46877615097999,1379.7666823966613,True,19,0.5672788338998039,2324.619297991821
19,2020-02-10,0,82.46877615097999,1379.7666823966613,True,20,0.6484471232831175,2324.619297991821
20,2020-02-11,0,82.46877615097999,1379.7666823966613,True,21,0.7412261423322901,2324.619297991821
21,2020-02-12,0,82.46877615097999,1379.7666823966613,True,22,0.8472757928594027,2324.619297991821
22,2020-02-13,0,82.46877615097999,1379.7666823966613,True,23,0.9684929874915791,2324.619297991821
23,2020-02-14,0,82.46877615097999,1379.7666823966613,True,24,1.1070454015822937,2324.619297991821
24,2020-02-15,0,82.46877615097999,1379.7666823966613,True,25,1.26541000403921,2324.619297991821
25,2020-02-16,0,82.46877615097999,1379.7666823966613,True,26,1.4464170352444596,2324.619297991821
26,2020-02-17,0,82.46877615097999,1379.7666823966613,True,27,1.6533001910566794,2324.619297991821
27,2020-02-18,0,82.46877615097999,1379.7666823966613,True,28,1.8897538742291062,2324.619297991821
28,2020-02-19,0,82.46877615097999,1379.7666823966613,True,29,2.1599984896608904,2324.619297991821
29,2020-02-20,0,82.46877615097999,1379.7666823966613,True,30,2.468854888965221,2324.619297991821
30,2020-02-21,0,82.46877615097999,1379.7666823966613,True,31,2.821829214138421,2324.619297991821
31,2020-02-22,0,82.46877615097999,1379.7666823966613,True,32,3.225209550854443,2324.619297991821
32,2020-02-23,0,82.46877615097999,1379.7666823966613,True,33,3.686175980177034,2324.619297991821
33,2020-02-24,0,82.46877615097999,1379.7666823966613,True,34,4.212925814146085,2324.619297991821
34,2020-02-25,0,82.46877615097999,1379.7666823966613,True,35,4.8148160162653655,2324.619297991821
35,2020-02-26,0,82.46877615097999,1379.7666823966613,True,36,5.502525042357093,2324.619297991821
36,2020-02-27,0,82.46877615097999,1379.7666823966613,True,37,6.288236589711587,2324.619297991821
37,2020-02-28,0,82.46877615097999,1379.7666823966613,True,38,7.18584801096215,2324.619297991821
38,2020-02-29,0,82.46877615097999,1379.7666823966613,True,39,8.211206430081168,2324.619297991821
39,2020-03-01,0,82.46877615097999,1379.7666823966613,True,40,9.382375885578229,2324.619297991821
40,2020-03-02,0,82.46877615097999,1379.7666823966613,True,41,10.719939111716815,2324.619297991821
41,2020-03-03,0,82.46877615097999,1379.7666823966613,True,42,12.247337839800451,2324.619297991821
42,2020-03-04,2,82.46877615097999,1379.7666823966613,True,43,13.99125574065308,2324.619297991821
43,2020-03-05,2,82.46877615097999,1379.7666823966613,True,44,15.98204831203707,2324.619297991821
44,2020-03-06,2,82.46877615097999,1379.7666823966613,True,45,18.25422410808684,2324.619297991821
45,2020-03-07,4,82.46877615097999,1379.7666823966613,True,46,20.84698166820821,2324.619297991821
46,2020-03-08,7,82.46877615097999,1379.7666823966613,True,47,23.804806273000555,2324.619297991821
47,2020-03-09,9,82.46877615097999,1379.7666823966613,True,48,27.178130160413538,2324.619297991821
48,2020-03-10,9,82.46877615097999,1379.7666823966613,True,49,31.02405898178094,2324.619297991821
49,2020-03-11,13,82.46877615097999,1379.7666823966613,True,50,35.40716594517692,2324.619297991821
50,2020-03-12,13,82.46877615097999,1379.7666823966613,True,51,40.40035313453674,2324.619297991821
51,2020-03-13,19,82.46877615097999,1379.7666823966613,True,52,46.08577672642426,2324.619297991821
52,2020-03-14,30,82.46877615097999,1379.7666823966613,True,53,52.55582903615312,2324.619297991821
53,2020-03-15,32,82.46877615097999,1379.7666823966613,True,54,59.91416525931286,2324.619297991821
54,2020-03-16,39,82.46877615097999,1379.7666823966613,True,55,68.27675614935097,2324.619297991821
55,2020-03-17,50,82.46877615097999,1379.7666823966613,True,56,77.77293937986761,2324.619297991821
56,2020-03-18,58,82.46877615097999,1379.7666823966613,True,57,88.54643167174798,2324.619297991821
57,2020-03-19,73,82.46877615097999,1379.7666823966613,True,58,100.75625064075939,2324.619297991821
58,2020-03-20,85,82.46877615097999,1379.7666823966613,True,59,114.57747954484485,2324.619297991821
59,2020-03-21,103,82.46877615097999,1379.7666823966613,True,60,130.2017896480887,2324.619297991821
60,2020-03-22,131,82.46877615097999,1379.7666823966613,True,61,147.83761400806685,2324.619297991821
61,2020-03-23,167,82.46877615097999,1379.7666823966613,True,62,167.70984379018657,2324.619297991821
62,2020-03-24,187,82.46877615097999,1379.7666823966613,True,63,190.05889497032138,2324.619297991821
63,2020-03-25,226,82.46877615097999,1379.7666823966613,True,64,215.13897156588118,2324.619297991821
64,2020-03-26,261,82.46877615097999,1379.7666823966613,True,65,243.21533441542235,2324.619297991821
65,2020-03-27,300,82.46877615097999,1379.7666823966613,True,66,274.56037628155707,2324.619297991821
66,2020-03-28,343,82.46877615097999,1379.7666823966613,True,67,309.44831021292975,2324.619297991821
67,2020-03-29,408,82.46877615097999,1379.7666823966613,True,68,348.14830531053843,2324.619297991821
68,2020-03-30,447,82.46877615097999,1379.7666823966613,True,69,390.9159595661885,2324.619297991821
69,2020-03-31,492,82.46877615097999,1379.7666823966613,True,70,437.98309019732886,2324.619297991821
70,2020-04-01,525,82.46877615097999,1379.7666823966613,True,71,489.54595292192306,2324.619297991821
71,2020-04-02,585,82.46877615097999,1379.7666823966613,True,72,545.7521739020726,2324.619297991821
72,2020-04-03,623,82.46877615097999,1379.7666823966613,True,73,606.6868860745533,2324.619297991821
73,2020-04-04,678,82.46877615097999,1379.7666823966613,True,74,672.3587906764392,2324.619297991821
74,2020-04-05,733,82.46877615097999,1379.7666823966613,True,75,742.6870896797046,2324.619297991821
75,2020-04-06,744,82.46877615097999,1379.7666823966613,True,76,817.4904198420068,2324.619297991821
76,2020-04-07,817,82.46877615097999,1379.7666823966613,True,77,896.479021157849,2324.619297991821
77,2020-04-08,895,82.46877615097999,1379.7666823966613,True,78,979.251348107477,2324.619297991821
78,2020-04-09,980,82.46877615097999,1379.7666823966613,True,79,1065.296147138322,2324.619297991821
79,2020-04-10,1190,82.46877615097999,1379.7666823966613,True,80,1154.0006651114513,2324.619297991821
80,2020-04-11,1310,82.46877615097999,1379.7666823966613,True,81,1244.6651387047568,2324.619297991821
81,2020-04-12,1410,82.46877615097999,1379.7666823966613,True,82,1336.5230970021228,2324.619297991821
82,2020-04-13,1458,82.46877615097999,1379.7666823966613,True,83,1428.7663727640381,2324.619297991821
83,2020-04-14,1512,82.46877615097999,1379.7666823966613,True,84,1520.5731632348848,2324.619297991821
84,2020-04-15,1579,82.46877615097999,1379.7666823966613,True,85,1611.1371055081709,2324.619297991821
