,Report_Date,Bahrain_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,128.28999221168382,10273.584017600248,False,1,8.820230909068332,20547.168035200484
1,2020-01-23,0,0,128.28999221168382,10273.584017600248,False,2,9.373900318630717,20547.168035200484
2,2020-01-24,0,0,128.28999221168382,10273.584017600248,False,3,9.96230817478607,20547.168035200484
3,2020-01-25,0,0,128.28999221168382,10273.584017600248,False,4,10.58763186195362,20547.168035200484
4,2020-01-26,0,0,128.28999221168382,10273.584017600248,False,5,11.252184959068446,20547.168035200484
5,2020-01-27,0,0,128.28999221168382,10273.584017600248,False,6,11.958425721900452,20547.168035200484
6,2020-01-28,0,0,128.28999221168382,10273.584017600248,False,7,12.708966088917931,20547.168035200484
7,2020-01-29,0,0,128.28999221168382,10273.584017600248,False,8,13.506581242393981,20547.168035200484
8,2020-01-30,0,0,128.28999221168382,10273.584017600248,False,9,14.354219758292762,20547.168035200484
9,2020-01-31,0,0,128.28999221168382,10273.584017600248,False,10,15.255014380407223,20547.168035200484
10,2020-02-01,0,0,128.28999221168382,10273.584017600248,False,11,16.212293456254237,20547.168035200484
11,2020-02-02,0,0,128.28999221168382,10273.584017600248,False,12,17.229593074370268,20547.168035200484
12,2020-02-03,0,0,128.28999221168382,10273.584017600248,False,13,18.310669944894236,20547.168035200484
13,2020-02-04,0,0,128.28999221168382,10273.584017600248,False,14,19.45951506767725,20547.168035200484
14,2020-02-05,0,0,128.28999221168382,10273.584017600248,False,15,20.68036823462408,20547.168035200484
15,2020-02-06,0,0,128.28999221168382,10273.584017600248,False,16,21.9777334155516,20547.168035200484
16,2020-02-07,0,0,128.28999221168382,10273.584017600248,False,17,23.35639507954634,20547.168035200484
17,2020-02-08,0,0,128.28999221168382,10273.584017600248,False,18,24.821435506619583,20547.168035200484
18,2020-02-09,0,0,128.28999221168382,10273.584017600248,False,19,26.37825314739387,20547.168035200484
19,2020-02-10,0,0,128.28999221168382,10273.584017600248,False,20,28.032582091610607,20547.168035200484
20,2020-02-11,0,0,128.28999221168382,10273.584017600248,False,21,29.790512709424057,20547.168035200484
21,2020-02-12,0,0,128.28999221168382,10273.584017600248,False,22,31.658513532740145,20547.168035200484
22,2020-02-13,0,0,128.28999221168382,10273.584017600248,False,23,33.6434544472673,20547.168035200484
23,2020-02-14,0,0,128.28999221168382,10273.584017600248,False,24,35.75263126946624,20547.168035200484
24,2020-02-15,0,0,128.28999221168382,10273.584017600248,False,25,37.993791786210366,20547.168035200484
25,2020-02-16,0,0,128.28999221168382,10273.584017600248,False,26,40.37516333869097,20547.168035200484
26,2020-02-17,0,0,128.28999221168382,10273.584017600248,False,27,42.905482035910595,20547.168035200484
27,2020-02-18,0,0,128.28999221168382,10273.584017600248,False,28,45.59402368699294,20547.168035200484
28,2020-02-19,0,0,128.28999221168382,10273.584017600248,False,29,48.450636545480954,20547.168035200484
29,2020-02-20,0,0,128.28999221168382,10273.584017600248,False,30,51.48577596277863,20547.168035200484
30,2020-02-21,0,0,128.28999221168382,10273.584017600248,False,31,54.71054105189369,20547.168035200484
31,2020-02-22,0,0,128.28999221168382,10273.584017600248,False,32,58.13671346662975,20547.168035200484
32,2020-02-23,0,0,128.28999221168382,10273.584017600248,False,33,61.77679840532606,20547.168035200484
