,Report_Date,"Netherlands_bonaire, sint eustatius and saba_cases",fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,85.8837808824302,1.714138277227007,False,1,0.0009728307946433194,0.0027259083296934266
1,2020-01-23,0,85.8837808824302,1.714138277227007,False,2,0.0010710516412725233,0.0027259083296934266
2,2020-01-24,0,85.8837808824302,1.714138277227007,False,3,0.0011791858413217045,0.0027259083296934266
3,2020-01-25,0,85.8837808824302,1.714138277227007,False,4,0.0012982332181337628,0.0027259083296934266
4,2020-01-26,0,85.8837808824302,1.714138277227007,False,5,0.0014292942799685297,0.0027259083296934266
5,2020-01-27,0,85.8837808824302,1.714138277227007,False,6,0.0015735803266918563,0.0027259083296934266
6,2020-01-28,0,85.8837808824302,1.714138277227007,False,7,0.0017324245640595623,0.0027259083296934266
7,2020-01-29,0,85.8837808824302,1.714138277227007,False,8,0.0019072943245809538,0.0027259083296934266
8,2020-01-30,0,85.8837808824302,1.714138277227007,False,9,0.002099804503357327,0.0027259083296934266
9,2020-01-31,0,85.8837808824302,1.714138277227007,False,10,0.002311732327528641,0.0027259083296934266
10,2020-02-01,0,85.8837808824302,1.714138277227007,False,11,0.0025450335890840905,0.0027259083296934266
11,2020-02-02,0,85.8837808824302,1.714138277227007,False,12,0.0028018604828578004,0.0027259083296934266
12,2020-02-03,0,85.8837808824302,1.714138277227007,False,13,0.0030845812045968367,0.0027259083296934266
13,2020-02-04,0,85.8837808824302,1.714138277227007,False,14,0.0033958014781108425,0.0027259083296934266
14,2020-02-05,0,85.8837808824302,1.714138277227007,False,15,0.003738388195742652,0.0027259083296934266
15,2020-02-06,0,85.8837808824302,1.714138277227007,False,16,0.004115495372783041,0.0027259083296934266
16,2020-02-07,0,85.8837808824302,1.714138277227007,False,17,0.0045305926340272725,0.0027259083296934266
17,2020-02-08,0,85.8837808824302,1.714138277227007,False,18,0.004987496469460619,0.0027259083296934266
18,2020-02-09,0,85.8837808824302,1.714138277227007,False,19,0.005490404516071933,0.0027259083296934266
19,2020-02-10,0,85.8837808824302,1.714138277227007,False,20,0.0060439331440134605,0.0027259083296934266
20,2020-02-11,0,85.8837808824302,1.714138277227007,False,21,0.006653158647706487,0.0027259083296934266
21,2020-02-12,0,85.8837808824302,1.714138277227007,False,22,0.007323662365953832,0.0027259083296934266
22,2020-02-13,0,85.8837808824302,1.714138277227007,False,23,0.008061580079530641,0.0027259083296934266
23,2020-02-14,0,85.8837808824302,1.714138277227007,False,24,0.0088736560598934,0.0027259083296934266
24,2020-02-15,0,85.8837808824302,1.714138277227007,False,25,0.009767302168306662,0.0027259083296934266
25,2020-02-16,0,85.8837808824302,1.714138277227007,False,26,0.010750662430477478,0.0027259083296934266
26,2020-02-17,0,85.8837808824302,1.714138277227007,False,27,0.011832683537233244,0.0027259083296934266
27,2020-02-18,0,85.8837808824302,1.714138277227007,False,28,0.01302319174626353,0.0027259083296934266
28,2020-02-19,0,85.8837808824302,1.714138277227007,False,29,0.014332976682682547,0.0027259083296934266
29,2020-02-20,0,85.8837808824302,1.714138277227007,False,30,0.01577388255616201,0.0027259083296934266
30,2020-02-21,0,85.8837808824302,1.714138277227007,False,31,0.01735890732839016,0.0027259083296934266
31,2020-02-22,0,85.8837808824302,1.714138277227007,False,32,0.019102310375090838,0.0027259083296934266
32,2020-02-23,0,85.8837808824302,1.714138277227007,False,33,0.021019729189891024,0.0027259083296934266
33,2020-02-24,0,85.8837808824302,1.714138277227007,False,34,0.023128305670643938,0.0027259083296934266
34,2020-02-25,0,85.8837808824302,1.714138277227007,False,35,0.025446822509593306,0.0027259083296934266
35,2020-02-26,0,85.8837808824302,1.714138277227007,False,36,0.0279958501736284,0.0027259083296934266
36,2020-02-27,0,85.8837808824302,1.714138277227007,False,37,0.030797904905794198,0.0027259083296934266
37,2020-02-28,0,85.8837808824302,1.714138277227007,False,38,0.033877618099394824,0.0027259083296934266
38,2020-02-29,0,85.8837808824302,1.714138277227007,False,39,0.03726191728581694,0.0027259083296934266
39,2020-03-01,0,85.8837808824302,1.714138277227007,False,40,0.04098021882999749,0.0027259083296934266
40,2020-03-02,0,85.8837808824302,1.714138277227007,False,41,0.04506463223561429,0.0027259083296934266
41,2020-03-03,0,85.8837808824302,1.714138277227007,False,42,0.049550175716791586,0.0027259083296934266
42,2020-03-04,0,85.8837808824302,1.714138277227007,False,43,0.05447500238440228,0.0027259083296934266
43,2020-03-05,0,85.8837808824302,1.714138277227007,False,44,0.059880636011704,0.0027259083296934266
44,2020-03-06,0,85.8837808824302,1.714138277227007,False,45,0.0658122148736888,0.0027259083296934266
45,2020-03-07,0,85.8837808824302,1.714138277227007,False,46,0.07231874158372764,0.0027259083296934266
46,2020-03-08,0,85.8837808824302,1.714138277227007,False,47,0.07945333616561615,0.0027259083296934266
47,2020-03-09,0,85.8837808824302,1.714138277227007,False,48,0.08727348878437066,0.0027259083296934266
48,2020-03-10,0,85.8837808824302,1.714138277227007,False,49,0.0958413076007063,0.0027259083296934266
49,2020-03-11,0,85.8837808824302,1.714138277227007,False,50,0.1052237560988423,0.0027259083296934266
50,2020-03-12,0,85.8837808824302,1.714138277227007,False,51,0.11549287295432943,0.0027259083296934266
51,2020-03-13,0,85.8837808824302,1.714138277227007,False,52,0.12672596605127723,0.0027259083296934266
52,2020-03-14,0,85.8837808824302,1.714138277227007,False,53,0.1390057706262911,0.0027259083296934266
53,2020-03-15,0,85.8837808824302,1.714138277227007,False,54,0.1524205597182761,0.0027259083296934266
54,2020-03-16,0,85.8837808824302,1.714138277227007,False,55,0.1670641931601818,0.0027259083296934266
55,2020-03-17,0,85.8837808824302,1.714138277227007,False,56,0.18303608929845086,0.0027259083296934266
56,2020-03-18,0,85.8837808824302,1.714138277227007,False,57,0.20044110152727404,0.0027259083296934266
57,2020-03-19,0,85.8837808824302,1.714138277227007,False,58,0.2193892796629992,0.0027259083296934266
58,2020-03-20,0,85.8837808824302,1.714138277227007,False,59,0.23999549427609268,0.0027259083296934266
59,2020-03-21,0,85.8837808824302,1.714138277227007,False,60,0.2623789004975485,0.0027259083296934266
60,2020-03-22,0,85.8837808824302,1.714138277227007,False,61,0.2866622167181158,0.0027259083296934266
61,2020-03-23,0,85.8837808824302,1.714138277227007,False,62,0.3129707932397363,0.0027259083296934266
62,2020-03-24,0,85.8837808824302,1.714138277227007,False,63,0.3414314465988979,0.0027259083296934266
63,2020-03-25,0,85.8837808824302,1.714138277227007,False,64,0.372171037277452,0.0027259083296934266
64,2020-03-26,0,85.8837808824302,1.714138277227007,False,65,0.40531477218837425,0.0027259083296934266
65,2020-03-27,0,85.8837808824302,1.714138277227007,False,66,0.4409842190166094,0.0027259083296934266
66,2020-03-28,0,85.8837808824302,1.714138277227007,False,67,0.4792950275267295,0.0027259083296934266
67,2020-03-29,0,85.8837808824302,1.714138277227007,False,68,0.5203543635704264,0.0027259083296934266
68,2020-03-30,0,85.8837808824302,1.714138277227007,False,69,0.564258074869134,0.0027259083296934266
69,2020-03-31,0,85.8837808824302,1.714138277227007,False,70,0.6110876236613831,0.0027259083296934266
70,2020-04-01,0,85.8837808824302,1.714138277227007,False,71,0.6609068396966883,0.0027259083296934266
71,2020-04-02,2,85.8837808824302,1.714138277227007,False,72,0.713758567226102,0.0027259083296934266
72,2020-04-03,2,85.8837808824302,1.714138277227007,False,73,0.7696613006263666,0.0027259083296934266
73,2020-04-04,2,85.8837808824302,1.714138277227007,False,74,0.8286059237641499,0.0027259083296934266
