,Report_Date,Nepal_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,139.5471842213262,804.7159116806928,False,1,0.01747825635957835,1609.4318233613863
1,2020-01-23,0,139.5471842213262,804.7159116806928,False,2,0.018981383935317044,1609.4318233613863
2,2020-01-24,0,139.5471842213262,804.7159116806928,False,3,0.020613778614341337,1609.4318233613863
3,2020-01-25,1,139.5471842213262,804.7159116806928,False,4,0.022386556909842703,1609.4318233613863
4,2020-01-26,1,139.5471842213262,804.7159116806928,False,5,0.024311791262502384,1609.4318233613863
5,2020-01-27,1,139.5471842213262,804.7159116806928,False,6,0.026402592232729765,1609.4318233613863
6,2020-01-28,1,139.5471842213262,804.7159116806928,False,7,0.028673197758211526,1609.4318233613863
7,2020-01-29,1,139.5471842213262,804.7159116806928,False,8,0.03113907008380353,1609.4318233613863
8,2020-01-30,1,139.5471842213262,804.7159116806928,False,9,0.03381700102289711,1609.4318233613863
9,2020-01-31,1,139.5471842213262,804.7159116806928,False,10,0.03672522626595184,1609.4318233613863
10,2020-02-01,1,139.5471842213262,804.7159116806928,False,11,0.039883549513290206,1609.4318233613863
11,2020-02-02,1,139.5471842213262,804.7159116806928,False,12,0.043313477275906086,1609.4318233613863
12,2020-02-03,1,139.5471842213262,804.7159116806928,False,13,0.04703836526039787,1609.4318233613863
13,2020-02-04,1,139.5471842213262,804.7159116806928,False,14,0.05108357733268124,1609.4318233613863
14,2020-02-05,1,139.5471842213262,804.7159116806928,False,15,0.055476658140393244,1609.4318233613863
15,2020-02-06,1,139.5471842213262,804.7159116806928,False,16,0.06024752056643558,1609.4318233613863
16,2020-02-07,1,139.5471842213262,804.7159116806928,False,17,0.0654286492865412,1609.4318233613863
17,2020-02-08,1,139.5471842213262,804.7159116806928,False,18,0.07105532181274893,1609.4318233613863
18,2020-02-09,1,139.5471842213262,804.7159116806928,False,19,0.07716584852296308,1609.4318233613863
19,2020-02-10,1,139.5471842213262,804.7159116806928,False,20,0.08380183330514161,1609.4318233613863
20,2020-02-11,1,139.5471842213262,804.7159116806928,False,21,0.0910084565839448,1609.4318233613863
21,2020-02-12,1,139.5471842213262,804.7159116806928,False,22,0.0988347826488083,1609.4318233613863
22,2020-02-13,1,139.5471842213262,804.7159116806928,False,23,0.10733409336637012,1609.4318233613863
23,2020-02-14,1,139.5471842213262,804.7159116806928,False,24,0.11656425053805679,1609.4318233613863
24,2020-02-15,1,139.5471842213262,804.7159116806928,False,25,0.12658808935658333,1609.4318233613863
25,2020-02-16,1,139.5471842213262,804.7159116806928,False,26,0.1374738456243977,1609.4318233613863
26,2020-02-17,1,139.5471842213262,804.7159116806928,False,27,0.1492956196240607,1609.4318233613863
27,2020-02-18,1,139.5471842213262,804.7159116806928,False,28,0.16213387977666396,1609.4318233613863
28,2020-02-19,1,139.5471842213262,804.7159116806928,False,29,0.17607600949122879,1609.4318233613863
29,2020-02-20,1,139.5471842213262,804.7159116806928,False,30,0.19121690089730295,1609.4318233613863
30,2020-02-21,1,139.5471842213262,804.7159116806928,False,31,0.20765959946652335,1609.4318233613863
31,2020-02-22,1,139.5471842213262,804.7159116806928,False,32,0.22551600386870976,1609.4318233613863
32,2020-02-23,1,139.5471842213262,804.7159116806928,False,33,0.2449076257762376,1609.4318233613863
33,2020-02-24,1,139.5471842213262,804.7159116806928,False,34,0.2659664147292901,1609.4318233613863
34,2020-02-25,1,139.5471842213262,804.7159116806928,False,35,0.2888356536065777,1609.4318233613863
35,2020-02-26,1,139.5471842213262,804.7159116806928,False,36,0.31367093071386926,1609.4318233613863
36,2020-02-27,1,139.5471842213262,804.7159116806928,False,37,0.34064119500904344,1609.4318233613863
37,2020-02-28,1,139.5471842213262,804.7159116806928,False,38,0.36992990153036165,1609.4318233613863
38,2020-02-29,1,139.5471842213262,804.7159116806928,False,39,0.40173625468753077,1609.4318233613863
39,2020-03-01,1,139.5471842213262,804.7159116806928,False,40,0.4362765577163168,1609.4318233613863
40,2020-03-02,1,139.5471842213262,804.7159116806928,False,41,0.4737856772906751,1609.4318233613863
41,2020-03-03,1,139.5471842213262,804.7159116806928,False,42,0.5145186330354866,1609.4318233613863
42,2020-03-04,1,139.5471842213262,804.7159116806928,False,43,0.5587523224921911,1609.4318233613863
43,2020-03-05,1,139.5471842213262,804.7159116806928,False,44,0.6067873929632753,1609.4318233613863
44,2020-03-06,1,139.5471842213262,804.7159116806928,False,45,0.6589502726043397,1609.4318233613863
45,2020-03-07,1,139.5471842213262,804.7159116806928,False,46,0.7155953741491908,1609.4318233613863
46,2020-03-08,1,139.5471842213262,804.7159116806928,False,47,0.7771074857492103,1609.4318233613863
47,2020-03-09,1,139.5471842213262,804.7159116806928,False,48,0.8439043645884049,1609.4318233613863
48,2020-03-10,1,139.5471842213262,804.7159116806928,False,49,0.9164395502055966,1609.4318233613863
49,2020-03-11,1,139.5471842213262,804.7159116806928,False,50,0.9952054158208015,1609.4318233613863
50,2020-03-12,1,139.5471842213262,804.7159116806928,False,51,1.0807364774297865,1609.4318233613863
51,2020-03-13,1,139.5471842213262,804.7159116806928,False,52,1.1736129820049415,1609.4318233613863
52,2020-03-14,1,139.5471842213262,804.7159116806928,False,53,1.2744647978278376,1609.4318233613863
53,2020-03-15,1,139.5471842213262,804.7159116806928,False,54,1.3839756317849499,1609.4318233613863
54,2020-03-16,1,139.5471842213262,804.7159116806928,False,55,1.5028876003886016,1609.4318233613863
55,2020-03-17,1,139.5471842213262,804.7159116806928,False,56,1.6320061833455202,1609.4318233613863
56,2020-03-18,1,139.5471842213262,804.7159116806928,False,57,1.7722055906902692,1609.4318233613863
57,2020-03-19,1,139.5471842213262,804.7159116806928,False,58,1.9244345768342859,1609.4318233613863
58,2020-03-20,1,139.5471842213262,804.7159116806928,False,59,2.089722737356581,1609.4318233613863
59,2020-03-21,1,139.5471842213262,804.7159116806928,False,60,2.269187326981059,1609.4318233613863
60,2020-03-22,1,139.5471842213262,804.7159116806928,False,61,2.4640406399484,1609.4318233613863
61,2020-03-23,2,139.5471842213262,804.7159116806928,False,62,2.675597996895651,1609.4318233613863
62,2020-03-24,2,139.5471842213262,804.7159116806928,False,63,2.905286385399885,1609.4318233613863
63,2020-03-25,3,139.5471842213262,804.7159116806928,False,64,3.154653804515983,1609.4318233613863
64,2020-03-26,3,139.5471842213262,804.7159116806928,False,65,3.4253793669315713,1609.4318233613863
65,2020-03-27,4,139.5471842213262,804.7159116806928,False,66,3.7192842157581025,1609.4318233613863
66,2020-03-28,5,139.5471842213262,804.7159116806928,False,67,4.038343316454301,1609.4318233613863
67,2020-03-29,5,139.5471842213262,804.7159116806928,False,68,4.384698187907767,1609.4318233613863
68,2020-03-30,5,139.5471842213262,804.7159116806928,False,69,4.760670640245218,1609.4318233613863
69,2020-03-31,5,139.5471842213262,804.7159116806928,False,70,5.168777590454563,1609.4318233613863
70,2020-04-01,5,139.5471842213262,804.7159116806928,False,71,5.611747030323532,1609.4318233613863
71,2020-04-02,6,139.5471842213262,804.7159116806928,False,72,6.092535224456957,1609.4318233613863
72,2020-04-03,6,139.5471842213262,804.7159116806928,False,73,6.614345219138227,1609.4318233613863
73,2020-04-04,9,139.5471842213262,804.7159116806928,False,74,7.180646745440907,1609.4318233613863
74,2020-04-05,9,139.5471842213262,804.7159116806928,False,75,7.795197602141838,1609.4318233613863
75,2020-04-06,9,139.5471842213262,804.7159116806928,False,76,8.46206660547945,1609.4318233613863
76,2020-04-07,9,139.5471842213262,804.7159116806928,False,77,9.185658193450696,1609.4318233613863
77,2020-04-08,9,139.5471842213262,804.7159116806928,False,78,9.970738771923065,1609.4318233613863
