,Report_Date,Cameroon_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,148.2397148848279,10321.861161124032,False,1,12.047790649271805,20643.722322248064
1,2020-01-23,0,0,148.2397148848279,10321.861161124032,False,2,12.672313718173047,20643.722322248064
2,2020-01-24,0,0,148.2397148848279,10321.861161124032,False,3,13.329189364807814,20643.722322248064
3,2020-01-25,0,0,148.2397148848279,10321.861161124032,False,4,14.020091346586772,20643.722322248064
4,2020-01-26,0,0,148.2397148848279,10321.861161124032,False,5,14.746779776043018,20643.722322248064
5,2020-01-27,0,0,148.2397148848279,10321.861161124032,False,6,15.511105551039316,20643.722322248064
6,2020-01-28,0,0,148.2397148848279,10321.861161124032,False,7,16.315015009575394,20643.722322248064
7,2020-01-29,0,0,148.2397148848279,10321.861161124032,False,8,17.160554820295804,20643.722322248064
8,2020-01-30,0,0,148.2397148848279,10321.861161124032,False,9,18.049877120316605,20643.722322248064
9,2020-01-31,0,0,148.2397148848279,10321.861161124032,False,10,18.98524491252779,20643.722322248064
10,2020-02-01,0,0,148.2397148848279,10321.861161124032,False,11,19.969037735088055,20643.722322248064
11,2020-02-02,0,0,148.2397148848279,10321.861161124032,False,12,21.003757616410084,20643.722322248064
12,2020-02-03,0,0,148.2397148848279,10321.861161124032,False,13,22.092035329537755,20643.722322248064
13,2020-02-04,0,0,148.2397148848279,10321.861161124032,False,14,23.236636960442407,20643.722322248064
14,2020-02-05,0,0,148.2397148848279,10321.861161124032,False,15,24.440470805413415,20643.722322248064
15,2020-02-06,0,0,148.2397148848279,10321.861161124032,False,16,25.706594613388944,20643.722322248064
16,2020-02-07,0,0,148.2397148848279,10321.861161124032,False,17,27.038223189766168,20643.722322248064
17,2020-02-08,0,0,148.2397148848279,10321.861161124032,False,18,28.438736378946224,20643.722322248064
18,2020-02-09,0,0,148.2397148848279,10321.861161124032,False,19,29.911687443607146,20643.722322248064
19,2020-02-10,0,0,148.2397148848279,10321.861161124032,False,20,31.46081185945863,20643.722322248064
