,Report_Date,Peru_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,84.54110327780332,4665.949550532281,False,1,0.106933210313248,9331.899101064571
1,2020-01-23,0,84.54110327780332,4665.949550532281,False,2,0.12253344720382114,9331.899101064571
2,2020-01-24,0,84.54110327780332,4665.949550532281,False,3,0.14040953206094267,9331.899101064571
3,2020-01-25,0,84.54110327780332,4665.949550532281,False,4,0.16089346732565452,9331.899101064571
4,2020-01-26,0,84.54110327780332,4665.949550532281,False,5,0.1843656848528528,9331.899101064571
5,2020-01-27,0,84.54110327780332,4665.949550532281,False,6,0.2112621092910304,9331.899101064571
6,2020-01-28,0,84.54110327780332,4665.949550532281,False,7,0.24208225131971314,9331.899101064571
7,2020-01-29,0,84.54110327780332,4665.949550532281,False,8,0.2773984807973345,9331.899101064571
8,2020-01-30,0,84.54110327780332,4665.949550532281,False,9,0.3178666517030927,9331.899101064571
9,2020-01-31,0,84.54110327780332,4665.949550532281,False,10,0.36423827575314155,9331.899101064571
10,2020-02-01,0,84.54110327780332,4665.949550532281,False,11,0.41737447019025936,9331.899101064571
11,2020-02-02,0,84.54110327780332,4665.949550532281,False,12,0.4782619380075791,9331.899101064571
12,2020-02-03,0,84.54110327780332,4665.949550532281,False,13,0.5480312763652354,9331.899101064571
13,2020-02-04,0,84.54110327780332,4665.949550532281,False,14,0.6279779518715862,9331.899101064571
14,2020-02-05,0,84.54110327780332,4665.949550532281,False,15,0.7195863305003898,9331.899101064571
15,2020-02-06,0,84.54110327780332,4665.949550532281,False,16,0.8245572060815486,9331.899101064571
16,2020-02-07,0,84.54110327780332,4665.949550532281,False,17,0.9448393355365025,9331.899101064571
17,2020-02-08,0,84.54110327780332,4665.949550532281,False,18,1.0826655624673585,9331.899101064571
18,2020-02-09,0,84.54110327780332,4665.949550532281,False,19,1.2405941946422132,9331.899101064571
19,2020-02-10,0,84.54110327780332,4665.949550532281,False,20,1.421556396810774,9331.899101064571
20,2020-02-11,0,84.54110327780332,4665.949550532281,False,21,1.628910469789455,9331.899101064571
21,2020-02-12,0,84.54110327780332,4665.949550532281,False,22,1.8665040117421083,9331.899101064571
22,2020-02-13,0,84.54110327780332,4665.949550532281,False,23,2.1387451001563083,9331.899101064571
23,2020-02-14,0,84.54110327780332,4665.949550532281,False,24,2.450683795539184,9331.899101064571
24,2020-02-15,0,84.54110327780332,4665.949550532281,False,25,2.808105452977251,9331.899101064571
25,2020-02-16,0,84.54110327780332,4665.949550532281,False,26,3.2176375383708797,9331.899101064571
26,2020-02-17,0,84.54110327780332,4665.949550532281,False,27,3.6868718856382388,9331.899101064571
27,2020-02-18,0,84.54110327780332,4665.949550532281,False,28,4.224504603094392,9331.899101064571
28,2020-02-19,0,84.54110327780332,4665.949550532281,False,29,4.840496145499146,9331.899101064571
29,2020-02-20,0,84.54110327780332,4665.949550532281,False,30,5.546254417218694,9331.899101064571
30,2020-02-21,0,84.54110327780332,4665.949550532281,False,31,6.354844166156815,9331.899101064571
31,2020-02-22,0,84.54110327780332,4665.949550532281,False,32,7.281226372437882,9331.899101064571
32,2020-02-23,0,84.54110327780332,4665.949550532281,False,33,8.342531835293643,9331.899101064571
33,2020-02-24,0,84.54110327780332,4665.949550532281,False,34,9.558373721281642,9331.899101064571
34,2020-02-25,0,84.54110327780332,4665.949550532281,False,35,10.951204461737149,9331.899101064571
35,2020-02-26,0,84.54110327780332,4665.949550532281,False,36,12.546723081655864,9331.899101064571
36,2020-02-27,0,84.54110327780332,4665.949550532281,False,37,14.374339809555565,9331.899101064571
37,2020-02-28,0,84.54110327780332,4665.949550532281,False,38,16.467705660334193,9331.899101064571
38,2020-02-29,0,84.54110327780332,4665.949550532281,False,39,18.865315600522557,9331.899101064571
39,2020-03-01,0,84.54110327780332,4665.949550532281,False,40,21.611194894072273,9331.899101064571
40,2020-03-02,0,84.54110327780332,4665.949550532281,False,41,24.755679278592524,9331.899101064571
41,2020-03-03,0,84.54110327780332,4665.949550532281,False,42,28.356300721746802,9331.899101064571
42,2020-03-04,0,84.54110327780332,4665.949550532281,False,43,32.47879163117257,9331.899101064571
43,2020-03-05,0,84.54110327780332,4665.949550532281,False,44,37.1982215022343,9331.899101064571
44,2020-03-06,1,84.54110327780332,4665.949550532281,False,45,42.60028103308031,9331.899101064571
45,2020-03-07,1,84.54110327780332,4665.949550532281,False,46,48.78272964095457,9331.899101064571
46,2020-03-08,6,84.54110327780332,4665.949550532281,False,47,55.85702297420892,9331.899101064571
47,2020-03-09,7,84.54110327780332,4665.949550532281,False,48,63.95013729100357,9331.899101064571
48,2020-03-10,11,84.54110327780332,4665.949550532281,False,49,73.20660728162981,9331.899101064571
49,2020-03-11,11,84.54110327780332,4665.949550532281,False,50,83.79079280135498,9331.899101064571
50,2020-03-12,15,84.54110327780332,4665.949550532281,False,51,95.88938773650088,9331.899101064571
51,2020-03-13,28,84.54110327780332,4665.949550532281,False,52,109.71418044123484,9331.899101064571
52,2020-03-14,38,84.54110327780332,4665.949550532281,False,53,125.50506934350693,9331.899101064571
53,2020-03-15,43,84.54110327780332,4665.949550532281,False,54,143.53332878988866,9331.899101064571
54,2020-03-16,86,84.54110327780332,4665.949550532281,False,55,164.10510820689035,9331.899101064571
55,2020-03-17,117,84.54110327780332,4665.949550532281,False,56,187.56513127963214,9331.899101064571
56,2020-03-18,145,84.54110327780332,4665.949550532281,False,57,214.30054002167788,9331.899101064571
