,Report_Date,Greece_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,67.9181898797436,1159.8092056294324,True,1,0.08787560113973333,2134.7892635099697
1,2020-01-23,0,67.9181898797436,1159.8092056294324,True,2,0.10231499707795201,2134.7892635099697
2,2020-01-24,0,67.9181898797436,1159.8092056294324,True,3,0.11912689965476668,2134.7892635099697
3,2020-01-25,0,67.9181898797436,1159.8092056294324,True,4,0.1387010870888934,2134.7892635099697
4,2020-01-26,0,67.9181898797436,1159.8092056294324,True,5,0.16149135870471792,2134.7892635099697
5,2020-01-27,0,67.9181898797436,1159.8092056294324,True,6,0.18802604492409764,2134.7892635099697
6,2020-01-28,0,67.9181898797436,1159.8092056294324,True,7,0.21892024067655486,2134.7892635099697
7,2020-01-29,0,67.9181898797436,1159.8092056294324,True,8,0.2548900441390707,2134.7892635099697
8,2020-01-30,0,67.9181898797436,1159.8092056294324,True,9,0.29676912858403265,2134.7892635099697
9,2020-01-31,0,67.9181898797436,1159.8092056294324,True,10,0.3455280283559418,2134.7892635099697
10,2020-02-01,0,67.9181898797436,1159.8092056294324,True,11,0.40229658176845107,2134.7892635099697
11,2020-02-02,0,67.9181898797436,1159.8092056294324,True,12,0.4683900453366959,2134.7892635099697
12,2020-02-03,0,67.9181898797436,1159.8092056294324,True,13,0.5453394767490419,2134.7892635099697
13,2020-02-04,0,67.9181898797436,1159.8092056294324,True,14,0.6349270800619897,2134.7892635099697
14,2020-02-05,0,67.9181898797436,1159.8092056294324,True,15,0.7392273177296218,2134.7892635099697
15,2020-02-06,0,67.9181898797436,1159.8092056294324,True,16,0.8606547224655836,2134.7892635099697
16,2020-02-07,0,67.9181898797436,1159.8092056294324,True,17,1.0020194900631236,2134.7892635099697
17,2020-02-08,0,67.9181898797436,1159.8092056294324,True,18,1.1665921049323373,2134.7892635099697
18,2020-02-09,0,67.9181898797436,1159.8092056294324,True,19,1.358178446304787,2134.7892635099697
19,2020-02-10,0,67.9181898797436,1159.8092056294324,True,20,1.581207048129936,2134.7892635099697
20,2020-02-11,0,67.9181898797436,1159.8092056294324,True,21,1.8408304432119675,2134.7892635099697
21,2020-02-12,0,67.9181898797436,1159.8092056294324,True,22,2.1430428158506905,2134.7892635099697
22,2020-02-13,0,67.9181898797436,1159.8092056294324,True,23,2.494816520958891,2134.7892635099697
23,2020-02-14,0,67.9181898797436,1159.8092056294324,True,24,2.904260405015068,2134.7892635099697
24,2020-02-15,0,67.9181898797436,1159.8092056294324,True,25,3.380803288568824,2134.7892635099697
25,2020-02-16,0,67.9181898797436,1159.8092056294324,True,26,3.9354064438489385,2134.7892635099697
26,2020-02-17,0,67.9181898797436,1159.8092056294324,True,27,4.580809425466485,2134.7892635099697
27,2020-02-18,0,67.9181898797436,1159.8092056294324,True,28,5.331814186211629,2134.7892635099697
28,2020-02-19,0,67.9181898797436,1159.8092056294324,True,29,6.205613029152924,2134.7892635099697
29,2020-02-20,0,67.9181898797436,1159.8092056294324,True,30,7.222166602433916,2134.7892635099697
30,2020-02-21,0,67.9181898797436,1159.8092056294324,True,31,8.404638818113472,2134.7892635099697
31,2020-02-22,0,67.9181898797436,1159.8092056294324,True,32,9.779896245091358,2134.7892635099697
32,2020-02-23,0,67.9181898797436,1159.8092056294324,True,33,11.379080149007894,2134.7892635099697
33,2020-02-24,0,67.9181898797436,1159.8092056294324,True,34,13.238259870932447,2134.7892635099697
34,2020-02-25,0,67.9181898797436,1159.8092056294324,True,35,15.399176568763128,2134.7892635099697
35,2020-02-26,1,67.9181898797436,1159.8092056294324,True,36,17.91008637478503,2134.7892635099697
36,2020-02-27,3,67.9181898797436,1159.8092056294324,True,37,20.826711591149046,2134.7892635099697
37,2020-02-28,4,67.9181898797436,1159.8092056294324,True,38,24.213307438543268,2134.7892635099697
38,2020-02-29,4,67.9181898797436,1159.8092056294324,True,39,28.143849809335038,2134.7892635099697
39,2020-03-01,7,67.9181898797436,1159.8092056294324,True,40,32.703346087457966,2134.7892635099697
40,2020-03-02,7,67.9181898797436,1159.8092056294324,True,41,37.989265914937306,2134.7892635099697
41,2020-03-03,7,67.9181898797436,1159.8092056294324,True,42,44.11308122588317,2134.7892635099697
42,2020-03-04,9,67.9181898797436,1159.8092056294324,True,43,51.20189422687201,2134.7892635099697
43,2020-03-05,31,67.9181898797436,1159.8092056294324,True,44,59.40011745382578,2134.7892635099697
44,2020-03-06,45,67.9181898797436,1159.8092056294324,True,45,68.8711506661267,2134.7892635099697
45,2020-03-07,46,67.9181898797436,1159.8092056294324,True,46,79.79897421223637,2134.7892635099697
46,2020-03-08,73,67.9181898797436,1159.8092056294324,True,47,92.389546784014,2134.7892635099697
47,2020-03-09,73,67.9181898797436,1159.8092056294324,True,48,106.87185665019881,2134.7892635099697
48,2020-03-10,89,67.9181898797436,1159.8092056294324,True,49,123.49842964555951,2134.7892635099697
49,2020-03-11,99,67.9181898797436,1159.8092056294324,True,50,142.54504562581494,2134.7892635099697
50,2020-03-12,99,67.9181898797436,1159.8092056294324,True,51,164.3093607564628,2134.7892635099697
51,2020-03-13,190,67.9181898797436,1159.8092056294324,True,52,189.10808137494385,2134.7892635099697
52,2020-03-14,228,67.9181898797436,1159.8092056294324,True,53,217.27229507751835,2134.7892635099697
53,2020-03-15,331,67.9181898797436,1159.8092056294324,True,54,249.14054899535316,2134.7892635099697
54,2020-03-16,331,67.9181898797436,1159.8092056294324,True,55,285.0492910571796,2134.7892635099697
