,Report_Date,Egypt_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,67.07170838868748,592.5157527308895,True,1,0.02671269277736383,1088.0473966117577
1,2020-01-23,0,67.07170838868748,592.5157527308895,True,2,0.031408605905354076,1088.0473966117577
2,2020-01-24,0,67.07170838868748,592.5157527308895,True,3,0.03693000349736975,1088.0473966117577
3,2020-01-25,0,67.07170838868748,592.5157527308895,True,4,0.04342198585102551,1088.0473966117577
4,2020-01-26,0,67.07170838868748,592.5157527308895,True,5,0.05105515463976667,1088.0473966117577
5,2020-01-27,0,67.07170838868748,592.5157527308895,True,6,0.06003009333990529,1088.0473966117577
6,2020-01-28,0,67.07170838868748,592.5157527308895,True,7,0.0705826342891504,1088.0473966117577
7,2020-01-29,0,67.07170838868748,592.5157527308895,True,8,0.08299005027540848,1088.0473966117577
8,2020-01-30,0,67.07170838868748,592.5157527308895,True,9,0.09757833264807893,1088.0473966117577
9,2020-01-31,0,67.07170838868748,592.5157527308895,True,10,0.11473074621620653,1088.0473966117577
10,2020-02-01,0,67.07170838868748,592.5157527308895,True,11,0.13489788436155895,1088.0473966117577
11,2020-02-02,0,67.07170838868748,592.5157527308895,True,12,0.1586094866798847,1088.0473966117577
12,2020-02-03,0,67.07170838868748,592.5157527308895,True,13,0.18648832703464133,1088.0473966117577
13,2020-02-04,0,67.07170838868748,592.5157527308895,True,14,0.2192665332824606,1088.0473966117577
14,2020-02-05,0,67.07170838868748,592.5157527308895,True,15,0.257804762401389,1088.0473966117577
15,2020-02-06,0,67.07170838868748,592.5157527308895,True,16,0.30311472781153764,1088.0473966117577
16,2020-02-07,0,67.07170838868748,592.5157527308895,True,17,0.3563856610336663,1088.0473966117577
17,2020-02-08,0,67.07170838868748,592.5157527308895,True,18,0.41901538943835054,1088.0473966117577
18,2020-02-09,0,67.07170838868748,592.5157527308895,True,19,0.4926468279152877,1088.0473966117577
19,2020-02-10,0,67.07170838868748,592.5157527308895,True,20,0.5792108173389169,1088.0473966117577
20,2020-02-11,0,67.07170838868748,592.5157527308895,True,21,0.6809763995127383,1088.0473966117577
21,2020-02-12,0,67.07170838868748,592.5157527308895,True,22,0.8006097999151371,1088.0473966117577
22,2020-02-13,0,67.07170838868748,592.5157527308895,True,23,0.9412435993767032,1088.0473966117577
23,2020-02-14,1,67.07170838868748,592.5157527308895,True,24,1.106557817323384,1088.0473966117577
24,2020-02-15,1,67.07170838868748,592.5157527308895,True,25,1.3008749060406062,1088.0473966117577
25,2020-02-16,1,67.07170838868748,592.5157527308895,True,26,1.529270971078326,1088.0473966117577
26,2020-02-17,1,67.07170838868748,592.5157527308895,True,27,1.7977058905791166,1088.0473966117577
27,2020-02-18,1,67.07170838868748,592.5157527308895,True,28,2.113175408322639,1088.0473966117577
28,2020-02-19,1,67.07170838868748,592.5157527308895,True,29,2.4838887225620523,1088.0473966117577
29,2020-02-20,1,67.07170838868748,592.5157527308895,True,30,2.919475583866179,1088.0473966117577
30,2020-02-21,1,67.07170838868748,592.5157527308895,True,31,3.431227445137381,1088.0473966117577
31,2020-02-22,1,67.07170838868748,592.5157527308895,True,32,4.032377765289278,1088.0473966117577
32,2020-02-23,1,67.07170838868748,592.5157527308895,True,33,4.73842713637669,1088.0473966117577
33,2020-02-24,1,67.07170838868748,592.5157527308895,True,34,5.567519452626479,1088.0473966117577
34,2020-02-25,1,67.07170838868748,592.5157527308895,True,35,6.540875823356835,1088.0473966117577
35,2020-02-26,1,67.07170838868748,592.5157527308895,True,36,7.683293282909133,1088.0473966117577
36,2020-02-27,1,67.07170838868748,592.5157527308895,True,37,9.023715472549167,1088.0473966117577
37,2020-02-28,1,67.07170838868748,592.5157527308895,True,38,10.595882225384887,1088.0473966117577
38,2020-02-29,1,67.07170838868748,592.5157527308895,True,39,12.439064187438671,1088.0473966117577
39,2020-03-01,2,67.07170838868748,592.5157527308895,True,40,14.598887001362302,1088.0473966117577
40,2020-03-02,2,67.07170838868748,592.5157527308895,True,41,17.12824682606346,1088.0473966117577
41,2020-03-03,2,67.07170838868748,592.5157527308895,True,42,20.08831462752246,1088.0473966117577
42,2020-03-04,2,67.07170838868748,592.5157527308895,True,43,23.549620199470677,1088.0473966117577
43,2020-03-05,3,67.07170838868748,592.5157527308895,True,44,27.593197579519824,1088.0473966117577
44,2020-03-06,15,67.07170838868748,592.5157527308895,True,45,32.311760621743225,1088.0473966117577
45,2020-03-07,15,67.07170838868748,592.5157527308895,True,46,37.810860093488266,1088.0473966117577
46,2020-03-08,49,67.07170838868748,592.5157527308895,True,47,44.209950905709164,1088.0473966117577
47,2020-03-09,55,67.07170838868748,592.5157527308895,True,48,51.64326924289668,1088.0473966117577
48,2020-03-10,59,67.07170838868748,592.5157527308895,True,49,60.260384132638286,1088.0473966117577
49,2020-03-11,60,67.07170838868748,592.5157527308895,True,50,70.22624691740738,1088.0473966117577
50,2020-03-12,67,67.07170838868748,592.5157527308895,True,51,81.72051710506288,1088.0473966117577
51,2020-03-13,80,67.07170838868748,592.5157527308895,True,52,94.93589829129138,1088.0473966117577
52,2020-03-14,109,67.07170838868748,592.5157527308895,True,53,110.07518042120046,1088.0473966117577
53,2020-03-15,110,67.07170838868748,592.5157527308895,True,54,127.34666560489295,1088.0473966117577
54,2020-03-16,150,67.07170838868748,592.5157527308895,True,55,146.9576693245491,1088.0473966117577
55,2020-03-17,196,67.07170838868748,592.5157527308895,True,56,169.10585622519977,1088.0473966117577
