,Report_Date,France_french polynesia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,66.72015375994955,28.030608109333524,True,1,0.0006661886507243953,55.84842032505289
1,2020-01-23,0,66.72015375994955,28.030608109333524,True,2,0.0007916553170645022,55.84842032505289
2,2020-01-24,0,66.72015375994955,28.030608109333524,True,3,0.0009407513565274129,55.84842032505289
3,2020-01-25,0,66.72015375994955,28.030608109333524,True,4,0.0011179267699464963,55.84842032505289
4,2020-01-26,0,66.72015375994955,28.030608109333524,True,5,0.001328469537047013,55.84842032505289
5,2020-01-27,0,66.72015375994955,28.030608109333524,True,6,0.0015786633883487235,55.84842032505289
6,2020-01-28,0,66.72015375994955,28.030608109333524,True,7,0.0018759752704017082,55.84842032505289
7,2020-01-29,0,66.72015375994955,28.030608109333524,True,8,0.0022292780880497688,55.84842032505289
8,2020-01-30,0,66.72015375994955,28.030608109333524,True,9,0.002649115355459819,55.84842032505289
9,2020-01-31,0,66.72015375994955,28.030608109333524,True,10,0.0031480156316128303,55.84842032505289
10,2020-02-01,0,66.72015375994955,28.030608109333524,True,11,0.0037408660921134386,55.84842032505289
11,2020-02-02,0,66.72015375994955,28.030608109333524,True,12,0.004445356340417863,55.84842032505289
12,2020-02-03,0,66.72015375994955,28.030608109333524,True,13,0.005282505638503012,55.84842032505289
13,2020-02-04,0,66.72015375994955,28.030608109333524,True,14,0.006277289199235997,55.84842032505289
14,2020-02-05,0,66.72015375994955,28.030608109333524,True,15,0.007459382100415177,55.84842032505289
15,2020-02-06,0,66.72015375994955,28.030608109333524,True,16,0.00886404283602874,55.84842032505289
16,2020-02-07,0,66.72015375994955,28.030608109333524,True,17,0.010533162610224755,55.84842032505289
17,2020-02-08,0,66.72015375994955,28.030608109333524,True,18,0.012516511316527479,55.84842032505289
18,2020-02-09,0,66.72015375994955,28.030608109333524,True,19,0.014873216860147774,55.84842032505289
19,2020-02-10,0,66.72015375994955,28.030608109333524,True,20,0.017673521226802512,55.84842032505289
20,2020-02-11,0,66.72015375994955,28.030608109333524,True,21,0.021000864652388155,55.84842032505289
21,2020-02-12,0,66.72015375994955,28.030608109333524,True,22,0.02495435860450216,55.84842032505289
22,2020-02-13,0,66.72015375994955,28.030608109333524,True,23,0.02965171927638125,55.84842032505289
23,2020-02-14,0,66.72015375994955,28.030608109333524,True,24,0.03523274617104205,55.84842032505289
24,2020-02-15,0,66.72015375994955,28.030608109333524,True,25,0.041863445399485825,55.84842032505289
25,2020-02-16,0,66.72015375994955,28.030608109333524,True,26,0.04974091483584077,55.84842032505289
26,2020-02-17,0,66.72015375994955,28.030608109333524,True,27,0.05909912858344403,55.84842032505289
27,2020-02-18,0,66.72015375994955,28.030608109333524,True,28,0.07021578162942545,55.84842032505289
28,2020-02-19,0,66.72015375994955,28.030608109333524,True,29,0.08342038239969506,55.84842032505289
29,2020-02-20,0,66.72015375994955,28.030608109333524,True,30,0.09910381141125979,55.84842032505289
30,2020-02-21,0,66.72015375994955,28.030608109333524,True,31,0.11772959848042226,55.84842032505289
31,2020-02-22,0,66.72015375994955,28.030608109333524,True,32,0.13984720891296748,55.84842032505289
