,Report_Date,Hungary_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,75.19489033749039,753.5755641065202,False,1,0.017564897561503805,1507.1511282130402
1,2020-01-23,0,75.19489033749039,753.5755641065202,False,2,0.02047098140143477,1507.1511282130402
2,2020-01-24,0,75.19489033749039,753.5755641065202,False,3,0.023857864492599884,1507.1511282130402
3,2020-01-25,0,75.19489033749039,753.5755641065202,False,4,0.027805090305979573,1507.1511282130402
4,2020-01-26,0,75.19489033749039,753.5755641065202,False,5,0.03240536101455341,1507.1511282130402
5,2020-01-27,0,75.19489033749039,753.5755641065202,False,6,0.03776671395852006,1507.1511282130402
6,2020-01-28,0,75.19489033749039,753.5755641065202,False,7,0.04401505797510093,1507.1511282130402
7,2020-01-29,0,75.19489033749039,753.5755641065202,False,8,0.051297129049302594,1507.1511282130402
8,2020-01-30,0,75.19489033749039,753.5755641065202,False,9,0.05978393454922058,1507.1511282130402
9,2020-01-31,0,75.19489033749039,753.5755641065202,False,10,0.06967476672857878,1507.1511282130402
10,2020-02-01,0,75.19489033749039,753.5755641065202,False,11,0.08120187947307667,1507.1511282130402
11,2020-02-02,0,75.19489033749039,753.5755641065202,False,12,0.0946359377407368,1507.1511282130402
12,2020-02-03,0,75.19489033749039,753.5755641065202,False,13,0.1102923671533849,1507.1511282130402
13,2020-02-04,0,75.19489033749039,753.5755641065202,False,14,0.12853875214620253,1507.1511282130402
14,2020-02-05,0,75.19489033749039,753.5755641065202,False,15,0.14980345544884904,1507.1511282130402
15,2020-02-06,0,75.19489033749039,753.5755641065202,False,16,0.17458566000258402,1507.1511282130402
16,2020-02-07,0,75.19489033749039,753.5755641065202,False,17,0.20346706734505604,1507.1511282130402
17,2020-02-08,0,75.19489033749039,753.5755641065202,False,18,0.23712552474586454,1507.1511282130402
18,2020-02-09,0,75.19489033749039,753.5755641065202,False,19,0.2763508977883687,1507.1511282130402
19,2020-02-10,0,75.19489033749039,753.5755641065202,False,20,0.32206355662590513,1507.1511282130402
20,2020-02-11,0,75.19489033749039,753.5755641065202,False,21,0.3753359038903506,1507.1511282130402
21,2020-02-12,0,75.19489033749039,753.5755641065202,False,22,0.43741744144710154,1507.1511282130402
22,2020-02-13,0,75.19489033749039,753.5755641065202,False,23,0.5097639532897629,1507.1511282130402
23,2020-02-14,0,75.19489033749039,753.5755641065202,False,24,0.594071474448157,1507.1511282130402
24,2020-02-15,0,75.19489033749039,753.5755641065202,False,25,0.6923158226351662,1507.1511282130402
25,2020-02-16,0,75.19489033749039,753.5755641065202,False,26,0.8067985924708291,1507.1511282130402
26,2020-02-17,0,75.19489033749039,753.5755641065202,False,27,0.9402006536831167,1507.1511282130402
27,2020-02-18,0,75.19489033749039,753.5755641065202,False,28,1.0956443570651697,1507.1511282130402
28,2020-02-19,0,75.19489033749039,753.5755641065202,False,29,1.2767658376923268,1507.1511282130402
29,2020-02-20,0,75.19489033749039,753.5755641065202,False,30,1.48779901658723,1507.1511282130402
30,2020-02-21,0,75.19489033749039,753.5755641065202,False,31,1.7336731422838578,1507.1511282130402
31,2020-02-22,0,75.19489033749039,753.5755641065202,False,32,2.0201259850456106,1507.1511282130402
32,2020-02-23,0,75.19489033749039,753.5755641065202,False,33,2.3538351009253433,1507.1511282130402
33,2020-02-24,0,75.19489033749039,753.5755641065202,False,34,2.742569921797255,1507.1511282130402
34,2020-02-25,0,75.19489033749039,753.5755641065202,False,35,3.1953678011469857,1507.1511282130402
35,2020-02-26,0,75.19489033749039,753.5755641065202,False,36,3.722737552145939,1507.1511282130402
36,2020-02-27,0,75.19489033749039,753.5755641065202,False,37,4.336894449976003,1507.1511282130402
37,2020-02-28,0,75.19489033749039,753.5755641065202,False,38,5.0520311261235635,1507.1511282130402
38,2020-02-29,0,75.19489033749039,753.5755641065202,False,39,5.884629244338745,1507.1511282130402
39,2020-03-01,0,75.19489033749039,753.5755641065202,False,40,6.853817294102592,1507.1511282130402
40,2020-03-02,0,75.19489033749039,753.5755641065202,False,41,7.981780234748345,1507.1511282130402
41,2020-03-03,0,75.19489033749039,753.5755641065202,False,42,9.294227023975369,1507.1511282130402
42,2020-03-04,2,75.19489033749039,753.5755641065202,False,43,10.820922200656698,1507.1511282130402
43,2020-03-05,2,75.19489033749039,753.5755641065202,False,44,12.596287569715587,1507.1511282130402
44,2020-03-06,2,75.19489033749039,753.5755641065202,False,45,14.66007952870556,1507.1511282130402
45,2020-03-07,4,75.19489033749039,753.5755641065202,False,46,17.058146510757396,1507.1511282130402
46,2020-03-08,7,75.19489033749039,753.5755641065202,False,47,19.843269172323712,1507.1511282130402
47,2020-03-09,9,75.19489033749039,753.5755641065202,False,48,23.076083037331596,1507.1511282130402
48,2020-03-10,9,75.19489033749039,753.5755641065202,False,49,26.82607895693272,1507.1511282130402
49,2020-03-11,13,75.19489033749039,753.5755641065202,False,50,31.172670507272823,1507.1511282130402
50,2020-03-12,13,75.19489033749039,753.5755641065202,False,51,36.20630879266005,1507.1511282130402
51,2020-03-13,19,75.19489033749039,753.5755641065202,False,52,42.029613440314165,1507.1511282130402
52,2020-03-14,30,75.19489033749039,753.5755641065202,False,53,48.75847321670721,1507.1511282130402
53,2020-03-15,32,75.19489033749039,753.5755641065202,False,54,56.52305004227215,1507.1511282130402
54,2020-03-16,39,75.19489033749039,753.5755641065202,False,55,65.46859575487458,1507.1511282130402
55,2020-03-17,50,75.19489033749039,753.5755641065202,False,56,75.7559616342021,1507.1511282130402
