,Report_Date,Cameroon_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,77.74658251528446,626.7223127741231,True,1,0.014534885834530914,1201.803679396112
1,2020-01-23,0,77.74658251528446,626.7223127741231,True,2,0.016854750559145194,1201.803679396112
2,2020-01-24,0,77.74658251528446,626.7223127741231,True,3,0.019544875393346792,1201.803679396112
3,2020-01-25,0,77.74658251528446,626.7223127741231,True,4,0.02266435340863676,1201.803679396112
4,2020-01-26,0,77.74658251528446,626.7223127741231,True,5,0.026281708174239877,1201.803679396112
5,2020-01-27,0,77.74658251528446,626.7223127741231,True,6,0.030476398507380827,1201.803679396112
6,2020-01-28,0,77.74658251528446,626.7223127741231,True,7,0.035340563243218666,1201.803679396112
7,2020-01-29,0,77.74658251528446,626.7223127741231,True,8,0.04098104428139431,1201.803679396112
8,2020-01-30,0,77.74658251528446,626.7223127741231,True,9,0.047521732254271525,1201.803679396112
9,2020-01-31,0,77.74658251528446,626.7223127741231,True,10,0.05510628621558671,1201.803679396112
10,2020-02-01,0,77.74658251528446,626.7223127741231,True,11,0.06390128691933197,1201.803679396112
11,2020-02-02,0,77.74658251528446,626.7223127741231,True,12,0.07409989272276442,1201.803679396112
12,2020-02-03,0,77.74658251528446,626.7223127741231,True,13,0.08592607810696336,1201.803679396112
13,2020-02-04,0,77.74658251528446,626.7223127741231,True,14,0.09963954749684314,1201.803679396112
14,2020-02-05,0,77.74658251528446,626.7223127741231,True,15,0.11554143174894635,1201.803679396112
15,2020-02-06,0,77.74658251528446,626.7223127741231,True,16,0.1339808916691946,1201.803679396112
16,2020-02-07,0,77.74658251528446,626.7223127741231,True,17,0.1553627725797433,1201.803679396112
17,2020-02-08,0,77.74658251528446,626.7223127741231,True,18,0.18015647668228432,1201.803679396112
18,2020-02-09,0,77.74658251528446,626.7223127741231,True,19,0.20890624623200565,1201.803679396112
19,2020-02-10,0,77.74658251528446,626.7223127741231,True,20,0.24224308087616928,1201.803679396112
20,2020-02-11,0,77.74658251528446,626.7223127741231,True,21,0.2808985475329229,1201.803679396112
21,2020-02-12,0,77.74658251528446,626.7223127741231,True,22,0.32572078158163076,1201.803679396112
22,2020-02-13,0,77.74658251528446,626.7223127741231,True,23,0.3776930246894135,1201.803679396112
23,2020-02-14,0,77.74658251528446,626.7223127741231,True,24,0.43795509819318174,1201.803679396112
24,2020-02-15,0,77.74658251528446,626.7223127741231,True,25,0.5078282725827272,1201.803679396112
25,2020-02-16,0,77.74658251528446,626.7223127741231,True,26,0.5888440643914998,1201.803679396112
26,2020-02-17,0,77.74658251528446,626.7223127741231,True,27,0.6827775729157317,1201.803679396112
27,2020-02-18,0,77.74658251528446,626.7223127741231,True,28,0.7916860619806246,1201.803679396112
28,2020-02-19,0,77.74658251528446,626.7223127741231,True,29,0.917953597888843,1201.803679396112
29,2020-02-20,0,77.74658251528446,626.7223127741231,True,30,1.064342675239145,1201.803679396112
30,2020-02-21,0,77.74658251528446,626.7223127741231,True,31,1.234053899056969,1201.803679396112
31,2020-02-22,0,77.74658251528446,626.7223127741231,True,32,1.4307949461900338,1201.803679396112
32,2020-02-23,0,77.74658251528446,626.7223127741231,True,33,1.65886020264946,1201.803679396112
33,2020-02-24,0,77.74658251528446,626.7223127741231,True,34,1.923222667753764,1201.803679396112
34,2020-02-25,0,77.74658251528446,626.7223127741231,True,35,2.2296399313808863,1201.803679396112
35,2020-02-26,0,77.74658251528446,626.7223127741231,True,36,2.5847762675000068,1201.803679396112
36,2020-02-27,0,77.74658251528446,626.7223127741231,True,37,2.996343144549451,1201.803679396112
37,2020-02-28,0,77.74658251528446,626.7223127741231,True,38,3.473260728719605,1201.803679396112
38,2020-02-29,0,77.74658251528446,626.7223127741231,True,39,4.025843245142459,1201.803679396112
39,2020-03-01,0,77.74658251528446,626.7223127741231,True,40,4.6660113566059325,1201.803679396112
40,2020-03-02,0,77.74658251528446,626.7223127741231,True,41,5.4075350075887485,1201.803679396112
41,2020-03-03,0,77.74658251528446,626.7223127741231,True,42,6.266310445118721,1201.803679396112
42,2020-03-04,0,77.74658251528446,626.7223127741231,True,43,7.260675341191135,1201.803679396112
43,2020-03-05,0,77.74658251528446,626.7223127741231,True,44,8.41176606765332,1201.803679396112
44,2020-03-06,1,77.74658251528446,626.7223127741231,True,45,9.743921163096823,1201.803679396112
45,2020-03-07,1,77.74658251528446,626.7223127741231,True,46,11.285134814003952,1201.803679396112
46,2020-03-08,2,77.74658251528446,626.7223127741231,True,47,13.067563657994674,1201.803679396112
47,2020-03-09,2,77.74658251528446,626.7223127741231,True,48,15.128089285935959,1201.803679396112
48,2020-03-10,2,77.74658251528446,626.7223127741231,True,49,17.50893731774529,1201.803679396112
49,2020-03-11,2,77.74658251528446,626.7223127741231,True,50,20.25835165891223,1201.803679396112
50,2020-03-12,2,77.74658251528446,626.7223127741231,True,51,23.431319269707828,1201.803679396112
51,2020-03-13,2,77.74658251528446,626.7223127741231,True,52,27.090336205939085,1201.803679396112
52,2020-03-14,2,77.74658251528446,626.7223127741231,True,53,31.306199480466013,1201.803679396112
53,2020-03-15,2,77.74658251528446,626.7223127741231,True,54,36.15880107288858,1201.803679396112
54,2020-03-16,4,77.74658251528446,626.7223127741231,True,55,41.737889792741335,1201.803679396112
55,2020-03-17,10,77.74658251528446,626.7223127741231,True,56,48.14375332515717,1201.803679396112
56,2020-03-18,10,77.74658251528446,626.7223127741231,True,57,55.487756415133,1201.803679396112
57,2020-03-19,13,77.74658251528446,626.7223127741231,True,58,63.89265176732609,1201.803679396112
58,2020-03-20,20,77.74658251528446,626.7223127741231,True,59,73.49255824869581,1201.803679396112
59,2020-03-21,27,77.74658251528446,626.7223127741231,True,60,84.43247741711795,1201.803679396112
60,2020-03-22,40,77.74658251528446,626.7223127741231,True,61,96.86719622700353,1201.803679396112
61,2020-03-23,56,77.74658251528446,626.7223127741231,True,62,110.95940420444269,1201.803679396112
62,2020-03-24,66,77.74658251528446,626.7223127741231,True,63,126.87684221468298,1201.803679396112
63,2020-03-25,75,77.74658251528446,626.7223127741231,True,64,144.7883036586053,1201.803679396112
64,2020-03-26,75,77.74658251528446,626.7223127741231,True,65,164.85833560996505,1201.803679396112
65,2020-03-27,91,77.74658251528446,626.7223127741231,True,66,187.24054603542183,1201.803679396112
66,2020-03-28,91,77.74658251528446,626.7223127741231,True,67,212.06952228682215,1201.803679396112
67,2020-03-29,139,77.74658251528446,626.7223127741231,True,68,239.45151103207013,1201.803679396112
68,2020-03-30,139,77.74658251528446,626.7223127741231,True,69,269.4541998953067,1201.803679396112
69,2020-03-31,193,77.74658251528446,626.7223127741231,True,70,302.0961653166904,1201.803679396112
70,2020-04-01,233,77.74658251528446,626.7223127741231,True,71,337.33678497164846,1201.803679396112
71,2020-04-02,306,77.74658251528446,626.7223127741231,True,72,375.0676172088543,1201.803679396112
72,2020-04-03,509,77.74658251528446,626.7223127741231,True,73,415.1063732446102,1201.803679396112
73,2020-04-04,555,77.74658251528446,626.7223127741231,True,74,457.1945959070127,1201.803679396112
74,2020-04-05,650,77.74658251528446,626.7223127741231,True,75,500.9999681186618,1201.803679396112
75,2020-04-06,658,77.74658251528446,626.7223127741231,True,76,546.123789692444,1201.803679396112
76,2020-04-07,658,77.74658251528446,626.7223127741231,True,77,592.1136097187698,1201.803679396112
77,2020-04-08,730,77.74658251528446,626.7223127741231,True,78,638.4803589114139,1201.803679396112
78,2020-04-09,730,77.74658251528446,626.7223127741231,True,79,684.7187046611065,1201.803679396112
79,2020-04-10,820,77.74658251528446,626.7223127741231,True,80,730.3288767022531,1201.803679396112
80,2020-04-11,820,77.74658251528446,626.7223127741231,True,81,774.8379871262131,1201.803679396112
81,2020-04-12,820,77.74658251528446,626.7223127741231,True,82,817.8189460624221,1201.803679396112
82,2020-04-13,820,77.74658251528446,626.7223127741231,True,83,858.9054358764273,1201.803679396112
83,2020-04-14,848,77.74658251528446,626.7223127741231,True,84,897.8019711390208,1201.803679396112
84,2020-04-15,848,77.74658251528446,626.7223127741231,True,85,934.2887196681742,1201.803679396112
85,2020-04-16,996,77.74658251528446,626.7223127741231,True,86,968.2213685843014,1201.803679396112
86,2020-04-17,996,77.74658251528446,626.7223127741231,True,87,999.5267925586475,1201.803679396112
87,2020-04-18,1017,77.74658251528446,626.7223127741231,True,88,1028.1955681896018,1201.803679396112
88,2020-04-19,1017,77.74658251528446,626.7223127741231,True,89,1054.2724744087966,1201.803679396112
