,ds,yhat,yhat_lower,yhat_upper,y,current_date,fastest_growth_day,growth_stabilized,current_day,cap
0,2020-01-22,0.08300992178566169,-18.159784815059954,19.638481386726934,0.0,2020-04-04,159.36271261142676,False,74,202098.52662547785
1,2020-01-23,0.8998714717430325,-18.656774630314644,19.898827378780027,0.0,2020-04-04,159.36271261142676,False,74,202098.52662547785
2,2020-01-24,4.387942491673843,-15.40952399495422,22.914512228844842,0.0,2020-04-04,159.36271261142676,False,74,202098.52662547785
3,2020-01-25,8.425150440286476,-9.834346642272825,26.908863708060892,0.0,2020-04-04,159.36271261142676,False,74,202098.52662547785
4,2020-01-26,3.000168895885781,-15.130929031029378,21.06443505961971,0.0,2020-04-04,159.36271261142676,False,74,202098.52662547785
5,2020-01-27,1.5878537128390826,-17.55659986920766,18.2946645170491,0.0,2020-04-04,159.36271261142676,False,74,202098.52662547785
6,2020-01-28,1.0096785662345238,-16.7630238874138,19.557188220541615,0.0,2020-04-04,159.36271261142676,False,74,202098.52662547785
7,2020-01-29,1.5302002913545927,-16.781718465243223,19.201860393346454,0.0,2020-04-04,159.36271261142676,False,74,202098.52662547785
8,2020-01-30,2.4550520015961945,-14.979368058031287,22.015095235188873,0.0,2020-04-04,159.36271261142676,False,74,202098.52662547785
9,2020-01-31,6.059171198224055,-13.071624632518226,24.746631204854644,0.0,2020-04-04,159.36271261142676,False,74,202098.52662547785
10,2020-02-01,10.221086571757507,-8.112171319761792,29.37621503784977,0.0,2020-04-04,159.36271261142676,False,74,202098.52662547785
11,2020-02-02,4.930117785344218,-13.199641019846572,22.82640990539975,0.0,2020-04-04,159.36271261142676,False,74,202098.52662547785
12,2020-02-03,3.661814976570745,-15.847368508850757,22.80856786729402,0.0,2020-04-04,159.36271261142676,False,74,202098.52662547785
13,2020-02-04,3.238397896462878,-15.871474401339889,20.67947334394528,0.0,2020-04-04,159.36271261142676,False,74,202098.52662547785
14,2020-02-05,3.9252251113485226,-14.73704897651452,21.869082522198724,0.0,2020-04-04,159.36271261142676,False,74,202098.52662547785
15,2020-02-06,5.028791270927743,-14.21630800328079,22.304845478253572,0.0,2020-04-04,159.36271261142676,False,74,202098.52662547785
16,2020-02-07,8.824959677444387,-9.665886358810932,27.873358218494953,0.0,2020-04-04,159.36271261142676,False,74,202098.52662547785
17,2020-02-08,13.193253878650529,-6.774195974423709,32.06215284923729,0.0,2020-04-04,159.36271261142676,False,74,202098.52662547785
18,2020-02-09,8.1240625998905,-9.239492004440816,27.132929495241196,0.0,2020-04-04,159.36271261142676,False,74,202098.52662547785
19,2020-02-10,7.094084777916768,-10.964776670012343,24.80276968801953,0.0,2020-04-04,159.36271261142676,False,74,202098.52662547785
20,2020-02-11,6.926774643972142,-10.596585514898546,25.733163044312786,0.0,2020-04-04,159.36271261142676,False,74,202098.52662547785
21,2020-02-12,7.888817312395608,-10.838554705140796,26.9818914936941,0.0,2020-04-04,159.36271261142676,False,74,202098.52662547785
22,2020-02-13,9.288132910845855,-8.70268865461397,28.28898764277668,0.0,2020-04-04,159.36271261142676,False,74,202098.52662547785
23,2020-02-14,13.402116522578135,-4.646375670903121,32.151180481587055,0.0,2020-04-04,159.36271261142676,False,74,202098.52662547785
24,2020-02-15,18.111937701063166,-0.6899201540998401,36.4884648003331,0.0,2020-04-04,159.36271261142676,False,74,202098.52662547785
25,2020-02-16,13.409753913379292,-5.965278415961938,31.231910246391177,0.0,2020-04-04,159.36271261142676,False,74,202098.52662547785
26,2020-02-17,12.774164718382654,-5.748533343218724,30.855541172799956,0.0,2020-04-04,159.36271261142676,False,74,202098.52662547785
27,2020-02-18,13.030666674350133,-5.260782861530879,31.946133018818195,0.0,2020-04-04,159.36271261142676,False,74,202098.52662547785
28,2020-02-19,14.448139482663972,-4.177567857194034,32.31897695816304,0.0,2020-04-04,159.36271261142676,False,74,202098.52662547785
29,2020-02-20,16.336861457808173,-2.6762283600258843,35.799304634596105,0.0,2020-04-04,159.36271261142676,False,74,202098.52662547785
30,2020-02-21,20.976761652085102,2.8866550862360265,39.27008866772229,0.0,2020-04-04,159.36271261142676,False,74,202098.52662547785
31,2020-02-22,26.251732457938623,6.589516580802002,45.46448235784506,0.0,2020-04-04,159.36271261142676,False,74,202098.52662547785
32,2020-02-23,22.15685711079479,5.161060075352361,41.06349169076701,0.0,2020-04-04,159.36271261142676,False,74,202098.52662547785
33,2020-02-24,22.173878970809135,3.2616555345612364,41.36985786809072,1.0,2020-04-04,159.36271261142676,False,74,202098.52662547785
34,2020-02-25,23.13167265494412,3.8406970141021466,40.53183154145344,11.0,2020-04-04,159.36271261142676,False,74,202098.52662547785
35,2020-02-26,25.30274760859594,8.0131069993763,44.32179246766175,26.0,2020-04-04,159.36271261142676,False,74,202098.52662547785
36,2020-02-27,28.00128229585835,9.024380056762068,47.3095676358806,43.0,2020-04-04,159.36271261142676,False,74,202098.52662547785
37,2020-02-28,33.51139643237305,16.272129108626697,53.391792235364406,45.0,2020-04-04,159.36271261142676,False,74,202098.52662547785
38,2020-02-29,39.7214851846153,22.465794576863022,58.61498351333043,45.0,2020-04-04,159.36271261142676,False,74,202098.52662547785
39,2020-03-01,36.63146986982151,18.248068913324687,55.40637956878076,45.0,2020-04-04,159.36271261142676,False,74,202098.52662547785
40,2020-03-02,37.72829215016588,19.567297650093604,55.95249199618487,56.0,2020-04-04,159.36271261142676,False,74,202098.52662547785
41,2020-03-03,39.846411920290095,21.906111374121675,58.400862432567884,56.0,2020-04-04,159.36271261142676,False,74,202098.52662547785
