,Report_Date,Belarus_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,103.90616070296332,17380.587578918992,True,1,0.3883380453946526,29265.348892193993
1,2020-01-23,0,103.90616070296332,17380.587578918992,True,2,0.4338401224236558,29265.348892193993
2,2020-01-24,0,103.90616070296332,17380.587578918992,True,3,0.4846736630322294,29265.348892193993
3,2020-01-25,0,103.90616070296332,17380.587578918992,True,4,0.5414633346343839,29265.348892193993
4,2020-01-26,0,103.90616070296332,17380.587578918992,True,5,0.6049069899866698,29265.348892193993
5,2020-01-27,0,103.90616070296332,17380.587578918992,True,6,0.6757842403670274,29265.348892193993
6,2020-01-28,0,103.90616070296332,17380.587578918992,True,7,0.7549660327633102,29265.348892193993
7,2020-01-29,0,103.90616070296332,17380.587578918992,True,8,0.8434253485817611,29265.348892193993
8,2020-01-30,0,103.90616070296332,17380.587578918992,True,9,0.9422491551219107,29265.348892193993
9,2020-01-31,0,103.90616070296332,17380.587578918992,True,10,1.0526517564019195,29265.348892193993
10,2020-02-01,0,103.90616070296332,17380.587578918992,True,11,1.1759897070429366,29265.348892193993
11,2020-02-02,0,103.90616070296332,17380.587578918992,True,12,1.3137784720394374,29265.348892193993
12,2020-02-03,0,103.90616070296332,17380.587578918992,True,13,1.467711036585269,29265.348892193993
13,2020-02-04,0,103.90616070296332,17380.587578918992,True,14,1.6396786939488959,29265.348892193993
14,2020-02-05,0,103.90616070296332,17380.587578918992,True,15,1.8317942659820294,29265.348892193993
15,2020-02-06,0,103.90616070296332,17380.587578918992,True,16,2.046418040521457,29265.348892193993
16,2020-02-07,0,103.90616070296332,17380.587578918992,True,17,2.2861867430583462,29265.348892193993
17,2020-02-08,0,103.90616070296332,17380.587578918992,True,18,2.55404589699605,29265.348892193993
18,2020-02-09,0,103.90616070296332,17380.587578918992,True,19,2.8532859680336156,29265.348892193993
19,2020-02-10,0,103.90616070296332,17380.587578918992,True,20,3.187582734183327,29265.348892193993
20,2020-02-11,0,103.90616070296332,17380.587578918992,True,21,3.561042374195318,29265.348892193993
21,2020-02-12,0,103.90616070296332,17380.587578918992,True,22,3.9782518243179914,29265.348892193993
22,2020-02-13,0,103.90616070296332,17380.587578918992,True,23,4.444335017030967,29265.348892193993
23,2020-02-14,0,103.90616070296332,17380.587578918992,True,24,4.9650156863798065,29265.348892193993
24,2020-02-15,0,103.90616070296332,17380.587578918992,True,25,5.54668750362755,29265.348892193993
25,2020-02-16,0,103.90616070296332,17380.587578918992,True,26,6.19649239500975,29265.348892193993
26,2020-02-17,0,103.90616070296332,17380.587578918992,True,27,6.922407991420914,29265.348892193993
27,2020-02-18,0,103.90616070296332,17380.587578918992,True,28,7.733345268952432,29265.348892193993
28,2020-02-19,0,103.90616070296332,17380.587578918992,True,29,8.639257560532252,29265.348892193993
29,2020-02-20,0,103.90616070296332,17380.587578918992,True,30,9.651262253784397,29265.348892193993
30,2020-02-21,0,103.90616070296332,17380.587578918992,True,31,10.781776640050264,29265.348892193993
31,2020-02-22,0,103.90616070296332,17380.587578918992,True,32,12.044669545837502,29265.348892193993
32,2020-02-23,0,103.90616070296332,17380.587578918992,True,33,13.455430562458954,29265.348892193993
33,2020-02-24,0,103.90616070296332,17380.587578918992,True,34,15.031358894099519,29265.348892193993
34,2020-02-25,0,103.90616070296332,17380.587578918992,True,35,16.791774070939898,29265.348892193993
35,2020-02-26,0,103.90616070296332,17380.587578918992,True,36,18.75825102433916,29265.348892193993
36,2020-02-27,0,103.90616070296332,17380.587578918992,True,37,20.954882297617768,29265.348892193993
37,2020-02-28,1,103.90616070296332,17380.587578918992,True,38,23.408570470977818,29265.348892193993
38,2020-02-29,1,103.90616070296332,17380.587578918992,True,39,26.149354214914787,29265.348892193993
39,2020-03-01,1,103.90616070296332,17380.587578918992,True,40,29.210771755525847,29265.348892193993
40,2020-03-02,1,103.90616070296332,17380.587578918992,True,41,32.630265939803074,29265.348892193993
41,2020-03-03,1,103.90616070296332,17380.587578918992,True,42,36.449635531638705,29265.348892193993
42,2020-03-04,6,103.90616070296332,17380.587578918992,True,43,40.71553785200892,29265.348892193993
43,2020-03-05,6,103.90616070296332,17380.587578918992,True,44,45.48004840148907,29265.348892193993
44,2020-03-06,6,103.90616070296332,17380.587578918992,True,45,50.80128367126563,29265.348892193993
45,2020-03-07,6,103.90616070296332,17380.587578918992,True,46,56.74409396084788,29265.348892193993
46,2020-03-08,6,103.90616070296332,17380.587578918992,True,47,63.38083367648962,29265.348892193993
47,2020-03-09,6,103.90616070296332,17380.587578918992,True,48,70.7922172823476,29265.348892193993
48,2020-03-10,9,103.90616070296332,17380.587578918992,True,49,79.0682698133192,29265.348892193993
49,2020-03-11,9,103.90616070296332,17380.587578918992,True,50,88.30938162870562,29265.348892193993
50,2020-03-12,12,103.90616070296332,17380.587578918992,True,51,98.6274778807213,29265.348892193993
51,2020-03-13,27,103.90616070296332,17380.587578918992,True,52,110.14731397894457,29265.348892193993
52,2020-03-14,27,103.90616070296332,17380.587578918992,True,53,123.00790913366839,29265.348892193993
53,2020-03-15,27,103.90616070296332,17380.587578918992,True,54,137.36413083412947,29265.348892193993
54,2020-03-16,36,103.90616070296332,17380.587578918992,True,55,153.38844383030985,29265.348892193993
55,2020-03-17,36,103.90616070296332,17380.587578918992,True,56,171.2728377982111,29265.348892193993
56,2020-03-18,51,103.90616070296332,17380.587578918992,True,57,191.2309483249519,29265.348892193993
57,2020-03-19,51,103.90616070296332,17380.587578918992,True,58,213.50038608370514,29265.348892193993
58,2020-03-20,69,103.90616070296332,17380.587578918992,True,59,238.34528899334353,29265.348892193993
59,2020-03-21,76,103.90616070296332,17380.587578918992,True,60,266.05911166596076,29265.348892193993
60,2020-03-22,76,103.90616070296332,17380.587578918992,True,61,296.96766540344277,29265.348892193993
61,2020-03-23,81,103.90616070296332,17380.587578918992,True,62,331.4324202475057,29265.348892193993
62,2020-03-24,81,103.90616070296332,17380.587578918992,True,63,369.8540779156458,29265.348892193993
63,2020-03-25,86,103.90616070296332,17380.587578918992,True,64,412.67642062637987,29265.348892193993
64,2020-03-26,86,103.90616070296332,17380.587578918992,True,65,460.39043554214885,29265.348892193993
65,2020-03-27,94,103.90616070296332,17380.587578918992,True,66,513.5387074964667,29265.348892193993
66,2020-03-28,94,103.90616070296332,17380.587578918992,True,67,572.720063426505,29265.348892193993
67,2020-03-29,94,103.90616070296332,17380.587578918992,True,68,638.5944400486468,29265.348892193993
