,Report_Date,Malta_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,77.56220160962306,277.37933088448284,True,1,0.2435914576828523,553.5200452336336
1,2020-01-23,0,0,77.56220160962306,277.37933088448284,True,2,0.2694584322594954,553.5200452336336
2,2020-01-24,0,0,77.56220160962306,277.37933088448284,True,3,0.2980707441146338,553.5200452336336
3,2020-01-25,0,0,77.56220160962306,277.37933088448284,True,4,0.32971943369688145,553.5200452336336
4,2020-01-26,0,0,77.56220160962306,277.37933088448284,True,5,0.36472632159166263,553.5200452336336
5,2020-01-27,0,0,77.56220160962306,277.37933088448284,True,6,0.4034472472869702,553.5200452336336
6,2020-01-28,0,0,77.56220160962306,277.37933088448284,True,7,0.4462756450357663,553.5200452336336
7,2020-01-29,0,0,77.56220160962306,277.37933088448284,True,8,0.4936464910717579,553.5200452336336
8,2020-01-30,0,0,77.56220160962306,277.37933088448284,True,9,0.5460406597293034,553.5200452336336
9,2020-01-31,0,0,77.56220160962306,277.37933088448284,True,10,0.6039897295859245,553.5200452336336
10,2020-02-01,0,0,77.56220160962306,277.37933088448284,True,11,0.6680812845996731,553.5200452336336
11,2020-02-02,0,0,77.56220160962306,277.37933088448284,True,12,0.7389647593635273,553.5200452336336
12,2020-02-03,0,0,77.56220160962306,277.37933088448284,True,13,0.8173578820518219,553.5200452336336
13,2020-02-04,0,0,77.56220160962306,277.37933088448284,True,14,0.9040537733916731,553.5200452336336
14,2020-02-05,0,0,77.56220160962306,277.37933088448284,True,15,0.9999287650514634,553.5200452336336
15,2020-02-06,0,0,77.56220160962306,277.37933088448284,True,16,1.105951006186601,553.5200452336336
16,2020-02-07,0,0,77.56220160962306,277.37933088448284,True,17,1.2231899324972926,553.5200452336336
17,2020-02-08,0,0,77.56220160962306,277.37933088448284,True,18,1.3528266779976579,553.5200452336336
18,2020-02-09,0,0,77.56220160962306,277.37933088448284,True,19,1.4961655157166125,553.5200452336336
19,2020-02-10,0,0,77.56220160962306,277.37933088448284,True,20,1.6546464196732484,553.5200452336336
20,2020-02-11,0,0,77.56220160962306,277.37933088448284,True,21,1.8298588465903283,553.5200452336336
