,Report_Date,Nicaragua_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,84.95829051930002,8.778321698248712,True,1,0.009969966761845094,16.747492255633542
1,2020-01-23,0,84.95829051930002,8.778321698248712,True,2,0.010897499673103514,16.747492255633542
2,2020-01-24,0,84.95829051930002,8.778321698248712,True,3,0.011911264896869753,16.747492255633542
3,2020-01-25,0,84.95829051930002,8.778321698248712,True,4,0.013019268007539078,16.747492255633542
4,2020-01-26,0,84.95829051930002,8.778321698248712,True,5,0.014230255575306024,16.747492255633542
5,2020-01-27,0,84.95829051930002,8.778321698248712,True,6,0.015553783320488172,16.747492255633542
6,2020-01-28,0,84.95829051930002,8.778321698248712,True,7,0.017000290452220387,16.747492255633542
7,2020-01-29,0,84.95829051930002,8.778321698248712,True,8,0.018581180736224154,16.747492255633542
8,2020-01-30,0,84.95829051930002,8.778321698248712,True,9,0.020308910881084573,16.747492255633542
9,2020-01-31,0,84.95829051930002,8.778321698248712,True,10,0.022197086880213723,16.747492255633542
10,2020-02-01,0,84.95829051930002,8.778321698248712,True,11,0.024260568997505564,16.747492255633542
11,2020-02-02,0,84.95829051930002,8.778321698248712,True,12,0.02651558613862409,16.747492255633542
12,2020-02-03,0,84.95829051930002,8.778321698248712,True,13,0.02897986040689543,16.747492255633542
13,2020-02-04,0,84.95829051930002,8.778321698248712,True,14,0.03167274270282114,16.747492255633542
14,2020-02-05,0,84.95829051930002,8.778321698248712,True,15,0.034615360289144796,16.747492255633542
15,2020-02-06,0,84.95829051930002,8.778321698248712,True,16,0.03783077730894551,16.747492255633542
16,2020-02-07,0,84.95829051930002,8.778321698248712,True,17,0.041344169312043044,16.747492255633542
17,2020-02-08,0,84.95829051930002,8.778321698248712,True,18,0.04518301291458043,16.747492255633542
18,2020-02-09,0,84.95829051930002,8.778321698248712,True,19,0.0493772917873288,16.747492255633542
19,2020-02-10,0,84.95829051930002,8.778321698248712,True,20,0.053959720239149814,16.747492255633542
20,2020-02-11,0,84.95829051930002,8.778321698248712,True,21,0.058965985732012685,16.747492255633542
21,2020-02-12,0,84.95829051930002,8.778321698248712,True,22,0.06443501173154496,16.747492255633542
22,2020-02-13,0,84.95829051930002,8.778321698248712,True,23,0.07040924236047816,16.747492255633542
23,2020-02-14,0,84.95829051930002,8.778321698248712,True,24,0.07693495037926938,16.747492255633542
24,2020-02-15,0,84.95829051930002,8.778321698248712,True,25,0.08406257006585308,16.747492255633542
