,Report_Date,Equatorial Guinea_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,64.5622640029536,9.49517592216135,True,1,0.00022697208150496668,18.028842251812563
1,2020-01-23,0,64.5622640029536,9.49517592216135,True,2,0.0002712789196167108,18.028842251812563
2,2020-01-24,0,64.5622640029536,9.49517592216135,True,3,0.0003242346733696455,18.028842251812563
3,2020-01-25,0,64.5622640029536,9.49517592216135,True,4,0.0003875275909256213,18.028842251812563
4,2020-01-26,0,64.5622640029536,9.49517592216135,True,5,0.0004631754354334533,18.028842251812563
5,2020-01-27,0,64.5622640029536,9.49517592216135,True,6,0.000553589788673183,18.028842251812563
6,2020-01-28,0,64.5622640029536,9.49517592216135,True,7,0.0006616528983418612,18.028842251812563
7,2020-01-29,0,64.5622640029536,9.49517592216135,True,8,0.0007908095137213354,18.028842251812563
8,2020-01-30,0,64.5622640029536,9.49517592216135,True,9,0.0009451766300307714,18.028842251812563
9,2020-01-31,0,64.5622640029536,9.49517592216135,True,10,0.0011296746294451397,18.028842251812563
10,2020-02-01,0,64.5622640029536,9.49517592216135,True,11,0.0013501839842300683,18.028842251812563
11,2020-02-02,0,64.5622640029536,9.49517592216135,True,12,0.0016137324956962452,18.028842251812563
12,2020-02-03,0,64.5622640029536,9.49517592216135,True,13,0.0019287190066160566,18.028842251812563
13,2020-02-04,0,64.5622640029536,9.49517592216135,True,14,0.0023051806738675746,18.028842251812563
14,2020-02-05,0,64.5622640029536,9.49517592216135,True,15,0.0027551122572478212,18.028842251812563
15,2020-02-06,0,64.5622640029536,9.49517592216135,True,16,0.0032928475107611263,18.028842251812563
16,2020-02-07,0,64.5622640029536,9.49517592216135,True,17,0.003935514702622776,18.028842251812563
17,2020-02-08,0,64.5622640029536,9.49517592216135,True,18,0.004703580596441001,18.028842251812563
18,2020-02-09,0,64.5622640029536,9.49517592216135,True,19,0.005621499964758753,18.028842251812563
19,2020-02-10,0,64.5622640029536,9.49517592216135,True,20,0.006718490954227262,18.028842251812563
20,2020-02-11,0,64.5622640029536,9.49517592216135,True,21,0.008029460467819063,18.028842251812563
21,2020-02-12,0,64.5622640029536,9.49517592216135,True,22,0.009596108275082664,18.028842251812563
22,2020-02-13,0,64.5622640029536,9.49517592216135,True,23,0.011468243921208569,18.028842251812563
23,2020-02-14,0,64.5622640029536,9.49517592216135,True,24,0.013705356807495449,18.028842251812563
24,2020-02-15,0,64.5622640029536,9.49517592216135,True,25,0.01637848719942021,18.028842251812563
25,2020-02-16,0,64.5622640029536,9.49517592216135,True,26,0.019572454532391443,18.028842251812563
26,2020-02-17,0,64.5622640029536,9.49517592216135,True,27,0.023388509380589177,18.028842251812563
27,2020-02-18,0,64.5622640029536,9.49517592216135,True,28,0.027947486974681204,18.028842251812563
28,2020-02-19,0,64.5622640029536,9.49517592216135,True,29,0.0333935533190712,18.028842251812563
29,2020-02-20,0,64.5622640029536,9.49517592216135,True,30,0.03989864983800748,18.028842251812563
30,2020-02-21,0,64.5622640029536,9.49517592216135,True,31,0.04766775905249133,18.028842251812563
31,2020-02-22,0,64.5622640029536,9.49517592216135,True,32,0.05694513188950182,18.028842251812563
32,2020-02-23,0,64.5622640029536,9.49517592216135,True,33,0.06802163645342574,18.028842251812563
33,2020-02-24,0,64.5622640029536,9.49517592216135,True,34,0.08124340769720054,18.028842251812563
34,2020-02-25,0,64.5622640029536,9.49517592216135,True,35,0.0970219961476655,18.028842251812563
35,2020-02-26,0,64.5622640029536,9.49517592216135,True,36,0.11584622964215541,18.028842251812563
36,2020-02-27,0,64.5622640029536,9.49517592216135,True,37,0.1382960118267048,18.028842251812563
37,2020-02-28,0,64.5622640029536,9.49517592216135,True,38,0.1650582803638931,18.028842251812563
38,2020-02-29,0,64.5622640029536,9.49517592216135,True,39,0.19694532977877457,18.028842251812563
39,2020-03-01,0,64.5622640029536,9.49517592216135,True,40,0.23491565930151506,18.028842251812563
40,2020-03-02,0,64.5622640029536,9.49517592216135,True,41,0.28009742210226124,18.028842251812563
41,2020-03-03,0,64.5622640029536,9.49517592216135,True,42,0.3338144117371112,18.028842251812563
42,2020-03-04,0,64.5622640029536,9.49517592216135,True,43,0.39761430203330994,18.028842251812563
43,2020-03-05,0,64.5622640029536,9.49517592216135,True,44,0.4732985299841672,18.028842251812563
44,2020-03-06,0,64.5622640029536,9.49517592216135,True,45,0.5629527441325669,18.028842251812563
45,2020-03-07,0,64.5622640029536,9.49517592216135,True,46,0.6689760966539997,18.028842251812563
46,2020-03-08,0,64.5622640029536,9.49517592216135,True,47,0.7941068005379041,18.028842251812563
47,2020-03-09,0,64.5622640029536,9.49517592216135,True,48,0.9414402791687967,18.028842251812563
48,2020-03-10,0,64.5622640029536,9.49517592216135,True,49,1.1144349059690002,18.028842251812563
49,2020-03-11,0,64.5622640029536,9.49517592216135,True,50,1.3168988193779998,18.028842251812563
50,2020-03-12,0,64.5622640029536,9.49517592216135,True,51,1.5529497415400975,18.028842251812563
51,2020-03-13,0,64.5622640029536,9.49517592216135,True,52,1.826938393629978,18.028842251812563
52,2020-03-14,0,64.5622640029536,9.49517592216135,True,53,2.1433254226735188,18.028842251812563
53,2020-03-15,1,64.5622640029536,9.49517592216135,True,54,2.506502363563679,18.028842251812563
54,2020-03-16,1,64.5622640029536,9.49517592216135,True,55,2.920549852079827,18.028842251812563
55,2020-03-17,1,64.5622640029536,9.49517592216135,True,56,3.3889319212179982,18.028842251812563
