,Report_Date,Australia_queensland_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,65.88721467745584,524.7525356197613,True,1,0.012498751296137645,1049.5015350006163
1,2020-01-23,0,0,65.88721467745584,524.7525356197613,True,2,0.01488513905099711,1049.5015350006163
2,2020-01-24,0,0,65.88721467745584,524.7525356197613,True,3,0.017727152347082446,1049.5015350006163
3,2020-01-25,0,0,65.88721467745584,524.7525356197613,True,4,0.021111779122821618,1049.5015350006163
4,2020-01-26,0,0,65.88721467745584,524.7525356197613,True,5,0.02514261368998159,1049.5015350006163
5,2020-01-27,0,0,65.88721467745584,524.7525356197613,True,6,0.02994302639876321,1049.5015350006163
6,2020-01-28,0,0,65.88721467745584,524.7525356197613,True,7,0.03565993806248436,1049.5015350006163
7,2020-01-29,1,1,65.88721467745584,524.7525356197613,True,8,0.04246831442901056,1049.5015350006163
8,2020-01-30,3,3,65.88721467745584,524.7525356197613,True,9,0.05057651792238347,1049.5015350006163
9,2020-01-31,2,2,65.88721467745584,524.7525356197613,True,10,0.06023267997105132,1049.5015350006163
10,2020-02-01,3,3,65.88721467745584,524.7525356197613,True,11,0.07173228826911927,1049.5015350006163
11,2020-02-02,2,2,65.88721467745584,524.7525356197613,True,12,0.08542722020797736,1049.5015350006163
12,2020-02-03,2,2,65.88721467745584,524.7525356197613,True,13,0.10173649755995257,1049.5015350006163
13,2020-02-04,3,3,65.88721467745584,524.7525356197613,True,14,0.1211590895831586,1049.5015350006163
14,2020-02-05,3,3,65.88721467745584,524.7525356197613,True,15,0.1442891535679072,1049.5015350006163
15,2020-02-06,4,4,65.88721467745584,524.7525356197613,True,16,0.1718341752483268,1049.5015350006163
16,2020-02-07,5,5,65.88721467745584,524.7525356197613,True,17,0.20463655855650445,1049.5015350006163
17,2020-02-08,5,5,65.88721467745584,524.7525356197613,True,18,0.24369931735476183,1049.5015350006163
18,2020-02-09,5,5,65.88721467745584,524.7525356197613,True,19,0.2902166439041032,1049.5015350006163
19,2020-02-10,5,5,65.88721467745584,524.7525356197613,True,20,0.3456102732293902,1049.5015350006163
20,2020-02-11,5,5,65.88721467745584,524.7525356197613,True,21,0.4115727330468659,1049.5015350006163
21,2020-02-12,5,5,65.88721467745584,524.7525356197613,True,22,0.4901187699005738,1049.5015350006163
22,2020-02-13,5,5,65.88721467745584,524.7525356197613,True,23,0.5836464785666426,1049.5015350006163
23,2020-02-14,5,5,65.88721467745584,524.7525356197613,True,24,0.6950099391734693,1049.5015350006163
24,2020-02-15,5,5,65.88721467745584,524.7525356197613,True,25,0.8276054909526822,1049.5015350006163
25,2020-02-16,5,5,65.88721467745584,524.7525356197613,True,26,0.9854741496386002,1049.5015350006163
26,2020-02-17,5,5,65.88721467745584,524.7525356197613,True,27,1.1734231140876175,1049.5015350006163
27,2020-02-18,5,5,65.88721467745584,524.7525356197613,True,28,1.3971698134126378,1049.5015350006163
28,2020-02-19,5,5,65.88721467745584,524.7525356197613,True,29,1.663512524866176,1049.5015350006163
29,2020-02-20,5,5,65.88721467745584,524.7525356197613,True,30,1.9805322493236794,1049.5015350006163
30,2020-02-21,5,4,65.88721467745584,524.7525356197613,True,31,2.3578312670235158,1049.5015350006163
31,2020-02-22,5,4,65.88721467745584,524.7525356197613,True,32,2.806814607720443,1049.5015350006163
32,2020-02-23,5,4,65.88721467745584,524.7525356197613,True,33,3.3410215451409044,1049.5015350006163
33,2020-02-24,5,4,65.88721467745584,524.7525356197613,True,34,3.976515141898695,1049.5015350006163
34,2020-02-25,5,4,65.88721467745584,524.7525356197613,True,35,4.73233878591851,1049.5015350006163
35,2020-02-26,5,4,65.88721467745584,524.7525356197613,True,36,5.631049504451915,1049.5015350006163
36,2020-02-27,5,4,65.88721467745584,524.7525356197613,True,37,6.69933851057434,1049.5015350006163
37,2020-02-28,5,4,65.88721467745584,524.7525356197613,True,38,7.968749770119786,1049.5015350006163
38,2020-02-29,9,8,65.88721467745584,524.7525356197613,True,39,9.476507141803287,1049.5015350006163
39,2020-03-01,9,8,65.88721467745584,524.7525356197613,True,40,11.26645950889569,1049.5015350006163
40,2020-03-02,9,8,65.88721467745584,524.7525356197613,True,41,13.390150826998306,1049.5015350006163
41,2020-03-03,11,10,65.88721467745584,524.7525356197613,True,42,15.908017533803488,1049.5015350006163
42,2020-03-04,11,10,65.88721467745584,524.7525356197613,True,43,18.890708474941533,1049.5015350006163
43,2020-03-05,13,5,65.88721467745584,524.7525356197613,True,44,22.420511330982023,1049.5015350006163
44,2020-03-06,13,5,65.88721467745584,524.7525356197613,True,45,26.592853168937445,1049.5015350006163
45,2020-03-07,13,5,65.88721467745584,524.7525356197613,True,46,31.517819644716774,1049.5015350006163
46,2020-03-08,15,7,65.88721467745584,524.7525356197613,True,47,37.32160588122207,1049.5015350006163
47,2020-03-09,15,7,65.88721467745584,524.7525356197613,True,48,44.147770572458796,1049.5015350006163
48,2020-03-10,18,10,65.88721467745584,524.7525356197613,True,49,52.15811238332354,1049.5015350006163
49,2020-03-11,20,12,65.88721467745584,524.7525356197613,True,50,61.53292445171887,1049.5015350006163
50,2020-03-12,20,12,65.88721467745584,524.7525356197613,True,51,72.47031133895294,1049.5015350006163
51,2020-03-13,35,27,65.88721467745584,524.7525356197613,True,52,85.18417958283003,1049.5015350006163
52,2020-03-14,46,38,65.88721467745584,524.7525356197613,True,53,99.90045028587203,1049.5015350006163
53,2020-03-15,61,53,65.88721467745584,524.7525356197613,True,54,116.85100968415432,1049.5015350006163
54,2020-03-16,68,60,65.88721467745584,524.7525356197613,True,55,136.26493975478033,1049.5015350006163
55,2020-03-17,78,70,65.88721467745584,524.7525356197613,True,56,158.35669148992844,1049.5015350006163
56,2020-03-18,94,86,65.88721467745584,524.7525356197613,True,57,183.31111673241608,1049.5015350006163
57,2020-03-19,144,136,65.88721467745584,524.7525356197613,True,58,211.26569001751733,1049.5015350006163
58,2020-03-20,184,176,65.88721467745584,524.7525356197613,True,59,242.29083287349434,1049.5015350006163
59,2020-03-21,221,213,65.88721467745584,524.7525356197613,True,60,276.3699540405022,1049.5015350006163
60,2020-03-22,259,251,65.88721467745584,524.7525356197613,True,61,313.3815266608449,1049.5015350006163
61,2020-03-23,319,311,65.88721467745584,524.7525356197613,True,62,353.0860528930497,1049.5015350006163
62,2020-03-24,397,389,65.88721467745584,524.7525356197613,True,63,395.1208891144839,1049.5015350006163
63,2020-03-25,443,435,65.88721467745584,524.7525356197613,True,64,439.0054156674866,1049.5015350006163
64,2020-03-26,493,484,65.88721467745584,524.7525356197613,True,65,484.1578474679545,1049.5015350006163
65,2020-03-27,555,546,65.88721467745584,524.7525356197613,True,66,529.9232151801873,1049.5015350006163
66,2020-03-28,625,616,65.88721467745584,524.7525356197613,True,67,575.6100523229659,1049.5015350006163
67,2020-03-29,656,646,65.88721467745584,524.7525356197613,True,68,620.5316091811397,1049.5015350006163
68,2020-03-30,689,679,65.88721467745584,524.7525356197613,True,69,664.0464749377466,1049.5015350006163
69,2020-03-31,743,733,65.88721467745584,524.7525356197613,True,70,705.5936140020036,1049.5015350006163
70,2020-04-01,781,771,65.88721467745584,524.7525356197613,True,71,744.7179721332598,1049.5015350006163
71,2020-04-02,835,823,65.88721467745584,524.7525356197613,True,72,781.0846324728898,1049.5015350006163
72,2020-04-03,873,861,65.88721467745584,524.7525356197613,True,73,814.4814854752374,1049.5015350006163
73,2020-04-04,900,888,65.88721467745584,524.7525356197613,True,74,844.8120355660086,1049.5015350006163
74,2020-04-05,907,895,65.88721467745584,524.7525356197613,True,75,872.0809995137247,1049.5015350006163
75,2020-04-06,921,744,65.88721467745584,524.7525356197613,True,76,896.3756892835387,1049.5015350006163
76,2020-04-07,934,757,65.88721467745584,524.7525356197613,True,77,917.8459375468594,1049.5015350006163
77,2020-04-08,943,766,65.88721467745584,524.7525356197613,True,78,936.6847352463994,1049.5015350006163
78,2020-04-09,953,604,65.88721467745584,524.7525356197613,True,79,953.1110307425059,1049.5015350006163
79,2020-04-10,965,589,65.88721467745584,524.7525356197613,True,80,967.3554588633355,1049.5015350006163
80,2020-04-11,974,597,65.88721467745584,524.7525356197613,True,81,979.6492226218955,1049.5015350006163
81,2020-04-12,983,606,65.88721467745584,524.7525356197613,True,82,990.215972974509,1049.5015350006163
82,2020-04-13,987,610,65.88721467745584,524.7525356197613,True,83,999.2663117886406,1049.5015350006163
83,2020-04-14,998,551,65.88721467745584,524.7525356197613,True,84,1006.9944473074745,1049.5015350006163
84,2020-04-15,999,552,65.88721467745584,524.7525356197613,True,85,1013.5765214149714,1049.5015350006163
85,2020-04-16,1001,554,65.88721467745584,524.7525356197613,True,86,1019.1701694798518,1049.5015350006163
86,2020-04-17,1007,560,65.88721467745584,524.7525356197613,True,87,1023.9149400715621,1049.5015350006163
87,2020-04-18,1015,271,65.88721467745584,524.7525356197613,True,88,1027.9332754725551,1049.5015350006163
88,2020-04-19,1019,275,65.88721467745584,524.7525356197613,True,89,1031.331823921445,1049.5015350006163
89,2020-04-20,1019,275,65.88721467745584,524.7525356197613,True,90,1034.2029154728152,1049.5015350006163
90,2020-04-21,1024,280,65.88721467745584,524.7525356197613,True,91,1036.6260833175813,1049.5015350006163
91,2020-04-22,1024,280,65.88721467745584,524.7525356197613,True,92,1038.6695515141853,1049.5015350006163
92,2020-04-23,1026,282,65.88721467745584,524.7525356197613,True,93,1040.391639541047,1049.5015350006163
93,2020-04-24,1026,282,65.88721467745584,524.7525356197613,True,94,1041.8420555145456,1049.5015350006163
94,2020-04-25,1026,217,65.88721467745584,524.7525356197613,True,95,1043.0630649796674,1049.5015350006163
95,2020-04-26,1030,98,65.88721467745584,524.7525356197613,True,96,1044.0905323689672,1049.5015350006163
96,2020-04-27,1033,101,65.88721467745584,524.7525356197613,True,97,1044.9548387986,1049.5015350006163
97,2020-04-28,1034,94,65.88721467745584,524.7525356197613,True,98,1045.6816838366092,1049.5015350006163
98,2020-04-29,1033,84,65.88721467745584,524.7525356197613,True,99,1046.2927810176818,1049.5015350006163
99,2020-04-30,1033,79,65.88721467745584,524.7525356197613,True,100,1046.8064577750984,1049.5015350006163
100,2020-05-01,1034,63,65.88721467745584,524.7525356197613,True,101,1047.2381705426828,1049.5015350006163
101,2020-05-02,1035,53,65.88721467745584,524.7525356197613,True,102,1047.6009453534082,1049.5015350006163
102,2020-05-03,1038,52,65.88721467745584,524.7525356197613,True,103,1047.9057535410104,1049.5015350006163
103,2020-05-04,1043,57,65.88721467745584,524.7525356197613,True,104,1048.1618312824303,1049.5015350006163
104,2020-05-05,1043,52,65.88721467745584,524.7525356197613,True,105,1048.3769507988336,1049.5015350006163
105,2020-05-06,1045,50,65.88721467745584,524.7525356197613,True,106,1048.557650122928,1049.5015350006163
106,2020-05-07,1045,45,65.88721467745584,524.7525356197613,True,107,1048.7094274775125,1049.5015350006163
107,2020-05-08,1045,20,65.88721467745584,524.7525356197613,True,108,1048.8369055150933,1049.5015350006163
108,2020-05-09,1045,20,65.88721467745584,524.7525356197613,True,109,1048.943969950386,1049.5015350006163
109,2020-05-10,1045,18,65.88721467745584,524.7525356197613,True,110,1049.0338864786809,1049.5015350006163
110,2020-05-11,1051,18,65.88721467745584,524.7525356197613,True,111,1049.1093993110962,1049.5015350006163
111,2020-05-12,1052,18,65.88721467745584,524.7525356197613,True,112,1049.1728141677327,1049.5015350006163
112,2020-05-13,1051,15,65.88721467745584,524.7525356197613,True,113,1049.2260681454204,1049.5015350006163
113,2020-05-14,1054,17,65.88721467745584,524.7525356197613,True,114,1049.2707885113418,1049.5015350006163
114,2020-05-15,1055,13,65.88721467745584,524.7525356197613,True,115,1049.3083421605184,1049.5015350006163
115,2020-05-16,1055,12,65.88721467745584,524.7525356197613,True,116,1049.3398772075227,1049.5015350006163
116,2020-05-17,1057,13,65.88721467745584,524.7525356197613,True,117,1049.3663579548163,1049.5015350006163
117,2020-05-18,1057,12,65.88721467745584,524.7525356197613,True,118,1049.3885942864247,1049.5015350006163
118,2020-05-19,1058,12,65.88721467745584,524.7525356197613,True,119,1049.4072663713969,1049.5015350006163
119,2020-05-20,1058,12,65.88721467745584,524.7525356197613,True,120,1049.422945422446,1049.5015350006163
120,2020-05-21,1058,12,65.88721467745584,524.7525356197613,True,121,1049.4361111375842,1049.5015350006163
121,2020-05-22,1060,13,65.88721467745584,524.7525356197613,True,122,1049.4471663532845,1049.5015350006163
122,2020-05-23,1061,14,65.88721467745584,524.7525356197613,True,123,1049.456449353918,1049.5015350006163
123,2020-05-24,1056,12,65.88721467745584,524.7525356197613,True,124,1049.4642442116,1049.5015350006163
124,2020-05-25,1057,12,65.88721467745584,524.7525356197613,True,125,1049.4707894710668,1049.5015350006163
125,2020-05-26,1058,7,65.88721467745584,524.7525356197613,True,126,1049.4762854441026,1049.5015350006163
126,2020-05-27,1058,6,65.88721467745584,524.7525356197613,True,127,1049.480900335873,1049.5015350006163
127,2020-05-28,1058,6,65.88721467745584,524.7525356197613,True,128,1049.4847753900299,1049.5015350006163
