,Report_Date,China_jiangxi_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
35,2020-02-26,934,214,14.097122932137092,468.3583744988159,True,36,935.2560755119747,936.7167489976315
36,2020-02-27,934,179,14.097122932137092,468.3583744988159,True,37,935.6288265247894,936.7167489976315
37,2020-02-28,935,144,14.097122932137092,468.3583744988159,True,38,935.9065371658875,936.7167489976315
38,2020-02-29,935,123,14.097122932137092,468.3583744988159,True,39,936.1134031753614,936.7167489976315
39,2020-03-01,935,103,14.097122932137092,468.3583744988159,True,40,936.2674768142431,936.7167489976315
40,2020-03-02,935,84,14.097122932137092,468.3583744988159,True,41,936.3822194391961,936.7167489976315
41,2020-03-03,935,64,14.097122932137092,468.3583744988159,True,42,936.4676649747057,936.7167489976315
42,2020-03-04,935,50,14.097122932137092,468.3583744988159,True,43,936.5312903351672,936.7167489976315
43,2020-03-05,935,33,14.097122932137092,468.3583744988159,True,44,936.5786657991614,936.7167489976315
44,2020-03-06,935,25,14.097122932137092,468.3583744988159,True,45,936.6139405169612,936.7167489976315
45,2020-03-07,935,18,14.097122932137092,468.3583744988159,True,46,936.6402046959296,936.7167489976315
46,2020-03-08,935,15,14.097122932137092,468.3583744988159,True,47,936.6597596509091,936.7167489976315
47,2020-03-09,935,11,14.097122932137092,468.3583744988159,True,48,936.6743190812949,936.7167489976315
48,2020-03-10,935,7,14.097122932137092,468.3583744988159,True,49,936.6851590469706,936.7167489976315
49,2020-03-11,935,2,14.097122932137092,468.3583744988159,True,50,936.6932296952515,936.7167489976315
50,2020-03-12,935,0,14.097122932137092,468.3583744988159,True,51,936.6992384806721,936.7167489976315
51,2020-03-13,935,0,14.097122932137092,468.3583744988159,True,52,936.7037121440412,936.7167489976315
52,2020-03-14,935,0,14.097122932137092,468.3583744988159,True,53,936.7070428681927,936.7167489976315
53,2020-03-15,935,0,14.097122932137092,468.3583744988159,True,54,936.7095226479263,936.7167489976315
54,2020-03-16,935,0,14.097122932137092,468.3583744988159,True,55,936.7113688824093,936.7167489976315
55,2020-03-17,935,0,14.097122932137092,468.3583744988159,True,56,936.7127434310027,936.7167489976315
56,2020-03-18,935,0,14.097122932137092,468.3583744988159,True,57,936.7137668016484,936.7167489976315
57,2020-03-19,935,0,14.097122932137092,468.3583744988159,True,58,936.7145287149044,936.7167489976315
58,2020-03-20,935,0,14.097122932137092,468.3583744988159,True,59,936.7150959693289,936.7167489976315
59,2020-03-21,935,0,14.097122932137092,468.3583744988159,True,60,936.7155182975441,936.7167489976315
60,2020-03-22,936,1,14.097122932137092,468.3583744988159,True,61,936.7158327262474,936.7167489976315
61,2020-03-23,936,1,14.097122932137092,468.3583744988159,True,62,936.7160668223512,936.7167489976315
62,2020-03-24,936,1,14.097122932137092,468.3583744988159,True,63,936.7162411098031,936.7167489976315
63,2020-03-25,936,1,14.097122932137092,468.3583744988159,True,64,936.7163708689578,936.7167489976315
64,2020-03-26,936,1,14.097122932137092,468.3583744988159,True,65,936.7164674762389,936.7167489976315
65,2020-03-27,936,1,14.097122932137092,468.3583744988159,True,66,936.7165394015392,936.7167489976315
66,2020-03-28,936,1,14.097122932137092,468.3583744988159,True,67,936.7165929508009,936.7167489976315
67,2020-03-29,937,2,14.097122932137092,468.3583744988159,True,68,936.7166328188769,936.7167489976315
68,2020-03-30,937,1,14.097122932137092,468.3583744988159,True,69,936.7166625011431,936.7167489976315
69,2020-03-31,937,1,14.097122932137092,468.3583744988159,True,70,936.7166845999499,936.7167489976315
70,2020-04-01,937,1,14.097122932137092,468.3583744988159,True,71,936.7167010527791,936.7167489976315
71,2020-04-02,937,1,14.097122932137092,468.3583744988159,True,72,936.7167133021095,936.7167489976315
72,2020-04-03,937,1,14.097122932137092,468.3583744988159,True,73,936.7167224218841,936.7167489976315
73,2020-04-04,937,1,14.097122932137092,468.3583744988159,True,74,936.7167292116667,936.7167489976315
74,2020-04-05,937,1,14.097122932137092,468.3583744988159,True,75,936.7167342667417,936.7167489976315
75,2020-04-06,937,1,14.097122932137092,468.3583744988159,True,76,936.7167380303061,936.7167489976315
76,2020-04-07,937,1,14.097122932137092,468.3583744988159,True,77,936.7167408323253,936.7167489976315
77,2020-04-08,937,1,14.097122932137092,468.3583744988159,True,78,936.7167429184625,936.7167489976315
78,2020-04-09,937,1,14.097122932137092,468.3583744988159,True,79,936.7167444716168,936.7167489976315
79,2020-04-10,937,0,14.097122932137092,468.3583744988159,True,80,936.716745627959,936.7167489976315
80,2020-04-11,937,0,14.097122932137092,468.3583744988159,True,81,936.7167464888696,936.7167489976315
81,2020-04-12,937,0,14.097122932137092,468.3583744988159,True,82,936.716747129828,936.7167489976315
82,2020-04-13,937,0,14.097122932137092,468.3583744988159,True,83,936.7167476070292,936.7167489976315
83,2020-04-14,937,0,14.097122932137092,468.3583744988159,True,84,936.7167479623115,936.7167489976315
84,2020-04-15,937,0,14.097122932137092,468.3583744988159,True,85,936.7167482268234,936.7167489976315
85,2020-04-16,937,0,14.097122932137092,468.3583744988159,True,86,936.7167484237556,936.7167489976315
86,2020-04-17,937,0,14.097122932137092,468.3583744988159,True,87,936.716748570374,936.7167489976315
87,2020-04-18,937,0,14.097122932137092,468.3583744988159,True,88,936.7167486795332,936.7167489976315
88,2020-04-19,937,0,14.097122932137092,468.3583744988159,True,89,936.7167487608035,936.7167489976315
89,2020-04-20,937,0,14.097122932137092,468.3583744988159,True,90,936.7167488213104,936.7167489976315
90,2020-04-21,937,0,14.097122932137092,468.3583744988159,True,91,936.7167488663582,936.7167489976315
91,2020-04-22,937,0,14.097122932137092,468.3583744988159,True,92,936.7167488998971,936.7167489976315
92,2020-04-23,937,0,14.097122932137092,468.3583744988159,True,93,936.716748924867,936.7167489976315
93,2020-04-24,937,0,14.097122932137092,468.3583744988159,True,94,936.7167489434574,936.7167489976315
94,2020-04-25,937,0,14.097122932137092,468.3583744988159,True,95,936.7167489572984,936.7167489976315
95,2020-04-26,937,0,14.097122932137092,468.3583744988159,True,96,936.7167489676032,936.7167489976315
96,2020-04-27,937,0,14.097122932137092,468.3583744988159,True,97,936.716748975275,936.7167489976315
97,2020-04-28,937,0,14.097122932137092,468.3583744988159,True,98,936.7167489809868,936.7167489976315
98,2020-04-29,937,0,14.097122932137092,468.3583744988159,True,99,936.7167489852395,936.7167489976315
99,2020-04-30,937,0,14.097122932137092,468.3583744988159,True,100,936.7167489884056,936.7167489976315
100,2020-05-01,937,0,14.097122932137092,468.3583744988159,True,101,936.7167489907628,936.7167489976315
101,2020-05-02,937,0,14.097122932137092,468.3583744988159,True,102,936.7167489925176,936.7167489976315
102,2020-05-03,937,0,14.097122932137092,468.3583744988159,True,103,936.7167489938242,936.7167489976315
103,2020-05-04,937,0,14.097122932137092,468.3583744988159,True,104,936.716748994797,936.7167489976315
104,2020-05-05,937,0,14.097122932137092,468.3583744988159,True,105,936.7167489955212,936.7167489976315
105,2020-05-06,937,0,14.097122932137092,468.3583744988159,True,106,936.7167489960606,936.7167489976315
106,2020-05-07,937,0,14.097122932137092,468.3583744988159,True,107,936.716748996462,936.7167489976315
107,2020-05-08,937,0,14.097122932137092,468.3583744988159,True,108,936.7167489967609,936.7167489976315
108,2020-05-09,937,0,14.097122932137092,468.3583744988159,True,109,936.7167489969833,936.7167489976315
109,2020-05-10,937,0,14.097122932137092,468.3583744988159,True,110,936.716748997149,936.7167489976315
110,2020-05-11,937,0,14.097122932137092,468.3583744988159,True,111,936.7167489972724,936.7167489976315
111,2020-05-12,937,0,14.097122932137092,468.3583744988159,True,112,936.716748997364,936.7167489976315
112,2020-05-13,937,0,14.097122932137092,468.3583744988159,True,113,936.7167489974324,936.7167489976315
113,2020-05-14,937,0,14.097122932137092,468.3583744988159,True,114,936.7167489974835,936.7167489976315
114,2020-05-15,937,0,14.097122932137092,468.3583744988159,True,115,936.7167489975213,936.7167489976315
115,2020-05-16,937,0,14.097122932137092,468.3583744988159,True,116,936.7167489975495,936.7167489976315
116,2020-05-17,937,0,14.097122932137092,468.3583744988159,True,117,936.7167489975706,936.7167489976315
117,2020-05-18,937,0,14.097122932137092,468.3583744988159,True,118,936.7167489975861,936.7167489976315
118,2020-05-19,937,0,14.097122932137092,468.3583744988159,True,119,936.7167489975978,936.7167489976315
119,2020-05-20,937,0,14.097122932137092,468.3583744988159,True,120,936.7167489976066,936.7167489976315
120,2020-05-21,937,0,14.097122932137092,468.3583744988159,True,121,936.716748997613,936.7167489976315
121,2020-05-22,937,0,14.097122932137092,468.3583744988159,True,122,936.7167489976177,936.7167489976315
122,2020-05-23,937,0,14.097122932137092,468.3583744988159,True,123,936.7167489976214,936.7167489976315
123,2020-05-24,937,0,14.097122932137092,468.3583744988159,True,124,936.716748997624,936.7167489976315
124,2020-05-25,937,0,14.097122932137092,468.3583744988159,True,125,936.7167489976259,936.7167489976315
125,2020-05-26,937,0,14.097122932137092,468.3583744988159,True,126,936.7167489976274,936.7167489976315
126,2020-05-27,937,0,14.097122932137092,468.3583744988159,True,127,936.7167489976287,936.7167489976315
127,2020-05-28,937,0,14.097122932137092,468.3583744988159,True,128,936.7167489976295,936.7167489976315
