,Report_Date,China_jiangxi_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,2,2,14.097122932137092,468.3583744988159,True,1,19.252088680242107,936.7167489976315
1,2020-01-23,7,7,14.097122932137092,468.3583744988159,True,2,25.677563952720742,936.7167489976315
2,2020-01-24,18,18,14.097122932137092,468.3583744988159,True,3,34.16770637429196,936.7167489976315
3,2020-01-25,18,18,14.097122932137092,468.3583744988159,True,4,45.3254039376709,936.7167489976315
4,2020-01-26,36,36,14.097122932137092,468.3583744988159,True,5,59.88496602842846,936.7167489976315
5,2020-01-27,72,70,14.097122932137092,468.3583744988159,True,6,78.70843446268093,936.7167489976315
6,2020-01-28,109,106,14.097122932137092,468.3583744988159,True,7,102.75525267581988,936.7167489976315
7,2020-01-29,109,106,14.097122932137092,468.3583744988159,True,8,133.0098967907266,936.7167489976315
8,2020-01-30,162,157,14.097122932137092,468.3583744988159,True,9,170.35290578943923,936.7167489976315
9,2020-01-31,240,233,14.097122932137092,468.3583744988159,True,10,215.37063540167142,936.7167489976315
10,2020-02-01,286,277,14.097122932137092,468.3583744988159,True,11,268.12268655567846,936.7167489976315
11,2020-02-02,333,321,14.097122932137092,468.3583744988159,True,12,327.9218255327563,936.7167489976315
12,2020-02-03,391,373,14.097122932137092,468.3583744988159,True,13,393.2141720384582,936.7167489976315
13,2020-02-04,476,456,14.097122932137092,468.3583744988159,True,14,461.64870756028336,936.7167489976315
14,2020-02-05,548,521,14.097122932137092,468.3583744988159,True,15,530.3710071246572,936.7167489976315
15,2020-02-06,600,563,14.097122932137092,468.3583744988159,True,16,596.4788274499972,936.7167489976315
16,2020-02-07,661,616,14.097122932137092,468.3583744988159,True,17,657.4938078504919,936.7167489976315
17,2020-02-08,698,643,14.097122932137092,468.3583744988159,True,18,711.6947656833357,936.7167489976315
18,2020-02-09,740,667,14.097122932137092,468.3583744988159,True,19,758.230696267697,936.7167489976315
19,2020-02-10,771,665,14.097122932137092,468.3583744988159,True,20,797.0316071941367,936.7167489976315
20,2020-02-11,804,675,14.097122932137092,468.3583744988159,True,21,828.6003598898435,936.7167489976315
21,2020-02-12,844,691,14.097122932137092,468.3583744988159,True,22,853.7770181699082,936.7167489976315
22,2020-02-13,872,701,14.097122932137092,468.3583744988159,True,23,873.5379067589578,936.7167489976315
23,2020-02-14,900,712,14.097122932137092,468.3583744988159,True,24,888.8545808110865,936.7167489976315
24,2020-02-15,913,702,14.097122932137092,468.3583744988159,True,25,900.6114565518736,936.7167489976315
25,2020-02-16,925,684,14.097122932137092,468.3583744988159,True,26,909.5685768622631,936.7167489976315
26,2020-02-17,930,654,14.097122932137092,468.3583744988159,True,27,916.3538273458346,936.7167489976315
27,2020-02-18,933,622,14.097122932137092,468.3583744988159,True,28,921.4716373025304,936.7167489976315
28,2020-02-19,934,571,14.097122932137092,468.3583744988159,True,29,925.3191872880689,936.7167489976315
29,2020-02-20,934,500,14.097122932137092,468.3583744988159,True,30,928.2046654486364,936.7167489976315
30,2020-02-21,934,444,14.097122932137092,468.3583744988159,True,31,930.3646526206637,936.7167489976315
31,2020-02-22,934,378,14.097122932137092,468.3583744988159,True,32,931.9793288470256,936.7167489976315
32,2020-02-23,934,320,14.097122932137092,468.3583744988159,True,33,933.1851191866526,936.7167489976315
33,2020-02-24,934,288,14.097122932137092,468.3583744988159,True,34,934.084872812219,936.7167489976315
34,2020-02-25,934,250,14.097122932137092,468.3583744988159,True,35,934.7558778046234,936.7167489976315
