,Report_Date,Australia_northern territory_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,71.38920780984574,19.237756704061145,True,1,0.0004520827315274546,36.65313987786947
1,2020-01-23,0,71.38920780984574,19.237756704061145,True,2,0.000531197011387391,36.65313987786947
2,2020-01-24,0,71.38920780984574,19.237756704061145,True,3,0.000624156030947464,36.65313987786947
3,2020-01-25,0,71.38920780984574,19.237756704061145,True,4,0.000733382488796077,36.65313987786947
4,2020-01-26,0,71.38920780984574,19.237756704061145,True,5,0.0008617230003375911,36.65313987786947
5,2020-01-27,0,71.38920780984574,19.237756704061145,True,6,0.001012522261150374,36.65313987786947
6,2020-01-28,0,71.38920780984574,19.237756704061145,True,7,0.0011897101803549713,36.65313987786947
7,2020-01-29,0,71.38920780984574,19.237756704061145,True,8,0.0013979042504497431,36.65313987786947
8,2020-01-30,0,71.38920780984574,19.237756704061145,True,9,0.001642529815442522,36.65313987786947
9,2020-01-31,0,71.38920780984574,19.237756704061145,True,10,0.0019299613631881608,36.65313987786947
10,2020-02-01,0,71.38920780984574,19.237756704061145,True,11,0.0022676885124748997,36.65313987786947
11,2020-02-02,0,71.38920780984574,19.237756704061145,True,12,0.0026645110044317705,36.65313987786947
12,2020-02-03,0,71.38920780984574,19.237756704061145,True,13,0.003130767757426085,36.65313987786947
13,2020-02-04,0,71.38920780984574,19.237756704061145,True,14,0.0036786059236536797,36.65313987786947
14,2020-02-05,0,71.38920780984574,19.237756704061145,True,15,0.004322296916083788,36.65313987786947
15,2020-02-06,0,71.38920780984574,19.237756704061145,True,16,0.005078607581890434,36.65313987786947
16,2020-02-07,0,71.38920780984574,19.237756704061145,True,17,0.005967236112699042,36.65313987786947
17,2020-02-08,0,71.38920780984574,19.237756704061145,True,18,0.007011323937337763,36.65313987786947
18,2020-02-09,0,71.38920780984574,19.237756704061145,True,19,0.008238056779113007,36.65313987786947
19,2020-02-10,0,71.38920780984574,19.237756704061145,True,20,0.0096793703227894,36.65313987786947
20,2020-02-11,0,71.38920780984574,19.237756704061145,True,21,0.011372778579081687,36.65313987786947
21,2020-02-12,0,71.38920780984574,19.237756704061145,True,22,0.013362346116683603,36.65313987786947
22,2020-02-13,0,71.38920780984574,19.237756704061145,True,23,0.01569982892193815,36.65313987786947
23,2020-02-14,0,71.38920780984574,19.237756704061145,True,24,0.018446012821151617,36.65313987786947
24,2020-02-15,0,71.38920780984574,19.237756704061145,True,25,0.021672283246206136,36.65313987786947
25,2020-02-16,0,71.38920780984574,19.237756704061145,True,26,0.025462465735344032,36.65313987786947
26,2020-02-17,0,71.38920780984574,19.237756704061145,True,27,0.029914983040726307,36.65313987786947
27,2020-02-18,0,71.38920780984574,19.237756704061145,True,28,0.03514538217196831,36.65313987786947
28,2020-02-19,0,71.38920780984574,19.237756704061145,True,29,0.04128929325294799,36.65313987786947
29,2020-02-20,0,71.38920780984574,19.237756704061145,True,30,0.04850589181838138,36.65313987786947
30,2020-02-21,0,71.38920780984574,19.237756704061145,True,31,0.05698194722730733,36.65313987786947
31,2020-02-22,0,71.38920780984574,19.237756704061145,True,32,0.06693655230026271,36.65313987786947
32,2020-02-23,0,71.38920780984574,19.237756704061145,True,33,0.07862664313184833,36.65313987786947
33,2020-02-24,0,71.38920780984574,19.237756704061145,True,34,0.0923534332589711,36.65313987786947
34,2020-02-25,0,71.38920780984574,19.237756704061145,True,35,0.10846990283994395,36.65313987786947
35,2020-02-26,0,71.38920780984574,19.237756704061145,True,36,0.12738950092479853,36.65313987786947
36,2020-02-27,0,71.38920780984574,19.237756704061145,True,37,0.14959623674482667,36.65313987786947
37,2020-02-28,0,71.38920780984574,19.237756704061145,True,38,0.17565635336039123,36.65313987786947
38,2020-02-29,0,71.38920780984574,19.237756704061145,True,39,0.20623179265615285,36.65313987786947
39,2020-03-01,0,71.38920780984574,19.237756704061145,True,40,0.2420956725953457,36.65313987786947
40,2020-03-02,0,71.38920780984574,19.237756704061145,True,41,0.28415000299966847,36.65313987786947
41,2020-03-03,0,71.38920780984574,19.237756704061145,True,42,0.3334458609010991,36.65313987786947
42,2020-03-04,1,71.38920780984574,19.237756704061145,True,43,0.3912062251748354,36.65313987786947
43,2020-03-05,1,71.38920780984574,19.237756704061145,True,44,0.4588516251928761,36.65313987786947
44,2020-03-06,0,71.38920780984574,19.237756704061145,True,45,0.5380286796416083,36.65313987786947
45,2020-03-07,0,71.38920780984574,19.237756704061145,True,46,0.630641476417654,36.65313987786947
46,2020-03-08,0,71.38920780984574,19.237756704061145,True,47,0.7388855561417231,36.65313987786947
47,2020-03-09,0,71.38920780984574,19.237756704061145,True,48,0.865283989975131,36.65313987786947
48,2020-03-10,1,71.38920780984574,19.237756704061145,True,49,1.0127246630194529,36.65313987786947
49,2020-03-11,1,71.38920780984574,19.237756704061145,True,50,1.1844973606872848,36.65313987786947
50,2020-03-12,1,71.38920780984574,19.237756704061145,True,51,1.3843285794244322,36.65313987786947
51,2020-03-13,1,71.38920780984574,19.237756704061145,True,52,1.616411120997187,36.65313987786947
52,2020-03-14,1,71.38920780984574,19.237756704061145,True,53,1.8854244681128127,36.65313987786947
53,2020-03-15,1,71.38920780984574,19.237756704061145,True,54,2.1965406877508253,36.65313987786947
54,2020-03-16,1,71.38920780984574,19.237756704061145,True,55,2.5554092157442647,36.65313987786947
55,2020-03-17,1,71.38920780984574,19.237756704061145,True,56,2.968112451754444,36.65313987786947
56,2020-03-18,1,71.38920780984574,19.237756704061145,True,57,3.4410828355943046,36.65313987786947
