,Report_Date,China_hong kong_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,65.56041919157427,528.4073921423228,True,1,0.04285990782101614,1056.8023087713282
1,2020-01-23,2,2,65.56041919157427,528.4073921423228,True,2,0.050127547853649895,1056.8023087713282
2,2020-01-24,2,2,65.56041919157427,528.4073921423228,True,3,0.058627473816543235,1056.8023087713282
3,2020-01-25,5,5,65.56041919157427,528.4073921423228,True,4,0.06856860439803535,1056.8023087713282
4,2020-01-26,8,8,65.56041919157427,528.4073921423228,True,5,0.08019526858821464,1056.8023087713282
5,2020-01-27,8,8,65.56041919157427,528.4073921423228,True,6,0.09379320408135555,1056.8023087713282
6,2020-01-28,8,8,65.56041919157427,528.4073921423228,True,7,0.10969657053812984,1056.8023087713282
7,2020-01-29,10,10,65.56041919157427,528.4073921423228,True,8,0.12829614894925034,1056.8023087713282
8,2020-01-30,10,10,65.56041919157427,528.4073921423228,True,9,0.15004892706686734,1056.8023087713282
9,2020-01-31,12,12,65.56041919157427,528.4073921423228,True,10,0.1754893043504787,1056.8023087713282
10,2020-02-01,13,13,65.56041919157427,528.4073921423228,True,11,0.20524218887452367,1056.8023087713282
11,2020-02-02,15,15,65.56041919157427,528.4073921423228,True,12,0.2400383040435058,1056.8023087713282
12,2020-02-03,15,15,65.56041919157427,528.4073921423228,True,13,0.28073207576353193,1056.8023087713282
13,2020-02-04,17,16,65.56041919157427,528.4073921423228,True,14,0.3283225320744276,1056.8023087713282
14,2020-02-05,21,20,65.56041919157427,528.4073921423228,True,15,0.38397771845726547,1056.8023087713282
15,2020-02-06,24,23,65.56041919157427,528.4073921423228,True,16,0.449063214568724,1056.8023087713282
16,2020-02-07,25,24,65.56041919157427,528.4073921423228,True,17,0.5251754336629256,1056.8023087713282
17,2020-02-08,26,25,65.56041919157427,528.4073921423228,True,18,0.6141804962697169,1056.8023087713282
18,2020-02-09,29,28,65.56041919157427,528.4073921423228,True,19,0.718259596806373,1056.8023087713282
19,2020-02-10,38,37,65.56041919157427,528.4073921423228,True,20,0.8399619278630756,1056.8023087713282
20,2020-02-11,49,48,65.56041919157427,528.4073921423228,True,21,0.9822663941921882,1056.8023087713282
21,2020-02-12,50,48,65.56041919157427,528.4073921423228,True,22,1.148653539263899,1056.8023087713282
22,2020-02-13,53,51,65.56041919157427,528.4073921423228,True,23,1.3431893238758046,1056.8023087713282
23,2020-02-14,56,54,65.56041919157427,528.4073921423228,True,24,1.5706226407307695,1056.8023087713282
24,2020-02-15,56,54,65.56041919157427,528.4073921423228,True,25,1.8364987226368308,1056.8023087713282
25,2020-02-16,57,54,65.56041919157427,528.4073921423228,True,26,2.147290905672693,1056.8023087713282
26,2020-02-17,60,57,65.56041919157427,528.4073921423228,True,27,2.510553541532118,1056.8023087713282
27,2020-02-18,62,59,65.56041919157427,528.4073921423228,True,28,2.9350992123812394,1056.8023087713282
28,2020-02-19,63,56,65.56041919157427,528.4073921423228,True,29,3.431203780807358,1056.8023087713282
29,2020-02-20,68,60,65.56041919157427,528.4073921423228,True,30,4.010843196059021,1056.8023087713282
30,2020-02-21,68,61,65.56041919157427,528.4073921423228,True,31,4.68796635848885,1056.8023087713282
31,2020-02-22,69,61,65.56041919157427,528.4073921423228,True,32,5.478808690525667,1056.8023087713282
32,2020-02-23,74,61,65.56041919157427,528.4073921423228,True,33,6.402251335768141,1056.8023087713282
33,2020-02-24,79,58,65.56041919157427,528.4073921423228,True,34,7.480231052228126,1056.8023087713282
34,2020-02-25,84,63,65.56041919157427,528.4073921423228,True,35,8.738205803314514,1056.8023087713282
35,2020-02-26,91,65,65.56041919157427,528.4073921423228,True,36,10.205680673554212,1056.8023087713282
36,2020-02-27,92,66,65.56041919157427,528.4073921423228,True,37,11.916797900495947,1056.8023087713282
37,2020-02-28,94,62,65.56041919157427,528.4073921423228,True,38,13.910993327870807,1056.8023087713282
38,2020-02-29,95,60,65.56041919157427,528.4073921423228,True,39,16.233719198620932,1056.8023087713282
39,2020-03-01,96,58,65.56041919157427,528.4073921423228,True,40,18.93722960316595,1056.8023087713282
40,2020-03-02,100,62,65.56041919157427,528.4073921423228,True,41,22.08141968652644,1056.8023087713282
41,2020-03-03,100,61,65.56041919157427,528.4073921423228,True,42,25.73470242929738,1056.8023087713282
42,2020-03-04,105,66,65.56041919157427,528.4073921423228,True,43,29.97489691711504,1056.8023087713282
43,2020-03-05,105,60,65.56041919157427,528.4073921423228,True,44,34.89008893055612,1056.8023087713282
44,2020-03-06,107,59,65.56041919157427,528.4073921423228,True,45,40.579407879515486,1056.8023087713282
45,2020-03-07,108,55,65.56041919157427,528.4073921423228,True,46,47.15364317098972,1056.8023087713282
46,2020-03-08,114,53,65.56041919157427,528.4073921423228,True,47,54.735597957707135,1056.8023087713282
47,2020-03-09,115,53,65.56041919157427,528.4073921423228,True,48,63.460049382536724,1056.8023087713282
48,2020-03-10,120,52,65.56041919157427,528.4073921423228,True,49,73.47315339503938,1056.8023087713282
49,2020-03-11,126,58,65.56041919157427,528.4073921423228,True,50,84.93110190083792,1056.8023087713282
50,2020-03-12,129,59,65.56041919157427,528.4073921423228,True,51,97.9978153150505,1056.8023087713282
51,2020-03-13,134,53,65.56041919157427,528.4073921423228,True,52,112.8414418826821,1056.8023087713282
52,2020-03-14,140,58,65.56041919157427,528.4073921423228,True,53,129.62944642415104,1056.8023087713282
53,2020-03-15,145,60,65.56041919157427,528.4073921423228,True,54,148.52211778247244,1056.8023087713282
54,2020-03-16,155,67,65.56041919157427,528.4073921423228,True,55,169.66441941802466,1056.8023087713282
55,2020-03-17,162,70,65.56041919157427,528.4073921423228,True,56,193.17626260397543,1056.8023087713282
56,2020-03-18,181,85,65.56041919157427,528.4073921423228,True,57,219.14150130608576,1056.8023087713282
57,2020-03-19,208,109,65.56041919157427,528.4073921423228,True,58,247.596224389206,1056.8023087713282
58,2020-03-20,256,154,65.56041919157427,528.4073921423228,True,59,278.51722793414865,1056.8023087713282
59,2020-03-21,273,171,65.56041919157427,528.4073921423228,True,60,311.8118392610731,1056.8023087713282
60,2020-03-22,317,213,65.56041919157427,528.4073921423228,True,61,347.3104650027231,1056.8023087713282
61,2020-03-23,356,252,65.56041919157427,528.4073921423228,True,62,384.76326836176696,1056.8023087713282
62,2020-03-24,386,281,65.56041919157427,528.4073921423228,True,63,423.84217616849645,1056.8023087713282
