,Report_Date,DRC_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,75.43695244795798,156.73746731398055,True,1,0.0036515586098663584,286.8028664350004
1,2020-01-23,0,75.43695244795798,156.73746731398055,True,2,0.004253612816340541,286.8028664350004
2,2020-01-24,0,75.43695244795798,156.73746731398055,True,3,0.004954929714951271,286.8028664350004
3,2020-01-25,0,75.43695244795798,156.73746731398055,True,4,0.005771874517948189,286.8028664350004
4,2020-01-26,0,75.43695244795798,156.73746731398055,True,5,0.006723510332670488,286.8028664350004
5,2020-01-27,0,75.43695244795798,156.73746731398055,True,6,0.00783204285301529,286.8028664350004
6,2020-01-28,0,75.43695244795798,156.73746731398055,True,7,0.009123338323508291,286.8028664350004
7,2020-01-29,0,75.43695244795798,156.73746731398055,True,8,0.010627526840142548,286.8028664350004
8,2020-01-30,0,75.43695244795798,156.73746731398055,True,9,0.01237970503524266,286.8028664350004
9,2020-01-31,0,75.43695244795798,156.73746731398055,True,10,0.014420754501521714,286.8028664350004
10,2020-02-01,0,75.43695244795798,156.73746731398055,True,11,0.016798294996015404,286.8028664350004
11,2020-02-02,0,75.43695244795798,156.73746731398055,True,12,0.019567794588921116,286.8028664350004
12,2020-02-03,0,75.43695244795798,156.73746731398055,True,13,0.02279386255648109,286.8028664350004
13,2020-02-04,0,75.43695244795798,156.73746731398055,True,14,0.026551755043064007,286.8028664350004
14,2020-02-05,0,75.43695244795798,156.73746731398055,True,15,0.030929128430515294,286.8028664350004
15,2020-02-06,0,75.43695244795798,156.73746731398055,True,16,0.036028081062398104,286.8028664350004
16,2020-02-07,0,75.43695244795798,156.73746731398055,True,17,0.04196753060350934,286.8028664350004
17,2020-02-08,0,75.43695244795798,156.73746731398055,True,18,0.048885982016775985,286.8028664350004
18,2020-02-09,0,75.43695244795798,156.73746731398055,True,19,0.056944750077789874,286.8028664350004
19,2020-02-10,0,75.43695244795798,156.73746731398055,True,20,0.06633171071379787,286.8028664350004
20,2020-02-11,0,75.43695244795798,156.73746731398055,True,21,0.07726566746832803,286.8028664350004
21,2020-02-12,0,75.43695244795798,156.73746731398055,True,22,0.09000143330465704,286.8028664350004
22,2020-02-13,0,75.43695244795798,156.73746731398055,True,23,0.10483574405432776,286.8028664350004
23,2020-02-14,0,75.43695244795798,156.73746731398055,True,24,0.12211413841045732,286.8028664350004
24,2020-02-15,0,75.43695244795798,156.73746731398055,True,25,0.14223896081772675,286.8028664350004
25,2020-02-16,0,75.43695244795798,156.73746731398055,True,26,0.16567866831969133,286.8028664350004
26,2020-02-17,0,75.43695244795798,156.73746731398055,True,27,0.1929786508271548,286.8028664350004
27,2020-02-18,0,75.43695244795798,156.73746731398055,True,28,0.22477380684385995,286.8028664350004
28,2020-02-19,0,75.43695244795798,156.73746731398055,True,29,0.2618031539339925,286.8028664350004
29,2020-02-20,0,75.43695244795798,156.73746731398055,True,30,0.3049267956664345,286.8028664350004
30,2020-02-21,0,75.43695244795798,156.73746731398055,True,31,0.35514561495137753,286.8028664350004
31,2020-02-22,0,75.43695244795798,156.73746731398055,True,32,0.41362411809642374,286.8028664350004
32,2020-02-23,0,75.43695244795798,156.73746731398055,True,33,0.4817169149813156,286.8028664350004
33,2020-02-24,0,75.43695244795798,156.73746731398055,True,34,0.5609993887780123,286.8028664350004
34,2020-02-25,0,75.43695244795798,156.73746731398055,True,35,0.6533031836955199,286.8028664350004
35,2020-02-26,0,75.43695244795798,156.73746731398055,True,36,0.760757221022712,286.8028664350004
36,2020-02-27,0,75.43695244795798,156.73746731398055,True,37,0.8858350414624482,286.8028664350004
37,2020-02-28,0,75.43695244795798,156.73746731398055,True,38,1.0314093638079425,286.8028664350004
38,2020-02-29,0,75.43695244795798,156.73746731398055,True,39,1.2008148437162287,286.8028664350004
39,2020-03-01,0,75.43695244795798,156.73746731398055,True,40,1.3979201074504939,286.8028664350004
40,2020-03-02,0,75.43695244795798,156.73746731398055,True,41,1.6272102176369165,286.8028664350004
41,2020-03-03,0,75.43695244795798,156.73746731398055,True,42,1.8938807920771454,286.8028664350004
42,2020-03-04,0,75.43695244795798,156.73746731398055,True,43,2.203945029388209,286.8028664350004
43,2020-03-05,0,75.43695244795798,156.73746731398055,True,44,2.564354878545104,286.8028664350004
44,2020-03-06,0,75.43695244795798,156.73746731398055,True,45,2.9831374985298877,286.8028664350004
45,2020-03-07,0,75.43695244795798,156.73746731398055,True,46,3.4695479561037157,286.8028664350004
46,2020-03-08,0,75.43695244795798,156.73746731398055,True,47,4.034238760604103,286.8028664350004
47,2020-03-09,0,75.43695244795798,156.73746731398055,True,48,4.68944627829903,286.8028664350004
48,2020-03-10,0,75.43695244795798,156.73746731398055,True,49,5.449193233958935,286.8028664350004
49,2020-03-11,1,75.43695244795798,156.73746731398055,True,50,6.329505306050744,286.8028664350004
50,2020-03-12,1,75.43695244795798,156.73746731398055,True,51,7.3486381492392905,286.8028664350004
51,2020-03-13,2,75.43695244795798,156.73746731398055,True,52,8.527308913204523,286.8028664350004
52,2020-03-14,2,75.43695244795798,156.73746731398055,True,53,9.888923340027269,286.8028664350004
53,2020-03-15,2,75.43695244795798,156.73746731398055,True,54,11.459785686080552,286.8028664350004
54,2020-03-16,2,75.43695244795798,156.73746731398055,True,55,13.269273925619238,286.8028664350004
55,2020-03-17,3,75.43695244795798,156.73746731398055,True,56,15.34995690951198,286.8028664350004
56,2020-03-18,4,75.43695244795798,156.73746731398055,True,57,17.7376234451575,286.8028664350004
