,Report_Date,Bhutan_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,63.91014906824737,2.692610655961895,True,1,0.0002335141721099376,5.365447272010073
1,2020-01-23,0,63.91014906824737,2.692610655961895,True,2,0.0002739433860292576,5.365447272010073
2,2020-01-24,0,63.91014906824737,2.692610655961895,True,3,0.0003213718487582517,5.365447272010073
3,2020-01-25,0,63.91014906824737,2.692610655961895,True,4,0.00037701113789274915,5.365447272010073
4,2020-01-26,0,63.91014906824737,2.692610655961895,True,5,0.0004422824973007536,5.365447272010073
5,2020-01-27,0,63.91014906824737,2.692610655961895,True,6,0.0005188530981039815,5.365447272010073
6,2020-01-28,0,63.91014906824737,2.692610655961895,True,7,0.0006086785624877247,5.365447272010073
7,2020-01-29,0,63.91014906824737,2.692610655961895,True,8,0.0007140528288756438,5.365447272010073
8,2020-01-30,0,63.91014906824737,2.692610655961895,True,9,0.0008376666215570929,5.365447272010073
9,2020-01-31,0,63.91014906824737,2.692610655961895,True,10,0.0009826760035368026,5.365447272010073
10,2020-02-01,0,63.91014906824737,2.692610655961895,True,11,0.0011527827432719117,5.365447272010073
11,2020-02-02,0,63.91014906824737,2.692610655961895,True,12,0.0013523285199153897,5.365447272010073
12,2020-02-03,0,63.91014906824737,2.692610655961895,True,13,0.0015864053343974296,5.365447272010073
13,2020-02-04,0,63.91014906824737,2.692610655961895,True,14,0.0018609848927892646,5.365447272010073
14,2020-02-05,0,63.91014906824737,2.692610655961895,True,15,0.0021830701925733076,5.365447272010073
15,2020-02-06,0,63.91014906824737,2.692610655961895,True,16,0.002560873081446657,5.365447272010073
16,2020-02-07,0,63.91014906824737,2.692610655961895,True,17,0.0030040221829968758,5.365447272010073
17,2020-02-08,0,63.91014906824737,2.692610655961895,True,18,0.0035238063060106257,5.365447272010073
18,2020-02-09,0,63.91014906824737,2.692610655961895,True,19,0.004133459287334011,5.365447272010073
19,2020-02-10,0,63.91014906824737,2.692610655961895,True,20,0.004848493175943306,5.365447272010073
20,2020-02-11,0,63.91014906824737,2.692610655961895,True,21,0.0056870877624852646,5.365447272010073
21,2020-02-12,0,63.91014906824737,2.692610655961895,True,22,0.006670545708083572,5.365447272010073
22,2020-02-13,0,63.91014906824737,2.692610655961895,True,23,0.007823823941555062,5.365447272010073
23,2020-02-14,0,63.91014906824737,2.692610655961895,True,24,0.009176153585493202,5.365447272010073
24,2020-02-15,0,63.91014906824737,2.692610655961895,True,25,0.010761762444175258,5.365447272010073
25,2020-02-16,0,63.91014906824737,2.692610655961895,True,26,0.012620716037007302,5.365447272010073
26,2020-02-17,0,63.91014906824737,2.692610655961895,True,27,0.014799895274626563,5.365447272010073
27,2020-02-18,0,63.91014906824737,2.692610655961895,True,28,0.017354131116192825,5.365447272010073
28,2020-02-19,0,63.91014906824737,2.692610655961895,True,29,0.02034751885341047,5.365447272010073
29,2020-02-20,0,63.91014906824737,2.692610655961895,True,30,0.02385493693735144,5.365447272010073
30,2020-02-21,0,63.91014906824737,2.692610655961895,True,31,0.027963797340483244,5.365447272010073
31,2020-02-22,0,63.91014906824737,2.692610655961895,True,32,0.032776056093941894,5.365447272010073
32,2020-02-23,0,63.91014906824737,2.692610655961895,True,33,0.03841051352019907,5.365447272010073
33,2020-02-24,0,63.91014906824737,2.692610655961895,True,34,0.04500543331550585,5.365447272010073
34,2020-02-25,0,63.91014906824737,2.692610655961895,True,35,0.052721507363089545,5.365447272010073
35,2020-02-26,0,63.91014906824737,2.692610655961895,True,36,0.06174518807881625,5.365447272010073
36,2020-02-27,0,63.91014906824737,2.692610655961895,True,37,0.0722924010099003,5.365447272010073
37,2020-02-28,0,63.91014906824737,2.692610655961895,True,38,0.08461263576415595,5.365447272010073
38,2020-02-29,0,63.91014906824737,2.692610655961895,True,39,0.09899339115439082,5.365447272010073
39,2020-03-01,0,63.91014906824737,2.692610655961895,True,40,0.11576491823758206,5.365447272010073
40,2020-03-02,0,63.91014906824737,2.692610655961895,True,41,0.13530515977014684,5.365447272010073
41,2020-03-03,0,63.91014906824737,2.692610655961895,True,42,0.15804472314612084,5.365447272010073
42,2020-03-04,0,63.91014906824737,2.692610655961895,True,43,0.18447164261057383,5.365447272010073
43,2020-03-05,0,63.91014906824737,2.692610655961895,True,44,0.21513558219104112,5.365447272010073
44,2020-03-06,1,63.91014906824737,2.692610655961895,True,45,0.25065100117116323,5.365447272010073
45,2020-03-07,1,63.91014906824737,2.692610655961895,True,46,0.2916986491791822,5.365447272010073
46,2020-03-08,1,63.91014906824737,2.692610655961895,True,47,0.33902458242198186,5.365447272010073
47,2020-03-09,1,63.91014906824737,2.692610655961895,True,48,0.3934357073711414,5.365447272010073
48,2020-03-10,1,63.91014906824737,2.692610655961895,True,49,0.455790684339734,5.365447272010073
49,2020-03-11,1,63.91014906824737,2.692610655961895,True,50,0.5269848952361351,5.365447272010073
50,2020-03-12,1,63.91014906824737,2.692610655961895,True,51,0.6079281477488929,5.365447272010073
51,2020-03-13,1,63.91014906824737,2.692610655961895,True,52,0.6995139192163348,5.365447272010073
52,2020-03-14,1,63.91014906824737,2.692610655961895,True,53,0.8025793166686855,5.365447272010073
53,2020-03-15,1,63.91014906824737,2.692610655961895,True,54,0.9178556246192628,5.365447272010073
54,2020-03-16,1,63.91014906824737,2.692610655961895,True,55,1.0459103869507438,5.365447272010073
55,2020-03-17,1,63.91014906824737,2.692610655961895,True,56,1.1870834265656924,5.365447272010073
56,2020-03-18,1,63.91014906824737,2.692610655961895,True,57,1.3414209542353717,5.365447272010073
57,2020-03-19,1,63.91014906824737,2.692610655961895,True,58,1.5086137336635086,5.365447272010073
58,2020-03-20,2,63.91014906824737,2.692610655961895,True,59,1.6879467884034192,5.365447272010073
59,2020-03-21,2,63.91014906824737,2.692610655961895,True,60,1.8782688866387107,5.365447272010073
60,2020-03-22,2,63.91014906824737,2.692610655961895,True,61,2.0779895438631373,5.365447272010073
61,2020-03-23,2,63.91014906824737,2.692610655961895,True,62,2.285109214493187,5.365447272010073
62,2020-03-24,2,63.91014906824737,2.692610655961895,True,63,2.497284702069219,5.365447272010073
63,2020-03-25,2,63.91014906824737,2.692610655961895,True,64,2.7119270516683054,5.365447272010073
64,2020-03-26,2,63.91014906824737,2.692610655961895,True,65,2.9263241757332303,5.365447272010073
65,2020-03-27,3,63.91014906824737,2.692610655961895,True,66,3.1377763215764443,5.365447272010073
66,2020-03-28,3,63.91014906824737,2.692610655961895,True,67,3.3437302392429937,5.365447272010073
67,2020-03-29,4,63.91014906824737,2.692610655961895,True,68,3.5418981389811126,5.365447272010073
68,2020-03-30,4,63.91014906824737,2.692610655961895,True,69,3.7303501772322423,5.365447272010073
69,2020-03-31,4,63.91014906824737,2.692610655961895,True,70,3.907573592253277,5.365447272010073
70,2020-04-01,4,63.91014906824737,2.692610655961895,True,71,4.0724966577895705,5.365447272010073
71,2020-04-02,5,63.91014906824737,2.692610655961895,True,72,4.224480240925854,5.365447272010073
72,2020-04-03,5,63.91014906824737,2.692610655961895,True,73,4.363283128349922,5.365447272010073
73,2020-04-04,5,63.91014906824737,2.692610655961895,True,74,4.489009060015827,5.365447272010073
74,2020-04-05,5,63.91014906824737,2.692610655961895,True,75,4.602043650344781,5.365447272010073
75,2020-04-06,5,63.91014906824737,2.692610655961895,True,76,4.702988451820721,5.365447272010073
76,2020-04-07,5,63.91014906824737,2.692610655961895,True,77,4.792597811277807,5.365447272010073
77,2020-04-08,5,63.91014906824737,2.692610655961895,True,78,4.871722342879304,5.365447272010073
78,2020-04-09,5,63.91014906824737,2.692610655961895,True,79,4.9412611339431525,5.365447272010073
79,2020-04-10,5,63.91014906824737,2.692610655961895,True,80,5.002123407693596,5.365447272010073
80,2020-04-11,5,63.91014906824737,2.692610655961895,True,81,5.05519936279154,5.365447272010073
81,2020-04-12,5,63.91014906824737,2.692610655961895,True,82,5.101339277517099,5.365447272010073
82,2020-04-13,5,63.91014906824737,2.692610655961895,True,83,5.141339642857937,5.365447272010073
83,2020-04-14,5,63.91014906824737,2.692610655961895,True,84,5.175934992640002,5.365447272010073
84,2020-04-15,5,63.91014906824737,2.692610655961895,True,85,5.205794152616878,5.365447272010073
85,2020-04-16,5,63.91014906824737,2.692610655961895,True,86,5.23151977002686,5.365447272010073
86,2020-04-17,5,63.91014906824737,2.692610655961895,True,87,5.253650163138641,5.365447272010073
87,2020-04-18,5,63.91014906824737,2.692610655961895,True,88,5.272662715008577,5.365447272010073
88,2020-04-19,5,63.91014906824737,2.692610655961895,True,89,5.288978208062168,5.365447272010073
