,Report_Date,China_shanghai_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,9,29.631501086942006,280.52150179873433,True,1,127.0242232768145,521.9159061800007
1,2020-01-23,16,29.631501086942006,280.52150179873433,True,2,131.29066715024382,521.9159061800007
2,2020-01-24,20,29.631501086942006,280.52150179873433,True,3,135.65562145027388,521.9159061800007
3,2020-01-25,33,29.631501086942006,280.52150179873433,True,4,140.1183797864953,521.9159061800007
4,2020-01-26,40,29.631501086942006,280.52150179873433,True,5,144.67801970845952,521.9159061800007
5,2020-01-27,53,29.631501086942006,280.52150179873433,True,6,149.33339609686357,521.9159061800007
6,2020-01-28,66,29.631501086942006,280.52150179873433,True,7,154.08313534215463,521.9159061800007
7,2020-01-29,96,29.631501086942006,280.52150179873433,True,8,158.9256304001728,521.9159061800007
8,2020-01-30,112,29.631501086942006,280.52150179873433,True,9,163.85903681207114,521.9159061800007
9,2020-01-31,135,29.631501086942006,280.52150179873433,True,10,168.88126977209905,521.9159061800007
10,2020-02-01,169,29.631501086942006,280.52150179873433,True,11,173.9900023218607,521.9159061800007
11,2020-02-02,182,29.631501086942006,280.52150179873433,True,12,179.18266474333836,521.9159061800007
12,2020-02-03,203,29.631501086942006,280.52150179873433,True,13,184.45644521529755,521.9159061800007
13,2020-02-04,219,29.631501086942006,280.52150179873433,True,14,189.80829178869246,521.9159061800007
14,2020-02-05,243,29.631501086942006,280.52150179873433,True,15,195.2349157264154,521.9159061800007
15,2020-02-06,257,29.631501086942006,280.52150179873433,True,16,200.73279624126724,521.9159061800007
16,2020-02-07,277,29.631501086942006,280.52150179873433,True,17,206.29818665347378,521.9159061800007
17,2020-02-08,286,29.631501086942006,280.52150179873433,True,18,211.92712197558208,521.9159061800007
18,2020-02-09,293,29.631501086942006,280.52150179873433,True,19,217.61542791829888,521.9159061800007
19,2020-02-10,299,29.631501086942006,280.52150179873433,True,20,223.3587312959871,521.9159061800007
20,2020-02-11,303,29.631501086942006,280.52150179873433,True,21,229.15247179532074,521.9159061800007
21,2020-02-12,311,29.631501086942006,280.52150179873433,True,22,234.99191505525764,521.9159061800007
22,2020-02-13,315,29.631501086942006,280.52150179873433,True,23,240.8721669912685,521.9159061800007
23,2020-02-14,318,29.631501086942006,280.52150179873433,True,24,246.78818928192217,521.9159061800007
24,2020-02-15,326,29.631501086942006,280.52150179873433,True,25,252.73481592172715,521.9159061800007
25,2020-02-16,328,29.631501086942006,280.52150179873433,True,26,258.70677073083647,521.9159061800007
26,2020-02-17,333,29.631501086942006,280.52150179873433,True,27,264.69868570007196,521.9159061800007
27,2020-02-18,333,29.631501086942006,280.52150179873433,True,28,270.7051200389622,521.9159061800007
28,2020-02-19,333,29.631501086942006,280.52150179873433,True,29,276.72057978531166,521.9159061800007
29,2020-02-20,334,29.631501086942006,280.52150179873433,True,30,282.7395378274214,521.9159061800007
30,2020-02-21,334,29.631501086942006,280.52150179873433,True,31,288.75645418459874,521.9159061800007
31,2020-02-22,335,29.631501086942006,280.52150179873433,True,32,294.76579638815076,521.9159061800007
32,2020-02-23,335,29.631501086942006,280.52150179873433,True,33,300.7620598037078,521.9159061800007
33,2020-02-24,335,29.631501086942006,280.52150179873433,True,34,306.7397877365121,521.9159061800007
34,2020-02-25,336,29.631501086942006,280.52150179873433,True,35,312.6935911642028,521.9159061800007
35,2020-02-26,337,29.631501086942006,280.52150179873433,True,36,318.6181679465846,521.9159061800007
36,2020-02-27,337,29.631501086942006,280.52150179873433,True,37,324.50832136877244,521.9159061800007
37,2020-02-28,337,29.631501086942006,280.52150179873433,True,38,330.35897788283216,521.9159061800007
38,2020-02-29,337,29.631501086942006,280.52150179873433,True,39,336.1652039233996,521.9159061800007
39,2020-03-01,337,29.631501086942006,280.52150179873433,True,40,341.9222216845671,521.9159061800007
40,2020-03-02,337,29.631501086942006,280.52150179873433,True,41,347.6254237583453,521.9159061800007
41,2020-03-03,338,29.631501086942006,280.52150179873433,True,42,353.2703865489916,521.9159061800007
42,2020-03-04,338,29.631501086942006,280.52150179873433,True,43,358.85288239219375,521.9159061800007
