,Report_Date,China_henan_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
28,2020-02-19,1262,670,13.716127193728376,637.1668249088683,True,29,1257.1934397788573,1274.3336498177357
29,2020-02-20,1265,609,13.716127193728376,637.1668249088683,True,30,1261.3498948905071,1274.3336498177357
30,2020-02-21,1267,512,13.716127193728376,637.1668249088683,True,31,1264.5062996274823,1274.3336498177357
31,2020-02-22,1270,421,13.716127193728376,637.1668249088683,True,32,1266.8998915510788,1274.3336498177357
32,2020-02-23,1271,384,13.716127193728376,637.1668249088683,True,33,1268.7130812034666,1274.3336498177357
33,2020-02-24,1271,309,13.716127193728376,637.1668249088683,True,34,1270.0854934644497,1274.3336498177357
34,2020-02-25,1271,250,13.716127193728376,637.1668249088683,True,35,1271.1236424139088,1274.3336498177357
35,2020-02-26,1271,219,13.716127193728376,637.1668249088683,True,36,1271.9085767183205,1274.3336498177357
36,2020-02-27,1272,184,13.716127193728376,637.1668249088683,True,37,1272.5018497897483,1274.3336498177357
37,2020-02-28,1272,140,13.716127193728376,637.1668249088683,True,38,1272.9501416308485,1274.3336498177357
38,2020-02-29,1272,81,13.716127193728376,637.1668249088683,True,39,1273.2888142114566,1274.3336498177357
39,2020-03-01,1272,52,13.716127193728376,637.1668249088683,True,40,1273.5446336339317,1274.3336498177357
40,2020-03-02,1272,45,13.716127193728376,637.1668249088683,True,41,1273.7378470790793,1274.3336498177357
41,2020-03-03,1272,19,13.716127193728376,637.1668249088683,True,42,1273.883763334864,1274.3336498177357
42,2020-03-04,1272,16,13.716127193728376,637.1668249088683,True,43,1273.9939532100552,1274.3336498177357
43,2020-03-05,1272,11,13.716127193728376,637.1668249088683,True,44,1274.0771599142324,1274.3336498177357
44,2020-03-06,1272,6,13.716127193728376,637.1668249088683,True,45,1274.1399887193159,1274.3336498177357
45,2020-03-07,1272,6,13.716127193728376,637.1668249088683,True,46,1274.1874289821606,1274.3336498177357
46,2020-03-08,1272,3,13.716127193728376,637.1668249088683,True,47,1274.2232490303593,1274.3336498177357
47,2020-03-09,1272,3,13.716127193728376,637.1668249088683,True,48,1274.2502947345233,1274.3336498177357
48,2020-03-10,1272,3,13.716127193728376,637.1668249088683,True,49,1274.2707151780946,1274.3336498177357
49,2020-03-11,1273,2,13.716127193728376,637.1668249088683,True,50,1274.2861331797046,1274.3336498177357
50,2020-03-12,1273,2,13.716127193728376,637.1668249088683,True,51,1274.2977741185969,1274.3336498177357
51,2020-03-13,1273,2,13.716127193728376,637.1668249088683,True,52,1274.3065632442413,1274.3336498177357
52,2020-03-14,1273,1,13.716127193728376,637.1668249088683,True,53,1274.3131991717123,1274.3336498177357
53,2020-03-15,1273,1,13.716127193728376,637.1668249088683,True,54,1274.318209385992,1274.3336498177357
54,2020-03-16,1273,1,13.716127193728376,637.1668249088683,True,55,1274.3219921565296,1274.3336498177357
55,2020-03-17,1273,1,13.716127193728376,637.1668249088683,True,56,1274.324848187819,1274.3336498177357
56,2020-03-18,1273,1,13.716127193728376,637.1668249088683,True,57,1274.3270045185384,1274.3336498177357
57,2020-03-19,1273,1,13.716127193728376,637.1668249088683,True,58,1274.3286325671206,1274.3336498177357
58,2020-03-20,1273,1,13.716127193728376,637.1668249088683,True,59,1274.3298617571675,1274.3336498177357
59,2020-03-21,1273,1,13.716127193728376,637.1668249088683,True,60,1274.3307898052349,1274.3336498177357
60,2020-03-22,1274,2,13.716127193728376,637.1668249088683,True,61,1274.33149048847,1274.3336498177357
61,2020-03-23,1274,2,13.716127193728376,637.1668249088683,True,62,1274.33201950939,1274.3336498177357
62,2020-03-24,1274,2,13.716127193728376,637.1668249088683,True,63,1274.3324189239233,1274.3336498177357
63,2020-03-25,1274,2,13.716127193728376,637.1668249088683,True,64,1274.332720484665,1274.3336498177357
64,2020-03-26,1275,3,13.716127193728376,637.1668249088683,True,65,1274.3329481650853,1274.3336498177357
65,2020-03-27,1275,3,13.716127193728376,637.1668249088683,True,66,1274.3331200653404,1274.3336498177357
66,2020-03-28,1275,2,13.716127193728376,637.1668249088683,True,67,1274.333249851184,1274.3336498177357
67,2020-03-29,1276,3,13.716127193728376,637.1668249088683,True,68,1274.3333478403592,1274.3336498177357
68,2020-03-30,1276,3,13.716127193728376,637.1668249088683,True,69,1274.3334218228354,1274.3336498177357
69,2020-03-31,1276,3,13.716127193728376,637.1668249088683,True,70,1274.3334776800928,1274.3336498177357
70,2020-04-01,1276,3,13.716127193728376,637.1668249088683,True,71,1274.3335198526893,1274.3336498177357
71,2020-04-02,1276,3,13.716127193728376,637.1668249088683,True,72,1274.3335516932761,1274.3336498177357
72,2020-04-03,1276,3,13.716127193728376,637.1668249088683,True,73,1274.3335757331283,1274.3336498177357
73,2020-04-04,1276,3,13.716127193728376,637.1668249088683,True,74,1274.3335938833736,1274.3336498177357
74,2020-04-05,1276,3,13.716127193728376,637.1668249088683,True,75,1274.3336075869274,1274.3336498177357
75,2020-04-06,1276,2,13.716127193728376,637.1668249088683,True,76,1274.3336179332002,1274.3336498177357
76,2020-04-07,1276,2,13.716127193728376,637.1668249088683,True,77,1274.3336257447038,1274.3336498177357
77,2020-04-08,1276,2,13.716127193728376,637.1668249088683,True,78,1274.3336316424397,1274.3336498177357
78,2020-04-09,1276,2,13.716127193728376,637.1668249088683,True,79,1274.3336360952692,1274.3336498177357
79,2020-04-10,1276,2,13.716127193728376,637.1668249088683,True,80,1274.333639457184,1274.3336498177357
80,2020-04-11,1276,2,13.716127193728376,637.1668249088683,True,81,1274.333641995452,1274.3336498177357
81,2020-04-12,1276,1,13.716127193728376,637.1668249088683,True,82,1274.3336439118607,1274.3336498177357
82,2020-04-13,1276,1,13.716127193728376,637.1668249088683,True,83,1274.3336453587617,1274.3336498177357
83,2020-04-14,1276,0,13.716127193728376,637.1668249088683,True,84,1274.3336464511815,1274.3336498177357
84,2020-04-15,1276,0,13.716127193728376,637.1668249088683,True,85,1274.3336472759656,1274.3336498177357
85,2020-04-16,1276,0,13.716127193728376,637.1668249088683,True,86,1274.333647898683,1274.3336498177357
86,2020-04-17,1276,0,13.716127193728376,637.1668249088683,True,87,1274.3336483688383,1274.3336498177357
87,2020-04-18,1276,0,13.716127193728376,637.1668249088683,True,88,1274.3336487238093,1274.3336498177357
88,2020-04-19,1276,0,13.716127193728376,637.1668249088683,True,89,1274.3336489918142,1274.3336498177357
89,2020-04-20,1276,0,13.716127193728376,637.1668249088683,True,90,1274.33364919416,1274.3336498177357
90,2020-04-21,1276,0,13.716127193728376,637.1668249088683,True,91,1274.3336493469321,1274.3336498177357
91,2020-04-22,1276,0,13.716127193728376,637.1668249088683,True,92,1274.333649462276,1274.3336498177357
92,2020-04-23,1276,0,13.716127193728376,637.1668249088683,True,93,1274.3336495493618,1274.3336498177357
93,2020-04-24,1276,0,13.716127193728376,637.1668249088683,True,94,1274.3336496151117,1274.3336498177357
94,2020-04-25,1276,0,13.716127193728376,637.1668249088683,True,95,1274.3336496647535,1274.3336498177357
95,2020-04-26,1276,0,13.716127193728376,637.1668249088683,True,96,1274.3336497022333,1274.3336498177357
96,2020-04-27,1276,0,13.716127193728376,637.1668249088683,True,97,1274.3336497305309,1274.3336498177357
97,2020-04-28,1276,0,13.716127193728376,637.1668249088683,True,98,1274.3336497518958,1274.3336498177357
98,2020-04-29,1276,0,13.716127193728376,637.1668249088683,True,99,1274.3336497680264,1274.3336498177357
99,2020-04-30,1276,0,13.716127193728376,637.1668249088683,True,100,1274.333649780205,1274.3336498177357
100,2020-05-01,1276,0,13.716127193728376,637.1668249088683,True,101,1274.3336497894,1274.3336498177357
101,2020-05-02,1276,0,13.716127193728376,637.1668249088683,True,102,1274.3336497963423,1274.3336498177357
102,2020-05-03,1276,0,13.716127193728376,637.1668249088683,True,103,1274.333649801584,1274.3336498177357
103,2020-05-04,1276,0,13.716127193728376,637.1668249088683,True,104,1274.333649805541,1274.3336498177357
104,2020-05-05,1276,0,13.716127193728376,637.1668249088683,True,105,1274.333649808529,1274.3336498177357
105,2020-05-06,1276,0,13.716127193728376,637.1668249088683,True,106,1274.333649810785,1274.3336498177357
106,2020-05-07,1276,0,13.716127193728376,637.1668249088683,True,107,1274.333649812488,1274.3336498177357
107,2020-05-08,1276,0,13.716127193728376,637.1668249088683,True,108,1274.3336498137737,1274.3336498177357
108,2020-05-09,1276,0,13.716127193728376,637.1668249088683,True,109,1274.3336498147446,1274.3336498177357
109,2020-05-10,1276,0,13.716127193728376,637.1668249088683,True,110,1274.3336498154777,1274.3336498177357
110,2020-05-11,1276,0,13.716127193728376,637.1668249088683,True,111,1274.3336498160313,1274.3336498177357
111,2020-05-12,1276,0,13.716127193728376,637.1668249088683,True,112,1274.3336498164488,1274.3336498177357
112,2020-05-13,1276,0,13.716127193728376,637.1668249088683,True,113,1274.3336498167644,1274.3336498177357
113,2020-05-14,1276,0,13.716127193728376,637.1668249088683,True,114,1274.3336498170027,1274.3336498177357
114,2020-05-15,1276,0,13.716127193728376,637.1668249088683,True,115,1274.3336498171823,1274.3336498177357
115,2020-05-16,1276,0,13.716127193728376,637.1668249088683,True,116,1274.333649817318,1274.3336498177357
116,2020-05-17,1276,0,13.716127193728376,637.1668249088683,True,117,1274.3336498174208,1274.3336498177357
117,2020-05-18,1276,0,13.716127193728376,637.1668249088683,True,118,1274.333649817498,1274.3336498177357
118,2020-05-19,1276,0,13.716127193728376,637.1668249088683,True,119,1274.3336498175568,1274.3336498177357
119,2020-05-20,1276,0,13.716127193728376,637.1668249088683,True,120,1274.3336498176009,1274.3336498177357
120,2020-05-21,1276,0,13.716127193728376,637.1668249088683,True,121,1274.3336498176338,1274.3336498177357
121,2020-05-22,1276,0,13.716127193728376,637.1668249088683,True,122,1274.333649817659,1274.3336498177357
122,2020-05-23,1276,0,13.716127193728376,637.1668249088683,True,123,1274.333649817678,1274.3336498177357
123,2020-05-24,1276,0,13.716127193728376,637.1668249088683,True,124,1274.3336498176925,1274.3336498177357
124,2020-05-25,1276,0,13.716127193728376,637.1668249088683,True,125,1274.3336498177032,1274.3336498177357
125,2020-05-26,1276,0,13.716127193728376,637.1668249088683,True,126,1274.3336498177114,1274.3336498177357
126,2020-05-27,1276,0,13.716127193728376,637.1668249088683,True,127,1274.3336498177177,1274.3336498177357
127,2020-05-28,1276,0,13.716127193728376,637.1668249088683,True,128,1274.3336498177223,1274.3336498177357
