,Report_Date,China_henan_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,5,5,13.716127193728376,637.1668249088683,True,1,34.77543054754925,1274.3336498177357
1,2020-01-23,5,5,13.716127193728376,637.1668249088683,True,2,45.655491608071465,1274.3336498177357
2,2020-01-24,9,9,13.716127193728376,637.1668249088683,True,3,59.77540552000207,1274.3336498177357
3,2020-01-25,32,32,13.716127193728376,637.1668249088683,True,4,77.98502889243237,1274.3336498177357
4,2020-01-26,83,82,13.716127193728376,637.1668249088683,True,5,101.27934865094302,1274.3336498177357
5,2020-01-27,128,127,13.716127193728376,637.1668249088683,True,6,130.77116218888372,1274.3336498177357
6,2020-01-28,168,167,13.716127193728376,637.1668249088683,True,7,167.62362415846374,1274.3336498177357
7,2020-01-29,206,203,13.716127193728376,637.1668249088683,True,8,212.9277147463553,1274.3336498177357
8,2020-01-30,278,274,13.716127193728376,637.1668249088683,True,9,267.5165055401745,1274.3336498177357
9,2020-01-31,352,347,13.716127193728376,637.1668249088683,True,10,331.72641127435946,1274.3336498177357
10,2020-02-01,422,417,13.716127193728376,637.1668249088683,True,11,405.14636304822886,1274.3336498177357
11,2020-02-02,493,481,13.716127193728376,637.1668249088683,True,12,486.4304425649946,1274.3336498177357
12,2020-02-03,566,548,13.716127193728376,637.1668249088683,True,13,573.2666683625966,1274.3336498177357
13,2020-02-04,675,646,13.716127193728376,637.1668249088683,True,14,662.5688116139634,1274.3336498177357
14,2020-02-05,764,715,13.716127193728376,637.1668249088683,True,15,750.8824656944025,1274.3336498177357
15,2020-02-06,851,793,13.716127193728376,637.1668249088683,True,16,834.9026018099876,1274.3336498177357
16,2020-02-07,914,825,13.716127193728376,637.1668249088683,True,17,911.9451883229391,1274.3336498177357
17,2020-02-08,981,861,13.716127193728376,637.1668249088683,True,18,980.2383857162083,1274.3336498177357
18,2020-02-09,1033,874,13.716127193728376,637.1668249088683,True,19,1038.9829707220913,1274.3336498177357
19,2020-02-10,1073,876,13.716127193728376,637.1668249088683,True,20,1088.2213889911604,1274.3336498177357
20,2020-02-11,1105,880,13.716127193728376,637.1668249088683,True,21,1128.6033783980845,1274.3336498177357
21,2020-02-12,1135,881,13.716127193728376,637.1668249088683,True,22,1161.1348580139622,1274.3336498177357
22,2020-02-13,1169,863,13.716127193728376,637.1668249088683,True,23,1186.9664769134386,1274.3336498177357
23,2020-02-14,1184,816,13.716127193728376,637.1668249088683,True,24,1207.2439911456804,1274.3336498177357
24,2020-02-15,1212,808,13.716127193728376,637.1668249088683,True,25,1223.0186524256396,1274.3336498177357
25,2020-02-16,1231,778,13.716127193728376,637.1668249088683,True,26,1235.204466407864,1274.3336498177357
26,2020-02-17,1246,721,13.716127193728376,637.1668249088683,True,27,1244.566936071018,1274.3336498177357
27,2020-02-18,1257,716,13.716127193728376,637.1668249088683,True,28,1251.7302339788457,1274.3336498177357
