,Report_Date,Liechtenstein_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,62.247681001420986,40.98007802733434,True,1,0.0009861019755465752,81.96008862482856
1,2020-01-23,0,0,62.247681001420986,40.98007802733434,True,2,0.0011864379908553492,81.96008862482856
2,2020-01-24,0,0,62.247681001420986,40.98007802733434,True,3,0.001427473468295547,81.96008862482856
3,2020-01-25,0,0,62.247681001420986,40.98007802733434,True,4,0.0017174764302299301,81.96008862482856
4,2020-01-26,0,0,62.247681001420986,40.98007802733434,True,5,0.0020663943908482206,81.96008862482856
5,2020-01-27,0,0,62.247681001420986,40.98007802733434,True,6,0.0024861954494952597,81.96008862482856
6,2020-01-28,0,0,62.247681001420986,40.98007802733434,True,7,0.0029912786292765033,81.96008862482856
7,2020-01-29,0,0,62.247681001420986,40.98007802733434,True,8,0.003598967505673759,81.96008862482856
8,2020-01-30,0,0,62.247681001420986,40.98007802733434,True,9,0.00433010401283744,81.96008862482856
9,2020-01-31,0,0,62.247681001420986,40.98007802733434,True,10,0.005209762731067005,81.96008862482856
10,2020-02-01,0,0,62.247681001420986,40.98007802733434,True,11,0.006268110062056781,81.96008862482856
11,2020-02-02,0,0,62.247681001420986,40.98007802733434,True,12,0.00754143762536891,81.96008862482856
12,2020-02-03,0,0,62.247681001420986,40.98007802733434,True,13,0.009073405123301207,81.96008862482856
13,2020-02-04,0,0,62.247681001420986,40.98007802733434,True,14,0.010916535016013681,81.96008862482856
14,2020-02-05,0,0,62.247681001420986,40.98007802733434,True,15,0.013134009855260385,81.96008862482856
15,2020-02-06,0,0,62.247681001420986,40.98007802733434,True,16,0.01580183331695435,81.96008862482856
16,2020-02-07,0,0,62.247681001420986,40.98007802733434,True,17,0.019011428173382413,81.96008862482856
17,2020-02-08,0,0,62.247681001420986,40.98007802733434,True,18,0.02287275903567233,81.96008862482856
18,2020-02-09,0,0,62.247681001420986,40.98007802733434,True,19,0.02751808512160308,81.96008862482856
19,2020-02-10,0,0,62.247681001420986,40.98007802733434,True,20,0.033106469081333634,81.96008862482856
20,2020-02-11,0,0,62.247681001420986,40.98007802733434,True,21,0.03982919264213282,81.96008862482856
21,2020-02-12,0,0,62.247681001420986,40.98007802733434,True,22,0.04791625919540854,81.96008862482856
22,2020-02-13,0,0,62.247681001420986,40.98007802733434,True,23,0.057644198213601616,81.96008862482856
23,2020-02-14,0,0,62.247681001420986,40.98007802733434,True,24,0.06934542739899095,81.96008862482856
