,Report_Date,China_jilin_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,17.31636564343352,54.71558862678031,True,1,7.0109858414376625,109.43117698739303
1,2020-01-23,1,1,17.31636564343352,54.71558862678031,True,2,8.169843499932783,109.43117698739303
2,2020-01-24,3,3,17.31636564343352,54.71558862678031,True,3,9.502478851287371,109.43117698739303
3,2020-01-25,4,4,17.31636564343352,54.71558862678031,True,4,11.028813642961655,109.43117698739303
4,2020-01-26,4,4,17.31636564343352,54.71558862678031,True,5,12.768988088760105,109.43117698739303
5,2020-01-27,6,6,17.31636564343352,54.71558862678031,True,6,14.742598562898298,109.43117698739303
6,2020-01-28,8,8,17.31636564343352,54.71558862678031,True,7,16.967709052462887,109.43117698739303
7,2020-01-29,9,9,17.31636564343352,54.71558862678031,True,8,19.459638367982482,109.43117698739303
8,2020-01-30,14,13,17.31636564343352,54.71558862678031,True,9,22.22955495911972,109.43117698739303
9,2020-01-31,14,13,17.31636564343352,54.71558862678031,True,10,25.282950713392136,109.43117698739303
10,2020-02-01,17,16,17.31636564343352,54.71558862678031,True,11,28.618110958509682,109.43117698739303
11,2020-02-02,23,22,17.31636564343352,54.71558862678031,True,12,32.22474286944845,109.43117698739303
12,2020-02-03,31,30,17.31636564343352,54.71558862678031,True,13,36.08295763830513,109.43117698739303
13,2020-02-04,42,41,17.31636564343352,54.71558862678031,True,14,40.16280994358625,109.43117698739303
14,2020-02-05,54,52,17.31636564343352,54.71558862678031,True,15,44.42456961072763,109.43117698739303
15,2020-02-06,59,55,17.31636564343352,54.71558862678031,True,16,48.81982923708835,109.43117698739303
16,2020-02-07,65,60,17.31636564343352,54.71558862678031,True,17,53.29344311725123,109.43117698739303
17,2020-02-08,69,64,17.31636564343352,54.71558862678031,True,18,57.78616491656786,109.43117698739303
18,2020-02-09,78,65,17.31636564343352,54.71558862678031,True,19,62.23773195578063,109.43117698739303
19,2020-02-10,80,66,17.31636564343352,54.71558862678031,True,20,66.5900626047814,109.43117698739303
20,2020-02-11,81,62,17.31636564343352,54.71558862678031,True,21,70.7902121174999,109.43117698739303
21,2020-02-12,83,60,17.31636564343352,54.71558862678031,True,22,74.79277717404679,109.43117698739303
22,2020-02-13,84,59,17.31636564343352,54.71558862678031,True,23,78.56153798944659,109.43117698739303
23,2020-02-14,86,60,17.31636564343352,54.71558862678031,True,24,82.07025305559952,109.43117698739303
24,2020-02-15,88,61,17.31636564343352,54.71558862678031,True,25,85.30264515094251,109.43117698739303
25,2020-02-16,89,58,17.31636564343352,54.71558862678031,True,26,88.2517133930816,109.43117698739303
26,2020-02-17,89,54,17.31636564343352,54.71558862678031,True,27,90.91856157535018,109.43117698739303
27,2020-02-18,89,52,17.31636564343352,54.71558862678031,True,28,93.3109470519582,109.43117698739303
28,2020-02-19,90,52,17.31636564343352,54.71558862678031,True,29,95.441735541968,109.43117698739303
29,2020-02-20,91,47,17.31636564343352,54.71558862678031,True,30,97.32740825442437,109.43117698739303
30,2020-02-21,91,45,17.31636564343352,54.71558862678031,True,31,98.9867213511746,109.43117698739303
31,2020-02-22,91,38,17.31636564343352,54.71558862678031,True,32,100.43957361927393,109.43117698739303
32,2020-02-23,91,36,17.31636564343352,54.71558862678031,True,33,101.70610203746342,109.43117698739303
33,2020-02-24,93,32,17.31636564343352,54.71558862678031,True,34,102.80599886257039,109.43117698739303
