,Report_Date,China_jilin_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
34,2020-02-25,93,29,17.31636564343352,54.71558862678031,True,35,103.75802760181118,109.43117698739303
35,2020-02-26,93,27,17.31636564343352,54.71558862678031,True,36,104.57970707109673,109.43117698739303
36,2020-02-27,93,25,17.31636564343352,54.71558862678031,True,37,105.28713048662756,109.43117698739303
37,2020-02-28,93,19,17.31636564343352,54.71558862678031,True,38,105.89488811472457,109.43117698739303
38,2020-02-29,93,17,17.31636564343352,54.71558862678031,True,39,106.41606571342551,109.43117698739303
39,2020-03-01,93,14,17.31636564343352,54.71558862678031,True,40,106.86229560303363,109.43117698739303
40,2020-03-02,93,9,17.31636564343352,54.71558862678031,True,41,107.24384189305378,109.43117698739303
41,2020-03-03,93,9,17.31636564343352,54.71558862678031,True,42,107.56970570156648,109.43117698739303
42,2020-03-04,93,6,17.31636564343352,54.71558862678031,True,43,107.84773990559354,109.43117698739303
43,2020-03-05,93,4,17.31636564343352,54.71558862678031,True,44,108.08476599188369,109.43117698739303
44,2020-03-06,93,2,17.31636564343352,54.71558862678031,True,45,108.2866879647869,109.43117698739303
45,2020-03-07,93,2,17.31636564343352,54.71558862678031,True,46,108.45860008705658,109.43117698739303
46,2020-03-08,93,2,17.31636564343352,54.71558862678031,True,47,108.60488657395855,109.43117698739303
47,2020-03-09,93,1,17.31636564343352,54.71558862678031,True,48,108.72931232476418,109.43117698739303
48,2020-03-10,93,1,17.31636564343352,54.71558862678031,True,49,108.83510444349416,109.43117698739303
49,2020-03-11,93,1,17.31636564343352,54.71558862678031,True,50,108.92502474488526,109.43117698739303
50,2020-03-12,93,1,17.31636564343352,54.71558862678031,True,51,109.00143372076059,109.43117698739303
51,2020-03-13,93,1,17.31636564343352,54.71558862678031,True,52,109.06634660259657,109.43117698739303
52,2020-03-14,93,1,17.31636564343352,54.71558862678031,True,53,109.12148223361208,109.43117698739303
53,2020-03-15,93,1,17.31636564343352,54.71558862678031,True,54,109.16830548478869,109.43117698739303
54,2020-03-16,93,0,17.31636564343352,54.71558862678031,True,55,109.2080639334233,109.43117698739303
55,2020-03-17,93,0,17.31636564343352,54.71558862678031,True,56,109.24181948420282,109.43117698739303
56,2020-03-18,93,0,17.31636564343352,54.71558862678031,True,57,109.27047556129453,109.43117698739303
57,2020-03-19,93,0,17.31636564343352,54.71558862678031,True,58,109.29480044240427,109.43117698739303
58,2020-03-20,93,0,17.31636564343352,54.71558862678031,True,59,109.31544724673427,109.43117698739303
59,2020-03-21,93,0,17.31636564343352,54.71558862678031,True,60,109.33297103121583,109.43117698739303
60,2020-03-22,93,0,17.31636564343352,54.71558862678031,True,61,109.34784339508475,109.43117698739303
61,2020-03-23,93,0,17.31636564343352,54.71558862678031,True,62,109.3604649427987,109.43117698739303
62,2020-03-24,93,0,17.31636564343352,54.71558862678031,True,63,109.37117590990812,109.43117698739303
63,2020-03-25,94,1,17.31636564343352,54.71558862678031,True,64,109.38026521586958,109.43117698739303
64,2020-03-26,95,2,17.31636564343352,54.71558862678031,True,65,109.38797817179235,109.43117698739303
65,2020-03-27,95,2,17.31636564343352,54.71558862678031,True,66,109.39452303945376,109.43117698739303
66,2020-03-28,97,4,17.31636564343352,54.71558862678031,True,67,109.40007661025803,109.43117698739303
67,2020-03-29,98,5,17.31636564343352,54.71558862678031,True,68,109.40478894876082,109.43117698739303
68,2020-03-30,98,5,17.31636564343352,54.71558862678031,True,69,109.40878742455543,109.43117698739303
69,2020-03-31,98,5,17.31636564343352,54.71558862678031,True,70,109.41218013834035,109.43117698739303
70,2020-04-01,98,5,17.31636564343352,54.71558862678031,True,71,109.41505883252009,109.43117698739303
71,2020-04-02,98,5,17.31636564343352,54.71558862678031,True,72,109.41750136340494,109.43117698739303
72,2020-04-03,98,5,17.31636564343352,54.71558862678031,True,73,109.41957380069195,109.43117698739303
73,2020-04-04,98,5,17.31636564343352,54.71558862678031,True,74,109.42133221016726,109.43117698739303
74,2020-04-05,98,5,17.31636564343352,54.71558862678031,True,75,109.4228241672448,109.43117698739303
75,2020-04-06,98,5,17.31636564343352,54.71558862678031,True,76,109.42409004185033,109.43117698739303
76,2020-04-07,98,5,17.31636564343352,54.71558862678031,True,77,109.42516408910043,109.43117698739303
77,2020-04-08,98,4,17.31636564343352,54.71558862678031,True,78,109.42607537506203,109.43117698739303
78,2020-04-09,98,4,17.31636564343352,54.71558862678031,True,79,109.42684856248026,109.43117698739303
79,2020-04-10,98,2,17.31636564343352,54.71558862678031,True,80,109.42750457762183,109.43117698739303
80,2020-04-11,98,1,17.31636564343352,54.71558862678031,True,81,109.42806117619543,109.43117698739303
81,2020-04-12,99,2,17.31636564343352,54.71558862678031,True,82,109.4285334236059,109.43117698739303
82,2020-04-13,100,3,17.31636564343352,54.71558862678031,True,83,109.42893410249644,109.43117698739303
83,2020-04-14,100,3,17.31636564343352,54.71558862678031,True,84,109.42927405857806,109.43117698739303
84,2020-04-15,102,5,17.31636564343352,54.71558862678031,True,85,109.42956249408495,109.43117698739303
85,2020-04-16,102,5,17.31636564343352,54.71558862678031,True,86,109.42980721678215,109.43117698739303
86,2020-04-17,102,4,17.31636564343352,54.71558862678031,True,87,109.43001485125461,109.43117698739303
87,2020-04-18,102,4,17.31636564343352,54.71558862678031,True,88,109.43019101818817,109.43117698739303
88,2020-04-19,104,6,17.31636564343352,54.71558862678031,True,89,109.43034048648992,109.43117698739303
89,2020-04-20,104,6,17.31636564343352,54.71558862678031,True,90,109.43046730236112,109.43117698739303
90,2020-04-21,106,8,17.31636564343352,54.71558862678031,True,91,109.43057489881367,109.43117698739303
91,2020-04-22,106,7,17.31636564343352,54.71558862678031,True,92,109.43066618859253,109.43117698739303
92,2020-04-23,108,8,17.31636564343352,54.71558862678031,True,93,109.43074364301815,109.43117698739303
93,2020-04-24,109,9,17.31636564343352,54.71558862678031,True,94,109.43080935888165,109.43117698739303
94,2020-04-25,109,9,17.31636564343352,54.71558862678031,True,95,109.43086511520315,109.43117698739303
95,2020-04-26,110,10,17.31636564343352,54.71558862678031,True,96,109.43091242138922,109.43117698739303
96,2020-04-27,110,10,17.31636564343352,54.71558862678031,True,97,109.4309525580923,109.43117698739303
97,2020-04-28,110,10,17.31636564343352,54.71558862678031,True,98,109.43098661187834,109.43117698739303
98,2020-04-29,111,11,17.31636564343352,54.71558862678031,True,99,109.43101550464073,109.43117698739303
99,2020-04-30,111,9,17.31636564343352,54.71558862678031,True,100,109.43104001855656,109.43117698739303
100,2020-05-01,112,9,17.31636564343352,54.71558862678031,True,101,109.43106081726101,109.43117698739303
101,2020-05-02,112,9,17.31636564343352,54.71558862678031,True,102,109.43107846381254,109.43117698739303
102,2020-05-03,112,8,17.31636564343352,54.71558862678031,True,103,109.43109343593571,109.43117698739303
103,2020-05-04,112,8,17.31636564343352,54.71558862678031,True,104,109.43110613895374,109.43117698739303
104,2020-05-05,112,8,17.31636564343352,54.71558862678031,True,105,109.43111691676118,109.43117698739303
105,2020-05-06,112,8,17.31636564343352,54.71558862678031,True,106,109.43112606113374,109.43117698739303
106,2020-05-07,113,8,17.31636564343352,54.71558862678031,True,107,109.4311338196271,109.43117698739303
107,2020-05-08,113,8,17.31636564343352,54.71558862678031,True,108,109.43114040227859,109.43117698739303
108,2020-05-09,124,18,17.31636564343352,54.71558862678031,True,109,109.43114598729332,109.43117698739303
109,2020-05-10,127,21,17.31636564343352,54.71558862678031,True,110,109.4311507258685,109.43117698739303
110,2020-05-11,127,21,17.31636564343352,54.71558862678031,True,111,109.43115474628665,109.43117698739303
111,2020-05-12,133,24,17.31636564343352,54.71558862678031,True,112,109.43115815738837,109.43117698739303
112,2020-05-13,134,25,17.31636564343352,54.71558862678031,True,113,109.43116105151883,109.43117698739303
113,2020-05-14,138,29,17.31636564343352,54.71558862678031,True,114,109.43116350702786,109.43117698739303
114,2020-05-15,140,31,17.31636564343352,54.71558862678031,True,115,109.43116559039099,109.43117698739303
115,2020-05-16,144,29,17.31636564343352,54.71558862678031,True,116,109.4311673580089,109.43117698739303
116,2020-05-17,146,22,17.31636564343352,54.71558862678031,True,117,109.43116885773459,109.43117698739303
117,2020-05-18,151,26,17.31636564343352,54.71558862678031,True,118,109.43117013016854,109.43117698739303
118,2020-05-19,151,26,17.31636564343352,54.71558862678031,True,119,109.43117120975809,109.43117698739303
119,2020-05-20,151,26,17.31636564343352,54.71558862678031,True,120,109.43117212572986,109.43117698739303
120,2020-05-21,151,26,17.31636564343352,54.71558862678031,True,121,109.43117290288103,109.43117698739303
121,2020-05-22,154,24,17.31636564343352,54.71558862678031,True,122,109.43117356225065,109.43117698739303
122,2020-05-23,155,25,17.31636564343352,54.71558862678031,True,123,109.43117412168915,109.43117698739303
123,2020-05-24,155,25,17.31636564343352,54.71558862678031,True,124,109.43117459634165,109.43117698739303
124,2020-05-25,155,25,17.31636564343352,54.71558862678031,True,125,109.43117499905792,109.43117698739303
125,2020-05-26,155,25,17.31636564343352,54.71558862678031,True,126,109.43117534074031,109.43117698739303
126,2020-05-27,155,20,17.31636564343352,54.71558862678031,True,127,109.43117563063883,109.43117698739303
127,2020-05-28,155,17,17.31636564343352,54.71558862678031,True,128,109.43117587660163,109.43117698739303
