,ds,yhat,yhat_lower,yhat_upper,y,y_hill,y_hill_b1,yhat_b1,yhat_b1_lower,yhat_b1_upper,current_date,active_patients,fastest_growth_day,growth_stabilized,current_day,cap
0,2020-01-22,-4.767073927435573,-49.80233827269239,37.587997224721214,0.0,2.578061506323572e-13,3.3262947733302384e-11,-4.3688809610297445,-49.50091658697932,41.00577996655202,2020-05-28,0.0,108.08369805007216,True,128,1032.2994273419522
1,2020-01-23,-5.959134347964038,-50.277070284333654,37.98162567576247,0.0,5.1907710023914646e-11,3.14807914782083e-09,-6.124645991389131,-48.5818607061637,36.82438689836314,2020-05-28,0.0,108.08369805007216,True,128,1032.2994273419522
2,2020-01-24,1.134500483163533,-45.071272542377656,46.09392102320476,0.0,1.1559779554637477e-09,4.507972030984985e-08,0.21887110758795908,-44.59826964252781,47.399607820780304,2020-05-28,0.0,108.08369805007216,True,128,1032.2994273419522
3,2020-01-25,6.2025522027711295,-41.840793639666614,46.032692168636395,0.0,1.0451303637623547e-08,2.97941192673495e-07,5.064335908401763,-41.04706314863594,48.0242476645976,2020-05-28,0.0,108.08369805007216,True,128,1032.2994273419522
4,2020-01-26,4.059953806658644,-41.258315892495375,52.427072904591,0.0,5.765978624828176e-08,1.2891035426442236e-06,4.662621265674854,-39.34783631788915,49.5436038666201,2020-05-28,0.0,108.08369805007216,True,128,1032.2994273419522
5,2020-01-27,0.45423978238140955,-41.669182011664944,43.968114697262564,0.0,2.3274917354973733e-07,4.266444704029142e-06,1.2763895146776034,-45.27526463231285,44.8114697548193,2020-05-28,0.0,108.08369805007216,True,128,1032.2994273419522
6,2020-01-28,-0.5563041886876567,-45.60529749847596,41.29724761953442,0.0,7.572976867762271e-07,1.1736333106682282e-05,0.04194797598343647,-44.93784777495851,45.851100657245674,2020-05-28,0.0,108.08369805007216,True,128,1032.2994273419522
7,2020-01-29,-4.711913139555605,-48.91214490264339,41.31878042767318,0.0,2.1043068072739573e-06,2.8197814888350067e-05,-4.297180924846895,-49.59060859825311,39.22223936595819,2020-05-28,0.0,108.08369805007216,True,128,1032.2994273419522
8,2020-01-30,-5.898624107567934,-48.77050319483429,43.458643475351224,0.0,5.183293823647662e-06,6.109443869508165e-05,-6.0462758253862035,-52.248401498888015,39.52982708394186,2020-05-28,0.0,108.08369805007216,True,128,1032.2994273419522
9,2020-01-31,1.20087885543411,-44.65053273967768,44.642944113147344,0.0,1.1609449313261051e-05,0.00012200361101832715,0.3045317537117773,-44.74946408068446,42.46660950715127,2020-05-28,0.0,108.08369805007216,True,128,1032.2994273419522
10,2020-02-01,6.2753676555041915,-39.37586615920762,50.6641582919363,0.0,2.4077494427903377e-05,0.00022808215103367523,5.157965049032942,-38.46173853127396,48.87735418407434,2020-05-28,0.0,108.08369805007216,True,128,1032.2994273419522
11,2020-02-02,4.139830425045418,-40.54640707287078,50.09679854547613,0.0,4.686263749848186e-05,0.00040378570858107455,4.764959933139688,-38.739190813459565,48.12716457974878,2020-05-28,0.0,108.08369805007216,True,128,1032.2994273419522
12,2020-02-03,0.5418621263327051,-43.315034706370234,47.236172589413684,0.0,8.647272255501527e-05,0.0006828788619529281,1.3882476093093183,-44.53319162260917,46.578404851658696,2020-05-28,0.0,108.08369805007216,True,128,1032.2994273419522
13,2020-02-04,-0.460185230915122,-48.165450901206,40.722470342587656,0.0,0.0001524772939297752,0.0011107519838564344,0.16421065764302123,-47.44705088259962,42.72153560048375,2020-05-28,0.0,108.08369805007216,True,128,1032.2994273419522
14,2020-02-05,-4.606473932311779,-47.550609459224724,41.07063122095964,0.0,0.0002585408788689311,0.0017470603266332996,-4.163546253626637,-47.66899784325508,39.20146100282722,2020-05-28,0.0,108.08369805007216,True,128,1032.2994273419522
