,Report_Date,Dominican Republic_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,107.78881509603916,9645.628862949647,True,1,10.937449854673856,17213.902560030674
1,2020-01-23,0,0,107.78881509603916,9645.628862949647,True,2,11.729959713164666,17213.902560030674
2,2020-01-24,0,0,107.78881509603916,9645.628862949647,True,3,12.57985608178874,17213.902560030674
3,2020-01-25,0,0,107.78881509603916,9645.628862949647,True,4,13.491288755096793,17213.902560030674
4,2020-01-26,0,0,107.78881509603916,9645.628862949647,True,5,14.468706767389643,17213.902560030674
5,2020-01-27,0,0,107.78881509603916,9645.628862949647,True,6,15.5168798439258,17213.902560030674
6,2020-01-28,0,0,107.78881509603916,9645.628862949647,True,7,16.640921370809004,17213.902560030674
7,2020-01-29,0,0,107.78881509603916,9645.628862949647,True,8,17.846312988199053,17213.902560030674
8,2020-01-30,0,0,107.78881509603916,9645.628862949647,True,9,19.138930918262595,17213.902560030674
9,2020-01-31,0,0,107.78881509603916,9645.628862949647,True,10,20.525074146424565,17213.902560030674
10,2020-02-01,0,0,107.78881509603916,9645.628862949647,True,11,22.011494582004634,17213.902560030674
11,2020-02-02,0,0,107.78881509603916,9645.628862949647,True,12,23.605429332234056,17213.902560030674
12,2020-02-03,0,0,107.78881509603916,9645.628862949647,True,13,25.314635231950877,17213.902560030674
13,2020-02-04,0,0,107.78881509603916,9645.628862949647,True,14,27.14742577996825,17213.902560030674
14,2020-02-05,0,0,107.78881509603916,9645.628862949647,True,15,29.112710642199204,17213.902560030674
15,2020-02-06,0,0,107.78881509603916,9645.628862949647,True,16,31.2200378910959,17213.902560030674
16,2020-02-07,0,0,107.78881509603916,9645.628862949647,True,17,33.47963916080982,17213.902560030674
17,2020-02-08,0,0,107.78881509603916,9645.628862949647,True,18,35.90247790768457,17213.902560030674
18,2020-02-09,0,0,107.78881509603916,9645.628862949647,True,19,38.50030097622763,17213.902560030674
19,2020-02-10,0,0,107.78881509603916,9645.628862949647,True,20,41.2856936815379,17213.902560030674
20,2020-02-11,0,0,107.78881509603916,9645.628862949647,True,21,44.27213863024615,17213.902560030674
21,2020-02-12,0,0,107.78881509603916,9645.628862949647,True,22,47.47407851329622,17213.902560030674
22,2020-02-13,0,0,107.78881509603916,9645.628862949647,True,23,50.90698311528453,17213.902560030674
23,2020-02-14,0,0,107.78881509603916,9645.628862949647,True,24,54.58742079649225,17213.902560030674
24,2020-02-15,0,0,107.78881509603916,9645.628862949647,True,25,58.53313471507836,17213.902560030674
25,2020-02-16,0,0,107.78881509603916,9645.628862949647,True,26,62.7631240680199,17213.902560030674
26,2020-02-17,0,0,107.78881509603916,9645.628862949647,True,27,67.29773064012576,17213.902560030674
27,2020-02-18,0,0,107.78881509603916,9645.628862949647,True,28,72.1587309606229,17213.902560030674
28,2020-02-19,0,0,107.78881509603916,9645.628862949647,True,29,77.36943437619071,17213.902560030674
29,2020-02-20,0,0,107.78881509603916,9645.628862949647,True,30,82.9547873576349,17213.902560030674
30,2020-02-21,0,0,107.78881509603916,9645.628862949647,True,31,88.9414843643297,17213.902560030674
31,2020-02-22,0,0,107.78881509603916,9645.628862949647,True,32,95.3580855957571,17213.902560030674
32,2020-02-23,0,0,107.78881509603916,9645.628862949647,True,33,102.23514196249884,17213.902560030674
33,2020-02-24,0,0,107.78881509603916,9645.628862949647,True,34,109.60532760940971,17213.902560030674
34,2020-02-25,0,0,107.78881509603916,9645.628862949647,True,35,117.50358032083962,17213.902560030674
35,2020-02-26,0,0,107.78881509603916,9645.628862949647,True,36,125.96725013103028,17213.902560030674
36,2020-02-27,0,0,107.78881509603916,9645.628862949647,True,37,135.03625645144,17213.902560030674
37,2020-02-28,0,0,107.78881509603916,9645.628862949647,True,38,144.75325400988683,17213.902560030674
38,2020-02-29,0,0,107.78881509603916,9645.628862949647,True,39,155.1638078730839,17213.902560030674
39,2020-03-01,1,1,107.78881509603916,9645.628862949647,True,40,166.31657779325687,17213.902560030674
40,2020-03-02,1,1,107.78881509603916,9645.628862949647,True,41,178.2635120798525,17213.902560030674
41,2020-03-03,1,1,107.78881509603916,9645.628862949647,True,42,191.06005114745574,17213.902560030674
42,2020-03-04,1,1,107.78881509603916,9645.628862949647,True,43,204.76534082938332,17213.902560030674
43,2020-03-05,1,1,107.78881509603916,9645.628862949647,True,44,219.4424554712531,17213.902560030674
44,2020-03-06,2,2,107.78881509603916,9645.628862949647,True,45,235.15863072821642,17213.902560030674
45,2020-03-07,2,2,107.78881509603916,9645.628862949647,True,46,251.98550588135552,17213.902560030674
46,2020-03-08,5,5,107.78881509603916,9645.628862949647,True,47,269.99937536063413,17213.902560030674
47,2020-03-09,5,5,107.78881509603916,9645.628862949647,True,48,289.28144901122084,17213.902560030674
48,2020-03-10,5,5,107.78881509603916,9645.628862949647,True,49,309.9181204642061,17213.902560030674
49,2020-03-11,5,5,107.78881509603916,9645.628862949647,True,50,332.0012427687665,17213.902560030674
50,2020-03-12,5,5,107.78881509603916,9645.628862949647,True,51,355.6284102075562,17213.902560030674
51,2020-03-13,5,5,107.78881509603916,9645.628862949647,True,52,380.90324494723296,17213.902560030674
52,2020-03-14,11,11,107.78881509603916,9645.628862949647,True,53,407.93568686817656,17213.902560030674
53,2020-03-15,11,11,107.78881509603916,9645.628862949647,True,54,436.84228456816214,17213.902560030674
54,2020-03-16,11,11,107.78881509603916,9645.628862949647,True,55,467.74648514061687,17213.902560030674
55,2020-03-17,21,20,107.78881509603916,9645.628862949647,True,56,500.7789198858093,17213.902560030674
56,2020-03-18,21,20,107.78881509603916,9645.628862949647,True,57,536.0776826198983,17213.902560030674
57,2020-03-19,34,32,107.78881509603916,9645.628862949647,True,58,573.7885966996163,17213.902560030674
58,2020-03-20,72,70,107.78881509603916,9645.628862949647,True,59,614.0654662775312,17213.902560030674
59,2020-03-21,112,110,107.78881509603916,9645.628862949647,True,60,657.0703066433092,17213.902560030674
60,2020-03-22,202,199,107.78881509603916,9645.628862949647,True,61,702.9735477903163,17213.902560030674
61,2020-03-23,245,242,107.78881509603916,9645.628862949647,True,62,751.9542045759763,17213.902560030674
62,2020-03-24,312,303,107.78881509603916,9645.628862949647,True,63,804.2000060222438,17213.902560030674
63,2020-03-25,392,379,107.78881509603916,9645.628862949647,True,64,859.9074754354546,17213.902560030674
64,2020-03-26,488,475,107.78881509603916,9645.628862949647,True,65,919.2819521218504,17213.902560030674
65,2020-03-27,581,558,107.78881509603916,9645.628862949647,True,66,982.5375445488327,17213.902560030674
66,2020-03-28,719,688,107.78881509603916,9645.628862949647,True,67,1049.8970038694968,17213.902560030674
67,2020-03-29,859,817,107.78881509603916,9645.628862949647,True,68,1121.5915058108762,17213.902560030674
68,2020-03-30,901,855,107.78881509603916,9645.628862949647,True,69,1197.860328051942,17213.902560030674
