,Report_Date,China_chongqing_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,6,12.295832251287262,287.99072319295857,True,1,35.41571692489132,575.9814422359113
1,2020-01-23,9,12.295832251287262,287.99072319295857,True,2,44.33597862539811,575.9814422359113
2,2020-01-24,27,12.295832251287262,287.99072319295857,True,3,55.273278790525666,575.9814422359113
3,2020-01-25,57,12.295832251287262,287.99072319295857,True,4,68.56076521145614,575.9814422359113
4,2020-01-26,75,12.295832251287262,287.99072319295857,True,5,84.52400415525427,575.9814422359113
5,2020-01-27,110,12.295832251287262,287.99072319295857,True,6,103.44629131860876,575.9814422359113
6,2020-01-28,132,12.295832251287262,287.99072319295857,True,7,125.52274681729942,575.9814422359113
7,2020-01-29,147,12.295832251287262,287.99072319295857,True,8,150.80693960733424,575.9814422359113
8,2020-01-30,182,12.295832251287262,287.99072319295857,True,9,179.1585353397277,575.9814422359113
9,2020-01-31,211,12.295832251287262,287.99072319295857,True,10,210.2050348397826,575.9814422359113
10,2020-02-01,247,12.295832251287262,287.99072319295857,True,11,243.33253486291423,575.9814422359113
11,2020-02-02,300,12.295832251287262,287.99072319295857,True,12,277.7169174541585,575.9814422359113
12,2020-02-03,337,12.295832251287262,287.99072319295857,True,13,312.39710130764036,575.9814422359113
13,2020-02-04,366,12.295832251287262,287.99072319295857,True,14,346.3786801967714,575.9814422359113
14,2020-02-05,389,12.295832251287262,287.99072319295857,True,15,378.7452844797262,575.9814422359113
15,2020-02-06,411,12.295832251287262,287.99072319295857,True,16,408.7520566883544,575.9814422359113
16,2020-02-07,426,12.295832251287262,287.99072319295857,True,17,435.8823624663778,575.9814422359113
17,2020-02-08,428,12.295832251287262,287.99072319295857,True,18,459.8615918160087,575.9814422359113
18,2020-02-09,468,12.295832251287262,287.99072319295857,True,19,480.6343455601822,575.9814422359113
19,2020-02-10,486,12.295832251287262,287.99072319295857,True,20,498.31862629127465,575.9814422359113
20,2020-02-11,505,12.295832251287262,287.99072319295857,True,21,513.1517197476367,575.9814422359113
21,2020-02-12,518,12.295832251287262,287.99072319295857,True,22,525.4391303226972,575.9814422359113
22,2020-02-13,529,12.295832251287262,287.99072319295857,True,23,535.5130382239275,575.9814422359113
23,2020-02-14,537,12.295832251287262,287.99072319295857,True,24,543.7024019583095,575.9814422359113
24,2020-02-15,544,12.295832251287262,287.99072319295857,True,25,550.3139626544169,575.9814422359113
25,2020-02-16,551,12.295832251287262,287.99072319295857,True,26,555.6220190874848,575.9814422359113
26,2020-02-17,553,12.295832251287262,287.99072319295857,True,27,559.8645135690999,575.9814422359113
27,2020-02-18,555,12.295832251287262,287.99072319295857,True,28,563.243225458918,575.9814422359113
28,2020-02-19,560,12.295832251287262,287.99072319295857,True,29,565.926354025779,575.9814422359113
29,2020-02-20,567,12.295832251287262,287.99072319295857,True,30,568.0522751898162,575.9814422359113
30,2020-02-21,572,12.295832251287262,287.99072319295857,True,31,569.733680739795,575.9814422359113
31,2020-02-22,573,12.295832251287262,287.99072319295857,True,32,571.061626989585,575.9814422359113
32,2020-02-23,575,12.295832251287262,287.99072319295857,True,33,572.10924006461,575.9814422359113
33,2020-02-24,576,12.295832251287262,287.99072319295857,True,34,572.9349672938567,575.9814422359113
34,2020-02-25,576,12.295832251287262,287.99072319295857,True,35,573.5853500829461,575.9814422359113
35,2020-02-26,576,12.295832251287262,287.99072319295857,True,36,574.0973413960841,575.9814422359113
36,2020-02-27,576,12.295832251287262,287.99072319295857,True,37,574.5002143218235,575.9814422359113
37,2020-02-28,576,12.295832251287262,287.99072319295857,True,38,574.8171167627061,575.9814422359113
38,2020-02-29,576,12.295832251287262,287.99072319295857,True,39,575.0663274559688,575.9814422359113
39,2020-03-01,576,12.295832251287262,287.99072319295857,True,40,575.2622643472437,575.9814422359113
40,2020-03-02,576,12.295832251287262,287.99072319295857,True,41,575.4162902535703,575.9814422359113
41,2020-03-03,576,12.295832251287262,287.99072319295857,True,42,575.5373541780125,575.9814422359113
42,2020-03-04,576,12.295832251287262,287.99072319295857,True,43,575.6325003340177,575.9814422359113
43,2020-03-05,576,12.295832251287262,287.99072319295857,True,44,575.7072712655472,575.9814422359113
44,2020-03-06,576,12.295832251287262,287.99072319295857,True,45,575.7660265409087,575.9814422359113
45,2020-03-07,576,12.295832251287262,287.99072319295857,True,46,575.8121943594945,575.9814422359113
46,2020-03-08,576,12.295832251287262,287.99072319295857,True,47,575.8484699826864,575.9814422359113
47,2020-03-09,576,12.295832251287262,287.99072319295857,True,48,575.8769720972973,575.9814422359113
48,2020-03-10,576,12.295832251287262,287.99072319295857,True,49,575.8993659496625,575.9814422359113
49,2020-03-11,576,12.295832251287262,287.99072319295857,True,50,575.9169602625943,575.9814422359113
50,2020-03-12,576,12.295832251287262,287.99072319295857,True,51,575.9307834867121,575.9814422359113
51,2020-03-13,576,12.295832251287262,287.99072319295857,True,52,575.941643773857,575.9814422359113
52,2020-03-14,576,12.295832251287262,287.99072319295857,True,53,575.9501761359357,575.9814422359113
53,2020-03-15,576,12.295832251287262,287.99072319295857,True,54,575.9568795201275,575.9814422359113
54,2020-03-16,576,12.295832251287262,287.99072319295857,True,55,575.9621459521416,575.9814422359113
55,2020-03-17,576,12.295832251287262,287.99072319295857,True,56,575.9662834417735,575.9814422359113
56,2020-03-18,576,12.295832251287262,287.99072319295857,True,57,575.9695339841694,575.9814422359113
57,2020-03-19,576,12.295832251287262,287.99072319295857,True,58,575.9720877058103,575.9814422359113
58,2020-03-20,576,12.295832251287262,287.99072319295857,True,59,575.9740939802523,575.9814422359113
59,2020-03-21,576,12.295832251287262,287.99072319295857,True,60,575.9756701623389,575.9814422359113
60,2020-03-22,577,12.295832251287262,287.99072319295857,True,61,575.976908450883,575.9814422359113
61,2020-03-23,578,12.295832251287262,287.99072319295857,True,62,575.977881280688,575.9814422359113
62,2020-03-24,578,12.295832251287262,287.99072319295857,True,63,575.9786455589779,575.9814422359113
63,2020-03-25,578,12.295832251287262,287.99072319295857,True,64,575.9792459938366,575.9814422359113
64,2020-03-26,578,12.295832251287262,287.99072319295857,True,65,575.979717709233,575.9814422359113
65,2020-03-27,578,12.295832251287262,287.99072319295857,True,66,575.9800882995197,575.9814422359113
66,2020-03-28,578,12.295832251287262,287.99072319295857,True,67,575.9803794435413,575.9814422359113
67,2020-03-29,579,12.295832251287262,287.99072319295857,True,68,575.9806081727429,575.9814422359113
68,2020-03-30,579,12.295832251287262,287.99072319295857,True,69,575.9807878674428,575.9814422359113
69,2020-03-31,579,12.295832251287262,287.99072319295857,True,70,575.9809290395364,575.9814422359113
70,2020-04-01,579,12.295832251287262,287.99072319295857,True,71,575.9810399474129,575.9814422359113
71,2020-04-02,579,12.295832251287262,287.99072319295857,True,72,575.9811270790524,575.9814422359113
72,2020-04-03,579,12.295832251287262,287.99072319295857,True,73,575.9811955315577,575.9814422359113
73,2020-04-04,579,12.295832251287262,287.99072319295857,True,74,575.9812493093273,575.9814422359113
74,2020-04-05,579,12.295832251287262,287.99072319295857,True,75,575.981291558305,575.9814422359113
75,2020-04-06,579,12.295832251287262,287.99072319295857,True,76,575.9813247500132,575.9814422359113
76,2020-04-07,579,12.295832251287262,287.99072319295857,True,77,575.9813508261348,575.9814422359113
77,2020-04-08,579,12.295832251287262,287.99072319295857,True,78,575.9813713120975,575.9814422359113
78,2020-04-09,579,12.295832251287262,287.99072319295857,True,79,575.9813874063107,575.9814422359113
79,2020-04-10,579,12.295832251287262,287.99072319295857,True,80,575.9814000502708,575.9814422359113
