,Report_Date,Canada_prince edward island_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,68.44271021630998,13.631365652719195,True,1,0.0003225655804482891,27.26034975195649
1,2020-01-23,0,68.44271021630998,13.631365652719195,True,2,0.0003816549343238736,27.26034975195649
2,2020-01-24,0,68.44271021630998,13.631365652719195,True,3,0.00045156842480852105,27.26034975195649
3,2020-01-25,0,68.44271021630998,13.631365652719195,True,4,0.0005342887727944191,27.26034975195649
4,2020-01-26,0,68.44271021630998,13.631365652719195,True,5,0.0006321618571685403,27.26034975195649
5,2020-01-27,0,68.44271021630998,13.631365652719195,True,6,0.0007479632198823904,27.26034975195649
6,2020-01-28,0,68.44271021630998,13.631365652719195,True,7,0.0008849767454989201,27.26034975195649
7,2020-01-29,0,68.44271021630998,13.631365652719195,True,8,0.001047087742052846,27.26034975195649
8,2020-01-30,0,68.44271021630998,13.631365652719195,True,9,0.0012388930566379112,27.26034975195649
9,2020-01-31,0,68.44271021630998,13.631365652719195,True,10,0.0014658313396513339,27.26034975195649
10,2020-02-01,0,68.44271021630998,13.631365652719195,True,11,0.0017343371394106368,27.26034975195649
11,2020-02-02,0,68.44271021630998,13.631365652719195,True,12,0.00205202317959537,27.26034975195649
12,2020-02-03,0,68.44271021630998,13.631365652719195,True,13,0.002427895964092574,27.26034975195649
13,2020-02-04,0,68.44271021630998,13.631365652719195,True,14,0.002872610788985269,27.26034975195649
14,2020-02-05,0,68.44271021630998,13.631365652719195,True,15,0.0033987733449919837,27.26034975195649
15,2020-02-06,0,68.44271021630998,13.631365652719195,True,16,0.004021296395334371,27.26034975195649
16,2020-02-07,0,68.44271021630998,13.631365652719195,True,17,0.004757821548449049,27.26034975195649
17,2020-02-08,0,68.44271021630998,13.631365652719195,True,18,0.005629217952544296,27.26034975195649
18,2020-02-09,0,68.44271021630998,13.631365652719195,True,19,0.00666017186660212,27.26034975195649
19,2020-02-10,0,68.44271021630998,13.631365652719195,True,20,0.007879883564237782,27.26034975195649
20,2020-02-11,0,68.44271021630998,13.631365652719195,True,21,0.009322890965217859,27.26034975195649
21,2020-02-12,0,68.44271021630998,13.631365652719195,True,22,0.011030042835739858,27.26034975195649
22,2020-02-13,0,68.44271021630998,13.631365652719195,True,23,0.013049648433771197,27.26034975195649
23,2020-02-14,0,68.44271021630998,13.631365652719195,True,24,0.015438835190874361,27.26034975195649
24,2020-02-15,0,68.44271021630998,13.631365652719195,True,25,0.018265151518081345,27.26034975195649
25,2020-02-16,0,68.44271021630998,13.631365652719195,True,26,0.02160845821086269,27.26034975195649
26,2020-02-17,0,68.44271021630998,13.631365652719195,True,27,0.025563159324763194,27.26034975195649
27,2020-02-18,0,68.44271021630998,13.631365652719195,True,28,0.03024083192026346,27.26034975195649
28,2020-02-19,0,68.44271021630998,13.631365652719195,True,29,0.03577332385181367,27.26034975195649
29,2020-02-20,0,68.44271021630998,13.631365652719195,True,30,0.04231639990830345,27.26034975195649
30,2020-02-21,0,68.44271021630998,13.631365652719195,True,31,0.05005402917935653,27.26034975195649
31,2020-02-22,0,68.44271021630998,13.631365652719195,True,32,0.059203420552175354,27.26034975195649
32,2020-02-23,0,68.44271021630998,13.631365652719195,True,33,0.07002092868181911,27.26034975195649
33,2020-02-24,0,68.44271021630998,13.631365652719195,True,34,0.08280896943666512,27.26034975195649
34,2020-02-25,0,68.44271021630998,13.631365652719195,True,35,0.09792410131382309,27.26034975195649
35,2020-02-26,0,68.44271021630998,13.631365652719195,True,36,0.11578644696596567,27.26034975195649
36,2020-02-27,0,68.44271021630998,13.631365652719195,True,37,0.13689064567722323,27.26034975195649
37,2020-02-28,0,68.44271021630998,13.631365652719195,True,38,0.161818541667916,27.26034975195649
38,2020-02-29,0,68.44271021630998,13.631365652719195,True,39,0.1912538219591883,27.26034975195649
39,2020-03-01,0,68.44271021630998,13.631365652719195,True,40,0.2259988175141553,27.26034975195649
40,2020-03-02,0,68.44271021630998,13.631365652719195,True,41,0.26699366729060087,27.26034975195649
41,2020-03-03,0,68.44271021630998,13.631365652719195,True,42,0.3153380094855429,27.26034975195649
42,2020-03-04,0,68.44271021630998,13.631365652719195,True,43,0.3723152978498935,27.26034975195649
43,2020-03-05,0,68.44271021630998,13.631365652719195,True,44,0.43941973054061056,27.26034975195649
44,2020-03-06,0,68.44271021630998,13.631365652719195,True,45,0.5183856078068406,27.26034975195649
45,2020-03-07,0,68.44271021630998,13.631365652719195,True,46,0.611218681893248,27.26034975195649
46,2020-03-08,0,68.44271021630998,13.631365652719195,True,47,0.7202287026523455,27.26034975195649
47,2020-03-09,0,68.44271021630998,13.631365652719195,True,48,0.8480618668221751,27.26034975195649
48,2020-03-10,0,68.44271021630998,13.631365652719195,True,49,0.9977312179712875,27.26034975195649
49,2020-03-11,0,68.44271021630998,13.631365652719195,True,50,1.172642191613998,27.26034975195649
50,2020-03-12,0,68.44271021630998,13.631365652719195,True,51,1.3766094418992787,27.26034975195649
51,2020-03-13,0,68.44271021630998,13.631365652719195,True,52,1.61385983408161,27.26034975195649
52,2020-03-14,0,68.44271021630998,13.631365652719195,True,53,1.8890150975651356,27.26034975195649
53,2020-03-15,1,68.44271021630998,13.631365652719195,True,54,2.2070462363747785,27.26034975195649
54,2020-03-16,1,68.44271021630998,13.631365652719195,True,55,2.5731906191848335,27.26034975195649
55,2020-03-17,1,68.44271021630998,13.631365652719195,True,56,2.9928220841071584,27.26034975195649
56,2020-03-18,1,68.44271021630998,13.631365652719195,True,57,3.4712649073328588,27.26034975195649
57,2020-03-19,2,68.44271021630998,13.631365652719195,True,58,4.013544740939499,27.26034975195649
58,2020-03-20,2,68.44271021630998,13.631365652719195,True,59,4.624074309082305,27.26034975195649
59,2020-03-21,2,68.44271021630998,13.631365652719195,True,60,5.306279313431865,27.26034975195649
60,2020-03-22,3,68.44271021630998,13.631365652719195,True,61,6.0621807652029345,27.26034975195649
61,2020-03-23,3,68.44271021630998,13.631365652719195,True,62,6.891963170020125,27.26034975195649
62,2020-03-24,3,68.44271021630998,13.631365652719195,True,63,7.793571849358477,27.26034975195649
63,2020-03-25,5,68.44271021630998,13.631365652719195,True,64,8.76239413624197,27.26034975195649
64,2020-03-26,5,68.44271021630998,13.631365652719195,True,65,9.791084249241589,27.26034975195649
65,2020-03-27,9,68.44271021630998,13.631365652719195,True,66,10.869586361762341,27.26034975195649
66,2020-03-28,11,68.44271021630998,13.631365652719195,True,67,11.985392296728074,27.26034975195649
67,2020-03-29,11,68.44271021630998,13.631365652719195,True,68,13.124040061541962,27.26034975195649
68,2020-03-30,18,68.44271021630998,13.631365652719195,True,69,14.269821796716137,27.26034975195649
69,2020-03-31,21,68.44271021630998,13.631365652719195,True,70,15.406632833009795,27.26034975195649
70,2020-04-01,21,68.44271021630998,13.631365652719195,True,71,16.51886688136021,27.26034975195649
71,2020-04-02,22,68.44271021630998,13.631365652719195,True,72,17.59225337278136,27.26034975195649
72,2020-04-03,22,68.44271021630998,13.631365652719195,True,73,18.614544238319052,27.26034975195649
73,2020-04-04,22,68.44271021630998,13.631365652719195,True,74,19.575985704730275,27.26034975195649
74,2020-04-05,22,68.44271021630998,13.631365652719195,True,75,20.469548130146162,27.26034975195649
75,2020-04-06,22,68.44271021630998,13.631365652719195,True,76,21.290924058164023,27.26034975195649
76,2020-04-07,22,68.44271021630998,13.631365652719195,True,77,22.03833365523611,27.26034975195649
77,2020-04-08,25,68.44271021630998,13.631365652719195,True,78,22.712193279524637,27.26034975195649
78,2020-04-09,25,68.44271021630998,13.631365652719195,True,79,23.314706862361668,27.26034975195649
79,2020-04-10,25,68.44271021630998,13.631365652719195,True,80,23.849433771944092,27.26034975195649
80,2020-04-11,25,68.44271021630998,13.631365652719195,True,81,24.320874909061796,27.26034975195649
81,2020-04-12,25,68.44271021630998,13.631365652719195,True,82,24.73410486960113,27.26034975195649
82,2020-04-13,25,68.44271021630998,13.631365652719195,True,83,25.094465012203003,27.26034975195649
