,Report_Date,Canada_yukon_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,74.2272372206778,5.506757868951518,True,1,0.0001350869735441557,11.012934034199775
1,2020-01-23,0,0,74.2272372206778,5.506757868951518,True,2,0.00015764564824030926,11.012934034199775
2,2020-01-24,0,0,74.2272372206778,5.506757868951518,True,3,0.00018397141675722964,11.012934034199775
3,2020-01-25,0,0,74.2272372206778,5.506757868951518,True,4,0.0002146933267824605,11.012934034199775
4,2020-01-26,0,0,74.2272372206778,5.506757868951518,True,5,0.0002505454592120346,11.012934034199775
5,2020-01-27,0,0,74.2272372206778,5.506757868951518,True,6,0.00029238446274968636,11.012934034199775
6,2020-01-28,0,0,74.2272372206778,5.506757868951518,True,7,0.00034121001471228585,11.012934034199775
7,2020-01-29,0,0,74.2272372206778,5.506757868951518,True,8,0.0003981886959816475,11.012934034199775
8,2020-01-30,0,0,74.2272372206778,5.506757868951518,True,9,0.00046468184926474077,11.012934034199775
9,2020-01-31,0,0,74.2272372206778,5.506757868951518,True,10,0.0005422780845150829,11.012934034199775
10,2020-02-01,0,0,74.2272372206778,5.506757868951518,True,11,0.0006328312057426906,11.012934034199775
11,2020-02-02,0,0,74.2272372206778,5.506757868951518,True,12,0.0007385044620708648,11.012934034199775
12,2020-02-03,0,0,74.2272372206778,5.506757868951518,True,13,0.0008618221757704292,11.012934034199775
13,2020-02-04,0,0,74.2272372206778,5.506757868951518,True,14,0.0010057299745765966,11.012934034199775
14,2020-02-05,0,0,74.2272372206778,5.506757868951518,True,15,0.0011736650588777687,11.012934034199775
15,2020-02-06,0,0,74.2272372206778,5.506757868951518,True,16,0.0013696381709934382,11.012934034199775
16,2020-02-07,0,0,74.2272372206778,5.506757868951518,True,17,0.0015983292090801227,11.012934034199775
17,2020-02-08,0,0,74.2272372206778,5.506757868951518,True,18,0.0018651987483848723,11.012934034199775
18,2020-02-09,0,0,74.2272372206778,5.506757868951518,True,19,0.00217661810469294,11.012934034199775
19,2020-02-10,0,0,74.2272372206778,5.506757868951518,True,20,0.0025400210070153735,11.012934034199775
20,2020-02-11,0,0,74.2272372206778,5.506757868951518,True,21,0.0029640804481186143,11.012934034199775
21,2020-02-12,0,0,74.2272372206778,5.506757868951518,True,22,0.0034589148629787544,11.012934034199775
22,2020-02-13,0,0,74.2272372206778,5.506757868951518,True,23,0.004036328458614936,11.012934034199775
23,2020-02-14,0,0,74.2272372206778,5.506757868951518,True,24,0.0047100912974898405,11.012934034199775
24,2020-02-15,0,0,74.2272372206778,5.506757868951518,True,25,0.005496265635808512,11.012934034199775
25,2020-02-16,0,0,74.2272372206778,5.506757868951518,True,26,0.006413586054250202,11.012934034199775
26,2020-02-17,0,0,74.2272372206778,5.506757868951518,True,27,0.007483902110128568,11.012934034199775
27,2020-02-18,0,0,74.2272372206778,5.506757868951518,True,28,0.008732693606258416,11.012934034199775
