,Report_Date,Brunei_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,58.491943401290754,71.41105748198703,True,1,0.0017388896811919442,142.052116641078
1,2020-01-23,0,58.491943401290754,71.41105748198703,True,2,0.0021171554073547874,142.052116641078
2,2020-01-24,0,58.491943401290754,71.41105748198703,True,3,0.0025777048911687648,142.052116641078
3,2020-01-25,0,58.491943401290754,71.41105748198703,True,4,0.003138436518120589,142.052116641078
4,2020-01-26,0,58.491943401290754,71.41105748198703,True,5,0.0038211415898311714,142.052116641078
5,2020-01-27,0,58.491943401290754,71.41105748198703,True,6,0.00465235087037816,142.052116641078
6,2020-01-28,0,58.491943401290754,71.41105748198703,True,7,0.0056643651405997985,142.052116641078
7,2020-01-29,0,58.491943401290754,71.41105748198703,True,8,0.006896509718143733,142.052116641078
8,2020-01-30,0,58.491943401290754,71.41105748198703,True,9,0.008396661559227945,142.052116641078
9,2020-01-31,0,58.491943401290754,71.41105748198703,True,10,0.010223108083339977,142.052116641078
10,2020-02-01,0,58.491943401290754,71.41105748198703,True,11,0.012446809652656366,142.052116641078
11,2020-02-02,0,58.491943401290754,71.41105748198703,True,12,0.01515415317488065,142.052116641078
12,2020-02-03,0,58.491943401290754,71.41105748198703,True,13,0.018450303161547287,142.052116641078
13,2020-02-04,0,58.491943401290754,71.41105748198703,True,14,0.022463279461525845,142.052116641078
14,2020-02-05,0,58.491943401290754,71.41105748198703,True,15,0.027348918638847676,142.052116641078
15,2020-02-06,0,58.491943401290754,71.41105748198703,True,16,0.03329690957628879,142.052116641078
16,2020-02-07,0,58.491943401290754,71.41105748198703,True,17,0.040538134553343895,142.052116641078
17,2020-02-08,0,58.491943401290754,71.41105748198703,True,18,0.049353596180566846,142.052116641078
18,2020-02-09,0,58.491943401290754,71.41105748198703,True,19,0.06008526983086258,142.052116641078
19,2020-02-10,0,58.491943401290754,71.41105748198703,True,20,0.07314929252495113,142.052116641078
20,2020-02-11,0,58.491943401290754,71.41105748198703,True,21,0.08905198482730375,142.052116641078
21,2020-02-12,0,58.491943401290754,71.41105748198703,True,22,0.10840930470889175,142.052116641078
22,2020-02-13,0,58.491943401290754,71.41105748198703,True,23,0.13197045432113946,142.052116641078
23,2020-02-14,0,58.491943401290754,71.41105748198703,True,24,0.16064650518439338,142.052116641078
24,2020-02-15,0,58.491943401290754,71.41105748198703,True,25,0.19554507745373925,142.052116641078
25,2020-02-16,0,58.491943401290754,71.41105748198703,True,26,0.2380123074931854,142.052116641078
26,2020-02-17,0,58.491943401290754,71.41105748198703,True,27,0.289683567100248,142.052116641078
27,2020-02-18,0,58.491943401290754,71.41105748198703,True,28,0.3525446581080988,142.052116641078
28,2020-02-19,0,58.491943401290754,71.41105748198703,True,29,0.42900549594100185,142.052116641078
29,2020-02-20,0,58.491943401290754,71.41105748198703,True,30,0.521988608921142,142.052116641078
30,2020-02-21,0,58.491943401290754,71.41105748198703,True,31,0.6350351037593672,142.052116641078
31,2020-02-22,0,58.491943401290754,71.41105748198703,True,32,0.772431058078602,142.052116641078
32,2020-02-23,0,58.491943401290754,71.41105748198703,True,33,0.9393575582729917,142.052116641078
33,2020-02-24,0,58.491943401290754,71.41105748198703,True,34,1.142067742003145,142.052116641078
34,2020-02-25,0,58.491943401290754,71.41105748198703,True,35,1.3880941314944952,142.052116641078
