,Report_Date,Panama_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,79.78622716572109,2687.7499220674968,True,1,0.06209852633798527,4486.0431395556425
1,2020-01-23,0,79.78622716572109,2687.7499220674968,True,2,0.07173778659227069,4486.0431395556425
2,2020-01-24,0,79.78622716572109,2687.7499220674968,True,3,0.08287328051344962,4486.0431395556425
3,2020-01-25,0,79.78622716572109,2687.7499220674968,True,4,0.0957372500722583,4486.0431395556425
4,2020-01-26,0,79.78622716572109,2687.7499220674968,True,5,0.11059798272571077,4486.0431395556425
5,2020-01-27,0,79.78622716572109,2687.7499220674968,True,6,0.127765405050716,4486.0431395556425
6,2020-01-28,0,79.78622716572109,2687.7499220674968,True,7,0.1475975441235639,4486.0431395556425
7,2020-01-29,0,79.78622716572109,2687.7499220674968,True,8,0.17050799116287452,4486.0431395556425
8,2020-01-30,0,79.78622716572109,2687.7499220674968,True,9,0.1969745227741152,4486.0431395556425
9,2020-01-31,0,79.78622716572109,2687.7499220674968,True,10,0.22754905916604873,4486.0431395556425
10,2020-02-01,0,79.78622716572109,2687.7499220674968,True,11,0.26286916644529423,4486.0431395556425
11,2020-02-02,0,79.78622716572109,2687.7499220674968,True,12,0.3036713421004579,4486.0431395556425
12,2020-02-03,0,79.78622716572109,2687.7499220674968,True,13,0.35080635971276874,4486.0431395556425
13,2020-02-04,0,79.78622716572109,2687.7499220674968,True,14,0.4052569915235694,4486.0431395556425
14,2020-02-05,0,79.78622716572109,2687.7499220674968,True,15,0.4681584766088424,4486.0431395556425
15,2020-02-06,0,79.78622716572109,2687.7499220674968,True,16,0.5408221590417893,4486.0431395556425
16,2020-02-07,0,79.78622716572109,2687.7499220674968,True,17,0.6247627856942671,4486.0431395556425
17,2020-02-08,0,79.78622716572109,2687.7499220674968,True,18,0.7217300285269461,4486.0431395556425
18,2020-02-09,0,79.78622716572109,2687.7499220674968,True,19,0.8337448828201725,4486.0431395556425
19,2020-02-10,0,79.78622716572109,2687.7499220674968,True,20,0.9631416924826786,4486.0431395556425
20,2020-02-11,0,79.78622716572109,2687.7499220674968,True,21,1.112616668254267,4486.0431395556425
21,2020-02-12,0,79.78622716572109,2687.7499220674968,True,22,1.285283896458877,4486.0431395556425
22,2020-02-13,0,79.78622716572109,2687.7499220674968,True,23,1.4847399874166447,4486.0431395556425
23,2020-02-14,0,79.78622716572109,2687.7499220674968,True,24,1.7151386864478755,4486.0431395556425
24,2020-02-15,0,79.78622716572109,2687.7499220674968,True,25,1.9812769696926935,4486.0431395556425
25,2020-02-16,0,79.78622716572109,2687.7499220674968,True,26,2.288694375176617,4486.0431395556425
26,2020-02-17,0,79.78622716572109,2687.7499220674968,True,27,2.643787580492293,4486.0431395556425
27,2020-02-18,0,79.78622716572109,2687.7499220674968,True,28,3.053942536329828,4486.0431395556425
28,2020-02-19,0,79.78622716572109,2687.7499220674968,True,29,3.5276868044170313,4486.0431395556425
29,2020-02-20,0,79.78622716572109,2687.7499220674968,True,30,4.07486513408567,4486.0431395556425
30,2020-02-21,0,79.78622716572109,2687.7499220674968,True,31,4.706841748756123,4486.0431395556425
31,2020-02-22,0,79.78622716572109,2687.7499220674968,True,32,5.436733307331006,4486.0431395556425
32,2020-02-23,0,79.78622716572109,2687.7499220674968,True,33,6.279677060908683,4486.0431395556425
33,2020-02-24,0,79.78622716572109,2687.7499220674968,True,34,7.253139347063728,4486.0431395556425
34,2020-02-25,0,79.78622716572109,2687.7499220674968,True,35,8.377270256034224,4486.0431395556425
35,2020-02-26,0,79.78622716572109,2687.7499220674968,True,36,9.675311067862955,4486.0431395556425
36,2020-02-27,0,79.78622716572109,2687.7499220674968,True,37,11.174061896852798,4486.0431395556425
37,2020-02-28,0,79.78622716572109,2687.7499220674968,True,38,12.90441788602899,4486.0431395556425
38,2020-02-29,0,79.78622716572109,2687.7499220674968,True,39,14.901983260839483,4486.0431395556425
39,2020-03-01,0,79.78622716572109,2687.7499220674968,True,40,17.207773561816474,4486.0431395556425
40,2020-03-02,0,79.78622716572109,2687.7499220674968,True,41,19.869017403727746,4486.0431395556425
41,2020-03-03,0,79.78622716572109,2687.7499220674968,True,42,22.94007011296972,4486.0431395556425
42,2020-03-04,0,79.78622716572109,2687.7499220674968,True,43,26.483452515398035,4486.0431395556425
43,2020-03-05,0,79.78622716572109,2687.7499220674968,True,44,30.571028897473504,4486.0431395556425
44,2020-03-06,0,79.78622716572109,2687.7499220674968,True,45,35.28533862452813,4486.0431395556425
45,2020-03-07,0,79.78622716572109,2687.7499220674968,True,46,40.721095906841384,4486.0431395556425
46,2020-03-08,0,79.78622716572109,2687.7499220674968,True,47,46.98687153588061,4486.0431395556425
47,2020-03-09,0,79.78622716572109,2687.7499220674968,True,48,54.20696877635983,4486.0431395556425
48,2020-03-10,1,79.78622716572109,2687.7499220674968,True,49,62.52350261214676,4486.0431395556425
49,2020-03-11,8,79.78622716572109,2687.7499220674968,True,50,72.09868671419757,4486.0431395556425
50,2020-03-12,11,79.78622716572109,2687.7499220674968,True,51,83.11732520669538,4486.0431395556425
51,2020-03-13,27,79.78622716572109,2687.7499220674968,True,52,95.78949578680438,4486.0431395556425
52,2020-03-14,36,79.78622716572109,2687.7499220674968,True,53,110.3533960786851,4486.0431395556425
53,2020-03-15,43,79.78622716572109,2687.7499220674968,True,54,127.0783051907404,4486.0431395556425
54,2020-03-16,55,79.78622716572109,2687.7499220674968,True,55,146.26758608012207,4486.0431395556425
