,Report_Date,Uzbekistan_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,94.49792694580081,2411.214054466457,False,1,0.05447243789974443,4822.428108932914
1,2020-01-23,0,94.49792694580081,2411.214054466457,False,2,0.06153006016562461,4822.428108932914
2,2020-01-24,0,94.49792694580081,2411.214054466457,False,3,0.06950207723528402,4822.428108932914
3,2020-01-25,0,94.49792694580081,2411.214054466457,False,4,0.07850695566343342,4822.428108932914
4,2020-01-26,0,94.49792694580081,2411.214054466457,False,5,0.08867850921273646,4822.428108932914
5,2020-01-27,0,94.49792694580081,2411.214054466457,False,6,0.10016788679040163,4822.428108932914
6,2020-01-28,0,94.49792694580081,2411.214054466457,False,7,0.11314581780747465,4822.428108932914
7,2020-01-29,0,94.49792694580081,2411.214054466457,False,8,0.12780514827404307,4822.428108932914
8,2020-01-30,0,94.49792694580081,2411.214054466457,False,9,0.14436370524882777,4822.428108932914
9,2020-01-31,0,94.49792694580081,2411.214054466457,False,10,0.163067532121691,4822.428108932914
10,2020-02-01,0,94.49792694580081,2411.214054466457,False,11,0.184194542693479,4822.428108932914
11,2020-02-02,0,94.49792694580081,2411.214054466457,False,12,0.2080586482093699,4822.428108932914
12,2020-02-03,0,94.49792694580081,2411.214054466457,False,13,0.23501441848960508,4822.428108932914
13,2020-02-04,0,94.49792694580081,2411.214054466457,False,14,0.26546234618655273,4822.428108932914
14,2020-02-05,0,94.49792694580081,2411.214054466457,False,15,0.299854792093535,4822.428108932914
15,2020-02-06,0,94.49792694580081,2411.214054466457,False,16,0.33870269946698567,4822.428108932914
16,2020-02-07,0,94.49792694580081,2411.214054466457,False,17,0.382583176643357,4822.428108932914
17,2020-02-08,0,94.49792694580081,2411.214054466457,False,18,0.4321480599975098,4822.428108932914
18,2020-02-09,0,94.49792694580081,2411.214054466457,False,19,0.4881335836815514,4822.428108932914
19,2020-02-10,0,94.49792694580081,2411.214054466457,False,20,0.551371298805565,4822.428108932914
20,2020-02-11,0,94.49792694580081,2411.214054466457,False,21,0.6228004030020692,4822.428108932914
21,2020-02-12,0,94.49792694580081,2411.214054466457,False,22,0.7034816619088621,4822.428108932914
22,2020-02-13,0,94.49792694580081,2411.214054466457,False,23,0.7946131272943524,4822.428108932914
23,2020-02-14,0,94.49792694580081,2411.214054466457,False,24,0.8975478826522948,4822.428108932914
24,2020-02-15,0,94.49792694580081,2411.214054466457,False,25,1.0138140764614705,4822.428108932914
25,2020-02-16,0,94.49792694580081,2411.214054466457,False,26,1.1451375363314413,4822.428108932914
26,2020-02-17,0,94.49792694580081,2411.214054466457,False,27,1.2934672943711878,4822.428108932914
27,2020-02-18,0,94.49792694580081,2411.214054466457,False,28,1.4610043958012995,4822.428108932914
28,2020-02-19,0,94.49792694580081,2411.214054466457,False,29,1.6502344096082282,4822.428108932914
29,2020-02-20,0,94.49792694580081,2411.214054466457,False,30,1.8639641124868311,4822.428108932914
30,2020-02-21,0,94.49792694580081,2411.214054466457,False,31,2.1053628760625993,4822.428108932914
31,2020-02-22,0,94.49792694580081,2411.214054466457,False,32,2.378009353107089,4822.428108932914
32,2020-02-23,0,94.49792694580081,2411.214054466457,False,33,2.685944131889906,4822.428108932914
33,2020-02-24,0,94.49792694580081,2411.214054466457,False,34,3.0337291097259462,4822.428108932914
34,2020-02-25,0,94.49792694580081,2411.214054466457,False,35,3.4265144279966893,4822.428108932914
35,2020-02-26,0,94.49792694580081,2411.214054466457,False,36,3.8701139122982626,4822.428108932914
36,2020-02-27,0,94.49792694580081,2411.214054466457,False,37,4.371090073759623,4822.428108932914
37,2020-02-28,0,94.49792694580081,2411.214054466457,False,38,4.936849851834497,4822.428108932914
