,Report_Date,China_sichuan_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,5,14.345129852826574,270.90133727831744,True,1,33.42027857711936,541.8023761090544
1,2020-01-23,8,14.345129852826574,270.90133727831744,True,2,40.418082306754386,541.8023761090544
2,2020-01-24,15,14.345129852826574,270.90133727831744,True,3,48.74066187905366,541.8023761090544
3,2020-01-25,28,14.345129852826574,270.90133727831744,True,4,58.57674878444627,541.8023761090544
4,2020-01-26,44,14.345129852826574,270.90133727831744,True,5,70.11553187713064,541.8023761090544
5,2020-01-27,69,14.345129852826574,270.90133727831744,True,6,83.53436543586045,541.8023761090544
6,2020-01-28,90,14.345129852826574,270.90133727831744,True,7,98.98240516512297,541.8023761090544
7,2020-01-29,108,14.345129852826574,270.90133727831744,True,8,116.56062584301665,541.8023761090544
8,2020-01-30,142,14.345129852826574,270.90133727831744,True,9,136.29969325247924,541.8023761090544
9,2020-01-31,177,14.345129852826574,270.90133727831744,True,10,158.13840147568055,541.8023761090544
10,2020-02-01,207,14.345129852826574,270.90133727831744,True,11,181.90654332262872,541.8023761090544
11,2020-02-02,231,14.345129852826574,270.90133727831744,True,12,207.3166781583895,541.8023761090544
12,2020-02-03,254,14.345129852826574,270.90133727831744,True,13,233.96877560992067,541.8023761090544
13,2020-02-04,282,14.345129852826574,270.90133727831744,True,14,261.36984223506977,541.8023761090544
14,2020-02-05,301,14.345129852826574,270.90133727831744,True,15,288.9675831953108,541.8023761090544
15,2020-02-06,321,14.345129852826574,270.90133727831744,True,16,316.1937280767838,541.8023761090544
16,2020-02-07,344,14.345129852826574,270.90133727831744,True,17,342.5100497508481,541.8023761090544
17,2020-02-08,364,14.345129852826574,270.90133727831744,True,18,367.4493497971412,541.8023761090544
18,2020-02-09,386,14.345129852826574,270.90133727831744,True,19,390.6450853128992,541.8023761090544
19,2020-02-10,405,14.345129852826574,270.90133727831744,True,20,411.8462964843023,541.8023761090544
20,2020-02-11,417,14.345129852826574,270.90133727831744,True,21,430.9179217818357,541.8023761090544
21,2020-02-12,436,14.345129852826574,270.90133727831744,True,22,447.8293357965132,541.8023761090544
22,2020-02-13,451,14.345129852826574,270.90133727831744,True,23,462.63538027178924,541.8023761090544
23,2020-02-14,463,14.345129852826574,270.90133727831744,True,24,475.4542606760691,541.8023761090544
24,2020-02-15,470,14.345129852826574,270.90133727831744,True,25,486.4458526961996,541.8023761090544
25,2020-02-16,481,14.345129852826574,270.90133727831744,True,26,495.7927368201527,541.8023761090544
26,2020-02-17,495,14.345129852826574,270.90133727831744,True,27,503.6850859213723,541.8023761090544
27,2020-02-18,508,14.345129852826574,270.90133727831744,True,28,510.30961050513434,541.8023761090544
28,2020-02-19,514,14.345129852826574,270.90133727831744,True,29,515.8421856624492,541.8023761090544
29,2020-02-20,520,14.345129852826574,270.90133727831744,True,30,520.4435010981206,541.8023761090544
30,2020-02-21,525,14.345129852826574,270.90133727831744,True,31,524.2570053505626,541.8023761090544
31,2020-02-22,526,14.345129852826574,270.90133727831744,True,32,527.4084710756198,541.8023761090544
32,2020-02-23,526,14.345129852826574,270.90133727831744,True,33,530.0066226502813,541.8023761090544
33,2020-02-24,527,14.345129852826574,270.90133727831744,True,34,532.1443962921646,541.8023761090544
34,2020-02-25,529,14.345129852826574,270.90133727831744,True,35,533.9005220346105,541.8023761090544
35,2020-02-26,531,14.345129852826574,270.90133727831744,True,36,535.3412156734363,541.8023761090544
36,2020-02-27,534,14.345129852826574,270.90133727831744,True,37,536.5218449389414,541.8023761090544
37,2020-02-28,538,14.345129852826574,270.90133727831744,True,38,537.4884896379666,541.8023761090544
38,2020-02-29,538,14.345129852826574,270.90133727831744,True,39,538.2793540419041,541.8023761090544
39,2020-03-01,538,14.345129852826574,270.90133727831744,True,40,538.9260153121915,541.8023761090544
40,2020-03-02,538,14.345129852826574,270.90133727831744,True,41,539.4545077737145,541.8023761090544
41,2020-03-03,538,14.345129852826574,270.90133727831744,True,42,539.886252219059,541.8023761090544
42,2020-03-04,538,14.345129852826574,270.90133727831744,True,43,540.238844322633,541.8023761090544
43,2020-03-05,539,14.345129852826574,270.90133727831744,True,44,540.5267182422941,541.8023761090544
44,2020-03-06,539,14.345129852826574,270.90133727831744,True,45,540.76170169534,541.8023761090544
45,2020-03-07,539,14.345129852826574,270.90133727831744,True,46,540.9534779685208,541.8023761090544
46,2020-03-08,539,14.345129852826574,270.90133727831744,True,47,541.1099689540498,541.8023761090544
47,2020-03-09,539,14.345129852826574,270.90133727831744,True,48,541.2376517109251,541.8023761090544
48,2020-03-10,539,14.345129852826574,270.90133727831744,True,49,541.3418194255919,541.8023761090544
49,2020-03-11,539,14.345129852826574,270.90133727831744,True,50,541.4267960984722,541.8023761090544
50,2020-03-12,539,14.345129852826574,270.90133727831744,True,51,541.4961128704897,541.8023761090544
51,2020-03-13,539,14.345129852826574,270.90133727831744,True,52,541.5526526503843,541.8023761090544
52,2020-03-14,539,14.345129852826574,270.90133727831744,True,53,541.5987686131907,541.8023761090544
53,2020-03-15,539,14.345129852826574,270.90133727831744,True,54,541.6363812051445,541.8023761090544
54,2020-03-16,539,14.345129852826574,270.90133727831744,True,55,541.6670574969345,541.8023761090544
55,2020-03-17,540,14.345129852826574,270.90133727831744,True,56,541.6920760596778,541.8023761090544
56,2020-03-18,540,14.345129852826574,270.90133727831744,True,57,541.7124799798536,541.8023761090544
57,2020-03-19,540,14.345129852826574,270.90133727831744,True,58,541.7291201650836,541.8023761090544
