,Report_Date,Bhutan_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,248.1555357208825,3916.643817693683,False,1,0.08205181648547429,7833.28763538737
1,2020-01-23,0,0,248.1555357208825,3916.643817693683,False,2,0.08594817071990221,7833.28763538737
2,2020-01-24,0,0,248.1555357208825,3916.643817693683,False,3,0.09002954708404863,7833.28763538737
3,2020-01-25,0,0,248.1555357208825,3916.643817693683,False,4,0.09430473132500396,7833.28763538737
4,2020-01-26,0,0,248.1555357208825,3916.643817693683,False,5,0.09878292635959178,7833.28763538737
5,2020-01-27,0,0,248.1555357208825,3916.643817693683,False,6,0.10347377208069976,7833.28763538737
6,2020-01-28,0,0,248.1555357208825,3916.643817693683,False,7,0.10838736610378293,7833.28763538737
7,2020-01-29,0,0,248.1555357208825,3916.643817693683,False,8,0.11353428549814923,7833.28763538737
8,2020-01-30,0,0,248.1555357208825,3916.643817693683,False,9,0.11892560954975218,7833.28763538737
9,2020-01-31,0,0,248.1555357208825,3916.643817693683,False,10,0.12457294360443008,7833.28763538737
10,2020-02-01,0,0,248.1555357208825,3916.643817693683,False,11,0.13048844404285193,7833.28763538737
11,2020-02-02,0,0,248.1555357208825,3916.643817693683,False,12,0.13668484444085807,7833.28763538737
12,2020-02-03,0,0,248.1555357208825,3916.643817693683,False,13,0.14317548297143023,7833.28763538737
13,2020-02-04,0,0,248.1555357208825,3916.643817693683,False,14,0.1499743311071882,7833.28763538737
14,2020-02-05,0,0,248.1555357208825,3916.643817693683,False,15,0.1570960236851026,7833.28763538737
15,2020-02-06,0,0,248.1555357208825,3916.643817693683,False,16,0.16455589039803603,7833.28763538737
16,2020-02-07,0,0,248.1555357208825,3916.643817693683,False,17,0.17236998878078383,7833.28763538737
17,2020-02-08,0,0,248.1555357208825,3916.643817693683,False,18,0.18055513876149396,7833.28763538737
18,2020-02-09,0,0,248.1555357208825,3916.643817693683,False,19,0.18912895885270017,7833.28763538737
19,2020-02-10,0,0,248.1555357208825,3916.643817693683,False,20,0.19810990405971918,7833.28763538737
20,2020-02-11,0,0,248.1555357208825,3916.643817693683,False,21,0.20751730558784348,7833.28763538737
21,2020-02-12,0,0,248.1555357208825,3916.643817693683,False,22,0.21737141243361754,7833.28763538737
22,2020-02-13,0,0,248.1555357208825,3916.643817693683,False,23,0.22769343494952077,7833.28763538737
23,2020-02-14,0,0,248.1555357208825,3916.643817693683,False,24,0.2385055904756103,7833.28763538737
24,2020-02-15,0,0,248.1555357208825,3916.643817693683,False,25,0.24983115113610138,7833.28763538737
25,2020-02-16,0,0,248.1555357208825,3916.643817693683,False,26,0.2616944939035012,7833.28763538737
26,2020-02-17,0,0,248.1555357208825,3916.643817693683,False,27,0.2741211530377639,7833.28763538737
27,2020-02-18,0,0,248.1555357208825,3916.643817693683,False,28,0.28713787501301996,7833.28763538737
28,2020-02-19,0,0,248.1555357208825,3916.643817693683,False,29,0.30077267604975294,7833.28763538737
29,2020-02-20,0,0,248.1555357208825,3916.643817693683,False,30,0.3150549023758712,7833.28763538737
30,2020-02-21,0,0,248.1555357208825,3916.643817693683,False,31,0.33001529334595653,7833.28763538737
31,2020-02-22,0,0,248.1555357208825,3916.643817693683,False,32,0.34568604755408205,7833.28763538737
32,2020-02-23,0,0,248.1555357208825,3916.643817693683,False,33,0.36210089208198687,7833.28763538737
33,2020-02-24,0,0,248.1555357208825,3916.643817693683,False,34,0.37929515503109457,7833.28763538737
34,2020-02-25,0,0,248.1555357208825,3916.643817693683,False,35,0.3973058414938731,7833.28763538737
35,2020-02-26,0,0,248.1555357208825,3916.643817693683,False,36,0.4161717131273749,7833.28763538737
36,2020-02-27,0,0,248.1555357208825,3916.643817693683,False,37,0.4359333714994835,7833.28763538737
37,2020-02-28,0,0,248.1555357208825,3916.643817693683,False,38,0.4566333453864359,7833.28763538737
38,2020-02-29,0,0,248.1555357208825,3916.643817693683,False,39,0.47831618220861555,7833.28763538737
39,2020-03-01,0,0,248.1555357208825,3916.643817693683,False,40,0.5010285438004275,7833.28763538737
40,2020-03-02,0,0,248.1555357208825,3916.643817693683,False,41,0.5248193067192973,7833.28763538737
41,2020-03-03,0,0,248.1555357208825,3916.643817693683,False,42,0.5497396673084978,7833.28763538737
42,2020-03-04,0,0,248.1555357208825,3916.643817693683,False,43,0.5758432517386198,7833.28763538737
43,2020-03-05,0,0,248.1555357208825,3916.643817693683,False,44,0.603186231263092,7833.28763538737
44,2020-03-06,1,1,248.1555357208825,3916.643817693683,False,45,0.6318274429342288,7833.28763538737
45,2020-03-07,1,1,248.1555357208825,3916.643817693683,False,46,0.6618285160378901,7833.28763538737
46,2020-03-08,1,1,248.1555357208825,3916.643817693683,False,47,0.6932540045169633,7833.28763538737
47,2020-03-09,1,1,248.1555357208825,3916.643817693683,False,48,0.7261715256665857,7833.28763538737
48,2020-03-10,1,1,248.1555357208825,3916.643817693683,False,49,0.7606519053973183,7833.28763538737
49,2020-03-11,1,1,248.1555357208825,3916.643817693683,False,50,0.7967693303763798,7833.28763538737
50,2020-03-12,1,1,248.1555357208825,3916.643817693683,False,51,0.8346015073716212,7833.28763538737
51,2020-03-13,1,1,248.1555357208825,3916.643817693683,False,52,0.8742298301381304,7833.28763538737
52,2020-03-14,1,1,248.1555357208825,3916.643817693683,False,53,0.9157395542033104,7833.28763538737
53,2020-03-15,1,1,248.1555357208825,3916.643817693683,False,54,0.9592199799229201,7833.28763538737
54,2020-03-16,1,1,248.1555357208825,3916.643817693683,False,55,1.004764644198029,7833.28763538737
55,2020-03-17,1,1,248.1555357208825,3916.643817693683,False,56,1.0524715212610676,7833.28763538737
56,2020-03-18,1,1,248.1555357208825,3916.643817693683,False,57,1.1024432329582383,7833.28763538737
57,2020-03-19,1,1,248.1555357208825,3916.643817693683,False,58,1.1547872689755159,7833.28763538737
58,2020-03-20,2,2,248.1555357208825,3916.643817693683,False,59,1.2096162174763405,7833.28763538737
59,2020-03-21,2,2,248.1555357208825,3916.643817693683,False,60,1.267048006640933,7833.28763538737
60,2020-03-22,2,2,248.1555357208825,3916.643817693683,False,61,1.3272061576200107,7833.28763538737
61,2020-03-23,2,2,248.1555357208825,3916.643817693683,False,62,1.3902200494395165,7833.28763538737
62,2020-03-24,2,2,248.1555357208825,3916.643817693683,False,63,1.4562251964179873,7833.28763538737
63,2020-03-25,2,2,248.1555357208825,3916.643817693683,False,64,1.5253635386842217,7833.28763538737
64,2020-03-26,2,2,248.1555357208825,3916.643817693683,False,65,1.5977837464102407,7833.28763538737
65,2020-03-27,3,3,248.1555357208825,3916.643817693683,False,66,1.673641538402997,7833.28763538737
66,2020-03-28,3,3,248.1555357208825,3916.643817693683,False,67,1.7531000157281245,7833.28763538737
67,2020-03-29,4,4,248.1555357208825,3916.643817693683,False,68,1.8363300110701424,7833.28763538737
68,2020-03-30,4,4,248.1555357208825,3916.643817693683,False,69,1.9235104545660566,7833.28763538737
69,2020-03-31,4,4,248.1555357208825,3916.643817693683,False,70,2.01482875688333,7833.28763538737
70,2020-04-01,4,4,248.1555357208825,3916.643817693683,False,71,2.110481210348653,7833.28763538737
71,2020-04-02,5,4,248.1555357208825,3916.643817693683,False,72,2.2106734089710995,7833.28763538737
72,2020-04-03,5,3,248.1555357208825,3916.643817693683,False,73,2.31562068824193,7833.28763538737
73,2020-04-04,5,3,248.1555357208825,3916.643817693683,False,74,2.4255485856337966,7833.28763538737
74,2020-04-05,5,3,248.1555357208825,3916.643817693683,False,75,2.540693322764319,7833.28763538737
75,2020-04-06,5,3,248.1555357208825,3916.643817693683,False,76,2.6613023102330575,7833.28763538737
76,2020-04-07,5,3,248.1555357208825,3916.643817693683,False,77,2.7876346761869764,7833.28763538737
77,2020-04-08,5,3,248.1555357208825,3916.643817693683,False,78,2.9199618197174106,7833.28763538737
78,2020-04-09,5,3,248.1555357208825,3916.643817693683,False,79,3.058567990241704,7833.28763538737
79,2020-04-10,5,3,248.1555357208825,3916.643817693683,False,80,3.203750894074906,7833.28763538737
80,2020-04-11,5,3,248.1555357208825,3916.643817693683,False,81,3.355822329451342,7833.28763538737
