,Report_Date,Grenada_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,69.40737980015261,7.724796691160929,True,1,0.00018236873111183806,15.336375178933645
1,2020-01-23,0,69.40737980015261,7.724796691160929,True,2,0.00021527217591642335,15.336375178933645
2,2020-01-24,0,69.40737980015261,7.724796691160929,True,3,0.000254112048891509,15.336375178933645
3,2020-01-25,0,69.40737980015261,7.724796691160929,True,4,0.00029995935994879064,15.336375178933645
4,2020-01-26,0,69.40737980015261,7.724796691160929,True,5,0.0003540783281976806,15.336375178933645
5,2020-01-27,0,69.40737980015261,7.724796691160929,True,6,0.000417961230761278,15.336375178933645
6,2020-01-28,0,69.40737980015261,7.724796691160929,True,7,0.0004933695348756828,15.336375178933645
7,2020-01-29,0,69.40737980015261,7.724796691160929,True,8,0.0005823824452361092,15.336375178933645
8,2020-01-30,0,69.40737980015261,7.724796691160929,True,9,0.0006874542021198197,15.336375178933645
9,2020-01-31,0,69.40737980015261,7.724796691160929,True,10,0.0008114817058482907,15.336375178933645
10,2020-02-01,0,69.40737980015261,7.724796691160929,True,11,0.0009578843261253333,15.336375178933645
11,2020-02-02,0,69.40737980015261,7.724796691160929,True,12,0.0011306980883081178,15.336375178933645
12,2020-02-03,0,69.40737980015261,7.724796691160929,True,13,0.0013346868216536209,15.336375178933645
13,2020-02-04,0,69.40737980015261,7.724796691160929,True,14,0.0015754733174840236,15.336375178933645
14,2020-02-05,0,69.40737980015261,7.724796691160929,True,15,0.0018596940902571042,15.336375178933645
15,2020-02-06,0,69.40737980015261,7.724796691160929,True,16,0.0021951819759912427,15.336375178933645
16,2020-02-07,0,69.40737980015261,7.724796691160929,True,17,0.0025911815570231174,15.336375178933645
17,2020-02-08,0,69.40737980015261,7.724796691160929,True,18,0.0030586032890213485,15.336375178933645
18,2020-02-09,0,69.40737980015261,7.724796691160929,True,19,0.0036103232479740284,15.336375178933645
19,2020-02-10,0,69.40737980015261,7.724796691160929,True,20,0.0042615366374219345,15.336375178933645
20,2020-02-11,0,69.40737980015261,7.724796691160929,True,21,0.005030174629313401,15.336375178933645
21,2020-02-12,0,69.40737980015261,7.724796691160929,True,22,0.005937395789575269,15.336375178933645
22,2020-02-13,0,69.40737980015261,7.724796691160929,True,23,0.007008165300506937,15.336375178933645
23,2020-02-14,0,69.40737980015261,7.724796691160929,True,24,0.0082719374799459,15.336375178933645
24,2020-02-15,0,69.40737980015261,7.724796691160929,True,25,0.009763459760267717,15.336375178933645
25,2020-02-16,0,69.40737980015261,7.724796691160929,True,26,0.011523719381776308,15.336375178933645
26,2020-02-17,0,69.40737980015261,7.724796691160929,True,27,0.013601057631950901,15.336375178933645
27,2020-02-18,0,69.40737980015261,7.724796691160929,True,28,0.01605248058386925,15.336375178933645
28,2020-02-19,0,69.40737980015261,7.724796691160929,True,29,0.018945200013414414,15.336375178933645
29,2020-02-20,0,69.40737980015261,7.724796691160929,True,30,0.02235844356097727,15.336375178933645
30,2020-02-21,0,69.40737980015261,7.724796691160929,True,31,0.026385579294256153,15.336375178933645
31,2020-02-22,0,69.40737980015261,7.724796691160929,True,32,0.031136606649528796,15.336375178933645
32,2020-02-23,0,69.40737980015261,7.724796691160929,True,33,0.03674107327079588,15.336375178933645
33,2020-02-24,0,69.40737980015261,7.724796691160929,True,34,0.04335148546717382,15.336375178933645
34,2020-02-25,0,69.40737980015261,7.724796691160929,True,35,0.051147288724644885,15.336375178933645
35,2020-02-26,0,69.40737980015261,7.724796691160929,True,36,0.06033950367324053,15.336375178933645
36,2020-02-27,0,69.40737980015261,7.724796691160929,True,37,0.07117611168385518,15.336375178933645
37,2020-02-28,0,69.40737980015261,7.724796691160929,True,38,0.0839482921598748,15.336375178933645
38,2020-02-29,0,69.40737980015261,7.724796691160929,True,39,0.09899761955979056,15.336375178933645
39,2020-03-01,0,69.40737980015261,7.724796691160929,True,40,0.11672433072335656,15.336375178933645
40,2020-03-02,0,69.40737980015261,7.724796691160929,True,41,0.137596770018441,15.336375178933645
41,2020-03-03,0,69.40737980015261,7.724796691160929,True,42,0.16216210817130103,15.336375178933645
42,2020-03-04,0,69.40737980015261,7.724796691160929,True,43,0.1910584062824958,15.336375178933645
43,2020-03-05,0,69.40737980015261,7.724796691160929,True,44,0.22502805397152106,15.336375178933645
44,2020-03-06,0,69.40737980015261,7.724796691160929,True,45,0.2649325426578997,15.336375178933645
45,2020-03-07,0,69.40737980015261,7.724796691160929,True,46,0.3117684325454027,15.336375178933645
46,2020-03-08,0,69.40737980015261,7.724796691160929,True,47,0.36668422370155473,15.336375178933645
47,2020-03-09,0,69.40737980015261,7.724796691160929,True,48,0.430997634514869,15.336375178933645
48,2020-03-10,0,69.40737980015261,7.724796691160929,True,49,0.5062125102247857,15.336375178933645
49,2020-03-11,0,69.40737980015261,7.724796691160929,True,50,0.5940342157681606,15.336375178933645
50,2020-03-12,0,69.40737980015261,7.724796691160929,True,51,0.6963818994943937,15.336375178933645
51,2020-03-13,0,69.40737980015261,7.724796691160929,True,52,0.8153954438227887,15.336375178933645
52,2020-03-14,0,69.40737980015261,7.724796691160929,True,53,0.9534342573851071,15.336375178933645
53,2020-03-15,0,69.40737980015261,7.724796691160929,True,54,1.1130643481981224,15.336375178933645
54,2020-03-16,0,69.40737980015261,7.724796691160929,True,55,1.2970294259736217,15.336375178933645
