,Report_Date,UK_falkland islands (malvinas)_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,82.45644620719126,6.79983248867092,True,1,0.0001563728275177379,13.593840082491113
1,2020-01-23,0,0,82.45644620719126,6.79983248867092,True,2,0.0001798036956099155,13.593840082491113
2,2020-01-24,0,0,82.45644620719126,6.79983248867092,True,3,0.0002067453861515983,13.593840082491113
3,2020-01-25,0,0,82.45644620719126,6.79983248867092,True,4,0.00023772393477107715,13.593840082491113
4,2020-01-26,0,0,82.45644620719126,6.79983248867092,True,5,0.0002733441888399657,13.593840082491113
5,2020-01-27,0,0,82.45644620719126,6.79983248867092,True,6,0.00031430161342712606,13.593840082491113
6,2020-01-28,0,0,82.45644620719126,6.79983248867092,True,7,0.0003613958652030029,13.593840082491113
7,2020-01-29,0,0,82.45644620719126,6.79983248867092,True,8,0.0004155463988611102,13.593840082491113
8,2020-01-30,0,0,82.45644620719126,6.79983248867092,True,9,0.00047781041015511767,13.593840082491113
9,2020-01-31,0,0,82.45644620719126,6.79983248867092,True,10,0.0005494034650693056,13.593840082491113
10,2020-02-01,0,0,82.45644620719126,6.79983248867092,True,11,0.0006317232168177489,13.593840082491113
11,2020-02-02,0,0,82.45644620719126,6.79983248867092,True,12,0.0007263766723008671,13.593840082491113
12,2020-02-03,0,0,82.45644620719126,6.79983248867092,True,13,0.0008352115384788768,13.593840082491113
13,2020-02-04,0,0,82.45644620719126,6.79983248867092,True,14,0.0009603522581567687,13.593840082491113
14,2020-02-05,0,0,82.45644620719126,6.79983248867092,True,15,0.0011042414354084735,13.593840082491113
15,2020-02-06,0,0,82.45644620719126,6.79983248867092,True,16,0.0012696874550051425,13.593840082491113
16,2020-02-07,0,0,82.45644620719126,6.79983248867092,True,17,0.0014599192197009066,13.593840082491113
17,2020-02-08,0,0,82.45644620719126,6.79983248867092,True,18,0.00167864906628801,13.593840082491113
18,2020-02-09,0,0,82.45644620719126,6.79983248867092,True,19,0.0019301450784871433,13.593840082491113
19,2020-02-10,0,0,82.45644620719126,6.79983248867092,True,20,0.002219314194857325,13.593840082491113
20,2020-02-11,0,0,82.45644620719126,6.79983248867092,True,21,0.002551797716246331,13.593840082491113
21,2020-02-12,0,0,82.45644620719126,6.79983248867092,True,22,0.00293408105353849,13.593840082491113
22,2020-02-13,0,0,82.45644620719126,6.79983248867092,True,23,0.003373619826744889,13.593840082491113
23,2020-02-14,0,0,82.45644620719126,6.79983248867092,True,24,0.003878984735492374,13.593840082491113
24,2020-02-15,0,0,82.45644620719126,6.79983248867092,True,25,0.004460027973935128,13.593840082491113
25,2020-02-16,0,0,82.45644620719126,6.79983248867092,True,26,0.005128074365870664,13.593840082491113
26,2020-02-17,0,0,82.45644620719126,6.79983248867092,True,27,0.005896140854859873,13.593840082491113
27,2020-02-18,0,0,82.45644620719126,6.79983248867092,True,28,0.006779188506551052,13.593840082491113
28,2020-02-19,0,0,82.45644620719126,6.79983248867092,True,29,0.007794411773964015,13.593840082491113
29,2020-02-20,0,0,82.45644620719126,6.79983248867092,True,30,0.00896157044959385,13.593840082491113
30,2020-02-21,0,0,82.45644620719126,6.79983248867092,True,31,0.0103033704897733,13.593840082491113
31,2020-02-22,0,0,82.45644620719126,6.79983248867092,True,32,0.01184590075610983,13.593840082491113
32,2020-02-23,0,0,82.45644620719126,6.79983248867092,True,33,0.013619133685465598,13.593840082491113
33,2020-02-24,0,0,82.45644620719126,6.79983248867092,True,34,0.015657498983148558,13.593840082491113
34,2020-02-25,0,0,82.45644620719126,6.79983248867092,True,35,0.018000540642263096,13.593840082491113
35,2020-02-26,0,0,82.45644620719126,6.79983248867092,True,36,0.020693668932560045,13.593840082491113
36,2020-02-27,0,0,82.45644620719126,6.79983248867092,True,37,0.023789020479084353,13.593840082491113
37,2020-02-28,0,0,82.45644620719126,6.79983248867092,True,38,0.027346441164843624,13.593840082491113
38,2020-02-29,0,0,82.45644620719126,6.79983248867092,True,39,0.03143460833693949,13.593840082491113
39,2020-03-01,0,0,82.45644620719126,6.79983248867092,True,40,0.03613231065765425,13.593840082491113
40,2020-03-02,0,0,82.45644620719126,6.79983248867092,True,41,0.04152990589399033,13.593840082491113
41,2020-03-03,0,0,82.45644620719126,6.79983248867092,True,42,0.04773097893705498,13.593840082491113
42,2020-03-04,0,0,82.45644620719126,6.79983248867092,True,43,0.05485422431896456,13.593840082491113
43,2020-03-05,0,0,82.45644620719126,6.79983248867092,True,44,0.06303557935059015,13.593840082491113
44,2020-03-06,0,0,82.45644620719126,6.79983248867092,True,45,0.07243063559760468,13.593840082491113
45,2020-03-07,0,0,82.45644620719126,6.79983248867092,True,46,0.08321735754911809,13.593840082491113
46,2020-03-08,0,0,82.45644620719126,6.79983248867092,True,47,0.09559913774565625,13.593840082491113
47,2020-03-09,0,0,82.45644620719126,6.79983248867092,True,48,0.10980821696309402,13.593840082491113
48,2020-03-10,0,0,82.45644620719126,6.79983248867092,True,49,0.1261094958228778,13.593840082491113
