,Report_Date,Afghanistan_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,141.35097036089806,24247.523844576703,False,1,1.4373790511517255,48495.04768915341
1,2020-01-23,0,0,141.35097036089806,24247.523844576703,False,2,1.5482215333517186,48495.04768915341
2,2020-01-24,0,0,141.35097036089806,24247.523844576703,False,3,1.6676112622603874,48495.04768915341
3,2020-01-25,0,0,141.35097036089806,24247.523844576703,False,4,1.796207283094818,48495.04768915341
4,2020-01-26,0,0,141.35097036089806,24247.523844576703,False,5,1.9347194499649947,48495.04768915341
5,2020-01-27,0,0,141.35097036089806,24247.523844576703,False,6,2.083912341762234,48495.04768915341
6,2020-01-28,0,0,141.35097036089806,24247.523844576703,False,7,2.244609479655276,48495.04768915341
7,2020-01-29,0,0,141.35097036089806,24247.523844576703,False,8,2.417697869393332,48495.04768915341
8,2020-01-30,0,0,141.35097036089806,24247.523844576703,False,9,2.60413289339484,48495.04768915341
9,2020-01-31,0,0,141.35097036089806,24247.523844576703,False,10,2.8049435795159137,48495.04768915341
10,2020-02-01,0,0,141.35097036089806,24247.523844576703,False,11,3.021238275453535,48495.04768915341
11,2020-02-02,0,0,141.35097036089806,24247.523844576703,False,12,3.2542107599565675,48495.04768915341
12,2020-02-03,0,0,141.35097036089806,24247.523844576703,False,13,3.505146824404301,48495.04768915341
13,2020-02-04,0,0,141.35097036089806,24247.523844576703,False,14,3.775431360880175,48495.04768915341
14,2020-02-05,0,0,141.35097036089806,24247.523844576703,False,15,4.066555995631052,48495.04768915341
15,2020-02-06,0,0,141.35097036089806,24247.523844576703,False,16,4.380127309774543,48495.04768915341
16,2020-02-07,0,0,141.35097036089806,24247.523844576703,False,17,4.717875692313746,48495.04768915341
17,2020-02-08,0,0,141.35097036089806,24247.523844576703,False,18,5.081664873957306,48495.04768915341
18,2020-02-09,0,0,141.35097036089806,24247.523844576703,False,19,5.473502193940475,48495.04768915341
19,2020-02-10,0,0,141.35097036089806,24247.523844576703,False,20,5.895549656019098,48495.04768915341
20,2020-02-11,0,0,141.35097036089806,24247.523844576703,False,21,6.350135834083483,48495.04768915341
21,2020-02-12,0,0,141.35097036089806,24247.523844576703,False,22,6.839768692434784,48495.04768915341
