,Report_Date,Afghanistan_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
22,2020-02-13,0,0,141.35097036089806,24247.523844576703,False,23,7.367149390706007,48495.04768915341
23,2020-02-14,0,0,141.35097036089806,24247.523844576703,False,24,7.935187148718042,48495.04768915341
24,2020-02-15,0,0,141.35097036089806,24247.523844576703,False,25,8.547015252264526,48495.04768915341
25,2020-02-16,0,0,141.35097036089806,24247.523844576703,False,26,9.206008286946226,48495.04768915341
26,2020-02-17,0,0,141.35097036089806,24247.523844576703,False,27,9.91580069375594,48495.04768915341
27,2020-02-18,0,0,141.35097036089806,24247.523844576703,False,28,10.680306747180671,48495.04768915341
28,2020-02-19,0,0,141.35097036089806,24247.523844576703,False,29,11.503742064172712,48495.04768915341
29,2020-02-20,0,0,141.35097036089806,24247.523844576703,False,30,12.390646760481816,48495.04768915341
30,2020-02-21,0,0,141.35097036089806,24247.523844576703,False,31,13.345910379573926,48495.04768915341
31,2020-02-22,0,0,141.35097036089806,24247.523844576703,False,32,14.374798728729642,48495.04768915341
32,2020-02-23,0,0,141.35097036089806,24247.523844576703,False,33,15.48298276695872,48495.04768915341
33,2020-02-24,1,1,141.35097036089806,24247.523844576703,False,34,16.67656970013161,48495.04768915341
34,2020-02-25,1,1,141.35097036089806,24247.523844576703,False,35,17.962136450261383,48495.04768915341
35,2020-02-26,1,1,141.35097036089806,24247.523844576703,False,36,19.34676567821925,48495.04768915341
36,2020-02-27,1,1,141.35097036089806,24247.523844576703,False,37,20.838084552385993,48495.04768915341
37,2020-02-28,1,1,141.35097036089806,24247.523844576703,False,38,22.444306469882978,48495.04768915341
38,2020-02-29,1,1,141.35097036089806,24247.523844576703,False,39,24.174275952147198,48495.04768915341
39,2020-03-01,1,1,141.35097036089806,24247.523844576703,False,40,26.03751695277093,48495.04768915341
40,2020-03-02,1,1,141.35097036089806,24247.523844576703,False,41,28.044284832779663,48495.04768915341
41,2020-03-03,1,1,141.35097036089806,24247.523844576703,False,42,30.205622276930217,48495.04768915341
42,2020-03-04,1,1,141.35097036089806,24247.523844576703,False,43,32.533419444238454,48495.04768915341
43,2020-03-05,1,1,141.35097036089806,24247.523844576703,False,44,35.04047866685332,48495.04768915341
44,2020-03-06,1,1,141.35097036089806,24247.523844576703,False,45,37.74058403364291,48495.04768915341
45,2020-03-07,1,1,141.35097036089806,24247.523844576703,False,46,40.64857621851177,48495.04768915341
46,2020-03-08,4,4,141.35097036089806,24247.523844576703,False,47,43.78043293858263,48495.04768915341
47,2020-03-09,4,4,141.35097036089806,24247.523844576703,False,48,47.15335545400909,48495.04768915341
48,2020-03-10,5,5,141.35097036089806,24247.523844576703,False,49,50.78586154938766,48495.04768915341
49,2020-03-11,7,7,141.35097036089806,24247.523844576703,False,50,54.69788546655448,48495.04768915341
50,2020-03-12,7,7,141.35097036089806,24247.523844576703,False,51,58.91088529002026,48495.04768915341
51,2020-03-13,7,7,141.35097036089806,24247.523844576703,False,52,63.4479583194421,48495.04768915341
52,2020-03-14,11,11,141.35097036089806,24247.523844576703,False,53,68.33396499836806,48495.04768915341
53,2020-03-15,16,16,141.35097036089806,24247.523844576703,False,54,73.59566200501133,48495.04768915341
54,2020-03-16,21,20,141.35097036089806,24247.523844576703,False,55,79.2618451489952,48495.04768915341
55,2020-03-17,22,21,141.35097036089806,24247.523844576703,False,56,85.36350275780335,48495.04768915341
56,2020-03-18,22,21,141.35097036089806,24247.523844576703,False,57,91.93398027799239,48495.04768915341
57,2020-03-19,22,21,141.35097036089806,24247.523844576703,False,58,99.00915685895909,48495.04768915341
58,2020-03-20,24,23,141.35097036089806,24247.523844576703,False,59,106.62763473103156,48495.04768915341
59,2020-03-21,24,23,141.35097036089806,24247.523844576703,False,60,114.83094223466689,48495.04768915341
60,2020-03-22,40,38,141.35097036089806,24247.523844576703,False,61,123.66375140329981,48495.04768915341
61,2020-03-23,40,38,141.35097036089806,24247.523844576703,False,62,133.17411104854284,48495.04768915341
62,2020-03-24,74,72,141.35097036089806,24247.523844576703,False,63,143.41369634255702,48495.04768915341
63,2020-03-25,84,80,141.35097036089806,24247.523844576703,False,64,154.4380759379361,48495.04768915341
64,2020-03-26,94,88,141.35097036089806,24247.523844576703,False,65,166.3069977097276,48495.04768915341
65,2020-03-27,110,104,141.35097036089806,24247.523844576703,False,66,179.08469424643337,48495.04768915341
66,2020-03-28,110,104,141.35097036089806,24247.523844576703,False,67,192.8402092560451,48495.04768915341
67,2020-03-29,120,114,141.35097036089806,24247.523844576703,False,68,207.64774608821477,48495.04768915341
68,2020-03-30,170,164,141.35097036089806,24247.523844576703,False,69,223.58703960317348,48495.04768915341
69,2020-03-31,174,165,141.35097036089806,24247.523844576703,False,70,240.74375264039935,48495.04768915341
70,2020-04-01,237,228,141.35097036089806,24247.523844576703,False,71,259.20989835338787,48495.04768915341
71,2020-04-02,273,257,141.35097036089806,24247.523844576703,False,72,279.08428967900386,48495.04768915341
72,2020-04-03,281,265,141.35097036089806,24247.523844576703,False,73,300.47301719820496,48495.04768915341
73,2020-04-04,299,282,141.35097036089806,24247.523844576703,False,74,323.4899566164517,48495.04768915341
74,2020-04-05,349,327,141.35097036089806,24247.523844576703,False,75,348.2573070434102,48495.04768915341
75,2020-04-06,367,338,141.35097036089806,24247.523844576703,False,76,374.9061611786338,48495.04768915341
76,2020-04-07,423,391,141.35097036089806,24247.523844576703,False,77,403.5771084082639,48495.04768915341
77,2020-04-08,444,401,141.35097036089806,24247.523844576703,False,78,434.42087168221485,48495.04768915341
78,2020-04-09,484,437,141.35097036089806,24247.523844576703,False,79,467.5989788659429,48495.04768915341
79,2020-04-10,521,474,141.35097036089806,24247.523844576703,False,80,503.28446903906575,48495.04768915341
80,2020-04-11,555,505,141.35097036089806,24247.523844576703,False,81,541.6626339373539,48495.04768915341
81,2020-04-12,607,557,141.35097036089806,24247.523844576703,False,82,582.9317943965488,48495.04768915341
82,2020-04-13,665,612,141.35097036089806,24247.523844576703,False,83,627.3041112467852,48495.04768915341
83,2020-04-14,714,651,141.35097036089806,24247.523844576703,False,84,675.0064296147841,48495.04768915341
84,2020-04-15,784,716,141.35097036089806,24247.523844576703,False,85,726.2811550061513,48495.04768915341
85,2020-04-16,840,756,141.35097036089806,24247.523844576703,False,86,781.387158849754,48495.04768915341
86,2020-04-17,906,777,141.35097036089806,24247.523844576703,False,87,840.6007103769358,48495.04768915341
87,2020-04-18,933,791,141.35097036089806,24247.523844576703,False,88,904.2164307661646,48495.04768915341
88,2020-04-19,996,832,141.35097036089806,24247.523844576703,False,89,972.5482643936102,48495.04768915341
89,2020-04-20,1026,855,141.35097036089806,24247.523844576703,False,90,1045.9304607767044,48495.04768915341
90,2020-04-21,1092,906,141.35097036089806,24247.523844576703,False,91,1124.7185593652082,48495.04768915341
91,2020-04-22,1176,970,141.35097036089806,24247.523844576703,False,92,1209.290367707236,48495.04768915341
92,2020-04-23,1279,1058,141.35097036089806,24247.523844576703,False,93,1300.0469216812621,48495.04768915341
93,2020-04-24,1351,1120,141.35097036089806,24247.523844576703,False,94,1397.4134144259801,48495.04768915341
94,2020-04-25,1463,1228,141.35097036089806,24247.523844576703,False,95,1501.840078307159,48495.04768915341
95,2020-04-26,1531,1274,141.35097036089806,24247.523844576703,False,96,1613.8030017266942,48495.04768915341
96,2020-04-27,1703,1426,141.35097036089806,24247.523844576703,False,97,1733.8048598014495,48495.04768915341
97,2020-04-28,1828,1542,141.35097036089806,24247.523844576703,False,98,1862.375534922019,48495.04768915341
98,2020-04-29,1939,1627,141.35097036089806,24247.523844576703,False,99,2000.0725999568108,48495.04768915341
99,2020-04-30,2171,1847,141.35097036089806,24247.523844576703,False,100,2147.4816334180628,48495.04768915341
100,2020-05-01,2335,1957,141.35097036089806,24247.523844576703,False,101,2305.2163322902466,48495.04768915341
101,2020-05-02,2469,2066,141.35097036089806,24247.523844576703,False,102,2473.918384491034,48495.04768915341
102,2020-05-03,2704,2274,141.35097036089806,24247.523844576703,False,103,2654.257059163032,48495.04768915341
103,2020-05-04,2894,2407,141.35097036089806,24247.523844576703,False,104,2846.9284692767233,48495.04768915341
104,2020-05-05,3224,2708,141.35097036089806,24247.523844576703,False,105,3052.6544574831305,48495.04768915341
105,2020-05-06,3392,2830,141.35097036089806,24247.523844576703,False,106,3272.181052940739,48495.04768915341
106,2020-05-07,3563,2989,141.35097036089806,24247.523844576703,False,107,3506.276444139254,48495.04768915341
107,2020-05-08,3778,3197,141.35097036089806,24247.523844576703,False,108,3755.7284107721357,48495.04768915341
108,2020-05-09,4033,3416,141.35097036089806,24247.523844576703,False,109,4021.341156725977,48495.04768915341
109,2020-05-10,4402,3724,141.35097036089806,24247.523844576703,False,110,4303.931486548227,48495.04768915341
110,2020-05-11,4687,4007,141.35097036089806,24247.523844576703,False,111,4604.324269649321,48495.04768915341
111,2020-05-12,4963,4226,141.35097036089806,24247.523844576703,False,112,4923.3471403412,48495.04768915341
112,2020-05-13,5226,4446,141.35097036089806,24247.523844576703,False,113,5261.82438798097,48495.04768915341
113,2020-05-14,5639,4812,141.35097036089806,24247.523844576703,False,114,5620.57000034797,48495.04768915341
114,2020-05-15,6053,5155,141.35097036089806,24247.523844576703,False,115,6000.379835294595,48495.04768915341
115,2020-05-16,6402,5489,141.35097036089806,24247.523844576703,False,116,6402.02291099686,48495.04768915341
116,2020-05-17,6664,5717,141.35097036089806,24247.523844576703,False,117,6826.231824042964,48495.04768915341
117,2020-05-18,7072,6098,141.35097036089806,24247.523844576703,False,118,7273.692327289571,48495.04768915341
118,2020-05-19,7653,6625,141.35097036089806,24247.523844576703,False,119,7745.032125896884,48495.04768915341
119,2020-05-20,8145,7028,141.35097036089806,24247.523844576703,False,120,8240.808980051963,48495.04768915341
120,2020-05-21,8676,7545,141.35097036089806,24247.523844576703,False,121,8761.498236208607,48495.04768915341
121,2020-05-22,9216,8015,141.35097036089806,24247.523844576703,False,122,9307.479944549972,48495.04768915341
122,2020-05-23,9998,8742,141.35097036089806,24247.523844576703,False,123,9879.025757858893,48495.04768915341
123,2020-05-24,10582,9289,141.35097036089806,24247.523844576703,False,124,10476.285844789249,48495.04768915341
124,2020-05-25,11173,9857,141.35097036089806,24247.523844576703,False,125,11099.276087083397,48495.04768915341
125,2020-05-26,11831,10483,141.35097036089806,24247.523844576703,False,126,11747.865863694993,48495.04768915341
126,2020-05-27,12456,11091,141.35097036089806,24247.523844576703,False,127,12421.766752940095,48495.04768915341
127,2020-05-28,13036,11592,141.35097036089806,24247.523844576703,False,128,13120.522504439927,48495.04768915341
