,Report_Date,France_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,73.58891506093786,69310.54097638634,False,1,1.6209485179819412,138621.0819527727
1,2020-01-23,0,73.58891506093786,69310.54097638634,False,2,1.8954545601065391,138621.0819527727
2,2020-01-24,2,73.58891506093786,69310.54097638634,False,3,2.216447187996107,138621.0819527727
3,2020-01-25,3,73.58891506093786,69310.54097638634,False,4,2.5917984604200837,138621.0819527727
4,2020-01-26,3,73.58891506093786,69310.54097638634,False,5,3.0307133937044393,138621.0819527727
5,2020-01-27,3,73.58891506093786,69310.54097638634,False,6,3.5439556315061114,138621.0819527727
6,2020-01-28,4,73.58891506093786,69310.54097638634,False,7,4.14411130695086,138621.0819527727
7,2020-01-29,5,73.58891506093786,69310.54097638634,False,8,4.845897555837509,138621.0819527727
8,2020-01-30,5,73.58891506093786,69310.54097638634,False,9,5.666523230013426,138621.0819527727
9,2020-01-31,5,73.58891506093786,69310.54097638634,False,10,6.62611063384503,138621.0819527727
10,2020-02-01,6,73.58891506093786,69310.54097638634,False,11,7.748188594548151,138621.0819527727
11,2020-02-02,6,73.58891506093786,69310.54097638634,False,12,9.060268914626882,138621.0819527727
12,2020-02-03,6,73.58891506093786,69310.54097638634,False,13,10.594520283220469,138621.0819527727
13,2020-02-04,6,73.58891506093786,69310.54097638634,False,14,12.388556090901863,138621.0819527727
14,2020-02-05,6,73.58891506093786,69310.54097638634,False,15,14.486355355258304,138621.0819527727
15,2020-02-06,6,73.58891506093786,69310.54097638634,False,16,16.939339187136717,138621.0819527727
16,2020-02-07,6,73.58891506093786,69310.54097638634,False,17,19.807628984641347,138621.0819527727
17,2020-02-08,11,73.58891506093786,69310.54097638634,False,18,23.161516920306816,138621.0819527727
18,2020-02-09,11,73.58891506093786,69310.54097638634,False,19,27.083184385973443,138621.0819527727
19,2020-02-10,11,73.58891506093786,69310.54097638634,False,20,31.668709994243006,138621.0819527727
20,2020-02-11,11,73.58891506093786,69310.54097638634,False,21,37.03041563608794,138621.0819527727
21,2020-02-12,11,73.58891506093786,69310.54097638634,False,22,43.299607110742144,138621.0819527727
22,2020-02-13,11,73.58891506093786,69310.54097638634,False,23,50.62977514610017,138621.0819527727
23,2020-02-14,11,73.58891506093786,69310.54097638634,False,24,59.20033340688641,138621.0819527727
24,2020-02-15,12,73.58891506093786,69310.54097638634,False,25,69.22098255806107,138621.0819527727
25,2020-02-16,12,73.58891506093786,69310.54097638634,False,26,80.9368038497923,138621.0819527727
26,2020-02-17,12,73.58891506093786,69310.54097638634,False,27,94.63420227782127,138621.0819527727
27,2020-02-18,12,73.58891506093786,69310.54097638634,False,28,110.64783842910114,138621.0819527727
28,2020-02-19,12,73.58891506093786,69310.54097638634,False,29,129.36870994181794,138621.0819527727
29,2020-02-20,12,73.58891506093786,69310.54097638634,False,30,151.25356839146775,138621.0819527727
30,2020-02-21,12,73.58891506093786,69310.54097638634,False,31,176.83588565152547,138621.0819527727
31,2020-02-22,12,73.58891506093786,69310.54097638634,False,32,206.73861562746097,138621.0819527727
32,2020-02-23,12,73.58891506093786,69310.54097638634,False,33,241.68903291990853,138621.0819527727
33,2020-02-24,12,73.58891506093786,69310.54097638634,False,34,282.53596951559786,138621.0819527727
34,2020-02-25,14,73.58891506093786,69310.54097638634,False,35,330.26981392786297,138621.0819527727
35,2020-02-26,18,73.58891506093786,69310.54097638634,False,36,386.04568392471754,138621.0819527727
36,2020-02-27,38,73.58891506093786,69310.54097638634,False,37,451.21023328672237,138621.0819527727
37,2020-02-28,57,73.58891506093786,69310.54097638634,False,38,527.3326035218229,138621.0819527727
38,2020-02-29,100,73.58891506093786,69310.54097638634,False,39,616.240080870514,138621.0819527727
39,2020-03-01,130,73.58891506093786,69310.54097638634,False,40,720.0590638177141,138621.0819527727
40,2020-03-02,191,73.58891506093786,69310.54097638634,False,41,841.2619816209556,138621.0819527727
41,2020-03-03,204,73.58891506093786,69310.54097638634,False,42,982.720822813151,138621.0819527727
42,2020-03-04,285,73.58891506093786,69310.54097638634,False,43,1147.767924080847,138621.0819527727
43,2020-03-05,377,73.58891506093786,69310.54097638634,False,44,1340.2646203961406,138621.0819527727
44,2020-03-06,653,73.58891506093786,69310.54097638634,False,45,1564.6782479627261,138621.0819527727
45,2020-03-07,949,73.58891506093786,69310.54097638634,False,46,1826.1677974876695,138621.0819527727
46,2020-03-08,1126,73.58891506093786,69310.54097638634,False,47,2130.6782041310753,138621.0819527727
47,2020-03-09,1209,73.58891506093786,69310.54097638634,False,48,2485.042791099068,138621.0819527727
48,2020-03-10,1784,73.58891506093786,69310.54097638634,False,49,2897.092705397475,138621.0819527727
