,Report_Date,El Salvador_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,84.50587629369515,130.9479319384681,False,1,0.0030088731633890506,261.77587323951485
1,2020-01-23,0,84.50587629369515,130.9479319384681,False,2,0.0034479210301545968,261.77587323951485
2,2020-01-24,0,84.50587629369515,130.9479319384681,False,3,0.003951032787531255,261.77587323951485
3,2020-01-25,0,84.50587629369515,130.9479319384681,False,4,0.004527556047744601,261.77587323951485
4,2020-01-26,0,84.50587629369515,130.9479319384681,False,5,0.005188202245643983,261.77587323951485
5,2020-01-27,0,84.50587629369515,130.9479319384681,False,6,0.005945245591625891,261.77587323951485
6,2020-01-28,0,84.50587629369515,130.9479319384681,False,7,0.006812751038296427,261.77587323951485
7,2020-01-29,0,84.50587629369515,130.9479319384681,False,8,0.007806835489100194,261.77587323951485
8,2020-01-30,0,84.50587629369515,130.9479319384681,False,9,0.008945967092419092,261.77587323951485
9,2020-01-31,0,84.50587629369515,130.9479319384681,False,10,0.010251308169168107,261.77587323951485
10,2020-02-01,0,84.50587629369515,130.9479319384681,False,11,0.011747108128541597,261.77587323951485
11,2020-02-02,0,84.50587629369515,130.9479319384681,False,12,0.013461153649973027,261.77587323951485
12,2020-02-03,0,84.50587629369515,130.9479319384681,False,13,0.015425284466316148,261.77587323951485
13,2020-02-04,0,84.50587629369515,130.9479319384681,False,14,0.017675984292844293,261.77587323951485
14,2020-02-05,0,84.50587629369515,130.9479319384681,False,15,0.02025505783067457,261.77587323951485
15,2020-02-06,0,84.50587629369515,130.9479319384681,False,16,0.023210406356455555,261.77587323951485
16,2020-02-07,0,84.50587629369515,130.9479319384681,False,17,0.02659691622082749,261.77587323951485
17,2020-02-08,0,84.50587629369515,130.9479319384681,False,18,0.03047747664833878,261.77587323951485
18,2020-02-09,0,84.50587629369515,130.9479319384681,False,19,0.03492414559757836,261.77587323951485
19,2020-02-10,0,84.50587629369515,130.9479319384681,False,20,0.0400194851435073,261.77587323951485
20,2020-02-11,0,84.50587629369515,130.9479319384681,False,21,0.04585809093100919,261.77587323951485
21,2020-02-12,0,84.50587629369515,130.9479319384681,False,22,0.052548343772211854,261.77587323951485
22,2020-02-13,0,84.50587629369515,130.9479319384681,False,23,0.06021441547949861,261.77587323951485
23,2020-02-14,0,84.50587629369515,130.9479319384681,False,24,0.0689985656079654,261.77587323951485
24,2020-02-15,0,84.50587629369515,130.9479319384681,False,25,0.07906377099997437,261.77587323951485
25,2020-02-16,0,84.50587629369515,130.9479319384681,False,26,0.09059673596354828,261.77587323951485
26,2020-02-17,0,84.50587629369515,130.9479319384681,False,27,0.10381133766786356,261.77587323951485
27,2020-02-18,0,84.50587629369515,130.9479319384681,False,28,0.11895256900473242,261.77587323951485
28,2020-02-19,0,84.50587629369515,130.9479319384681,False,29,0.13630104985602334,261.77587323951485
29,2020-02-20,0,84.50587629369515,130.9479319384681,False,30,0.1561781875441935,261.77587323951485
30,2020-02-21,0,84.50587629369515,130.9479319384681,False,31,0.17895207835593258,261.77587323951485
31,2020-02-22,0,84.50587629369515,130.9479319384681,False,32,0.20504425455403597,261.77587323951485
32,2020-02-23,0,84.50587629369515,130.9479319384681,False,33,0.23493739537148858,261.77587323951485
33,2020-02-24,0,84.50587629369515,130.9479319384681,False,34,0.2691841362566743,261.77587323951485
34,2020-02-25,0,84.50587629369515,130.9479319384681,False,35,0.30841712824695744,261.77587323951485
35,2020-02-26,0,84.50587629369515,130.9479319384681,False,36,0.35336051891352904,261.77587323951485
36,2020-02-27,0,84.50587629369515,130.9479319384681,False,37,0.40484304794194864,261.77587323951485
37,2020-02-28,0,84.50587629369515,130.9479319384681,False,38,0.46381297414688466,261.77587323951485
38,2020-02-29,0,84.50587629369515,130.9479319384681,False,39,0.5313550765584181,261.77587323951485
39,2020-03-01,0,84.50587629369515,130.9479319384681,False,40,0.608710000058129,261.77587323951485
40,2020-03-02,0,84.50587629369515,130.9479319384681,False,41,0.6972962456477465,261.77587323951485
41,2020-03-03,0,84.50587629369515,130.9479319384681,False,42,0.7987351363735536,261.77587323951485
42,2020-03-04,0,84.50587629369515,130.9479319384681,False,43,0.9148791215186153,261.77587323951485
43,2020-03-05,0,84.50587629369515,130.9479319384681,False,44,1.0478438128734426,261.77587323951485
44,2020-03-06,0,84.50587629369515,130.9479319384681,False,45,1.200044176197081,261.77587323951485
45,2020-03-07,0,84.50587629369515,130.9479319384681,False,46,1.3742353262600333,261.77587323951485
46,2020-03-08,0,84.50587629369515,130.9479319384681,False,47,1.573558392188451,261.77587323951485
47,2020-03-09,0,84.50587629369515,130.9479319384681,False,48,1.8015919272381329,261.77587323951485
48,2020-03-10,0,84.50587629369515,130.9479319384681,False,49,2.0624093283283407,261.77587323951485
49,2020-03-11,0,84.50587629369515,130.9479319384681,False,50,2.3606426987083577,261.77587323951485
50,2020-03-12,0,84.50587629369515,130.9479319384681,False,51,2.70155352300423,261.77587323951485
51,2020-03-13,0,84.50587629369515,130.9479319384681,False,52,3.0911104160813876,261.77587323951485
52,2020-03-14,0,84.50587629369515,130.9479319384681,False,53,3.536074041151073,261.77587323951485
53,2020-03-15,0,84.50587629369515,130.9479319384681,False,54,4.0440890503616975,261.77587323951485
54,2020-03-16,0,84.50587629369515,130.9479319384681,False,55,4.623782560874031,261.77587323951485
55,2020-03-17,0,84.50587629369515,130.9479319384681,False,56,5.284868215103898,261.77587323951485
56,2020-03-18,0,84.50587629369515,130.9479319384681,False,57,6.038254255345267,261.77587323951485
