,Report_Date,Diamond Princess_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,25.47740298563651,355.680846889197,True,1,0.055368523632257326,711.3616937783944
1,2020-01-23,0,25.47740298563651,355.680846889197,True,2,0.08149063143433784,711.3616937783944
2,2020-01-24,0,25.47740298563651,355.680846889197,True,3,0.11993471238087045,711.3616937783944
3,2020-01-25,0,25.47740298563651,355.680846889197,True,4,0.17651070085633555,711.3616937783944
4,2020-01-26,0,25.47740298563651,355.680846889197,True,5,0.2597651494065757,711.3616937783944
5,2020-01-27,0,25.47740298563651,355.680846889197,True,6,0.3822669497968595,711.3616937783944
6,2020-01-28,0,25.47740298563651,355.680846889197,True,7,0.5624932778789937,711.3616937783944
7,2020-01-29,0,25.47740298563651,355.680846889197,True,8,0.8275915006621061,711.3616937783944
8,2020-01-30,0,25.47740298563651,355.680846889197,True,9,1.217414238626549,711.3616937783944
9,2020-01-31,0,25.47740298563651,355.680846889197,True,10,1.7903935892949976,711.3616937783944
10,2020-02-01,0,25.47740298563651,355.680846889197,True,11,2.6320477339313078,711.3616937783944
11,2020-02-02,0,25.47740298563651,355.680846889197,True,12,3.867202494461327,711.3616937783944
12,2020-02-03,0,25.47740298563651,355.680846889197,True,13,5.677341610583371,711.3616937783944
13,2020-02-04,0,25.47740298563651,355.680846889197,True,14,8.324791212147945,711.3616937783944
14,2020-02-05,0,25.47740298563651,355.680846889197,True,15,12.185477820258033,711.3616937783944
15,2020-02-06,0,25.47740298563651,355.680846889197,True,16,17.791278807504188,711.3616937783944
16,2020-02-07,61,25.47740298563651,355.680846889197,True,17,25.880510155011635,711.3616937783944
17,2020-02-08,61,25.47740298563651,355.680846889197,True,18,37.44911398645584,711.3616937783944
18,2020-02-09,64,25.47740298563651,355.680846889197,True,19,53.783158260484484,711.3616937783944
19,2020-02-10,135,25.47740298563651,355.680846889197,True,20,76.43353561881119,711.3616937783944
20,2020-02-11,135,25.47740298563651,355.680846889197,True,21,107.06976386809188,711.3616937783944
21,2020-02-12,175,25.47740298563651,355.680846889197,True,22,147.1399376429668,711.3616937783944
