,Report_Date,Saint Kitts and Nevis_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,74.22230574517243,8.359058802146127,True,1,0.00019523042423412245,16.077604607134916
1,2020-01-23,0,74.22230574517243,8.359058802146127,True,2,0.00022798792224879044,16.077604607134916
2,2020-01-24,0,74.22230574517243,8.359058802146127,True,3,0.0002662416772707776,16.077604607134916
3,2020-01-25,0,74.22230574517243,8.359058802146127,True,4,0.0003109138536895964,16.077604607134916
4,2020-01-26,0,74.22230574517243,8.359058802146127,True,5,0.0003630813254565188,16.077604607134916
5,2020-01-27,0,74.22230574517243,8.359058802146127,True,6,0.0004240016271672223,16.077604607134916
6,2020-01-28,0,74.22230574517243,8.359058802146127,True,7,0.0004951432566638755,16.077604607134916
7,2020-01-29,0,74.22230574517243,8.359058802146127,True,8,0.0005782210582691698,16.077604607134916
8,2020-01-30,0,74.22230574517243,8.359058802146127,True,9,0.0006752375377274256,16.077604607134916
9,2020-01-31,0,74.22230574517243,8.359058802146127,True,10,0.000788531102218067,16.077604607134916
10,2020-02-01,0,74.22230574517243,8.359058802146127,True,11,0.0009208323847855677,16.077604607134916
11,2020-02-02,0,74.22230574517243,8.359058802146127,True,12,0.0010753300061044167,16.077604607134916
12,2020-02-03,0,74.22230574517243,8.359058802146127,True,13,0.00125574735220573,16.077604607134916
13,2020-02-04,0,74.22230574517243,8.359058802146127,True,14,0.001466432209899688,16.077604607134916
14,2020-02-05,0,74.22230574517243,8.359058802146127,True,15,0.0017124614082387718,16.077604607134916
15,2020-02-06,0,74.22230574517243,8.359058802146127,True,16,0.00199976297154647,16.077604607134916
16,2020-02-07,0,74.22230574517243,8.359058802146127,True,17,0.0023352587054511318,16.077604607134916
17,2020-02-08,0,74.22230574517243,8.359058802146127,True,18,0.0027270306214360568,16.077604607134916
18,2020-02-09,0,74.22230574517243,8.359058802146127,True,19,0.003184515168489487,16.077604607134916
19,2020-02-10,0,74.22230574517243,8.359058802146127,True,20,0.0037187298949618373,16.077604607134916
20,2020-02-11,0,74.22230574517243,8.359058802146127,True,21,0.004342537923960049,16.077604607134916
21,2020-02-12,0,74.22230574517243,8.359058802146127,True,22,0.005070956507771944,16.077604607134916
22,2020-02-13,0,74.22230574517243,8.359058802146127,True,23,0.005921516949344357,16.077604607134916
23,2020-02-14,0,74.22230574517243,8.359058802146127,True,24,0.0069146843625235415,16.077604607134916
24,2020-02-15,0,74.22230574517243,8.359058802146127,True,25,0.008074347110882318,16.077604607134916
25,2020-02-16,0,74.22230574517243,8.359058802146127,True,26,0.009428387343335275,16.077604607134916
26,2020-02-17,0,74.22230574517243,8.359058802146127,True,27,0.011009345861708769,16.077604607134916
27,2020-02-18,0,74.22230574517243,8.359058802146127,True,28,0.012855196641578085,16.077604607134916
28,2020-02-19,0,74.22230574517243,8.359058802146127,True,29,0.015010248715361952,16.077604607134916
29,2020-02-20,0,74.22230574517243,8.359058802146127,True,30,0.017526195849094765,16.077604607134916
30,2020-02-21,0,74.22230574517243,8.359058802146127,True,31,0.020463337534110698,16.077604607134916
31,2020-02-22,0,74.22230574517243,8.359058802146127,True,32,0.023891998301865225,16.077604607134916
