,Report_Date,New Zealand_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,72.64790914350768,802.6184504873688,True,1,0.018808716104321183,1584.4699153194256
1,2020-01-23,0,72.64790914350768,802.6184504873688,True,2,0.022038568552419174,1584.4699153194256
2,2020-01-24,0,72.64790914350768,802.6184504873688,True,3,0.02582304572665646,1584.4699153194256
3,2020-01-25,0,72.64790914350768,802.6184504873688,True,4,0.030257383506935128,1584.4699153194256
4,2020-01-26,0,72.64790914350768,802.6184504873688,True,5,0.035453169702985815,1584.4699153194256
5,2020-01-27,0,72.64790914350768,802.6184504873688,True,6,0.041541151205819436,1584.4699153194256
6,2020-01-28,0,72.64790914350768,802.6184504873688,True,7,0.04867452287298178,1584.4699153194256
7,2020-01-29,0,72.64790914350768,802.6184504873688,True,8,0.05703278075333587,1584.4699153194256
8,2020-01-30,0,72.64790914350768,802.6184504873688,True,9,0.06682623639797591,1584.4699153194256
9,2020-01-31,0,72.64790914350768,802.6184504873688,True,10,0.07830130555650505,1584.4699153194256
10,2020-02-01,0,72.64790914350768,802.6184504873688,True,11,0.09174670393026386,1584.4699153194256
11,2020-02-02,0,72.64790914350768,802.6184504873688,True,12,0.10750070532191704,1584.4699153194256
12,2020-02-03,0,72.64790914350768,802.6184504873688,True,13,0.12595964403836984,1584.4699153194256
13,2020-02-04,0,72.64790914350768,802.6184504873688,True,14,0.14758787441642385,1584.4699153194256
14,2020-02-05,0,72.64790914350768,802.6184504873688,True,15,0.1729294365978691,1584.4699153194256
15,2020-02-06,0,72.64790914350768,802.6184504873688,True,16,0.20262172005346504,1584.4699153194256
16,2020-02-07,0,72.64790914350768,802.6184504873688,True,17,0.2374114658524332,1584.4699153194256
17,2020-02-08,0,72.64790914350768,802.6184504873688,True,18,0.2781735064625639,1584.4699153194256
18,2020-02-09,0,72.64790914350768,802.6184504873688,True,19,0.3259327092920971,1584.4699153194256
19,2020-02-10,0,72.64790914350768,802.6184504873688,True,20,0.38188966879685887,1584.4699153194256
20,2020-02-11,0,72.64790914350768,802.6184504873688,True,21,0.44745078354990087,1584.4699153194256
21,2020-02-12,0,72.64790914350768,802.6184504873688,True,22,0.5242634612321461,1584.4699153194256
22,2020-02-13,0,72.64790914350768,802.6184504873688,True,23,0.6142573183512975,1584.4699153194256
23,2020-02-14,0,72.64790914350768,802.6184504873688,True,24,0.7196923852263507,1584.4699153194256
24,2020-02-15,0,72.64790914350768,802.6184504873688,True,25,0.8432154932873804,1584.4699153194256
25,2020-02-16,0,72.64790914350768,802.6184504873688,True,26,0.9879262142449162,1584.4699153194256
26,2020-02-17,0,72.64790914350768,802.6184504873688,True,27,1.1574539426832953,1584.4699153194256
27,2020-02-18,0,72.64790914350768,802.6184504873688,True,28,1.3560479688806308,1584.4699153194256
28,2020-02-19,0,72.64790914350768,802.6184504873688,True,29,1.5886826810717394,1584.4699153194256
29,2020-02-20,0,72.64790914350768,802.6184504873688,True,30,1.861180369886804,1584.4699153194256
30,2020-02-21,0,72.64790914350768,802.6184504873688,True,31,2.1803544860442834,1584.4699153194256
31,2020-02-22,0,72.64790914350768,802.6184504873688,True,32,2.5541766287154144,1584.4699153194256
32,2020-02-23,0,72.64790914350768,802.6184504873688,True,33,2.991971018389706,1584.4699153194256
33,2020-02-24,0,72.64790914350768,802.6184504873688,True,34,3.5046407347980297,1584.4699153194256
34,2020-02-25,0,72.64790914350768,802.6184504873688,True,35,4.104930574822222,1584.4699153194256
35,2020-02-26,0,72.64790914350768,802.6184504873688,True,36,4.807732000252255,1584.4699153194256
36,2020-02-27,0,72.64790914350768,802.6184504873688,True,37,5.63043628716392,1584.4699153194256
37,2020-02-28,1,72.64790914350768,802.6184504873688,True,38,6.593342634668498,1584.4699153194256
38,2020-02-29,1,72.64790914350768,802.6184504873688,True,39,7.720128604760859,1584.4699153194256
39,2020-03-01,1,72.64790914350768,802.6184504873688,True,40,9.038390792651176,1584.4699153194256
40,2020-03-02,1,72.64790914350768,802.6184504873688,True,41,10.580263989090803,1584.4699153194256
41,2020-03-03,1,72.64790914350768,802.6184504873688,True,42,12.383127180100667,1584.4699153194256
42,2020-03-04,3,72.64790914350768,802.6184504873688,True,43,14.49040437820417,1584.4699153194256
43,2020-03-05,3,72.64790914350768,802.6184504873688,True,44,16.952467278244836,1584.4699153194256
44,2020-03-06,4,72.64790914350768,802.6184504873688,True,45,19.827644792425,1584.4699153194256
45,2020-03-07,5,72.64790914350768,802.6184504873688,True,46,23.183341264874297,1584.4699153194256
46,2020-03-08,5,72.64790914350768,802.6184504873688,True,47,27.097260108574012,1584.4699153194256
47,2020-03-09,5,72.64790914350768,802.6184504873688,True,48,31.65872213503299,1584.4699153194256
48,2020-03-10,5,72.64790914350768,802.6184504873688,True,49,36.97005721515636,1584.4699153194256
49,2020-03-11,5,72.64790914350768,802.6184504873688,True,50,43.148033248592455,1584.4699153194256
50,2020-03-12,5,72.64790914350768,802.6184504873688,True,51,50.325266770548836,1584.4699153194256
51,2020-03-13,5,72.64790914350768,802.6184504873688,True,52,58.65153392881104,1584.4699153194256
52,2020-03-14,6,72.64790914350768,802.6184504873688,True,53,68.29486821617945,1584.4699153194256
53,2020-03-15,8,72.64790914350768,802.6184504873688,True,54,79.44229186785721,1584.4699153194256
