,Report_Date,China_hainan_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,4,13.518635959702152,84.36262302863227,True,1,8.512169045463397,168.7252371675202
1,2020-01-23,5,13.518635959702152,84.36262302863227,True,2,10.619653024740419,168.7252371675202
2,2020-01-24,8,13.518635959702152,84.36262302863227,True,3,13.205909147005556,168.7252371675202
3,2020-01-25,19,13.518635959702152,84.36262302863227,True,4,16.35684828366506,168.7252371675202
4,2020-01-26,22,13.518635959702152,84.36262302863227,True,5,20.16213529333671,168.7252371675202
5,2020-01-27,33,13.518635959702152,84.36262302863227,True,6,24.70912978617258,168.7252371675202
6,2020-01-28,40,13.518635959702152,84.36262302863227,True,7,30.073985919013612,168.7252371675202
7,2020-01-29,43,13.518635959702152,84.36262302863227,True,8,36.30998224617255,168.7252371675202
8,2020-01-30,46,13.518635959702152,84.36262302863227,True,9,43.43397796738351,168.7252371675202
9,2020-01-31,52,13.518635959702152,84.36262302863227,True,10,51.41300173468274,168.7252371675202
10,2020-02-01,62,13.518635959702152,84.36262302863227,True,11,60.15406626646197,168.7252371675202
11,2020-02-02,64,13.518635959702152,84.36262302863227,True,12,69.50081201131697,168.7252371675202
12,2020-02-03,72,13.518635959702152,84.36262302863227,True,13,79.23990646504421,168.7252371675202
13,2020-02-04,80,13.518635959702152,84.36262302863227,True,14,89.11800462941338,168.7252371675202
14,2020-02-05,99,13.518635959702152,84.36262302863227,True,15,98.86700149589201,168.7252371675202
15,2020-02-06,106,13.518635959702152,84.36262302863227,True,16,108.2325106851091,168.7252371675202
16,2020-02-07,117,13.518635959702152,84.36262302863227,True,17,116.99934167567086,168.7252371675202
17,2020-02-08,124,13.518635959702152,84.36262302863227,True,18,125.00883007165896,168.7252371675202
18,2020-02-09,131,13.518635959702152,84.36262302863227,True,19,132.16563343191814,168.7252371675202
19,2020-02-10,138,13.518635959702152,84.36262302863227,True,20,138.43469487486962,168.7252371675202
20,2020-02-11,144,13.518635959702152,84.36262302863227,True,21,143.83124749931068,168.7252371675202
