,Report_Date,Malawi_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,87.07330543902347,3.7992349663257854,False,1,0.005722247910631706,0.016646059147184537
1,2020-01-23,0,87.07330543902347,3.7992349663257854,False,2,0.006220413451260752,0.016646059147184537
2,2020-01-24,0,87.07330543902347,3.7992349663257854,False,3,0.0067619094970998465,0.016646059147184537
3,2020-01-25,0,87.07330543902347,3.7992349663257854,False,4,0.007350497924916766,0.016646059147184537
4,2020-01-26,0,87.07330543902347,3.7992349663257854,False,5,0.007990265936484657,0.016646059147184537
5,2020-01-27,0,87.07330543902347,3.7992349663257854,False,6,0.008685653960987812,0.016646059147184537
6,2020-01-28,0,87.07330543902347,3.7992349663257854,False,7,0.009441485908438553,0.016646059147184537
7,2020-01-29,0,87.07330543902347,3.7992349663257854,False,8,0.010263001964503294,0.016646059147184537
8,2020-01-30,0,87.07330543902347,3.7992349663257854,False,9,0.011155894131133302,0.016646059147184537
9,2020-01-31,0,87.07330543902347,3.7992349663257854,False,10,0.012126344732151196,0.016646059147184537
10,2020-02-01,0,87.07330543902347,3.7992349663257854,False,11,0.013181068118442758,0.016646059147184537
11,2020-02-02,0,87.07330543902347,3.7992349663257854,False,12,0.014327355823614678,0.016646059147184537
12,2020-02-03,0,87.07330543902347,3.7992349663257854,False,13,0.015573125437853297,0.016646059147184537
13,2020-02-04,0,87.07330543902347,3.7992349663257854,False,14,0.016926973485184307,0.016646059147184537
14,2020-02-05,0,87.07330543902347,3.7992349663257854,False,15,0.018398232607287804,0.016646059147184537
15,2020-02-06,0,87.07330543902347,3.7992349663257854,False,16,0.01999703337533176,0.016646059147184537
16,2020-02-07,0,87.07330543902347,3.7992349663257854,False,17,0.02173437106977225,0.016646059147184537
17,2020-02-08,0,87.07330543902347,3.7992349663257854,False,18,0.023622177786504186,0.016646059147184537
18,2020-02-09,0,87.07330543902347,3.7992349663257854,False,19,0.025673400245845378,0.016646059147184537
19,2020-02-10,0,87.07330543902347,3.7992349663257854,False,20,0.02790208369824202,0.016646059147184537
20,2020-02-11,0,87.07330543902347,3.7992349663257854,False,21,0.030323462336854196,0.016646059147184537
21,2020-02-12,0,87.07330543902347,3.7992349663257854,False,22,0.03295405664177664,0.016646059147184537
22,2020-02-13,0,87.07330543902347,3.7992349663257854,False,23,0.03581177809291672,0.016646059147184537
23,2020-02-14,0,87.07330543902347,3.7992349663257854,False,24,0.03891604169769807,0.016646059147184537
24,2020-02-15,0,87.07330543902347,3.7992349663257854,False,25,0.042287886784836165,0.016646059147184537
25,2020-02-16,0,87.07330543902347,3.7992349663257854,False,26,0.045950106515310736,0.016646059147184537
26,2020-02-17,0,87.07330543902347,3.7992349663257854,False,27,0.04992738655499941,0.016646059147184537
27,2020-02-18,0,87.07330543902347,3.7992349663257854,False,28,0.0542464533386536,0.016646059147184537
28,2020-02-19,0,87.07330543902347,3.7992349663257854,False,29,0.058936232330138255,0.016646059147184537
29,2020-02-20,0,87.07330543902347,3.7992349663257854,False,30,0.06402801664694978,0.016646059147184537
30,2020-02-21,0,87.07330543902347,3.7992349663257854,False,31,0.06955564636545715,0.016646059147184537
31,2020-02-22,0,87.07330543902347,3.7992349663257854,False,32,0.07555569875416861,0.016646059147184537
32,2020-02-23,0,87.07330543902347,3.7992349663257854,False,33,0.08206768959226847,0.016646059147184537
33,2020-02-24,0,87.07330543902347,3.7992349663257854,False,34,0.08913428561588416,0.016646059147184537
34,2020-02-25,0,87.07330543902347,3.7992349663257854,False,35,0.09680152799070407,0.016646059147184537
35,2020-02-26,0,87.07330543902347,3.7992349663257854,False,36,0.1051190665318053,0.016646059147184537
36,2020-02-27,0,87.07330543902347,3.7992349663257854,False,37,0.11414040417443598,0.016646059147184537
37,2020-02-28,0,87.07330543902347,3.7992349663257854,False,38,0.1239231509370184,0.016646059147184537
38,2020-02-29,0,87.07330543902347,3.7992349663257854,False,39,0.1345292863032351,0.016646059147184537
39,2020-03-01,0,87.07330543902347,3.7992349663257854,False,40,0.14602542857664436,0.016646059147184537
40,2020-03-02,0,87.07330543902347,3.7992349663257854,False,41,0.15848310932131948,0.016646059147184537
41,2020-03-03,0,87.07330543902347,3.7992349663257854,False,42,0.171979050487703,0.016646059147184537
42,2020-03-04,0,87.07330543902347,3.7992349663257854,False,43,0.186595441226269,0.016646059147184537
43,2020-03-05,0,87.07330543902347,3.7992349663257854,False,44,0.20242021070495464,0.016646059147184537
44,2020-03-06,0,87.07330543902347,3.7992349663257854,False,45,0.21954729246245702,0.016646059147184537
45,2020-03-07,0,87.07330543902347,3.7992349663257854,False,46,0.23807687494227617,0.016646059147184537
46,2020-03-08,0,87.07330543902347,3.7992349663257854,False,47,0.25811563185744096,0.016646059147184537
47,2020-03-09,0,87.07330543902347,3.7992349663257854,False,48,0.27977692493135964,0.016646059147184537
48,2020-03-10,0,87.07330543902347,3.7992349663257854,False,49,0.30318097034797004,0.016646059147184537
49,2020-03-11,0,87.07330543902347,3.7992349663257854,False,50,0.3284549589309627,0.016646059147184537
50,2020-03-12,0,87.07330543902347,3.7992349663257854,False,51,0.3557331186702655,0.016646059147184537
51,2020-03-13,0,87.07330543902347,3.7992349663257854,False,52,0.3851567067452098,0.016646059147184537
52,2020-03-14,0,87.07330543902347,3.7992349663257854,False,53,0.41687391668881096,0.016646059147184537
53,2020-03-15,0,87.07330543902347,3.7992349663257854,False,54,0.45103968483941764,0.016646059147184537
