,Report_Date,Belize_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,84.75865450507708,11.58850064296451,False,1,0.0003741106096390181,0.00563408060215972
1,2020-01-23,0,84.75865450507708,11.58850064296451,False,2,0.0004267874453796869,0.00563408060215972
2,2020-01-24,0,84.75865450507708,11.58850064296451,False,3,0.00048688131410396245,0.00563408060215972
3,2020-01-25,0,84.75865450507708,11.58850064296451,False,4,0.0005554365060270416,0.00563408060215972
4,2020-01-26,0,84.75865450507708,11.58850064296451,False,5,0.0006336443293222133,0.00563408060215972
5,2020-01-27,0,84.75865450507708,11.58850064296451,False,6,0.000722863803432949,0.00563408060215972
6,2020-01-28,0,84.75865450507708,11.58850064296451,False,7,0.0008246452637574575,0.00563408060215972
7,2020-01-29,0,84.75865450507708,11.58850064296451,False,8,0.0009407572869231448,0.00563408060215972
8,2020-01-30,0,84.75865450507708,11.58850064296451,False,9,0.001073217403270367,0.00563408060215972
9,2020-01-31,0,84.75865450507708,11.58850064296451,False,10,0.0012243271285834296,0.00563408060215972
10,2020-02-01,0,84.75865450507708,11.58850064296451,False,11,0.0013967119216509066,0.00563408060215972
11,2020-02-02,0,84.75865450507708,11.58850064296451,False,12,0.0015933667591660722,0.00563408060215972
12,2020-02-03,0,84.75865450507708,11.58850064296451,False,13,0.0018177081162201877,0.00563408060215972
13,2020-02-04,0,84.75865450507708,11.58850064296451,False,14,0.002073633250816123,0.00563408060215972
14,2020-02-05,0,84.75865450507708,11.58850064296451,False,15,0.0023655878162718593,0.00563408060215972
15,2020-02-06,0,84.75865450507708,11.58850064296451,False,16,0.0026986429681684436,0.00563408060215972
16,2020-02-07,0,84.75865450507708,11.58850064296451,False,17,0.003078583294970725,0.00563408060215972
17,2020-02-08,0,84.75865450507708,11.58850064296451,False,18,0.003512007086258623,0.00563408060215972
18,2020-02-09,0,84.75865450507708,11.58850064296451,False,19,0.004006440662634008,0.00563408060215972
19,2020-02-10,0,84.75865450507708,11.58850064296451,False,20,0.004570468730166607,0.00563408060215972
20,2020-02-11,0,84.75865450507708,11.58850064296451,False,21,0.005213882993473412,0.00563408060215972
21,2020-02-12,0,84.75865450507708,11.58850064296451,False,22,0.0059478515693990085,0.00563408060215972
22,2020-02-13,0,84.75865450507708,11.58850064296451,False,23,0.006785112092473156,0.00563408060215972
23,2020-02-14,0,84.75865450507708,11.58850064296451,False,24,0.0077401917990832965,0.00563408060215972
24,2020-02-15,0,84.75865450507708,11.58850064296451,False,25,0.008829658325383738,0.00563408060215972
25,2020-02-16,0,84.75865450507708,11.58850064296451,False,26,0.010072405460718026,0.00563408060215972
26,2020-02-17,0,84.75865450507708,11.58850064296451,False,27,0.011489978670695209,0.00563408060215972
27,2020-02-18,0,84.75865450507708,11.58850064296451,False,28,0.013106945849556073,0.00563408060215972
28,2020-02-19,0,84.75865450507708,11.58850064296451,False,29,0.01495131948816189,0.00563408060215972
29,2020-02-20,0,84.75865450507708,11.58850064296451,False,30,0.017055037260383838,0.00563408060215972
30,2020-02-21,0,84.75865450507708,11.58850064296451,False,31,0.01945450894576094,0.00563408060215972
31,2020-02-22,0,84.75865450507708,11.58850064296451,False,32,0.02219123862907406,0.00563408060215972
32,2020-02-23,0,84.75865450507708,11.58850064296451,False,33,0.025312532256848003,0.00563408060215972
33,2020-02-24,0,84.75865450507708,11.58850064296451,False,34,0.028872301895050783,0.00563408060215972
34,2020-02-25,0,84.75865450507708,11.58850064296451,False,35,0.03293197942852462,0.00563408060215972
35,2020-02-26,0,84.75865450507708,11.58850064296451,False,36,0.03756155397603102,0.00563408060215972
36,2020-02-27,0,84.75865450507708,11.58850064296451,False,37,0.04284074896710663,0.00563408060215972
37,2020-02-28,0,84.75865450507708,11.58850064296451,False,38,0.048860356635365615,0.00563408060215972
38,2020-02-29,0,84.75865450507708,11.58850064296451,False,39,0.05572374961781018,0.00563408060215972
39,2020-03-01,0,84.75865450507708,11.58850064296451,False,40,0.06354859139200861,0.00563408060215972
40,2020-03-02,0,84.75865450507708,11.58850064296451,False,41,0.07246876940052746,0.00563408060215972
41,2020-03-03,0,84.75865450507708,11.58850064296451,False,42,0.08263657685503907,0.00563408060215972
42,2020-03-04,0,84.75865450507708,11.58850064296451,False,43,0.09422517130791239,0.00563408060215972
43,2020-03-05,0,84.75865450507708,11.58850064296451,False,44,0.1074313400227954,0.00563408060215972
44,2020-03-06,0,84.75865450507708,11.58850064296451,False,45,0.12247860382343681,0.00563408060215972
45,2020-03-07,0,84.75865450507708,11.58850064296451,False,46,0.13962069225561752,0.00563408060215972
46,2020-03-08,0,84.75865450507708,11.58850064296451,False,47,0.15914542329821119,0.00563408060215972
47,2020-03-09,0,84.75865450507708,11.58850064296451,False,48,0.18137902016018687,0.00563408060215972
48,2020-03-10,0,84.75865450507708,11.58850064296451,False,49,0.206690895450865,0.00563408060215972
49,2020-03-11,0,84.75865450507708,11.58850064296451,False,50,0.2354989286330254,0.00563408060215972
50,2020-03-12,0,84.75865450507708,11.58850064296451,False,51,0.26827525542993763,0.00563408060215972
51,2020-03-13,0,84.75865450507708,11.58850064296451,False,52,0.30555257684193493,0.00563408060215972
52,2020-03-14,0,84.75865450507708,11.58850064296451,False,53,0.34793097950744084,0.00563408060215972
53,2020-03-15,0,84.75865450507708,11.58850064296451,False,54,0.39608523695157427,0.00563408060215972
54,2020-03-16,0,84.75865450507708,11.58850064296451,False,55,0.4507725311829898,0.00563408060215972
