,Report_Date,Germany_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,73.73976272490063,86858.71841985655,True,1,19.646583853270105,173660.77998193828
1,2020-01-23,0,0,73.73976272490063,86858.71841985655,True,2,22.260538574121643,173660.77998193828
2,2020-01-24,0,0,73.73976272490063,86858.71841985655,True,3,25.222226374963796,173660.77998193828
3,2020-01-25,0,0,73.73976272490063,86858.71841985655,True,4,28.577891680836302,173660.77998193828
4,2020-01-26,0,0,73.73976272490063,86858.71841985655,True,5,32.37992481652613,173660.77998193828
5,2020-01-27,1,1,73.73976272490063,86858.71841985655,True,6,36.68767764462469,173660.77998193828
6,2020-01-28,4,4,73.73976272490063,86858.71841985655,True,7,41.568387121426895,173660.77998193828
7,2020-01-29,4,4,73.73976272490063,86858.71841985655,True,8,47.09822095634926,173660.77998193828
8,2020-01-30,4,4,73.73976272490063,86858.71841985655,True,9,53.36346139876468,173660.77998193828
9,2020-01-31,5,5,73.73976272490063,86858.71841985655,True,10,60.46184524500689,173660.77998193828
10,2020-02-01,8,8,73.73976272490063,86858.71841985655,True,11,68.50408048453853,173660.77998193828
11,2020-02-02,10,10,73.73976272490063,86858.71841985655,True,12,77.61556261710453,173660.77998193828
12,2020-02-03,12,12,73.73976272490063,86858.71841985655,True,13,87.93831660378119,173660.77998193828
13,2020-02-04,12,12,73.73976272490063,86858.71841985655,True,14,99.63319369825489,173660.77998193828
14,2020-02-05,12,12,73.73976272490063,86858.71841985655,True,15,112.88235607672185,173660.77998193828
15,2020-02-06,12,12,73.73976272490063,86858.71841985655,True,16,127.89208628366436,173660.77998193828
16,2020-02-07,13,13,73.73976272490063,86858.71841985655,True,17,144.8959630759112,173660.77998193828
17,2020-02-08,13,13,73.73976272490063,86858.71841985655,True,18,164.15845031875966,173660.77998193828
18,2020-02-09,14,14,73.73976272490063,86858.71841985655,True,19,185.97895120464406,173660.77998193828
19,2020-02-10,14,14,73.73976272490063,86858.71841985655,True,20,210.69638626341168,173660.77998193828
20,2020-02-11,16,16,73.73976272490063,86858.71841985655,True,21,238.69436044520307,173660.77998193828
21,2020-02-12,16,16,73.73976272490063,86858.71841985655,True,22,270.4069920053445,173660.77998193828
22,2020-02-13,16,15,73.73976272490063,86858.71841985655,True,23,306.3254840158117,173660.77998193828
23,2020-02-14,16,15,73.73976272490063,86858.71841985655,True,24,347.00552806120953,173660.77998193828
24,2020-02-15,16,15,73.73976272490063,86858.71841985655,True,25,393.0756390137793,173660.77998193828
25,2020-02-16,16,15,73.73976272490063,86858.71841985655,True,26,445.2465296499877,173660.77998193828
26,2020-02-17,16,15,73.73976272490063,86858.71841985655,True,27,504.3216441493698,173660.77998193828
27,2020-02-18,16,4,73.73976272490063,86858.71841985655,True,28,571.2089800166934,173660.77998193828
28,2020-02-19,16,4,73.73976272490063,86858.71841985655,True,29,646.934338415807,173660.77998193828
29,2020-02-20,16,4,73.73976272490063,86858.71841985655,True,30,732.6561529080813,173660.77998193828
30,2020-02-21,16,2,73.73976272490063,86858.71841985655,True,31,829.6820556128388,173660.77998193828
