,Report_Date,Germany_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
31,2020-02-22,16,2,73.73976272490063,86858.71841985655,True,32,939.4873471254168,173660.77998193828
32,2020-02-23,16,2,73.73976272490063,86858.71841985655,True,33,1063.7355411749008,173660.77998193828
33,2020-02-24,16,2,73.73976272490063,86858.71841985655,True,34,1204.3011557120358,173660.77998193828
34,2020-02-25,17,3,73.73976272490063,86858.71841985655,True,35,1363.2949172488838,173660.77998193828
35,2020-02-26,27,12,73.73976272490063,86858.71841985655,True,36,1543.0915327275368,173660.77998193828
36,2020-02-27,46,30,73.73976272490063,86858.71841985655,True,37,1746.3601603215832,173660.77998193828
37,2020-02-28,48,32,73.73976272490063,86858.71841985655,True,38,1976.0976740528101,173660.77998193828
38,2020-02-29,79,63,73.73976272490063,86858.71841985655,True,39,2235.6647628394994,173660.77998193828
39,2020-03-01,130,114,73.73976272490063,86858.71841985655,True,40,2528.8248275909687,173660.77998193828
40,2020-03-02,159,143,73.73976272490063,86858.71841985655,True,41,2859.7855342406983,173660.77998193828
41,2020-03-03,196,180,73.73976272490063,86858.71841985655,True,42,3233.2427391211104,173660.77998193828
42,2020-03-04,262,246,73.73976272490063,86858.71841985655,True,43,3654.4263177144635,173660.77998193828
43,2020-03-05,482,466,73.73976272490063,86858.71841985655,True,44,4129.147189491594,173660.77998193828
44,2020-03-06,670,653,73.73976272490063,86858.71841985655,True,45,4663.844530507029,173660.77998193828
45,2020-03-07,799,781,73.73976272490063,86858.71841985655,True,46,5265.631791716418,173660.77998193828
46,2020-03-08,1040,1022,73.73976272490063,86858.71841985655,True,47,5942.339685381984,173660.77998193828
47,2020-03-09,1176,1156,73.73976272490063,86858.71841985655,True,48,6702.553757249812,173660.77998193828
48,2020-03-10,1457,1437,73.73976272490063,86858.71841985655,True,49,7555.643525266589,173660.77998193828
49,2020-03-11,1908,1880,73.73976272490063,86858.71841985655,True,50,8511.779440088083,173660.77998193828
50,2020-03-12,2078,2050,73.73976272490063,86858.71841985655,True,51,9581.933122591123,173660.77998193828
51,2020-03-13,3675,3622,73.73976272490063,86858.71841985655,True,52,10777.855488157404,173660.77998193828
52,2020-03-14,4585,4530,73.73976272490063,86858.71841985655,True,53,12112.026526291198,173660.77998193828
53,2020-03-15,5795,5738,73.73976272490063,86858.71841985655,True,54,13597.569743310247,173660.77998193828
54,2020-03-16,7272,7188,73.73976272490063,86858.71841985655,True,55,15248.123703843245,173660.77998193828
55,2020-03-17,9257,9166,73.73976272490063,86858.71841985655,True,56,17077.662868710744,173660.77998193828
56,2020-03-18,12327,12194,73.73976272490063,86858.71841985655,True,57,19100.260204994334,173660.77998193828
57,2020-03-19,15320,15163,73.73976272490063,86858.71841985655,True,58,21329.785053608506,173660.77998193828
58,2020-03-20,19848,19601,73.73976272490063,86858.71841985655,True,59,23779.531713310866,173660.77998193828
59,2020-03-21,22213,21896,73.73976272490063,86858.71841985655,True,60,26461.77736150031,173660.77998193828
60,2020-03-22,24873,24513,73.73976272490063,86858.71841985655,True,61,29387.272453559115,173660.77998193828
61,2020-03-23,29056,28667,73.73976272490063,86858.71841985655,True,62,32564.672686649847,173660.77998193828
62,2020-03-24,32986,29586,73.73976272490063,86858.71841985655,True,63,35999.9288641987,173660.77998193828
63,2020-03-25,37323,33570,73.73976272490063,86858.71841985655,True,64,39695.659185888806,173660.77998193828
64,2020-03-26,43938,37998,73.73976272490063,86858.71841985655,True,65,43650.53693871207,173660.77998193828
65,2020-03-27,50871,43871,73.73976272490063,86858.71841985655,True,66,47858.73427521352,173660.77998193828
66,2020-03-28,57695,48781,73.73976272490063,86858.71841985655,True,67,52309.4684551757,173660.77998193828
67,2020-03-29,62095,52351,73.73976272490063,86858.71841985655,True,68,56986.69917449009,173660.77998193828
68,2020-03-30,66885,52740,73.73976272490063,86858.71841985655,True,69,61869.0230767672,173660.77998193828
69,2020-03-31,71808,54933,73.73976272490063,86858.71841985655,True,70,66929.80329974904,173660.77998193828
70,2020-04-01,77872,58252,73.73976272490063,86858.71841985655,True,71,72137.55772652024,173660.77998193828
71,2020-04-02,84794,61247,73.73976272490063,86858.71841985655,True,72,77456.61023967205,173660.77998193828
72,2020-04-03,91159,65309,73.73976272490063,86858.71841985655,True,73,82847.98652811677,173660.77998193828
73,2020-04-04,96092,68248,73.73976272490063,86858.71841985655,True,74,88270.51260211764,173660.77998193828
74,2020-04-05,100123,69839,73.73976272490063,86858.71841985655,True,75,93682.05337705433,173660.77998193828
75,2020-04-06,103374,72864,73.73976272490063,86858.71841985655,True,76,99040.81364959346,173660.77998193828
76,2020-04-07,107663,69566,73.73976272490063,86858.71841985655,True,77,104306.61692743925,173660.77998193828
77,2020-04-08,113296,64647,73.73976272490063,86858.71841985655,True,78,109442.08002099679,173660.77998193828
78,2020-04-09,118181,63167,73.73976272490063,86858.71841985655,True,79,114413.6126550093,173660.77998193828
79,2020-04-10,122171,65491,73.73976272490063,86858.71841985655,True,80,119192.18975545495,173660.77998193828
80,2020-04-11,124908,64772,73.73976272490063,86858.71841985655,True,81,123753.86662995271,173660.77998193828
81,2020-04-12,127854,64532,73.73976272490063,86858.71841985655,True,82,128080.03070264493,173660.77998193828
82,2020-04-13,130072,62578,73.73976272490063,86858.71841985655,True,83,132157.40474479322,173660.77998193828
83,2020-04-14,131359,59865,73.73976272490063,86858.71841985655,True,84,135977.83337231586,173660.77998193828
84,2020-04-15,134753,58349,73.73976272490063,86858.71841985655,True,85,139537.8957000988,173660.77998193828
85,2020-04-16,137698,56646,73.73976272490063,86858.71841985655,True,86,142838.39223132303,173660.77998193828
86,2020-04-17,141397,53931,73.73976272490063,86858.71841985655,True,87,145883.7539527885,173660.77998193828
87,2020-04-18,143342,53483,73.73976272490063,86858.71841985655,True,88,148681.4173894981,173660.77998193828
88,2020-04-19,145184,52598,73.73976272490063,86858.71841985655,True,89,151241.20245723828,173660.77998193828
89,2020-04-20,147065,50703,73.73976272490063,86858.71841985655,True,90,153574.72171183143,173660.77998193828
90,2020-04-21,148291,48058,73.73976272490063,86858.71841985655,True,91,155694.84117477998,173660.77998193828
91,2020-04-22,150648,45969,73.73976272490063,86858.71841985655,True,92,157615.20515090783,173660.77998193828
92,2020-04-23,153129,44254,73.73976272490063,86858.71841985655,True,93,159349.83085470222,173660.77998193828
93,2020-04-24,154999,39439,73.73976272490063,86858.71841985655,True,94,160912.77345693175,173660.77998193828
94,2020-04-25,156513,40836,73.73976272490063,86858.71841985655,True,95,162317.8583658262,173660.77998193828
95,2020-04-26,157770,39794,73.73976272490063,86858.71841985655,True,96,163578.47503982953,173660.77998193828
96,2020-04-27,158758,38132,73.73976272490063,86858.71841985655,True,97,164707.42518640633,173660.77998193828
97,2020-04-28,159912,36198,73.73976272490063,86858.71841985655,True,98,165716.8176008726,173660.77998193828
98,2020-04-29,161539,34672,73.73976272490063,86858.71841985655,True,99,166618.00191474214,173660.77998193828
99,2020-04-30,163009,32886,73.73976272490063,86858.71841985655,True,100,167421.53395543733,173660.77998193828
100,2020-05-01,164077,30441,73.73976272490063,86858.71841985655,True,101,168137.16610520388,173660.77998193828
101,2020-05-02,164967,29155,73.73976272490063,86858.71841985655,True,102,168773.85686109375,173660.77998193828
102,2020-05-03,165664,28198,73.73976272490063,86858.71841985655,True,103,169339.79464897592,173660.77998193828
103,2020-05-04,166152,26459,73.73976272490063,86858.71841985655,True,104,169842.43177110585,173660.77998193828
104,2020-05-05,167007,24914,73.73976272490063,86858.71841985655,True,105,170288.5251306029,173660.77998193828
105,2020-05-06,168162,20987,73.73976272490063,86858.71841985655,True,106,170684.18105658345,173660.77998193828
106,2020-05-07,169430,20338,73.73976272490063,86858.71841985655,True,107,171034.90214255993,173660.77998193828
107,2020-05-08,170588,21378,73.73976272490063,86858.71841985655,True,108,171345.63450832965,173660.77998193828
108,2020-05-09,171324,20475,73.73976272490063,86858.71841985655,True,109,171620.81430748684,173660.77998193828
109,2020-05-10,171879,19910,73.73976272490063,86858.71841985655,True,110,171864.41263735457,173660.77998193828
110,2020-05-11,172576,19298,73.73976272490063,86858.71841985655,True,111,172079.97827528708,173660.77998193828
111,2020-05-12,173171,18233,73.73976272490063,86858.71841985655,True,112,172270.67787487002,173660.77998193828
112,2020-05-13,174098,17537,73.73976272490063,86858.71841985655,True,113,172439.33341700205,173660.77998193828
113,2020-05-14,174478,16294,73.73976272490063,86858.71841985655,True,114,172588.45683276746,173660.77998193828
114,2020-05-15,175233,15739,73.73976272490063,86858.71841985655,True,115,172720.2818049743,173660.77998193828
115,2020-05-16,175752,15214,73.73976272490063,86858.71841985655,True,116,172836.79281971708,173660.77998193828
116,2020-05-17,176369,14396,73.73976272490063,86858.71841985655,True,117,172939.75158379046,173660.77998193828
117,2020-05-18,176551,13507,73.73976272490063,86858.71841985655,True,118,173030.72095273997,173660.77998193828
118,2020-05-19,177778,14016,73.73976272490063,86858.71841985655,True,119,173111.08653146194,173660.77998193828
119,2020-05-20,178473,13363,73.73976272490063,86858.71841985655,True,120,173182.0761175226,173660.77998193828
120,2020-05-21,179021,12731,73.73976272490063,86858.71841985655,True,121,173244.7771591,173660.77998193828
121,2020-05-22,179710,12418,73.73976272490063,86858.71841985655,True,122,173300.1523965163,173660.77998193828
122,2020-05-23,179986,12009,73.73976272490063,86858.71841985655,True,123,173349.05385015384,173660.77998193828
123,2020-05-24,180328,11764,73.73976272490063,86858.71841985655,True,124,173392.2353092359,173660.77998193828
124,2020-05-25,180600,11092,73.73976272490063,86858.71841985655,True,125,173430.36346634402,173660.77998193828
125,2020-05-26,181200,10861,73.73976272490063,86858.71841985655,True,126,173464.02783224924,173660.77998193828
126,2020-05-27,181524,10276,73.73976272490063,86858.71841985655,True,127,173493.74955512007,173660.77998193828
127,2020-05-28,182196,10366,73.73976272490063,86858.71841985655,True,128,173519.9892577578,173660.77998193828
