,Report_Date,Canada_manitoba_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,73.70108553286448,157.13271784932084,True,1,0.0036739491979275486,303.37543638429156
1,2020-01-23,0,73.70108553286448,157.13271784932084,True,2,0.004295106077940127,303.37543638429156
2,2020-01-24,0,73.70108553286448,157.13271784932084,True,3,0.005021280660677454,303.37543638429156
3,2020-01-25,0,73.70108553286448,157.13271784932084,True,4,0.0058702274555128475,303.37543638429156
4,2020-01-26,0,73.70108553286448,157.13271784932084,True,5,0.00686270236011775,303.37543638429156
5,2020-01-27,0,73.70108553286448,157.13271784932084,True,6,0.008022969960450604,303.37543638429156
6,2020-01-28,0,73.70108553286448,157.13271784932084,True,7,0.009379396545142981,303.37543638429156
7,2020-01-29,0,73.70108553286448,157.13271784932084,True,8,0.010965143305624253,303.37543638429156
8,2020-01-30,0,73.70108553286448,157.13271784932084,True,9,0.012818976632470135,303.37543638429156
9,2020-01-31,0,73.70108553286448,157.13271784932084,True,10,0.014986215267223088,303.37543638429156
10,2020-02-01,0,73.70108553286448,157.13271784932084,True,11,0.017519837395553742,303.37543638429156
11,2020-02-02,0,73.70108553286448,157.13271784932084,True,12,0.02048177465151513,303.37543638429156
12,2020-02-03,0,73.70108553286448,157.13271784932084,True,13,0.023944424536106877,303.37543638429156
13,2020-02-04,0,73.70108553286448,157.13271784932084,True,14,0.02799241804364876,303.37543638429156
14,2020-02-05,0,73.70108553286448,157.13271784932084,True,15,0.032724685460979105,303.37543638429156
15,2020-02-06,0,73.70108553286448,157.13271784932084,True,16,0.03825687050140021,303.37543638429156
16,2020-02-07,0,73.70108553286448,157.13271784932084,True,17,0.04472415132435076,303.37543638429156
17,2020-02-08,0,73.70108553286448,157.13271784932084,True,18,0.05228453676553751,303.37543638429156
18,2020-02-09,0,73.70108553286448,157.13271784932084,True,19,0.0611227174825052,303.37543638429156
19,2020-02-10,0,73.70108553286448,157.13271784932084,True,20,0.07145456496217163,303.37543638429156
20,2020-02-11,0,73.70108553286448,157.13271784932084,True,21,0.08353238673146149,303.37543638429156
21,2020-02-12,0,73.70108553286448,157.13271784932084,True,22,0.09765106399255932,303.37543638429156
22,2020-02-13,0,73.70108553286448,157.13271784932084,True,23,0.11415521864805513,303.37543638429156
23,2020-02-14,0,73.70108553286448,157.13271784932084,True,24,0.13344758071427318,303.37543638429156
24,2020-02-15,0,73.70108553286448,157.13271784932084,True,25,0.15599875492012055,303.37543638429156
25,2020-02-16,0,73.70108553286448,157.13271784932084,True,26,0.18235861738248638,303.37543638429156
26,2020-02-17,0,73.70108553286448,157.13271784932084,True,27,0.21316961021643488,303.37543638429156
27,2020-02-18,0,73.70108553286448,157.13271784932084,True,28,0.24918224440279083,303.37543638429156
28,2020-02-19,0,73.70108553286448,157.13271784932084,True,29,0.2912731698541597,303.37543638429156
29,2020-02-20,0,73.70108553286448,157.13271784932084,True,30,0.340466227063255,303.37543638429156
30,2020-02-21,0,73.70108553286448,157.13271784932084,True,31,0.39795695763596195,303.37543638429156
31,2020-02-22,0,73.70108553286448,157.13271784932084,True,32,0.46514112198862306,303.37543638429156
32,2020-02-23,0,73.70108553286448,157.13271784932084,True,33,0.543647851964858,303.37543638429156
33,2020-02-24,0,73.70108553286448,157.13271784932084,True,34,0.6353781542924648,303.37543638429156
34,2020-02-25,0,73.70108553286448,157.13271784932084,True,35,0.7425495774436032,303.37543638429156
35,2020-02-26,0,73.70108553286448,157.13271784932084,True,36,0.8677479587525906,303.37543638429156
36,2020-02-27,0,73.70108553286448,157.13271784932084,True,37,1.0139872788425583,303.37543638429156
37,2020-02-28,0,73.70108553286448,157.13271784932084,True,38,1.1847787634526514,303.37543638429156
38,2020-02-29,0,73.70108553286448,157.13271784932084,True,39,1.3842104837123748,303.37543638429156
39,2020-03-01,0,73.70108553286448,157.13271784932084,True,40,1.6170388072527406,303.37543638429156
40,2020-03-02,0,73.70108553286448,157.13271784932084,True,41,1.8887931331921788,303.37543638429156
41,2020-03-03,0,73.70108553286448,157.13271784932084,True,42,2.2058953881065304,303.37543638429156
42,2020-03-04,0,73.70108553286448,157.13271784932084,True,43,2.575795745326357,303.37543638429156
43,2020-03-05,0,73.70108553286448,157.13271784932084,True,44,3.0071259257019056,303.37543638429156
