,Report_Date,Monaco_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,69.93405776666337,51.780518740620764,True,1,0.0012209199644189351,98.5270264434981
1,2020-01-23,0,69.93405776666337,51.780518740620764,True,2,0.0014394023320693891,98.5270264434981
2,2020-01-24,0,69.93405776666337,51.780518740620764,True,3,0.0016969812532728183,98.5270264434981
3,2020-01-25,0,69.93405776666337,51.780518740620764,True,4,0.0020006526514885076,98.5270264434981
4,2020-01-26,0,69.93405776666337,51.780518740620764,True,5,0.002358664200840539,98.5270264434981
5,2020-01-27,0,69.93405776666337,51.780518740620764,True,6,0.0027807392585316895,98.5270264434981
6,2020-01-28,0,69.93405776666337,51.780518740620764,True,7,0.003278340842923278,98.5270264434981
7,2020-01-29,0,69.93405776666337,51.780518740620764,True,8,0.0038649828128427197,98.5270264434981
8,2020-01-30,0,69.93405776666337,51.780518740620764,True,9,0.004556596680020154,98.5270264434981
9,2020-01-31,0,69.93405776666337,51.780518740620764,True,10,0.005371963989677235,98.5270264434981
10,2020-02-01,0,69.93405776666337,51.780518740620764,True,11,0.006333225974146598,98.5270264434981
11,2020-02-02,0,69.93405776666337,51.780518740620764,True,12,0.007466484267844733,98.5270264434981
12,2020-02-03,0,69.93405776666337,51.780518740620764,True,13,0.008802508923852403,98.5270264434981
13,2020-02-04,0,69.93405776666337,51.780518740620764,True,14,0.010377572857023443,98.5270264434981
14,2020-02-05,0,69.93405776666337,51.780518740620764,True,15,0.012234435231031853,98.5270264434981
15,2020-02-06,0,69.93405776666337,51.780518740620764,True,16,0.01442350029468714,98.5270264434981
16,2020-02-07,0,69.93405776666337,51.780518740620764,True,17,0.017004182858217046,98.5270264434981
17,2020-02-08,0,69.93405776666337,51.780518740620764,True,18,0.02004651710154556,98.5270264434981
18,2020-02-09,0,69.93405776666337,51.780518740620764,True,19,0.023633051861157495,98.5270264434981
19,2020-02-10,0,69.93405776666337,51.780518740620764,True,20,0.027861083108386794,98.5270264434981
20,2020-02-11,0,69.93405776666337,51.780518740620764,True,21,0.03284528319199435,98.5270264434981
21,2020-02-12,0,69.93405776666337,51.780518740620764,True,22,0.0387207967798832,98.5270264434981
22,2020-02-13,0,69.93405776666337,51.780518740620764,True,23,0.045646885535127135,98.5270264434981
23,2020-02-14,0,69.93405776666337,51.780518740620764,True,24,0.05381121766636048,98.5270264434981
24,2020-02-15,0,69.93405776666337,51.780518740620764,True,25,0.06343491489853376,98.5270264434981
25,2020-02-16,0,69.93405776666337,51.780518740620764,True,26,0.0747784884427848,98.5270264434981
26,2020-02-17,0,69.93405776666337,51.780518740620764,True,27,0.08814881755469275,98.5270264434981
27,2020-02-18,0,69.93405776666337,51.780518740620764,True,28,0.10390734962674032,98.5270264434981
28,2020-02-19,0,69.93405776666337,51.780518740620764,True,29,0.12247972983488127,98.5270264434981
29,2020-02-20,0,69.93405776666337,51.780518740620764,True,30,0.14436710150244375,98.5270264434981
30,2020-02-21,0,69.93405776666337,51.780518740620764,True,31,0.17015935585360042,98.5270264434981
31,2020-02-22,0,69.93405776666337,51.780518740620764,True,32,0.20055065189085264,98.5270264434981
32,2020-02-23,0,69.93405776666337,51.780518740620764,True,33,0.23635757374653565,98.5270264434981
33,2020-02-24,0,69.93405776666337,51.780518740620764,True,34,0.2785403437268617,98.5270264434981
34,2020-02-25,0,69.93405776666337,51.780518740620764,True,35,0.32822756362728117,98.5270264434981
35,2020-02-26,0,69.93405776666337,51.780518740620764,True,36,0.38674501330408695,98.5270264434981
36,2020-02-27,0,69.93405776666337,51.780518740620764,True,37,0.4556490915002132,98.5270264434981
37,2020-02-28,0,69.93405776666337,51.780518740620764,True,38,0.5367655356918483,98.5270264434981
38,2020-02-29,1,69.93405776666337,51.780518740620764,True,39,0.6322340994222961,98.5270264434981
39,2020-03-01,1,69.93405776666337,51.780518740620764,True,40,0.7445598886842274,98.5270264434981
40,2020-03-02,1,69.93405776666337,51.780518740620764,True,41,0.8766720512004206,98.5270264434981
41,2020-03-03,1,69.93405776666337,51.780518740620764,True,42,1.031990456872506,98.5270264434981
42,2020-03-04,1,69.93405776666337,51.780518740620764,True,43,1.21450088083134,98.5270264434981
43,2020-03-05,1,69.93405776666337,51.780518740620764,True,44,1.428838971028733,98.5270264434981
44,2020-03-06,1,69.93405776666337,51.780518740620764,True,45,1.6803829089067068,98.5270264434981
45,2020-03-07,1,69.93405776666337,51.780518740620764,True,46,1.9753541015265212,98.5270264434981
46,2020-03-08,1,69.93405776666337,51.780518740620764,True,47,2.320924410998868,98.5270264434981
47,2020-03-09,1,69.93405776666337,51.780518740620764,True,48,2.725327253795116,98.5270264434981
48,2020-03-10,1,69.93405776666337,51.780518740620764,True,49,3.1979683001590233,98.5270264434981
49,2020-03-11,1,69.93405776666337,51.780518740620764,True,50,3.7495293810587635,98.5270264434981
50,2020-03-12,2,69.93405776666337,51.780518740620764,True,51,4.39205648689375,98.5270264434981
51,2020-03-13,2,69.93405776666337,51.780518740620764,True,52,5.139019374617369,98.5270264434981
52,2020-03-14,2,69.93405776666337,51.780518740620764,True,53,6.005326319765226,98.5270264434981
53,2020-03-15,2,69.93405776666337,51.780518740620764,True,54,7.007273121986209,98.5270264434981
54,2020-03-16,7,69.93405776666337,51.780518740620764,True,55,8.16240097201623,98.5270264434981
55,2020-03-17,7,69.93405776666337,51.780518740620764,True,56,9.489233890952887,98.5270264434981
56,2020-03-18,7,69.93405776666337,51.780518740620764,True,57,11.006864226603229,98.5270264434981
