,Report_Date,Japan_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,2,170.30344284214263,910752.3166287036,False,1,19.48879665485672,1821504.6332574065
1,2020-01-23,2,170.30344284214263,910752.3166287036,False,2,20.851824381009358,1821504.6332574065
2,2020-01-24,2,170.30344284214263,910752.3166287036,False,3,22.310179790016907,1821504.6332574065
3,2020-01-25,2,170.30344284214263,910752.3166287036,False,4,23.870529757793886,1821504.6332574065
4,2020-01-26,4,170.30344284214263,910752.3166287036,False,5,25.540007393151235,1821504.6332574065
5,2020-01-27,4,170.30344284214263,910752.3166287036,False,6,27.326244639197295,1821504.6332574065
6,2020-01-28,7,170.30344284214263,910752.3166287036,False,7,29.237407153883517,1821504.6332574065
7,2020-01-29,7,170.30344284214263,910752.3166287036,False,8,31.282231628954214,1821504.6332574065
8,2020-01-30,11,170.30344284214263,910752.3166287036,False,9,33.47006571767764,1821504.6332574065
9,2020-01-31,15,170.30344284214263,910752.3166287036,False,10,35.81091075362784,1821504.6332574065
10,2020-02-01,20,170.30344284214263,910752.3166287036,False,11,38.315467455507566,1821504.6332574065
11,2020-02-02,20,170.30344284214263,910752.3166287036,False,12,40.995184826608856,1821504.6332574065
12,2020-02-03,20,170.30344284214263,910752.3166287036,False,13,43.862312472061404,1821504.6332574065
13,2020-02-04,22,170.30344284214263,910752.3166287036,False,14,46.929956572585056,1821504.6332574065
14,2020-02-05,22,170.30344284214263,910752.3166287036,False,15,50.2121397701119,1821504.6332574065
15,2020-02-06,22,170.30344284214263,910752.3166287036,False,16,53.72386523844977,1821504.6332574065
16,2020-02-07,25,170.30344284214263,910752.3166287036,False,17,57.4811852312038,1821504.6332574065
17,2020-02-08,25,170.30344284214263,910752.3166287036,False,18,61.501274419539605,1821504.6332574065
18,2020-02-09,26,170.30344284214263,910752.3166287036,False,19,65.80250835415362,1821504.6332574065
19,2020-02-10,26,170.30344284214263,910752.3166287036,False,20,70.40454740910967,1821504.6332574065
20,2020-02-11,26,170.30344284214263,910752.3166287036,False,21,75.32842659011023,1821504.6332574065
21,2020-02-12,28,170.30344284214263,910752.3166287036,False,22,80.59665161640694,1821504.6332574065
22,2020-02-13,28,170.30344284214263,910752.3166287036,False,23,86.23330171403728,1821504.6332574065
23,2020-02-14,29,170.30344284214263,910752.3166287036,False,24,92.26413958852739,1821504.6332574065
24,2020-02-15,43,170.30344284214263,910752.3166287036,False,25,98.71672907776286,1821504.6332574065
25,2020-02-16,59,170.30344284214263,910752.3166287036,False,26,105.62056102054105,1821504.6332574065
26,2020-02-17,66,170.30344284214263,910752.3166287036,False,27,113.0071879135354,1821504.6332574065
27,2020-02-18,74,170.30344284214263,910752.3166287036,False,28,120.91036796918807,1821504.6332574065
28,2020-02-19,84,170.30344284214263,910752.3166287036,False,29,129.36621922957693,1821504.6332574065
29,2020-02-20,94,170.30344284214263,910752.3166287036,False,30,138.41338443676034,1821504.6332574065
30,2020-02-21,105,170.30344284214263,910752.3166287036,False,31,148.09320740869165,1821504.6332574065
31,2020-02-22,122,170.30344284214263,910752.3166287036,False,32,158.44992172171993,1821504.6332574065
32,2020-02-23,147,170.30344284214263,910752.3166287036,False,33,169.5308525561859,1821504.6332574065
33,2020-02-24,159,170.30344284214263,910752.3166287036,False,34,181.38663262091467,1821504.6332574065
34,2020-02-25,170,170.30344284214263,910752.3166287036,False,35,194.07143313576216,1821504.6332574065
35,2020-02-26,189,170.30344284214263,910752.3166287036,False,36,207.64321091905575,1821504.6332574065
36,2020-02-27,214,170.30344284214263,910752.3166287036,False,37,222.16397269907154,1821504.6332574065
37,2020-02-28,228,170.30344284214263,910752.3166287036,False,38,237.7000578459171,1821504.6332574065
38,2020-02-29,241,170.30344284214263,910752.3166287036,False,39,254.32244080266696,1821504.6332574065
39,2020-03-01,256,170.30344284214263,910752.3166287036,False,40,272.10705458267086,1821504.6332574065
40,2020-03-02,274,170.30344284214263,910752.3166287036,False,41,291.1351367939885,1821504.6332574065
41,2020-03-03,293,170.30344284214263,910752.3166287036,False,42,311.49359975229,1821504.6332574065
42,2020-03-04,331,170.30344284214263,910752.3166287036,False,43,333.275426350708,1821504.6332574065
43,2020-03-05,360,170.30344284214263,910752.3166287036,False,44,356.5800934694744,1821504.6332574065
44,2020-03-06,420,170.30344284214263,910752.3166287036,False,45,381.51402483017193,1821504.6332574065
45,2020-03-07,461,170.30344284214263,910752.3166287036,False,46,408.1910753295836,1821504.6332574065
46,2020-03-08,502,170.30344284214263,910752.3166287036,False,47,436.73304902692433,1821504.6332574065
47,2020-03-09,511,170.30344284214263,910752.3166287036,False,48,467.2702531062498,1821504.6332574065
