,Report_Date,Norway_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,64.99190403026076,3435.6301005187206,True,1,0.2686963489621162,6743.519064080089
1,2020-01-23,0,64.99190403026076,3435.6301005187206,True,2,0.3148754295342801,6743.519064080089
2,2020-01-24,0,64.99190403026076,3435.6301005187206,True,3,0.3689905798349107,6743.519064080089
3,2020-01-25,0,64.99190403026076,3435.6301005187206,True,4,0.4324054878265815,6743.519064080089
4,2020-01-26,0,64.99190403026076,3435.6301005187206,True,5,0.506718110283846,6743.519064080089
5,2020-01-27,0,64.99190403026076,3435.6301005187206,True,6,0.5938008958167866,6743.519064080089
6,2020-01-28,0,64.99190403026076,3435.6301005187206,True,7,0.6958479057550832,6743.519064080089
7,2020-01-29,0,64.99190403026076,3435.6301005187206,True,8,0.8154300127204878,6743.519064080089
8,2020-01-30,0,64.99190403026076,3435.6301005187206,True,9,0.9555595573624687,6743.519064080089
9,2020-01-31,0,64.99190403026076,3435.6301005187206,True,10,1.1197660780696936,6743.519064080089
10,2020-02-01,0,64.99190403026076,3435.6301005187206,True,11,1.3121850019937453,6743.519064080089
11,2020-02-02,0,64.99190403026076,3435.6301005187206,True,12,1.5376615047603017,6743.519064080089
12,2020-02-03,0,64.99190403026076,3435.6301005187206,True,13,1.8018721180634125,6743.519064080089
13,2020-02-04,0,64.99190403026076,3435.6301005187206,True,14,2.11146709724948,6743.519064080089
14,2020-02-05,0,64.99190403026076,3435.6301005187206,True,15,2.4742370644534875,6743.519064080089
15,2020-02-06,0,64.99190403026076,3435.6301005187206,True,16,2.8993080275434044,6743.519064080089
16,2020-02-07,0,64.99190403026076,3435.6301005187206,True,17,3.3973695530602215,6743.519064080089
17,2020-02-08,0,64.99190403026076,3435.6301005187206,True,18,3.980941655850491,6743.519064080089
18,2020-02-09,0,64.99190403026076,3435.6301005187206,True,19,4.664686873818791,6743.519064080089
19,2020-02-10,0,64.99190403026076,3435.6301005187206,True,20,5.465775038989958,6743.519064080089
20,2020-02-11,0,64.99190403026076,3435.6301005187206,True,21,6.40430945255244,6743.519064080089
21,2020-02-12,0,64.99190403026076,3435.6301005187206,True,22,7.503824538804331,6743.519064080089
22,2020-02-13,0,64.99190403026076,3435.6301005187206,True,23,8.791866607514079,6743.519064080089
23,2020-02-14,0,64.99190403026076,3435.6301005187206,True,24,10.300671110932916,6743.519064080089
24,2020-02-15,0,64.99190403026076,3435.6301005187206,True,25,12.067951751626945,6743.519064080089
25,2020-02-16,0,64.99190403026076,3435.6301005187206,True,26,14.137818984942149,6743.519064080089
26,2020-02-17,0,64.99190403026076,3435.6301005187206,True,27,16.56184785915396,6743.519064080089
27,2020-02-18,0,64.99190403026076,3435.6301005187206,True,28,19.400317724703918,6743.519064080089
28,2020-02-19,0,64.99190403026076,3435.6301005187206,True,29,22.723649074582628,6743.519064080089
29,2020-02-20,0,64.99190403026076,3435.6301005187206,True,30,26.614065568827172,6743.519064080089
30,2020-02-21,0,64.99190403026076,3435.6301005187206,True,31,31.167512015155634,6743.519064080089
31,2020-02-22,0,64.99190403026076,3435.6301005187206,True,32,36.49586152302993,6743.519064080089
32,2020-02-23,0,64.99190403026076,3435.6301005187206,True,33,42.72944692207718,6743.519064080089
33,2020-02-24,0,64.99190403026076,3435.6301005187206,True,34,50.019952410277426,6743.519064080089
34,2020-02-25,0,64.99190403026076,3435.6301005187206,True,35,58.543700672438916,6743.519064080089
35,2020-02-26,1,64.99190403026076,3435.6301005187206,True,36,68.50536755910274,6743.519064080089
36,2020-02-27,1,64.99190403026076,3435.6301005187206,True,37,80.14214972413508,6743.519064080089
37,2020-02-28,6,64.99190403026076,3435.6301005187206,True,38,93.72839890668286,6743.519064080089
38,2020-02-29,15,64.99190403026076,3435.6301005187206,True,39,109.58071788927343,6743.519064080089
39,2020-03-01,19,64.99190403026076,3435.6301005187206,True,40,128.06348513297522,6743.519064080089
40,2020-03-02,25,64.99190403026076,3435.6301005187206,True,41,149.59473468116047,6743.519064080089
41,2020-03-03,32,64.99190403026076,3435.6301005187206,True,42,174.65226157056108,6743.519064080089
42,2020-03-04,56,64.99190403026076,3435.6301005187206,True,43,203.77974666859717,6743.519064080089
43,2020-03-05,87,64.99190403026076,3435.6301005187206,True,44,237.59259436825877,6743.519064080089
44,2020-03-06,108,64.99190403026076,3435.6301005187206,True,45,276.7830480971687,6743.519064080089
45,2020-03-07,147,64.99190403026076,3435.6301005187206,True,46,322.1239896722817,6743.519064080089
46,2020-03-08,176,64.99190403026076,3435.6301005187206,True,47,374.4706395914159,6743.519064080089
47,2020-03-09,205,64.99190403026076,3435.6301005187206,True,48,434.75916199544207,6743.519064080089
48,2020-03-10,400,64.99190403026076,3435.6301005187206,True,49,504.00095408460277,6743.519064080089
