,Report_Date,Algeria_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,109.57378271451833,5746.156535956887,True,1,10.526398883513972,9905.41113300404
1,2020-01-23,0,0,109.57378271451833,5746.156535956887,True,2,11.226175714495065,9905.41113300404
2,2020-01-24,0,0,109.57378271451833,5746.156535956887,True,3,11.972423993665496,9905.41113300404
3,2020-01-25,0,0,109.57378271451833,5746.156535956887,True,4,12.768223178654504,9905.41113300404
4,2020-01-26,0,0,109.57378271451833,5746.156535956887,True,5,13.616855874138713,9905.41113300404
5,2020-01-27,0,0,109.57378271451833,5746.156535956887,True,6,14.521821107435981,9905.41113300404
6,2020-01-28,0,0,109.57378271451833,5746.156535956887,True,7,15.486848454357796,9905.41113300404
7,2020-01-29,0,0,109.57378271451833,5746.156535956887,True,8,16.515913067384147,9905.41113300404
8,2020-01-30,0,0,109.57378271451833,5746.156535956887,True,9,17.6132516610777,9905.41113300404
9,2020-01-31,0,0,109.57378271451833,5746.156535956887,True,10,18.783379512614168,9905.41113300404
10,2020-02-01,0,0,109.57378271451833,5746.156535956887,True,11,20.031108538370166,9905.41113300404
11,2020-02-02,0,0,109.57378271451833,5746.156535956887,True,12,21.361566510672237,9905.41113300404
12,2020-02-03,0,0,109.57378271451833,5746.156535956887,True,13,22.78021748206465,9905.41113300404
13,2020-02-04,0,0,109.57378271451833,5746.156535956887,True,14,24.292883487788618,9905.41113300404
14,2020-02-05,0,0,109.57378271451833,5746.156535956887,True,15,25.905767600570115,9905.41113300404
15,2020-02-06,0,0,109.57378271451833,5746.156535956887,True,16,27.625478415271527,9905.41113300404
16,2020-02-07,0,0,109.57378271451833,5746.156535956887,True,17,29.45905604445561,9905.41113300404
17,2020-02-08,0,0,109.57378271451833,5746.156535956887,True,18,31.41399970941539,9905.41113300404
18,2020-02-09,0,0,109.57378271451833,5746.156535956887,True,19,33.49829701471266,9905.41113300404
19,2020-02-10,0,0,109.57378271451833,5746.156535956887,True,20,35.72045499770882,9905.41113300404
20,2020-02-11,0,0,109.57378271451833,5746.156535956887,True,21,38.08953304792362,9905.41113300404
21,2020-02-12,0,0,109.57378271451833,5746.156535956887,True,22,40.61517779427661,9905.41113300404
22,2020-02-13,0,0,109.57378271451833,5746.156535956887,True,23,43.30766006129534,9905.41113300404
23,2020-02-14,0,0,109.57378271451833,5746.156535956887,True,24,46.177913998153485,9905.41113300404
24,2020-02-15,0,0,109.57378271451833,5746.156535956887,True,25,49.237578486855995,9905.41113300404
25,2020-02-16,0,0,109.57378271451833,5746.156535956887,True,26,52.499040937931916,9905.41113300404
26,2020-02-17,0,0,109.57378271451833,5746.156535956887,True,27,55.97548358353359,9905.41113300404
27,2020-02-18,0,0,109.57378271451833,5746.156535956887,True,28,59.680932378757056,9905.41113300404
28,2020-02-19,0,0,109.57378271451833,5746.156535956887,True,29,63.630308622169046,9905.41113300404
29,2020-02-20,0,0,109.57378271451833,5746.156535956887,True,30,67.83948340579941,9905.41113300404
30,2020-02-21,0,0,109.57378271451833,5746.156535956887,True,31,72.32533500307261,9905.41113300404
31,2020-02-22,0,0,109.57378271451833,5746.156535956887,True,32,77.10580930011353,9905.41113300404
32,2020-02-23,0,0,109.57378271451833,5746.156535956887,True,33,82.19998337136353,9905.41113300404
33,2020-02-24,0,0,109.57378271451833,5746.156535956887,True,34,87.62813229423514,9905.41113300404
34,2020-02-25,1,1,109.57378271451833,5746.156535956887,True,35,93.41179928935465,9905.41113300404
35,2020-02-26,1,1,109.57378271451833,5746.156535956887,True,36,99.57386926247992,9905.41113300404
36,2020-02-27,1,1,109.57378271451833,5746.156535956887,True,37,106.13864581110673,9905.41113300404
37,2020-02-28,1,1,109.57378271451833,5746.156535956887,True,38,113.13193174270616,9905.41113300404
38,2020-02-29,1,1,109.57378271451833,5746.156535956887,True,39,120.58111313205718,9905.41113300404
39,2020-03-01,1,1,109.57378271451833,5746.156535956887,True,40,128.5152469217882,9905.41113300404
40,2020-03-02,3,3,109.57378271451833,5746.156535956887,True,41,136.9651520425168,9905.41113300404
41,2020-03-03,5,5,109.57378271451833,5746.156535956887,True,42,145.96350399631933,9905.41113300404
42,2020-03-04,12,12,109.57378271451833,5746.156535956887,True,43,155.5449328090714,9905.41113300404
43,2020-03-05,12,12,109.57378271451833,5746.156535956887,True,44,165.7461242128261,9905.41113300404
44,2020-03-06,17,17,109.57378271451833,5746.156535956887,True,45,176.60592386812704,9905.41113300404
45,2020-03-07,17,17,109.57378271451833,5746.156535956887,True,46,188.16544437724914,9905.41113300404
46,2020-03-08,19,19,109.57378271451833,5746.156535956887,True,47,200.46817477201196,9905.41113300404
47,2020-03-09,20,20,109.57378271451833,5746.156535956887,True,48,213.56009208319503,9905.41113300404
48,2020-03-10,20,20,109.57378271451833,5746.156535956887,True,49,227.48977451182273,9905.41113300404
49,2020-03-11,20,20,109.57378271451833,5746.156535956887,True,50,242.30851562479057,9905.41113300404
50,2020-03-12,24,15,109.57378271451833,5746.156535956887,True,51,258.07043888758665,9905.41113300404
51,2020-03-13,26,16,109.57378271451833,5746.156535956887,True,52,274.83261172431855,9905.41113300404
52,2020-03-14,37,22,109.57378271451833,5746.156535956887,True,53,292.65515815905565,9905.41113300404
53,2020-03-15,48,32,109.57378271451833,5746.156535956887,True,54,311.60136894184393,9905.41113300404
54,2020-03-16,54,38,109.57378271451833,5746.156535956887,True,55,331.7378078969739,9905.41113300404
