,Report_Date,Algeria_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
55,2020-03-17,60,44,109.57378271451833,5746.156535956887,True,56,353.13441304963936,9905.41113300404
56,2020-03-18,74,55,109.57378271451833,5746.156535956887,True,57,375.8645908897051,9905.41113300404
57,2020-03-19,87,46,109.57378271451833,5746.156535956887,True,58,400.0053019178213,9905.41113300404
58,2020-03-20,90,47,109.57378271451833,5746.156535956887,True,59,425.6371353898872,9905.41113300404
59,2020-03-21,139,92,109.57378271451833,5746.156535956887,True,60,452.8443709315656,9905.41113300404
60,2020-03-22,201,119,109.57378271451833,5746.156535956887,True,61,481.7150244364342,9905.41113300404
61,2020-03-23,230,148,109.57378271451833,5746.156535956887,True,62,512.3408753913038,9905.41113300404
62,2020-03-24,264,221,109.57378271451833,5746.156535956887,True,63,544.817472492873,9905.41113300404
63,2020-03-25,302,216,109.57378271451833,5746.156535956887,True,64,579.2441141347574,9905.41113300404
64,2020-03-26,367,313,109.57378271451833,5746.156535956887,True,65,615.7238000576104,9905.41113300404
65,2020-03-27,409,354,109.57378271451833,5746.156535956887,True,66,654.3631501732752,9905.41113300404
66,2020-03-28,454,394,109.57378271451833,5746.156535956887,True,67,695.2722863037827,9905.41113300404
67,2020-03-29,511,449,109.57378271451833,5746.156535956887,True,68,738.5646723261051,9905.41113300404
68,2020-03-30,584,512,109.57378271451833,5746.156535956887,True,69,784.3569079940055,9905.41113300404
69,2020-03-31,716,626,109.57378271451833,5746.156535956887,True,70,832.7684715310534,9905.41113300404
70,2020-04-01,847,728,109.57378271451833,5746.156535956887,True,71,883.9214059674792,9905.41113300404
71,2020-04-02,986,839,109.57378271451833,5746.156535956887,True,72,937.9399441434763,9905.41113300404
72,2020-04-03,1171,1004,109.57378271451833,5746.156535956887,True,73,994.9500673400614,9905.41113300404
73,2020-04-04,1251,1031,109.57378271451833,5746.156535956887,True,74,1055.0789926443329,9905.41113300404
74,2020-04-05,1320,1078,109.57378271451833,5746.156535956887,True,75,1118.454584429109,9905.41113300404
75,2020-04-06,1423,1160,109.57378271451833,5746.156535956887,True,76,1185.204685748461,9905.41113300404
76,2020-04-07,1468,1162,109.57378271451833,5746.156535956887,True,77,1255.4563660419385,9905.41113300404
77,2020-04-08,1572,1130,109.57378271451833,5746.156535956887,True,78,1329.3350823224127,9905.41113300404
78,2020-04-09,1666,1084,109.57378271451833,5746.156535956887,True,79,1406.9637520151286,9905.41113300404
79,2020-04-10,1761,1100,109.57378271451833,5746.156535956887,True,80,1488.4617368360034,9905.41113300404
80,2020-04-11,1825,1090,109.57378271451833,5746.156535956887,True,81,1573.943738559026,9905.41113300404
81,2020-04-12,1914,1030,109.57378271451833,5746.156535956887,True,82,1663.518609233904,9905.41113300404
82,2020-04-13,1983,1069,109.57378271451833,5746.156535956887,True,83,1757.2880803769797,9905.41113300404
83,2020-04-14,2070,1053,109.57378271451833,5746.156535956887,True,84,1855.3454178633128,9905.41113300404
84,2020-04-15,2160,1116,109.57378271451833,5746.156535956887,True,85,1957.7740116772177,9905.41113300404
85,2020-04-16,2268,1137,109.57378271451833,5746.156535956887,True,86,2064.6459123016584,9905.41113300404
86,2020-04-17,2418,1208,109.57378271451833,5746.156535956887,True,87,2176.020328299149,9905.41113300404
87,2020-04-18,2534,1273,109.57378271451833,5746.156535956887,True,88,2291.942102497979,9905.41113300404
88,2020-04-19,2629,1207,109.57378271451833,5746.156535956887,True,89,2412.440187072335,9905.41113300404
89,2020-04-20,2718,1235,109.57378271451833,5746.156535956887,True,90,2537.5261406016907,9905.41113300404
90,2020-04-21,2811,1267,109.57378271451833,5746.156535956887,True,91,2667.192672807754,9905.41113300404
91,2020-04-22,2910,1304,109.57378271451833,5746.156535956887,True,92,2801.412264978061,9905.41113300404
92,2020-04-23,3007,1245,109.57378271451833,5746.156535956887,True,93,2940.1358959661607,9905.41113300404
93,2020-04-24,3127,1304,109.57378271451833,5746.156535956887,True,94,3083.291904977326,9905.41113300404
94,2020-04-25,3256,1358,109.57378271451833,5746.156535956887,True,95,3230.7850229750097,9905.41113300404
95,2020-04-26,3382,1449,109.57378271451833,5746.156535956887,True,96,3382.49560435451,9905.41113300404
96,2020-04-27,3517,1527,109.57378271451833,5746.156535956887,True,97,3538.27908942001,9905.41113300404
97,2020-04-28,3649,1561,109.57378271451833,5746.156535956887,True,98,3697.965726087817,9905.41113300404
98,2020-04-29,3848,1702,109.57378271451833,5746.156535956887,True,99,3861.360576072868,9905.41113300404
99,2020-04-30,4006,1777,109.57378271451833,5746.156535956887,True,100,4028.243826588568,9905.41113300404
100,2020-05-01,4154,1880,109.57378271451833,5746.156535956887,True,101,4198.371423339706,9905.41113300404
101,2020-05-02,4295,1964,109.57378271451833,5746.156535956887,True,102,4371.476034402418,9905.41113300404
102,2020-05-03,4474,2075,109.57378271451833,5746.156535956887,True,103,4547.268347604927,9905.41113300404
103,2020-05-04,4648,2185,109.57378271451833,5746.156535956887,True,104,4725.43869643877,9905.41113300404
104,2020-05-05,4838,2301,109.57378271451833,5746.156535956887,True,105,4905.659001578809,9905.41113300404
105,2020-05-06,4997,2324,109.57378271451833,5746.156535956887,True,106,5087.585007044601,9905.41113300404
106,2020-05-07,5182,2376,109.57378271451833,5746.156535956887,True,107,5270.858782193275,9905.41113300404
107,2020-05-08,5369,2414,109.57378271451833,5746.156535956887,True,108,5455.111453402414,9905.41113300404
108,2020-05-09,5558,2518,109.57378271451833,5746.156535956887,True,109,5639.966122782413,9905.41113300404
109,2020-05-10,5723,2543,109.57378271451833,5746.156535956887,True,110,5825.040925828923,9905.41113300404
110,2020-05-11,5891,2543,109.57378271451833,5746.156535956887,True,111,6009.95217582537,9905.41113300404
111,2020-05-12,6067,2554,109.57378271451833,5746.156535956887,True,112,6194.317540216973,9905.41113300404
112,2020-05-13,6253,2673,109.57378271451833,5746.156535956887,True,113,6377.759193218076,9905.41113300404
113,2020-05-14,6442,2755,109.57378271451833,5746.156535956887,True,114,6559.90688962822,9905.41113300404
114,2020-05-15,6629,2822,109.57378271451833,5746.156535956887,True,115,6740.400907186309,9905.41113300404
115,2020-05-16,6821,2870,109.57378271451833,5746.156535956887,True,116,6918.8948086797345,9905.41113300404
116,2020-05-17,7019,2964,109.57378271451833,5746.156535956887,True,117,7095.057980271929,9905.41113300404
117,2020-05-18,7201,3021,109.57378271451833,5746.156535956887,True,118,7268.577908886856,9905.41113300404
118,2020-05-19,7377,3070,109.57378271451833,5746.156535956887,True,119,7439.162168719045,9905.41113300404
119,2020-05-20,7542,3006,109.57378271451833,5746.156535956887,True,120,7606.540094724368,9905.41113300404
120,2020-05-21,7728,3091,109.57378271451833,5746.156535956887,True,121,7770.464128981574,9905.41113300404
121,2020-05-22,7918,3080,109.57378271451833,5746.156535956887,True,122,7930.710833797823,9905.41113300404
122,2020-05-23,8113,3095,109.57378271451833,5746.156535956887,True,123,8087.081573085548,9905.41113300404
123,2020-05-24,8306,2922,109.57378271451833,5746.156535956887,True,124,8239.402870620552,9905.41113300404
124,2020-05-25,8503,3147,109.57378271451833,5746.156535956887,True,125,8387.526460104233,9905.41113300404
125,2020-05-26,8697,3162,109.57378271451833,5746.156535956887,True,126,8531.329047348134,9905.41113300404
126,2020-05-27,8857,3105,109.57378271451833,5746.156535956887,True,127,8670.711809280441,9905.41113300404
127,2020-05-28,8997,3090,109.57378271451833,5746.156535956887,True,128,8805.59965779704,9905.41113300404
