,Report_Date,Lebanon_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,78.07027523697425,503.2197407588756,True,1,5.364991137363244,989.4743086932395
1,2020-01-23,0,0,78.07027523697425,503.2197407588756,True,2,5.739470139969115,989.4743086932395
2,2020-01-24,0,0,78.07027523697425,503.2197407588756,True,3,6.139927641732384,989.4743086932395
3,2020-01-25,0,0,78.07027523697425,503.2197407588756,True,4,6.568142695236439,989.4743086932395
4,2020-01-26,0,0,78.07027523697425,503.2197407588756,True,5,7.026012849196684,989.4743086932395
5,2020-01-27,0,0,78.07027523697425,503.2197407588756,True,6,7.515561558923598,989.4743086932395
6,2020-01-28,0,0,78.07027523697425,503.2197407588756,True,7,8.038945989762302,989.4743086932395
7,2020-01-29,0,0,78.07027523697425,503.2197407588756,True,8,8.5984652236446,989.4743086932395
8,2020-01-30,0,0,78.07027523697425,503.2197407588756,True,9,9.196568877292135,989.4743086932395
9,2020-01-31,0,0,78.07027523697425,503.2197407588756,True,10,9.835866138613103,989.4743086932395
10,2020-02-01,0,0,78.07027523697425,503.2197407588756,True,11,10.519135225380818,989.4743086932395
11,2020-02-02,0,0,78.07027523697425,503.2197407588756,True,12,11.249333267304186,989.4743086932395
12,2020-02-03,0,0,78.07027523697425,503.2197407588756,True,13,12.029606609025123,989.4743086932395
13,2020-02-04,0,0,78.07027523697425,503.2197407588756,True,14,12.863301527325847,989.4743086932395
14,2020-02-05,0,0,78.07027523697425,503.2197407588756,True,15,13.753975350811766,989.4743086932395
15,2020-02-06,0,0,78.07027523697425,503.2197407588756,True,16,14.70540796445833,989.4743086932395
16,2020-02-07,0,0,78.07027523697425,503.2197407588756,True,17,15.72161367456867,989.4743086932395
17,2020-02-08,0,0,78.07027523697425,503.2197407588756,True,18,16.806853401773385,989.4743086932395
18,2020-02-09,0,0,78.07027523697425,503.2197407588756,True,19,17.96564716059581,989.4743086932395
19,2020-02-10,0,0,78.07027523697425,503.2197407588756,True,20,19.202786773682657,989.4743086932395
20,2020-02-11,0,0,78.07027523697425,503.2197407588756,True,21,20.523348756932265,989.4743086932395
21,2020-02-12,0,0,78.07027523697425,503.2197407588756,True,22,21.932707298309452,989.4743086932395
22,2020-02-13,0,0,78.07027523697425,503.2197407588756,True,23,23.436547237986343,989.4743086932395
23,2020-02-14,0,0,78.07027523697425,503.2197407588756,True,24,25.040876940462727,989.4743086932395
24,2020-02-15,0,0,78.07027523697425,503.2197407588756,True,25,26.752040930378126,989.4743086932395
25,2020-02-16,0,0,78.07027523697425,503.2197407588756,True,26,28.576732142720402,989.4743086932395
26,2020-02-17,0,0,78.07027523697425,503.2197407588756,True,27,30.522003614974942,989.4743086932395
27,2020-02-18,0,0,78.07027523697425,503.2197407588756,True,28,32.595279423382074,989.4743086932395
28,2020-02-19,0,0,78.07027523697425,503.2197407588756,True,29,34.80436463785361,989.4743086932395
29,2020-02-20,0,0,78.07027523697425,503.2197407588756,True,30,37.15745404026845,989.4743086932395
30,2020-02-21,1,1,78.07027523697425,503.2197407588756,True,31,39.663139318907234,989.4743086932395
31,2020-02-22,1,1,78.07027523697425,503.2197407588756,True,32,42.33041441786381,989.4743086932395
32,2020-02-23,1,1,78.07027523697425,503.2197407588756,True,33,45.168678684646736,989.4743086932395
33,2020-02-24,1,1,78.07027523697425,503.2197407588756,True,34,48.187737422233155,989.4743086932395
34,2020-02-25,1,1,78.07027523697425,503.2197407588756,True,35,51.39779941407414,989.4743086932395
35,2020-02-26,2,2,78.07027523697425,503.2197407588756,True,36,54.80947095264723,989.4743086932395
36,2020-02-27,2,2,78.07027523697425,503.2197407588756,True,37,58.43374586496563,989.4743086932395
37,2020-02-28,2,2,78.07027523697425,503.2197407588756,True,38,62.2819909930509,989.4743086932395
38,2020-02-29,4,4,78.07027523697425,503.2197407588756,True,39,66.36592655505035,989.4743086932395
39,2020-03-01,10,10,78.07027523697425,503.2197407588756,True,40,70.69760078498334,989.4743086932395
40,2020-03-02,13,13,78.07027523697425,503.2197407588756,True,41,75.28935822784287,989.4743086932395
41,2020-03-03,13,13,78.07027523697425,503.2197407588756,True,42,80.15380105405681,989.4743086932395
42,2020-03-04,13,12,78.07027523697425,503.2197407588756,True,43,85.30374275548624,989.4743086932395
43,2020-03-05,16,15,78.07027523697425,503.2197407588756,True,44,90.75215359683955,989.4743086932395
44,2020-03-06,22,21,78.07027523697425,503.2197407588756,True,45,96.51209722446151,989.4743086932395
45,2020-03-07,22,21,78.07027523697425,503.2197407588756,True,46,102.59665788194712,989.4743086932395
46,2020-03-08,32,31,78.07027523697425,503.2197407588756,True,47,109.01885775206335,989.4743086932395
47,2020-03-09,32,31,78.07027523697425,503.2197407588756,True,48,115.79156404015086,989.4743086932395
48,2020-03-10,41,39,78.07027523697425,503.2197407588756,True,49,122.92738553849229,989.4743086932395
49,2020-03-11,61,57,78.07027523697425,503.2197407588756,True,50,130.43855856671672,989.4743086932395
50,2020-03-12,61,57,78.07027523697425,503.2197407588756,True,51,138.33682237225707,989.4743086932395
51,2020-03-13,77,73,78.07027523697425,503.2197407588756,True,52,146.6332842985189,989.4743086932395
52,2020-03-14,93,89,78.07027523697425,503.2197407588756,True,53,155.33827528700792,989.4743086932395
53,2020-03-15,110,106,78.07027523697425,503.2197407588756,True,54,164.46119657212532,989.4743086932395
54,2020-03-16,110,106,78.07027523697425,503.2197407588756,True,55,174.01035875093302,989.4743086932395
55,2020-03-17,120,114,78.07027523697425,503.2197407588756,True,56,183.99281476026266,989.4743086932395
56,2020-03-18,133,127,78.07027523697425,503.2197407588756,True,57,194.41418866323923,989.4743086932395
57,2020-03-19,157,149,78.07027523697425,503.2197407588756,True,58,205.27850252742297,989.4743086932395
58,2020-03-20,163,155,78.07027523697425,503.2197407588756,True,59,216.58800405569278,989.4743086932395
59,2020-03-21,187,179,78.07027523697425,503.2197407588756,True,60,228.34299799466913,989.4743086932395
60,2020-03-22,248,236,78.07027523697425,503.2197407588756,True,61,240.54168467771436,989.4743086932395
61,2020-03-23,267,255,78.07027523697425,503.2197407588756,True,62,253.18000934236042,989.4743086932395
62,2020-03-24,318,306,78.07027523697425,503.2197407588756,True,63,266.25152607633964,989.4743086932395
63,2020-03-25,333,307,78.07027523697425,503.2197407588756,True,64,279.7472803727933,989.4743086932395
64,2020-03-26,368,339,78.07027523697425,503.2197407588756,True,65,293.65571429510294,989.4743086932395
65,2020-03-27,391,356,78.07027523697425,503.2197407588756,True,66,307.96259814844115,989.4743086932395
66,2020-03-28,412,374,78.07027523697425,503.2197407588756,True,67,322.6509923152068,989.4743086932395
67,2020-03-29,438,398,78.07027523697425,503.2197407588756,True,68,337.70124252628455,989.4743086932395
68,2020-03-30,446,400,78.07027523697425,503.2197407588756,True,69,353.0910113067379,989.4743086932395
69,2020-03-31,470,421,78.07027523697425,503.2197407588756,True,70,368.79534765733445,989.4743086932395
70,2020-04-01,479,422,78.07027523697425,503.2197407588756,True,71,384.7867962241259,989.4743086932395
71,2020-04-02,494,432,78.07027523697425,503.2197407588756,True,72,401.03554628719877,989.4743086932395
72,2020-04-03,508,441,78.07027523697425,503.2197407588756,True,73,417.50961989443755,989.4743086932395
73,2020-04-04,520,449,78.07027523697425,503.2197407588756,True,74,434.1750974115611,989.4743086932395
