,Report_Date,China_jiangsu_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,1,14.617385883321395,320.160072540972,True,1,20.032165027535285,640.3201447945386
1,2020-01-23,5,14.617385883321395,320.160072540972,True,2,25.54654851768181,640.3201447945386
2,2020-01-24,9,14.617385883321395,320.160072540972,True,3,32.49937891004526,640.3201447945386
3,2020-01-25,18,14.617385883321395,320.160072540972,True,4,41.21764385517347,640.3201447945386
4,2020-01-26,33,14.617385883321395,320.160072540972,True,5,52.07429549859286,640.3201447945386
5,2020-01-27,47,14.617385883321395,320.160072540972,True,6,65.47803102192042,640.3201447945386
6,2020-01-28,70,14.617385883321395,320.160072540972,True,7,81.85177741137255,640.3201447945386
7,2020-01-29,99,14.617385883321395,320.160072540972,True,8,101.59636775743799,640.3201447945386
8,2020-01-30,129,14.617385883321395,320.160072540972,True,9,125.03744738633299,640.3201447945386
9,2020-01-31,168,14.617385883321395,320.160072540972,True,10,152.35744122377167,640.3201447945386
10,2020-02-01,202,14.617385883321395,320.160072540972,True,11,183.52071617239216,640.3201447945386
11,2020-02-02,236,14.617385883321395,320.160072540972,True,12,218.2077430254435,640.3201447945386
12,2020-02-03,271,14.617385883321395,320.160072540972,True,13,255.77987610427678,640.3201447945386
13,2020-02-04,308,14.617385883321395,320.160072540972,True,14,295.2956237716598,640.3201447945386
14,2020-02-05,341,14.617385883321395,320.160072540972,True,15,335.58851361399377,640.3201447945386
15,2020-02-06,373,14.617385883321395,320.160072540972,True,16,375.3974138736217,640.3201447945386
16,2020-02-07,408,14.617385883321395,320.160072540972,True,17,413.5204598429297,640.3201447945386
17,2020-02-08,439,14.617385883321395,320.160072540972,True,18,448.9540987634385,640.3201447945386
18,2020-02-09,468,14.617385883321395,320.160072540972,True,19,480.9848913979694,640.3201447945386
19,2020-02-10,492,14.617385883321395,320.160072540972,True,20,509.21994721603096,640.3201447945386
